"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 12m","Spotify Followers Total","Spotify Streams 12m","Spotify Streams Total","Spotify Monthly Listeners 12m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 12m","YouTube Subscribers Total","YouTube Views 12m","YouTube Views Total","YouTube Likes 12m","YouTube Likes Total","Social Rank","TikTok Followers 12m","TikTok Followers Total","TikTok Likes 12m","TikTok Views 12m","Instagram Followers 12m","Instagram Followers Total","Instagram Likes 12m","Facebook Followers 12m","Facebook Followers Total","Deezer Fans 12m","Deezer Fans Total","SoundCloud Followers 12m","SoundCloud Followers Total","SoundCloud Plays 12m","Shazam Shazams 12m","Radio Airplay Rank","Radio Airplay Spins 12m","Radio Airplay Countries with Spins 12m","Radio Airplay Stations with Spins 12m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 12m","Beatport Track Performance Points Total"
"1","Shakira","Colombia","Pop","Sony Music Entertainment, Universal Music Group, Big Indie Labels","9","33","4690917","42183563","5035422942","30391978385","14072250","78006059","410015574","2","2100000","50100000","2660491392","39439619371","10739792","219310769","4","2871331","42929301","43358215","379762181","4213461","95971031","108455051","-847552","122125445","295238","11455197","17634","388917","3204102","529960","43","2288117","162","11077","11046","57","6","277","21.2803165945366","564.7827967214082"
"2","Karol G","Colombia","Latin","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels, BMG","13","27","7939166","63880013","6322863540","36043093826","1348193","50601366","346746732","1","1700000","41000000","3930831123","39111611550","9304512","214185553","46","250776","55424469","31781479","301147519","1041731","71243554","108153776","-494091","28615726","196858","3348189","136864","395004","6202777","375198","25","2942325","162","6433","4178","17","3","362","23.171923161339656","2107.2847607765507"
"3","J Balvin","Colombia","Latin","Universal Music Group, Warner Music Group, Sony Music Entertainment, Big Indie Labels, BMG","20","31","2423520","40569153","6094254375","52833553087","11598722","75286054","445869015","8","400000","35200000","2668117110","56666118494","7224654","292281976","49","1272566","22575253","34564477","160057901","231919","50403485","28807749","-393401","25352215","108006","10296310","13646","204339","4593994","615360","68","1889961","176","6675","998","46","10","1925","560.8189974002152","13051.214338437421"
"4","Romeo Santos","United States","Latin","Sony Music Entertainment, Universal Music Group, Big Indie Labels","33","97","4128242","29071020","3702682538","19379648084","5528007","39325273","166125208","12","900000","23400000","2324245098","30418678223","6420573","105406175","246","356334","6466735","1155059","27930197","-70592","23179931","3192636","-536870","37242865","72587","3878983","11417","258364","1344632","547631","152","1203683","173","3443","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Maluma","Colombia","Latin","Sony Music Entertainment, Warner Music Group, Universal Music Group, Big Indie Labels","34","63","3708773","40245181","4241397241","33337220510","3427420","46931760","276564159","24","500000","30900000","1992268395","41296394876","5007671","181204810","99","1236870","13220864","39195680","87501608","256603","64501886","37609636","-408625","25024416","109001","8035135","29153","212471","2999370","294863","134","1356931","122","4945","8684","25","4","53","14.812956842832257","376.6587670219693"
"6","Daddy Yankee","Puerto Rico","Latin","Universal Music Group, Warner Music Group, Big Indie Labels, Sony Music Entertainment","36","42","2268225","39139338","5450835302","41486002214","12520399","63414383","285368031","22","1400000","41300000","2507907889","49628387065","9469733","260831639","86","1657433","19756117","20845122","131756143","636839","51962085","26655498","290349","32055811","111652","7118557","16197","187366","8100957","665642","72","1855050","142","6234","33381","57","10","1301","32.872011144810344","1350.5724558990848"
"7","Feid","Colombia","Latin","Universal Music Group, Sony Music Entertainment, Big Indie Labels, Warner Music Group","76","113","3183235","20006521","5353665359","32857251902","-392426","37366282","239304100","57","360000","7150000","1562694472","14196119158","2920500","64505012","220","180834","15304021","62991117","173862870","155623","14576621","55364876","-56487","1431692","77491","878867","23197","91517","3492152","284484","192","1029553","176","2661","2469","18","1","205","7.826457144296439","1437.417196809951"
"8","Enrique Iglesias","Spain","Pop","Sony Music Entertainment, Universal Music Group","81","194","789507","12375522","1729583731","12463774695","5427579","34833336","129288711","29","700000","25900000","1327891747","24052689878","4522996","97246580","369","232228","1915786","1218900","7777409","90848","18857376","3273491","-81153","49035750","59805","5938064","7404","146155","1752745","240265","49","2187960","215","11010","111104","11","4","35","0.9206438860364006","59.75082990873718"
"9","ROSALÍA","Spain","Pop","Sony Music Entertainment, Big Indie Labels","102","197","1115720","9582691","2261599750","13600254404","9098928","30902295","279286685","91","600000","12100000","618300029","8441608914","3843257","67167364","65","366384","33016946","20094997","301785128","1041540","28069000","26967225","-69642","3357437","148079","1014532","152307","274278","1568061","325033","923","337331","102","3070","N/A","N/A","N/A","N/A","N/A","N/A"
"10","Becky G","United States","Latin","Sony Music Entertainment, Universal Music Group, Warner Music Group, Big Indie Labels","113","210","1093339","17241669","1086387787","12605372251","4026231","28288543","257666280","46","300000","22500000","984063819","19277467943","2827722","123588753","177","267244","23860767","31922551","88733079","-753730","36456001","18035174","-426691","18163326","36023","1855788","3494","97772","2023612","224355","377","670167","128","3991","93034","20","2","36","3.1409170151592196","20.90512260735726"
