"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"1","Shakira","Colombia","Pop","Sony Music Entertainment, Universal Music Group, Big Indie Labels","9","33","97178","42183563","100954839","30391978385","-200096","78006059","410015574","2","100000","50100000","49636932","39439619371","206008","219310769","4","49024","42929301","1511900","0","-3651","95971031","1090071","-5407","122125445","6859","11455197","278","388917","62835","18007","43","47803","125","5766","11046","57","6","277","12.498309006654644","564.7827967214082"
"2","Karol G","Colombia","Latin","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels, BMG","13","27","127747","63880013","99466978","36043093826","-280945","50601366","346746732","1","0","41000000","56479353","39111611550","117020","214185553","46","-18301","55424469","107114","0","-10913","71243554","116439","-10075","28615726","3080","3348189","2458","395004","84015","18821","25","52078","106","2891","4178","17","3","362","8.206554233337295","2107.2847607765507"
"3","J Balvin","Colombia","Latin","Universal Music Group, Warner Music Group, Sony Music Entertainment, Big Indie Labels, BMG","20","31","69779","40569153","127753339","52833553087","-1124020","75286054","445869015","8","0","35200000","49909093","56666118494","129271","292281976","49","8715","22575253","697828","0","-16932","50403485","443768","-8224","25352215","2180","10296310","165","204339","73277","20372","68","34787","115","2939","998","46","10","1925","16.907445621974873","13051.214338437421"
"4","Romeo Santos","United States","Latin","Sony Music Entertainment, Universal Music Group, Big Indie Labels","33","97","121037","29071020","82941462","19379648084","-247907","39325273","166125208","12","0","23400000","46571030","30418678223","121816","105406175","246","20579","6466735","279673","0","-4076","23179931","24166","-10941","37242865","1304","3878983","0","258364","1734","49251","152","26720","54","1480","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Maluma","Colombia","Latin","Sony Music Entertainment, Warner Music Group, Universal Music Group, Big Indie Labels","34","63","61914","40245181","80826745","33337220510","-426928","46931760","276564159","24","0","30900000","34532165","41296394876","78909","181204810","99","16558","13220864","1056108","0","-12838","64501886","246101","-7930","25024416","2016","8035135","258","212471","50097","3741","134","23789","89","2061","8684","25","4","53","10.944941381046691","376.6587670219693"
"6","Daddy Yankee","Puerto Rico","Latin","Universal Music Group, Warner Music Group, Big Indie Labels, Sony Music Entertainment","36","42","53806","39139338","109141187","41486002214","-328934","63414383","285368031","22","0","41300000","45742570","49628387065","155946","260831639","86","15448","19756117","258875","0","-17234","51962085","419423","38778","32055811","2372","7118557","266","187366","150209","46024","72","37666","102","2502","33381","57","10","1301","23.94144344592327","1350.5724558990848"
"7","Feid","Colombia","Latin","Universal Music Group, Sony Music Entertainment, Big Indie Labels, Warner Music Group","76","113","35498","20006521","102319124","32857251902","483672","37366282","239304100","57","10000","7150000","25995827","14196119158","61274","64505012","220","21931","15304021","3813935","0","-16212","14576621","449789","-877","1431692","1594","878867","269","91517","59346","17925","192","18166","58","889","2469","18","1","205","6.14470958803565","1437.417196809951"
"8","Enrique Iglesias","Spain","Pop","Sony Music Entertainment, Universal Music Group","81","194","19437","12375522","34709514","12463774695","80934","34833336","129288711","29","0","25900000","24761765","24052689878","82463","97246580","369","7179","1915786","118532","0","3129","18857376","17933","113834","49035750","989","5938064","109","146155","41619","12410","49","38709","160","5329","111104","11","4","35","0.8540439383235443","59.75082990873718"
"9","ROSALÍA","Spain","Pop","Sony Music Entertainment, Big Indie Labels","102","197","28730","9582691","46020009","13600254404","-479307","30902295","279286685","91","0","12100000","11774175","8441608914","50676","67167364","65","12096","33016946","792237","0","4789","28069000","40652","-866","3357437","3221","1014532","3243","274278","29291","35015","923","6952","69","1094","N/A","N/A","N/A","N/A","N/A","N/A"
"10","Becky G","United States","Latin","Sony Music Entertainment, Universal Music Group, Warner Music Group, Big Indie Labels","113","210","27394","17241669","23531453","12605372251","60014","28288543","257666280","46","0","22500000","17826455","19277467943","72356","123588753","177","19250","23860767","1728553","0","-18911","36456001","518906","-2223","18163326","626","1855788","61","97772","41317","2633","377","12279","92","1439","93034","20","2","36","1.9479146448774518","20.90512260735726"
