"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"PASSO BEM SOLTO - Slowed","2024-04-23","N/A","Pop","N/A","N/A","ATLXS, Emirhxn","N/A","N/A","N/A","N/A","56","N/A","N/A","N/A","N/A","712161382.79","N/A","N/A","N/A","301181905","427823241","N/A","N/A","N/A","299909933","326748127","N/A","N/A","N/A","18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","643520","867683"
"capaz (merengueton)","2024-11-20","N/A","Pop","N/A","N/A","Alleh, Yorghaki","N/A","N/A","N/A","N/A","75","N/A","N/A","N/A","N/A","643755522.325","N/A","N/A","N/A","500718897","730959674","N/A","N/A","N/A","284247702","346264548","N/A","N/A","N/A","153888","N/A","N/A","N/A","N/A","10293","10534","N/A","N/A","N/A","N/A","N/A"
"São Paulo (feat. Anitta)","2024-10-31","N/A","Pop","N/A","N/A","The Weeknd, Anitta","N/A","N/A","N/A","N/A","87","N/A","N/A","N/A","N/A","613804992.7750001","N/A","N/A","N/A","352368983","627524659","N/A","N/A","N/A","166368063","283994010","N/A","N/A","N/A","52262","N/A","N/A","N/A","N/A","3067932","5590765","N/A","N/A","N/A","N/A","N/A"
"Galinha Pintadinha 2","2010-07-01","N/A","Pop","N/A","N/A","Galinha Pintadinha","N/A","N/A","N/A","N/A","103","N/A","N/A","N/A","N/A","590455601.5050001","N/A","N/A","N/A","1324353","6216417","N/A","N/A","N/A","712607613","6696403141","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","16","6820"
"Hips Don't Lie (feat. Wyclef Jean)","2005-11-28","N/A","Pop","N/A","N/A","Shakira, Wyclef Jean","N/A","N/A","N/A","N/A","177","N/A","N/A","N/A","N/A","490693915.135","N/A","N/A","N/A","314810924","2396632366","N/A","N/A","N/A","288614367","2222088628","N/A","N/A","N/A","206423","N/A","N/A","N/A","N/A","482920","2908735","N/A","N/A","N/A","N/A","N/A"
"Galinha Pintadinha 4","2014-07-01","N/A","Pop","N/A","N/A","Galinha Pintadinha","N/A","N/A","N/A","N/A","190","N/A","N/A","N/A","N/A","479083497.75499994","N/A","N/A","N/A","1222377","7656871","N/A","N/A","N/A","567197590","6388367222","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","55291","1293127","N/A","N/A","N/A","5","5222"
"Me Rehúso","2017-06-16","N/A","Pop","N/A","N/A","Danny Ocean","N/A","N/A","N/A","N/A","291","N/A","N/A","N/A","N/A","409612482.31000006","N/A","N/A","N/A","365321714","2355093325","N/A","N/A","N/A","136503300","2386954497","N/A","N/A","N/A","84499","N/A","N/A","N/A","N/A","316624","10600213","N/A","N/A","N/A","N/A","N/A"
"Con otra","2025-03-19","N/A","Pop","N/A","N/A","Cazzu","N/A","N/A","N/A","N/A","316","N/A","N/A","N/A","N/A","397419681.35","N/A","N/A","N/A","153112687","166120177","N/A","N/A","N/A","412741056","428614941","N/A","N/A","N/A","58693","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Galinha Pintadinha 3","2012-07-01","N/A","Pop","N/A","N/A","Galinha Pintadinha","N/A","N/A","N/A","N/A","333","N/A","N/A","N/A","N/A","387876774.28499997","N/A","N/A","N/A","1029378","6195315","N/A","N/A","N/A","454167840","4886490586","N/A","N/A","N/A","12","N/A","N/A","N/A","N/A","11752","167478","N/A","N/A","N/A","14","9020"
"Mi Gente","2017-06-30","N/A","Latin","N/A","N/A","J Balvin, Willy William","N/A","N/A","N/A","N/A","372","N/A","N/A","N/A","N/A","370262048.44","N/A","N/A","N/A","172401765","1767745707","N/A","N/A","N/A","237609881","4270865321","N/A","N/A","N/A","158890","N/A","N/A","N/A","N/A","202939","3180906","N/A","N/A","N/A","N/A","N/A"
"TQG","2023-02-23","N/A","Latin","N/A","N/A","Karol G, Shakira","N/A","N/A","N/A","N/A","451","N/A","N/A","N/A","N/A","345100143.82","N/A","N/A","N/A","201174803","1449422274","N/A","N/A","N/A","224480040","1732895965","N/A","N/A","N/A","145194","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","34596","3938857"
"TODO KE VER","2025-08-13","N/A","Latin","N/A","N/A","Jere Klein, Katteyes, Mateo on the Beatz","N/A","N/A","N/A","N/A","475","N/A","N/A","N/A","N/A","339293908.175","N/A","N/A","N/A","176835219","179979073","N/A","N/A","N/A","199369454","201565179","N/A","N/A","N/A","5611","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
