"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"1","Taylor Swift","United States","Pop","Big Indie Labels, Universal Music Group","1","3","398314","154919785","344004242","123199538613","-19077","102186187","723983370","3","0","63100000","50517188","36727355580","216006","328036574","9","-19563","33495323","70966","0","-109572","280341176","51358","-27307","78775120","12636","12490746","6060","1063523","281590","266595","3","137193","176","6428","1783","27","3","294","21.697993071255645","2592.409372878616"
"2","Justin Bieber","Canada","Pop","Warner Music Group, Universal Music Group, Sony Music Entertainment","3","10","144902","88194558","175060446","69228034581","198107","98724334","651667779","7","100000","77300000","53117644","51054877345","223599","401534564","102","3949","29615243","48175","0","-76302","291705709","1864303","-29148","88889395","3355","11003381","4907","1687152","234294","42819","15","71378","149","5317","25062","94","22","3303","16.00880287878692","4025.0316534976564"
"3","Bruno Mars","United States","Pop","Warner Music Group, Universal Music Group, Sony Music Entertainment","4","2","275572","81209211","268476939","53227814477","50211","135021998","702437050","40","100000","43400000","50137805","34025167618","218956","206673828","44","50931","16109217","517638","0","-1109","42913668","63000","-7417","57766443","11834","12531673","1268","809511","533369","97196","21","102364","146","6613","69647","49","11","1817","4.852681782147776","5805.719459932726"
"4","The Weeknd","Canada","Pop","Universal Music Group, Sony Music Entertainment, Big Indie Labels","5","1","291962","120871866","260412637","92193610755","254869","115828457","596111195","9","0","39500000","51666322","32796480564","205691","250720007","210","-1924","11028774","3458","0","107718","77222340","0","-10020","16941407","12425","14391626","19010","8550295","1182144","55081","10","73330","144","6250","663","150","34","6227","32.544181983630615","13761.953941063683"
"5","Lady Gaga","United States","Pop","Universal Music Group, Sony Music Entertainment","6","12","122980","45748573","125638255","36468932305","-212034","94540179","515673811","14","0","30400000","34635353","21657394588","147861","153842948","21","16841","17724400","681611","0","-6431","62402415","14023","-15158","55807639","10600","9052202","747","1367813","215841","31781","2","84302","175","6868","82961","51","5","189","1.4995523801021595","463.7418219524227"
"6","Ariana Grande","United States","Pop","Universal Music Group, Warner Music Group, Sony Music Entertainment","7","9","152195","110846600","166539868","65876383668","48197","82097924","498036481","10","0","57000000","32549825","32321216283","129116","325832585","8","5221","40089442","169320","0","-63995","371551420","316763","-14218","41134427","5157","13286343","4439","1273130","240635","36825","35","40704","132","4239","18570","29","9","1078","21.95791637327008","4048.243838052168"
"7","Rihanna","Barbados","Pop","Universal Music Group, Big Indie Labels","8","13","161752","72752795","208288820","57918933635","809351","108488473","538556494","11","0","45700000","37390756","36901787941","134191","187350016","19","33649","16400985","193299","0","-78459","148842594","45569","-15544","102746697","10291","17801449","8266","2727494","578015","21888","23","56460","152","5996","49600","104","15","1256","6.836928340402654","539.1368885814633"
"8","Shakira","Colombia","Pop","Sony Music Entertainment, Universal Music Group, Big Indie Labels","9","33","97178","42183563","100954839","30391978385","-200096","78006059","410015574","2","100000","50100000","49636932","39439619371","206008","219310769","4","49024","42929301","1511900","0","-3651","95971031","1090071","-5407","122125445","6859","11455197","278","388917","62835","18007","43","47803","125","5766","11046","57","6","277","12.498309006654644","564.7827967214082"
"9","Billie Eilish","United States","Pop","Universal Music Group, Big Indie Labels, Warner Music Group","10","5","261759","125038445","142809954","56056230096","-395375","84426546","491262690","28","0","57900000","37003487","19363160353","208327","316093510","13","9074","74440396","569338","0","-2566","125298016","222016","-19487","30894330","7590","9091795","14650","3650892","613228","103941","51","36688","133","4019","1877","43","3","357","24.084429459219855","2433.3807871165686"
"10","Drake","Canada","Hip Hop","Big Indie Labels, Sony Music Entertainment, Universal Music Group, Warner Music Group","14","14","275093","109220953","371875769","133155764752","296095","88253391","531213658","20","0","32000000","34054033","34323981637","152158","239557754","61","N/A","N/A","N/A","N/A","-43761","141677956","206513","-18841","50331513","6399","23914526","14777","4508903","2576388","100107","74","29592","128","2723","830","250","62","8159","45.83176276905183","8730.544644685724"
