"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"Golden","2025-06-19","N/A","Pop","N/A","N/A","HUNTR/X, EJAE, Audrey Nuna, REI AMI","N/A","N/A","N/A","N/A","1","N/A","N/A","N/A","N/A","3683644219.77","N/A","N/A","N/A","1364001111","1541925207","N/A","N/A","N/A","1404442046","1415851739","N/A","N/A","N/A","735775","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ordinary","2024-09-27","N/A","Pop","N/A","N/A","Alex Warren","N/A","N/A","N/A","N/A","2","N/A","N/A","N/A","N/A","1896413925.505","N/A","N/A","N/A","1395195926","1717657578","N/A","N/A","N/A","377424015","388143038","N/A","N/A","N/A","1682894","N/A","N/A","N/A","N/A","8126508","8530994","N/A","N/A","N/A","0","713917"
"Die With A Smile","2024-08-16","N/A","Pop","N/A","N/A","Lady Gaga, Bruno Mars","N/A","N/A","N/A","N/A","3","N/A","N/A","N/A","N/A","1866702243.3150003","N/A","N/A","N/A","1326582833","3519324876","N/A","N/A","N/A","851427098","1850205926","N/A","N/A","N/A","971019","N/A","N/A","N/A","N/A","565309","1355833","N/A","N/A","N/A","N/A","N/A"
"BIRDS OF A FEATHER","2024-05-17","N/A","Pop","N/A","N/A","Billie Eilish","N/A","N/A","N/A","N/A","4","N/A","N/A","N/A","N/A","1655644023.4750001","N/A","N/A","N/A","1251456423","3564674926","N/A","N/A","N/A","605616146","1226272772","N/A","N/A","N/A","875675","N/A","N/A","N/A","N/A","4218106","14202738","N/A","N/A","N/A","400352","8564291"
"back to friends","2024-12-27","N/A","Pop","N/A","N/A","sombr","N/A","N/A","N/A","N/A","5","N/A","N/A","N/A","N/A","1581277662.7","N/A","N/A","N/A","1582807349","1639713345","N/A","N/A","N/A","215953678","219076706","N/A","N/A","N/A","530240","N/A","N/A","N/A","N/A","9366495","9691026","N/A","N/A","N/A","N/A","N/A"
"APT.","2024-10-18","N/A","Pop","N/A","N/A","ROSÉ (로제), Bruno Mars","N/A","N/A","N/A","N/A","6","N/A","N/A","N/A","N/A","1570855328.17","N/A","N/A","N/A","926604466","2354470478","N/A","N/A","N/A","1091093873","2676033659","N/A","N/A","N/A","346999","N/A","N/A","N/A","N/A","140071","4317313","N/A","N/A","N/A","N/A","N/A"
"Beautiful Things","2024-01-18","N/A","Pop","N/A","N/A","Benson Boone","N/A","N/A","N/A","N/A","8","N/A","N/A","N/A","N/A","1237388878.84","N/A","N/A","N/A","858144314","2835052949","N/A","N/A","N/A","456000512","1125238234","N/A","N/A","N/A","818965","N/A","N/A","N/A","N/A","3828889","14231993","N/A","N/A","N/A","N/A","N/A"
"Soda Pop","2025-06-20","N/A","Pop","N/A","N/A","Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee","N/A","N/A","N/A","N/A","9","N/A","N/A","N/A","N/A","1223680828.065","N/A","N/A","N/A","704068281","695262052","N/A","N/A","N/A","820140711","831355840","N/A","N/A","N/A","59884","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Fate of Ophelia","2025-10-02","N/A","Pop","N/A","N/A","Taylor Swift","N/A","N/A","N/A","N/A","10","N/A","N/A","N/A","N/A","1165884943.125","N/A","N/A","N/A","998621332","1163979911","N/A","N/A","N/A","41400624","53400729","N/A","N/A","N/A","1061455","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Take on Me","1985-06-01","N/A","Pop","N/A","N/A","a-ha","N/A","N/A","N/A","N/A","12","N/A","N/A","N/A","N/A","1076829706.605","N/A","N/A","N/A","160939","1248004","N/A","N/A","N/A","253683011","2566621068","N/A","N/A","N/A","699481","N/A","N/A","N/A","N/A","620275","7445620","N/A","N/A","N/A","31493","15505700"
