"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 12m","Spotify Followers Total","Spotify Streams 12m","Spotify Streams Total","Spotify Monthly Listeners 12m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 12m","YouTube Subscribers Total","YouTube Views 12m","YouTube Views Total","YouTube Likes 12m","YouTube Likes Total","Social Rank","TikTok Followers 12m","TikTok Followers Total","TikTok Likes 12m","TikTok Views 12m","Instagram Followers 12m","Instagram Followers Total","Instagram Likes 12m","Facebook Followers 12m","Facebook Followers Total","Deezer Fans 12m","Deezer Fans Total","SoundCloud Followers 12m","SoundCloud Followers Total","SoundCloud Plays 12m","Shazam Shazams 12m","Radio Airplay Rank","Radio Airplay Spins 12m","Radio Airplay Countries with Spins 12m","Radio Airplay Stations with Spins 12m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 12m","Beatport Track Performance Points Total"
"1","Imagine Dragons","United States","Rock","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels","30","16","2613061","59523546","4562193393","39252272120","-328523","54377775","273869446","38","600000","33200000","1478703288","24571559032","5674217","188124764","976","250571","4041176","3405215","9691235","1010473","10135720","13565218","-250559","14570000","530859","9385815","24699","5552168","5620706","379346","37","2475548","185","8885","99114","28","5","201","2.0335608195331822","559.7098376675602"
"2","Linkin Park","United States","Rock","Warner Music Group","37","34","4481607","33977719","6641036640","31453791686","7411759","55329407","185902931","104","1300000","24800000","1802047682","17108413548","10122660","128157913","327","605001","3142842","8587351","9580171","1350459","11272535","19467279","-765031","55878043","625166","12038784","163493","5426275","2672441","455671","71","1863591","206","7919","3245","47","14","1027","5.276286270369622","2143.7819043575796"
"3","Guns N' Roses","United States","Rock","Universal Music Group","87","76","3438533","36961128","2120279359","13050581835","4863840","36270098","153852283","156","800000","13300000","737116279","9241676266","2973743","41860832","349","258104","1843543","1655238","6942098","1354376","8927306","12561090","-338161","28896060","324938","8490587","21566","159529","3734421","246587","60","2061927","135","9752","N/A","N/A","N/A","N/A","N/A","N/A"
"4","AC/DC","Australia","Rock","N/A","92","69","2767593","33693886","2800689042","16387858131","5862613","37397693","189257026","163","600000","11600000","763384198","9201472389","3382526","49972274","642","523090","1625542","4001583","33255528","1013443","6316705","9261393","-80626","28348300","395097","9818816","31320","187017","4014031","271046","40","2340616","129","8508","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Red Hot Chili Peppers","United States","Rock","Warner Music Group, Big Indie Labels","110","53","1978254","24306173","3342141466","20920285403","11644146","47759340","204811414","528","390000","8550000","556267547","7759466618","2058802","37334041","891","163535","956467","688506","4073115","261435","6488581","3491006","-369961","25751583","357217","7588621","28114","225837","11899228","208865","63","1989089","137","9235","162894","2","1","38","0.026402046160550953","252.72907641901784"
"6","Gorillaz","United Kingdom","Rock","Warner Music Group, Sony Music Entertainment","116","128","2641957","15766537","2651106858","13362370569","10757031","42059357","153556256","264","1600000","13200000","726737664","6174213240","7684787","73160293","342","1608348","5733617","15607972","45565107","2191156","7471128","20611741","77419","10255220","261235","2945034","40445","500155","8709177","218372","505","550717","131","6039","255","58","14","3675","1445.9824785806572","32715.693079476787"
"7","Twenty One Pilots","United States","Pop","Warner Music Group, Big Indie Labels","138","104","1094721","26331362","2957666381","21656741874","10336333","39033795","149129289","280","500000","14200000","701648332","13210301013","4495924","122304114","758","444921","1925792","11814592","21332890","260520","9097269","21159333","-124851","5790122","206814","4954133","31086","405284","13690225","216065","244","883393","129","5825","158186","4","1","121","0.052804092321101906","341.55839248680826"
"8","Nirvana","United States","Rock","Universal Music Group","143","91","3101859","24974149","2552167354","14778619209","5154239","38047066","147402416","204","800000","10800000","587845116","6420998638","3653962","49578231","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-393999","25176038","410265","9959769","73794","454375","18642499","265001","N/A","N/A","N/A","N/A","166087","1","0","0","0.013201023080275476","0.2640204616055095"
"9","Radiohead","United Kingdom","Rock","Big Indie Labels","144","94","3809715","15659445","4251265053","15852294382","11944941","43750998","156056492","650","810000","5130000","490223462","3439968797","3218943","25734734","792","1226006","1857584","14401530","41393596","1036451","4626418","2906375","-137808","11068189","293680","4011321","89369","1911898","7192326","547651","364","679336","167","6519","19008","295","2","15","43.26343795174217","294.66512795999074"
"10","Green Day","United States","Punk","Warner Music Group","145","109","1851170","18285089","2422988412","14761465072","7574902","39194966","187990001","783","450000","7580000","374952983","4467007870","2497118","38434185","300","698586","2531132","8370267","15014541","1300499","7608223","13851275","-76450","28523437","223347","5169063","36087","1732651","15495478","161567","94","1712885","131","8365","N/A","N/A","N/A","N/A","N/A","N/A"
"11","Oasis","United Kingdom","Rock","Big Indie Labels, Sony Music Entertainment","206","178","1855513","13294180","2323503710","10390023510","7684224","30627042","131495061","492","490000","4440000","430165946","3717300753","2174687","21731593","661","765361","1557420","11173845","19982176","1199159","4873404","26346551","105461","8494294","194810","4633463","4175","129335","34874877","230452","179","1081244","136","8621","73055","N/A","N/A","N/A","N/A","N/A"
"12","Chappell Roan","United States","Pop","Universal Music Group","217","155","2228626","8069075","2847926815","7884992581","-13844612","33155580","204280951","1205","450000","2390000","265987488","744404355","2503531","19141274","309","1038230","5169914","17305227","43633210","670634","7796762","44253683","138429","662089","154828","277901","17535","64066","6987981","241321","99","1661455","171","5291","135418","2","0","0","0.2585109017185985","5.1702180343719695"
"13","Maná","Mexico","Rock","Warner Music Group, Universal Music Group","236","257","1786766","14497717","1934187633","9605489544","9410899","26322290","98508065","387","410000","6730000","840509240","8336323001","1877505","24354447","1192","321568","675224","2754321","4997279","273361","2682410","2657034","-83786","17701666","52770","1762492","4256","34973","1518011","105567","286","803055","83","4087","N/A","N/A","N/A","N/A","N/A","N/A"
"14","The Neighbourhood","United States","Rock","Warner Music Group, Big Indie Labels, Sony Music Entertainment","251","70","2956159","22997299","3355665025","18474192953","6425486","46918299","182757376","735","300000","5820000","222892861","2796947532","1859193","36684336","2335","136994","313391","289568","897639","602689","3947792","3736554","-36448","1845457","336091","1604562","36287","1218098","17181001","191440","2222","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"15","Evanescence","United States","Rock","Big Indie Labels, Sony Music Entertainment","302","351","1566164","6936700","1180032288","5222466735","6094233","24884927","86162346","388","480000","7960000","420519985","5277456433","2792301","37930160","1051","302430","1354524","2253612","7871965","305034","2560231","2605080","-206932","19317882","147178","3735157","14821","162906","3896739","178085","476","577393","132","6012","N/A","N/A","N/A","N/A","N/A","N/A"
"16","Fall Out Boy","United States","Rock","Warner Music Group, Universal Music Group","308","190","499723","11717075","1598426202","13902137096","1610021","25205044","164897659","470","130000","6150000","221538637","4422023834","1322487","38275636","2360","86282","607253","889417","1915535","63566","3447226","2152667","-116707","8271117","105928","2585471","62990","4695850","2713755","128147","703","432068","113","3553","89914","17","11","338","2.3978221095481285","673.0370934019695"
"17","U2","Ireland","Rock","Universal Music Group, Warner Music Group","341","268","844223","13994060","1229175384","10534305583","1991403","22277435","213623462","472","180000","3320000","245149316","3280362777","1362422","16954451","1814","27379","287422","287312","1326103","104375","3685998","1985304","-196628","16050143","290631","7244889","8034","89850","1966320","157762","19","3272267","206","12182","73625","30","2","79","4.660381706850538","81.50554363573276"
"18","Paramore","United States","Rock","Warner Music Group","348","182","1000329","10299775","2031314856","10892692592","5808882","33131935","111215901","1257","230000","3780000","236850951","3720832599","1290833","27236837","1639","105762","1005336","299314","796714","81769","3883751","295799","-366787","22909645","103454","3118650","66174","198581","8616141","77635","934","340544","110","3720","N/A","N/A","N/A","N/A","N/A","N/A"
"19","Foo Fighters","United States","Rock","Sony Music Entertainment, Big Indie Labels","354","266","964469","13477410","1122892611","10230204766","2868564","21955804","168977062","825","160000","4170000","182946506","3173842408","1031738","19762477","1266","108784","448977","883716","4630001","219796","5797484","4919141","-186245","11940257","148920","4534654","73078","1798592","9826999","118050","136","1348376","116","5913","N/A","N/A","N/A","N/A","N/A","N/A"
"20","The Cranberries","Ireland","Rock","Universal Music Group","366","282","946589","5912894","1188163463","5869877869","5369513","30805464","129982959","508","280000","4010000","385174743","4149256342","1614960","20150171","N/A","52854","547204","280204","3543097","266565","835505","142212","359988","4465157","128635","1900999","148","14708","129200","110371","201","1011071","201","9496","N/A","N/A","N/A","N/A","N/A","N/A"
"21","Nickelback","Canada","Rock","BMG, Big Indie Labels","386","288","750903","8240396","1736641629","9608521244","3737538","26749443","97084572","942","170000","4060000","317554136","5111872344","1516762","27860724","1670","271094","1562821","2497188","16075729","209728","1759232","1563131","-89130","16038564","95165","3152506","10700","145059","11648902","113351","190","1038881","206","7179","N/A","N/A","N/A","N/A","N/A","N/A"
"22","The Killers","United States","Rock","Universal Music Group, Big Indie Labels","404","169","617274","8386558","1415458219","10285228107","8287445","33914413","176723658","1171","80000","2630000","122921354","2575139009","566964","13384878","2848","31938","216890","21998","343021","81129","1571889","813613","-115532","8133387","88019","2210743","5572","104856","2742387","210970","273","831313","121","6795","111936","7","0","0","1.7044371868534627","11.013275942980442"
"23","Måneskin","Italy","Rock","Sony Music Entertainment","408","280","704937","10935836","1308681027","9556006128","1891403","22836341","100546358","513","230000","5680000","352236819","3103780738","2098846","36775636","3095","-161089","7877308","1482354","3737509","-322533","6584747","43244","-27615","1492734","134553","973908","1857","72865","1249295","188679","447","608327","118","4345","110418","3","0","0","2.0317893735719523","8.30110676332987"
"24","The Cure","United Kingdom","Rock","Universal Music Group, Warner Music Group","453","374","894331","7152990","1173289629","6866409871","8536450","25057393","141985367","1427","190000","1800000","128711673","1402477533","879664","9879287","1424","16731","483265","584505","0","306966","1657720","2152878","-11154","6611842","180110","2472358","14521","66910","1318677","98583","130","1410752","128","9094","139786","7","1","3","0.3709511622952207","5.011297905837386"
"25","YUNGBLUD","United Kingdom","Rock","Universal Music Group, BMG","457","1072","980030","3541581","767893638","4060603168","2308687","9992444","62674418","587","640000","3800000","289744963","1654878122","4740311","38006463","135","2427424","8530200","57522159","109286356","3634568","7679049","30932755","1993014","2584724","56361","418897","14716","139207","3992886","66878","1767","188246","96","2389","104010","10","1","1","2.017630195271854","23.34751156344809"
"26","Three Days Grace","Canada","Rock","Sony Music Entertainment","497","452","1028606","7802888","1469603409","7588625759","3100211","17600569","47039352","763","260000","3960000","240503499","3215892889","1703792","24371271","2264","250182","878145","2273103","6110887","258838","1388256","2815001","-9151","6978953","99926","1446695","12036","107764","4499000","69172","1056","303941","79","1554","N/A","N/A","N/A","N/A","N/A","N/A"
"27","Soda Stereo","Argentina","Rock","Sony Music Entertainment","499","652","813879","10445879","1076232604","6815043218","3028726","13635224","31257582","477","220000","2950000","408756385","3486503487","1393624","14221348","3154","183765","383435","2081849","6565432","188013","995446","3063843","27411","5413590","44951","1762053","1016","14183","99585","33093","375","666335","55","2330","N/A","N/A","N/A","N/A","N/A","N/A"
