"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1m","Spotify Followers Total","Spotify Streams 1m","Spotify Streams Total","Spotify Monthly Listeners 1m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1m","YouTube Subscribers Total","YouTube Views 1m","YouTube Views Total","YouTube Likes 1m","YouTube Likes Total","Social Rank","TikTok Followers 1m","TikTok Followers Total","TikTok Likes 1m","TikTok Views 1m","Instagram Followers 1m","Instagram Followers Total","Instagram Likes 1m","Facebook Followers 1m","Facebook Followers Total","Deezer Fans 1m","Deezer Fans Total","SoundCloud Followers 1m","SoundCloud Followers Total","SoundCloud Plays 1m","Shazam Shazams 1m","Radio Airplay Rank","Radio Airplay Spins 1m","Radio Airplay Countries with Spins 1m","Radio Airplay Stations with Spins 1m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1m","Beatport Track Performance Points Total"
"1","Imagine Dragons","United States","Rock","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels","30","16","241236","59523546","332096362","39252272120","625123","54377775","273869446","38","0","33200000","115402561","24571559032","456073","188124764","976","571","4041176","95215","236085","86031","10135720","878345","-22893","14570000","33970","9385815","1189","5552168","428957","379346","37","200873","174","6239","99114","28","5","201","1.478429565545832","559.7098376675602"
"2","Linkin Park","United States","Rock","Warner Music Group","37","34","431902","33977719","586591531","31453791686","1719428","55329407","185902931","104","0","24800000","148685068","17108413548","746177","128157913","327","25001","3142842","87351","384331","29174","11272535","370941","-48192","55878043","42191","12038784","163493","5426275","2672425","455671","71","151266","196","5326","3245","47","14","1027","2.58315054434243","2143.7819043575796"
"3","Guns N' Roses","United States","Rock","Universal Music Group","87","76","338799","36961128","181471064","13050581835","1107272","36270098","153852283","156","100000","13300000","59346731","9241676266","243682","41860832","349","38104","1843543","25238","189528","33830","8927306","698442","-31465","28896060","22975","8490587","1746","159529","301601","246587","60","177814","118","6781","N/A","N/A","N/A","N/A","N/A","N/A"
"4","AC/DC","Australia","Rock","N/A","92","69","281221","33693886","225723677","16387858131","580618","37397693","189257026","163","0","11600000","64754790","9201472389","304933","49972274","642","73090","1625542","601583","2018988","92053","6316705","728168","-12108","28348300","24960","9818816","2676","187017","325687","271046","40","194691","112","5683","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Red Hot Chili Peppers","United States","Rock","Warner Music Group, Big Indie Labels","110","53","246856","24306173","335562760","20920285403","2377538","47759340","204811414","528","30000","8550000","49325227","7759466618","187215","37334041","891","27605","956467","108506","211435","40371","6488581","175076","-29504","25751583","22500","7588621","2795","225837","1115070","208865","63","166198","118","6449","162894","2","1","38","0.026402046160550953","252.72907641901784"
"6","Gorillaz","United Kingdom","Rock","Warner Music Group, Sony Music Entertainment","116","128","244049","15766537","278279515","13362370569","-42387","42059357","153556256","264","100000","13200000","71010304","6174213240","712634","73160293","342","168348","5733617","967972","5436297","190389","7471128","930004","12213","10255220","21675","2945034","3650","500155","1136497","218372","505","48024","116","3730","255","58","14","3675","3.4312139219817372","32715.693079476787"
"7","Twenty One Pilots","United States","Pop","Warner Music Group, Big Indie Labels","138","104","115426","26331362","275520368","21656741874","-1554254","39033795","149129289","280","0","14200000","55459259","13210301013","279686","122304114","758","34921","1925792","154592","3813743","-5633","9097269","59481","-11190","5790122","10572","4954133","2121","405284","1119821","216065","244","70940","116","3813","158186","4","1","121","0.052804092321101906","341.55839248680826"
"8","Nirvana","United States","Rock","Universal Music Group","143","91","295860","24974149","215481427","14778619209","1024676","38047066","147402416","204","100000","10800000","50960216","6420998638","305377","49578231","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-31146","25176038","23804","9959769","5375","454375","1487686","265001","N/A","N/A","N/A","N/A","166087","1","0","0","0.013201023080275476","0.2640204616055095"
"9","Radiohead","United Kingdom","Rock","Big Indie Labels","144","94","317718","15659445","339749264","15852294382","-527085","43750998","156056492","650","50000","5130000","43785678","3439968797","256874","25734734","792","44976","1857584","371530","1071256","49666","4626418","108799","-12325","11068189","18224","4011321","5098","1911898","496128","547651","364","55580","148","4185","19008","295","2","15","23.816043892406736","294.66512795999074"
"10","Green Day","United States","Punk","Warner Music Group","145","109","201593","18285089","213747247","14761465072","575573","39194966","187990001","783","30000","7580000","30717442","4467007870","175299","38434185","300","18586","2531132","40267","185041","11298","7608223","171118","-35638","28523437","14611","5169063","2799","1732651","1355819","161567","94","140935","114","5786","N/A","N/A","N/A","N/A","N/A","N/A"
"11","Oasis","United Kingdom","Rock","Big Indie Labels, Sony Music Entertainment","206","178","168992","13294180","165201188","10390023510","2873037","30627042","131495061","492","30000","4440000","36243436","3717300753","179156","21731593","661","42581","1557420","233845","3609746","18088","4873404","260858","-7520","8494294","12566","4633463","2041","129335","852102","230452","179","90499","122","5888","73055","N/A","N/A","N/A","N/A","N/A"
"12","Chappell Roan","United States","Pop","Universal Music Group","217","155","119884","8069075","183657272","7884992581","-1941342","33155580","204280951","1205","20000","2390000","16665681","744404355","132302","19141274","309","-1770","5169914","475227","2316680","-28278","7796762","1271135","-59","662089","8165","277901","982","64066","399927","241321","99","87370","155","3379","135418","2","0","0","0.2585109017185985","5.1702180343719695"
"13","Maná","Mexico","Rock","Warner Music Group, Universal Music Group","236","257","205418","14497717","192074068","9605489544","394716","26322290","98508065","387","10000","6730000","69323813","8336323001","142643","24354447","1192","8428","675224","54321","282629","28150","2682410","95416","-12046","17701666","3389","1762492","347","34973","118265","105567","286","67398","67","2565","N/A","N/A","N/A","N/A","N/A","N/A"
"14","The Neighbourhood","United States","Rock","Warner Music Group, Big Indie Labels, Sony Music Entertainment","251","70","286381","22997299","316789066","18474192953","1368099","46918299","182757376","735","20000","5820000","20305650","2796947532","159410","36684336","2335","100804","313391","289568","454909","104041","3947792","384185","-2766","1845457","13621","1604562","3341","1218098","1341772","191440","2222","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"15","Evanescence","United States","Rock","Big Indie Labels, Sony Music Entertainment","302","351","139155","6936700","108431868","5222466735","-404085","24884927","86162346","388","20000","7960000","33515819","5277456433","207891","37930160","1051","22430","1354524","93612","160215","16190","2560231","70661","-22695","19317882","8686","3735157","1065","162906","314680","178085","476","48077","107","3760","N/A","N/A","N/A","N/A","N/A","N/A"
"16","Fall Out Boy","United States","Rock","Warner Music Group, Universal Music Group","308","190","67039","11717075","135275384","13902137096","540059","25205044","164897659","470","0","6150000","18121000","4422023834","107601","38275636","2360","2032","607253","9417","72475","-37","3447226","43540","-10195","8271117","6266","2585471","2224","4695850","246358","128147","703","33954","101","2092","89914","17","11","338","2.1113187777103146","673.0370934019695"
"17","U2","Ireland","Rock","Universal Music Group, Warner Music Group","341","268","76112","13994060","108160500","10534305583","-358828","22277435","213623462","472","10000","3320000","22663955","3280362777","141693","16954451","1814","969","287422","17312","38423","6890","3685998","27844","-16147","16050143","17504","7244889","641","89850","173287","157762","19","278085","197","9037","73625","30","2","79","4.038035164776937","81.50554363573276"
"18","Paramore","United States","Rock","Warner Music Group","348","182","105549","10299775","188635124","10892692592","309932","33131935","111215901","1257","10000","3780000","20047418","3720832599","100576","27236837","1639","3702","1005336","9314","75364","3122","3883751","6340","-31932","22909645","6211","3118650","6922","198581","890947","77635","934","25658","92","2183","N/A","N/A","N/A","N/A","N/A","N/A"
