"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"1","Imagine Dragons","United States","Rock","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels","30","16","53980","59523546","73546171","39252272120","312726","54377775","273869446","38","0","33200000","26006520","24571559032","96476","188124764","976","774","4041176","25774","0","58583","10135720","98850","-5293","14570000","7743","9385815","204","5552168","104422","50410","37","46018","168","4937","99114","28","5","201","1.478429565545832","559.7098376675602"
"2","Linkin Park","United States","Rock","Warner Music Group","37","34","87170","33977719","133643800","31453791686","36212","55329407","185902931","104","0","24800000","32731779","17108413548","159156","128157913","327","3395","3142842","18281","0","9977","11272535","48455","-11888","55878043","9047","12038784","1508","5426275","855923","40234","71","34334","191","3703","3245","47","14","1027","2.58315054434243","2143.7819043575796"
"3","Guns N' Roses","United States","Rock","Universal Music Group","87","76","72450","36961128","41817032","13050581835","252844","36270098","153852283","156","100000","13300000","14221072","9241676266","58731","41860832","349","3823","1843543","11051","0","26922","8927306","402527","-7498","28896060","5434","8490587","395","159529","69696","630","60","40038","106","4799","N/A","N/A","N/A","N/A","N/A","N/A"
"4","AC/DC","Australia","Rock","N/A","92","69","58208","33693886","50491842","16387858131","124130","37397693","189257026","163","0","11600000","14675708","9201472389","68283","49972274","642","21808","1625542","247756","0","26992","6316705","197648","237","28348300","5824","9818816","574","187017","71456","1053","40","44165","94","3980","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Red Hot Chili Peppers","United States","Rock","Warner Music Group, Big Indie Labels","110","53","49238","24306173","78344515","20920285403","846159","47759340","204811414","528","0","8550000","11479924","7759466618","42641","37334041","891","11026","956467","71536","0","8118","6488581","25080","-6185","25751583","4954","7588621","590","225837","241387","240","63","37805","107","4753","162894","2","1","38","0.026402046160550953","252.72907641901784"
"6","Gorillaz","United Kingdom","Rock","Warner Music Group, Sony Music Entertainment","116","128","47703","15766537","57816145","13362370569","-840547","42059357","153556256","264","0","13200000","13962739","6174213240","113954","73160293","342","21078","5733617","450281","0","57334","7471128","285543","5674","10255220","3883","2945034","681","500155","218780","4733","505","11011","99","2339","255","58","14","3675","3.4312139219817372","32715.693079476787"
"7","Twenty One Pilots","United States","Pop","Warner Music Group, Big Indie Labels","138","104","24748","26331362","62627388","21656741874","-759701","39033795","149129289","280","0","14200000","11559034","13210301013","57899","122304114","758","3401","1925792","95165","0","298","9097269","18780","-2859","5790122","2307","4954133","409","405284","236275","17246","244","17850","100","2656","158186","4","1","121","0.052804092321101906","341.55839248680826"
"8","Nirvana","United States","Rock","Universal Music Group","143","91","63925","24974149","48743007","14778619209","199488","38047066","147402416","204","100000","10800000","11625653","6420998638","71266","49578231","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-7200","25176038","5180","9959769","1208","454375","324919","8048","N/A","N/A","N/A","N/A","166087","1","0","0","0.013201023080275476","0.2640204616055095"
"9","Radiohead","United Kingdom","Rock","Big Indie Labels","144","94","70469","15659445","76400100","15852294382","-65890","43750998","156056492","650","10000","5130000","9522818","3439968797","58088","25734734","792","6075","1857584","81703","0","6724","4626418","70585","-3373","11068189","3896","4011321","1050","1911898","104215","22956","364","12366","90","2661","19008","295","2","15","23.816043892406736","294.66512795999074"
"10","Green Day","United States","Punk","Warner Music Group","145","109","42098","18285089","49766112","14761465072","360064","39194966","187990001","783","10000","7580000","7018980","4467007870","38433","38434185","300","1981","2531132","14314","0","1215","7608223","3363","-8225","28523437","3117","5169063","635","1732651","295532","980","94","31850","98","4110","N/A","N/A","N/A","N/A","N/A","N/A"
"11","Oasis","United Kingdom","Rock","Big Indie Labels, Sony Music Entertainment","206","178","35061","13294180","38056006","10390023510","518107","30627042","131495061","492","0","4440000","7957925","3717300753","36561","21731593","661","4911","1557420","63954","0","3433","4873404","12725","-2269","8494294","2712","4633463","460","129335","182763","16782","179","20806","106","4198","73055","N/A","N/A","N/A","N/A","N/A"
"12","Chappell Roan","United States","Pop","Universal Music Group","217","155","23044","8069075","38601812","7884992581","-689650","33155580","204280951","1205","0","2390000","3369632","744404355","25948","19141274","309","949","5169914","141123","0","-6984","7796762","35262","-343","662089","1609","277901","221","64066","85885","46611","99","19437","148","2411","135418","2","0","0","0.2585109017185985","5.1702180343719695"
"13","Maná","Mexico","Rock","Warner Music Group, Universal Music Group","236","257","32777","14497717","44798488","9605489544","-98119","26322290","98508065","387","0","6730000","15165490","8336323001","30788","24354447","1192","4902","675224","30787","0","11542","2682410","49846","-2403","17701666","839","1762492","80","34973","25499","2081","286","15271","56","1758","N/A","N/A","N/A","N/A","N/A","N/A"
"14","The Neighbourhood","United States","Rock","Warner Music Group, Big Indie Labels, Sony Music Entertainment","251","70","82337","22997299","83486245","18474192953","668163","46918299","182757376","735","10000","5820000","5230084","2796947532","44362","36684336","2335","54753","313391","169206","0","68509","3947792","155150","-389","1845457","3128","1604562","1019","1218098","326511","305","2222","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
