"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"1","Imagine Dragons","United States","Rock","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels","30","16","59523546","39252272120","54377775","273869446","38","33200000","24571559032","188124764","976","4041176","10135720","14570000","9385815","5552168","37","99114","28","5","201","559.7098376675602"
"2","Linkin Park","United States","Rock","Warner Music Group","37","34","33977719","31453791686","55329407","185902931","104","24800000","17108413548","128157913","327","3142842","11272535","55878043","12038784","5426275","71","3245","47","14","1027","2143.7819043575796"
"3","Guns N' Roses","United States","Rock","Universal Music Group","87","76","36961128","13050581835","36270098","153852283","156","13300000","9241676266","41860832","349","1843543","8927306","28896060","8490587","159529","60","N/A","N/A","N/A","N/A","N/A"
"4","AC/DC","Australia","Rock","N/A","92","69","33693886","16387858131","37397693","189257026","163","11600000","9201472389","49972274","642","1625542","6316705","28348300","9818816","187017","40","N/A","N/A","N/A","N/A","N/A"
"5","Red Hot Chili Peppers","United States","Rock","Warner Music Group, Big Indie Labels","110","53","24306173","20920285403","47759340","204811414","528","8550000","7759466618","37334041","891","956467","6488581","25751583","7588621","225837","63","162894","2","1","38","252.72907641901784"
"6","Gorillaz","United Kingdom","Rock","Warner Music Group, Sony Music Entertainment","116","128","15766537","13362370569","42059357","153556256","264","13200000","6174213240","73160293","342","5733617","7471128","10255220","2945034","500155","505","255","58","14","3675","32715.693079476787"
"7","Twenty One Pilots","United States","Pop","Warner Music Group, Big Indie Labels","138","104","26331362","21656741874","39033795","149129289","280","14200000","13210301013","122304114","758","1925792","9097269","5790122","4954133","405284","244","158186","4","1","121","341.55839248680826"
"8","Nirvana","United States","Rock","Universal Music Group","143","91","24974149","14778619209","38047066","147402416","204","10800000","6420998638","49578231","N/A","N/A","N/A","25176038","9959769","454375","N/A","166087","1","0","0","0.2640204616055095"
"9","Radiohead","United Kingdom","Rock","Big Indie Labels","144","94","15659445","15852294382","43750998","156056492","650","5130000","3439968797","25734734","792","1857584","4626418","11068189","4011321","1911898","364","19008","295","2","15","294.66512795999074"
"10","Green Day","United States","Punk","Warner Music Group","145","109","18285089","14761465072","39194966","187990001","783","7580000","4467007870","38434185","300","2531132","7608223","28523437","5169063","1732651","94","N/A","N/A","N/A","N/A","N/A"
"11","Oasis","United Kingdom","Rock","Big Indie Labels, Sony Music Entertainment","206","178","13294180","10390023510","30627042","131495061","492","4440000","3717300753","21731593","661","1557420","4873404","8494294","4633463","129335","179","73055","N/A","N/A","N/A","N/A"
"12","Chappell Roan","United States","Pop","Universal Music Group","217","155","8069075","7884992581","33155580","204280951","1205","2390000","744404355","19141274","309","5169914","7796762","662089","277901","64066","99","135418","2","0","0","5.1702180343719695"
"13","Maná","Mexico","Rock","Warner Music Group, Universal Music Group","236","257","14497717","9605489544","26322290","98508065","387","6730000","8336323001","24354447","1192","675224","2682410","17701666","1762492","34973","286","N/A","N/A","N/A","N/A","N/A"
"14","The Neighbourhood","United States","Rock","Warner Music Group, Big Indie Labels, Sony Music Entertainment","251","70","22997299","18474192953","46918299","182757376","735","5820000","2796947532","36684336","2335","313391","3947792","1845457","1604562","1218098","2222","N/A","N/A","N/A","N/A","N/A"
"15","Evanescence","United States","Rock","Big Indie Labels, Sony Music Entertainment","302","351","6936700","5222466735","24884927","86162346","388","7960000","5277456433","37930160","1051","1354524","2560231","19317882","3735157","162906","476","N/A","N/A","N/A","N/A","N/A"
"16","Fall Out Boy","United States","Rock","Warner Music Group, Universal Music Group","308","190","11717075","13902137096","25205044","164897659","470","6150000","4422023834","38275636","2360","607253","3447226","8271117","2585471","4695850","703","89914","17","11","338","673.0370934019695"
"17","U2","Ireland","Rock","Universal Music Group, Warner Music Group","341","268","13994060","10534305583","22277435","213623462","472","3320000","3280362777","16954451","1814","287422","3685998","16050143","7244889","89850","19","73625","30","2","79","81.50554363573276"
"18","Paramore","United States","Rock","Warner Music Group","348","182","10299775","10892692592","33131935","111215901","1257","3780000","3720832599","27236837","1639","1005336","3883751","22909645","3118650","198581","934","N/A","N/A","N/A","N/A","N/A"
"19","Foo Fighters","United States","Rock","Sony Music Entertainment, Big Indie Labels","354","266","13477410","10230204766","21955804","168977062","825","4170000","3173842408","19762477","1266","448977","5797484","11940257","4534654","1798592","136","N/A","N/A","N/A","N/A","N/A"
"20","The Cranberries","Ireland","Rock","Universal Music Group","366","282","5912894","5869877869","30805464","129982959","508","4010000","4149256342","20150171","N/A","547204","835505","4465157","1900999","14708","201","N/A","N/A","N/A","N/A","N/A"
"21","Nickelback","Canada","Rock","BMG, Big Indie Labels","386","288","8240396","9608521244","26749443","97084572","942","4060000","5111872344","27860724","1670","1562821","1759232","16038564","3152506","145059","190","N/A","N/A","N/A","N/A","N/A"
"22","The Killers","United States","Rock","Universal Music Group, Big Indie Labels","404","169","8386558","10285228107","33914413","176723658","1171","2630000","2575139009","13384878","2848","216890","1571889","8133387","2210743","104856","273","111936","7","0","0","11.013275942980442"
"23","Måneskin","Italy","Rock","Sony Music Entertainment","408","280","10935836","9556006128","22836341","100546358","513","5680000","3103780738","36775636","3095","7877308","6584747","1492734","973908","72865","447","110418","3","0","0","8.30110676332987"
"24","The Cure","United Kingdom","Rock","Universal Music Group, Warner Music Group","453","374","7152990","6866409871","25057393","141985367","1427","1800000","1402477533","9879287","1424","483265","1657720","6611842","2472358","66910","130","139786","7","1","3","5.011297905837386"
"25","YUNGBLUD","United Kingdom","Rock","Universal Music Group, BMG","457","1072","3541581","4060603168","9992444","62674418","587","3800000","1654878122","38006463","135","8530200","7679049","2584724","418897","139207","1767","104010","10","1","1","23.34751156344809"
"26","Three Days Grace","Canada","Rock","Sony Music Entertainment","497","452","7802888","7588625759","17600569","47039352","763","3960000","3215892889","24371271","2264","878145","1388256","6978953","1446695","107764","1056","N/A","N/A","N/A","N/A","N/A"
"27","Soda Stereo","Argentina","Rock","Sony Music Entertainment","499","652","10445879","6815043218","13635224","31257582","477","2950000","3486503487","14221348","3154","383435","995446","5413590","1762053","14183","375","N/A","N/A","N/A","N/A","N/A"
"28","Pearl Jam","United States","Rock","Universal Music Group, Sony Music Entertainment","501","427","10336842","7468825328","17311131","116650531","1281","2500000","1799544772","10732900","1394","381449","3791572","10077927","3498501","60521","170","N/A","N/A","N/A","N/A","N/A"
"29","Mitski","Japan","Rock","Big Indie Labels, Sony Music Entertainment","506","272","11603490","10524461208","21309586","129607423","1295","2840000","817709194","15533783","1716","2244087","2529345","337428","490415","233884","4441","119336","2","0","0","1.8719536157037746"
"30","My Chemical Romance","United States","Rock","Warner Music Group, BMG","521","327","10863285","9711085476","19065407","81350670","1218","5310000","2689498461","24130815","1516","N/A","2550742","N/A","1808689","526820","1788","166087","1","1","31","119.33396788692556"
"31","Panic! At The Disco","United States","Rock","Warner Music Group","534","264","12976034","14039399763","23936187","157188008","1163","5200000","4752852156","47717294","1944","1490094","4208513","6737868","1681759","433708","611","118532","44","0","0","12.152291181513307"
"32","Muse","United Kingdom","Rock","Warner Music Group, Sony Music Entertainment, Universal Music Group","544","420","8748212","8823549520","20580482","116903227","1605","4110000","3061712228","20366820","2078","541474","2617628","14391982","4987532","671380","390","N/A","N/A","N/A","N/A","N/A"
"33","Zoé","Mexico","Rock","Sony Music Entertainment, Universal Music Group","548","690","8326311","4666743689","10589087","30611964","469","3570000","4045455462","15009931","2133","327227","1131112","4185335","1118772","N/A","4327","N/A","N/A","N/A","N/A","N/A"
"34","Weezer","United States","Rock","Warner Music Group, Universal Music Group, Sony Music Entertainment, Big Indie Labels","558","483","5164236","5794095843","22381549","162183455","1508","1720000","1127801273","10640298","1297","1809582","1362018","3243220","711593","78446","489","102627","2","0","0","6.005516073381809"
"35","Depeche Mode","United Kingdom","Rock","Sony Music Entertainment, Warner Music Group","572","593","7736035","5525253041","15729820","119076947","578","3170000","3538083906","18664217","2184","134646","1683938","6990701","3223393","130578","62","1659","492","23","1758","6620.516787389405"
"36","3 Doors Down","United States","Rock","Universal Music Group","594","592","5198916","4170913408","17471585","87999342","818","2440000","2669468817","13147721","2435","465388","577033","5883701","1253981","48717","425","91842","N/A","N/A","N/A","N/A"
"37","Kings of Leon","United States","Rock","Warner Music Group","604","352","5946479","8364814731","25677751","162064146","1490","1990000","2252252229","10196710","4672","155842","865961","9881374","2377573","658864","384","N/A","N/A","N/A","N/A","N/A"
"38","Disturbed","United States","Rock","Warner Music Group, Universal Music Group, Big Indie Labels","609","491","7921496","7168973633","17512143","67989295","1079","5070000","3676519528","27052590","2473","2113211","2635484","12112573","1482856","122196","429","N/A","N/A","N/A","N/A","N/A"
