"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 12m","Spotify Followers Total","Spotify Streams 12m","Spotify Streams Total","Spotify Monthly Listeners 12m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 12m","YouTube Subscribers Total","YouTube Views 12m","YouTube Views Total","YouTube Likes 12m","YouTube Likes Total","Social Rank","TikTok Followers 12m","TikTok Followers Total","TikTok Likes 12m","TikTok Views 12m","Instagram Followers 12m","Instagram Followers Total","Instagram Likes 12m","Facebook Followers 12m","Facebook Followers Total","Deezer Fans 12m","Deezer Fans Total","SoundCloud Followers 12m","SoundCloud Followers Total","SoundCloud Plays 12m","Shazam Shazams 12m","Radio Airplay Rank","Radio Airplay Spins 12m","Radio Airplay Countries with Spins 12m","Radio Airplay Stations with Spins 12m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 12m","Beatport Track Performance Points Total"
"1","Creedence Clearwater Revival","United States","Rock","Big Indie Labels, Universal Music Group","383","172","848884","8346276","1526641033","10888734498","7118290","33335480","140624575","748","290000","2470000","393893400","2087334346","1904924","12718381","8547","104684","166382","746512","1053602","36967","276545","331438","41624","4263906","109324","1563045","4694","34201","3358722","177234","140","1288911","131","7630","6272","27","2","62","308.79242937871425","325.53390935997913"
"2","Bruce Springsteen","United States","Rock","Sony Music Entertainment, Universal Music Group, Warner Music Group, Big Indie Labels","435","358","741583","7690247","1261372344","8497662670","1990798","21700129","170661891","687","300000","2540000","261568834","2593241902","1557289","12195758","1315","16343","53623","50656","0","461879","2311941","5293499","122786","6126372","128911","1777379","5114","156149","1674438","170924","45","2289231","204","11112","114139","2","0","0","1.3487065328591716","2.7655766950599676"
"3","Eagles","United States","Rock","Warner Music Group, Big Indie Labels","459","251","1052592","12640910","1193119430","7741689385","4280178","25154871","157269892","1040","430000","2380000","496524817","1459520868","2151436","6513804","8732","567","3110","152","11665","28795","206212","159857","-76306","6106843","116692","1357216","5911","35872","1738716","92977","64","1985585","148","10516","N/A","N/A","N/A","N/A","N/A","N/A"
"4","The Script","Ireland","Rock","BMG, Sony Music Entertainment","650","233","470057","9039376","1281480971","8337986140","7812411","31398098","112857981","1562","N/A","N/A","N/A","N/A","N/A","N/A","2568","98019","688877","1743117","6366430","72390","975523","1603159","41463","5903128","20011","2108002","2725","58884","1189808","52550","635","464960","131","4809","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Mumford & Sons","United Kingdom","Rock","Universal Music Group","729","661","218677","6786182","960085025","7535191783","3376823","16653833","63344398","1948","70000","1530000","56957196","1402076765","355687","7034141","1107","215727","407702","4424476","30625757","241571","1323576","4120862","-25909","4444016","40973","1048626","4479","29370","2235954","57735","671","439036","106","3581","140043","2","0","0","0.32944140409595885","0.709927516976788"
"6","Bob Dylan","United States","Rock","Sony Music Entertainment, Big Indie Labels","882","606","568408","7612087","894149182","5889780158","1258379","16595452","98045881","2045","140000","1660000","107467499","962062814","732526","7026508","5108","922","158477","7386","0","112432","1277776","276612","-82191","6916053","119870","2085767","6111","142867","1040953","126545","256","860773","197","7375","45077","N/A","N/A","N/A","N/A","N/A"
"7","Passenger","United Kingdom","Rock","Big Indie Labels","949","769","256739","3865067","466418155","5245746403","-1898921","11402052","83837647","865","250000","7890000","313272935","5169716818","1357049","28686937","7327","9562","610130","306066","1846595","-1743","498647","137015","-84769","3614624","14598","1352755","1071","184903","455344","41039","822","374717","169","5367","N/A","N/A","N/A","N/A","N/A","N/A"
"8","The Lumineers","United States","Rock","Big Indie Labels, Universal Music Group, Sony Music Entertainment, Warner Music Group","981","381","345140","6067861","1164975610","9430129186","-2103238","18526235","103675599","2149","60000","2480000","95760281","1848623655","439233","13318200","3833","102214","656411","1992854","5662147","110350","1550700","2780446","-8878","1992651","42397","914218","-16","21994","1566","76381","1001","320203","107","4140","N/A","N/A","N/A","N/A","N/A","N/A"
"9","George Harrison","United Kingdom","Rock","BMG","1092","1342","292039","3205181","437500304","2857483478","-461623","9499712","68016886","1691","140000","1210000","131246981","905500129","706514","6421296","N/A","80554","231637","601806","31800341","124708","1344773","209166","13463","3445201","35364","658759","-737","803404","387","94431","434","613081","131","7655","N/A","N/A","N/A","N/A","N/A","N/A"
"10","Jack Johnson","United States","Rock","Universal Music Group, Sony Music Entertainment","1131","660","182079","4164563","915569719","8676745925","1928118","14148818","101535937","4032","56000","937000","28609291","834865926","201845","3812567","2001","36929","103953","105252","5218329","248149","1369397","1534997","-44822","5179836","28737","1159739","1191","2009107","936986","51761","1060","305927","105","4048","N/A","N/A","N/A","N/A","N/A","N/A"
