"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"Let Her Go","2012-08-28","N/A","Rock","N/A","N/A","Passenger","N/A","N/A","N/A","N/A","170","N/A","N/A","N/A","N/A","501842332.4549999","N/A","N/A","N/A","252419615","2784334911","N/A","N/A","N/A","283196960","4659283518","N/A","N/A","N/A","246854","N/A","N/A","N/A","N/A","34155","51499","N/A","N/A","N/A","N/A","N/A"
"Have You Ever Seen The Rain","1970-12-07","N/A","Rock","N/A","N/A","Creedence Clearwater Revival","N/A","N/A","N/A","N/A","198","N/A","N/A","N/A","N/A","474968245.975","N/A","N/A","N/A","382625408","2361359434","N/A","N/A","N/A","135641324","1016832428","N/A","N/A","N/A","233431","N/A","N/A","N/A","N/A","758740","1686584","N/A","N/A","N/A","N/A","N/A"
"Hotel California - 2013 Remaster","1976-12-08","N/A","Rock","N/A","N/A","Eagles","N/A","N/A","N/A","N/A","236","N/A","N/A","N/A","N/A","444505789.685","N/A","N/A","N/A","303044793","2164816322","N/A","N/A","N/A","141342365","803592336","N/A","N/A","N/A","486070","N/A","N/A","N/A","N/A","533803","5805554","N/A","N/A","N/A","6639","12779870"
"American Pie","1971-01-01","N/A","Rock","N/A","N/A","Don McLean","N/A","N/A","N/A","N/A","591","N/A","N/A","N/A","N/A","305979828.765","N/A","N/A","N/A","149368234","986455469","N/A","N/A","N/A","33435140","215842096","N/A","N/A","N/A","166288","N/A","N/A","N/A","N/A","318629","1427194","N/A","N/A","N/A","N/A","N/A"
"Fortunate Son","1969-11-02","N/A","Rock","N/A","N/A","Creedence Clearwater Revival","N/A","N/A","N/A","N/A","931","N/A","N/A","N/A","N/A","248022792.335","N/A","N/A","N/A","219450224","1876060384","N/A","N/A","N/A","62401170","405422093","N/A","N/A","N/A","105861","N/A","N/A","N/A","N/A","682226","2686702","N/A","N/A","N/A","27575","8879167"
"Ho Hey","2012-01-01","N/A","Rock","N/A","N/A","The Lumineers","N/A","N/A","N/A","N/A","1018","N/A","N/A","N/A","N/A","235009761.08999997","N/A","N/A","N/A","203440803","1690368316","N/A","N/A","N/A","32729422","503462580","N/A","N/A","N/A","179403","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","6204","18548934"
"Knockin' On Heaven's Door","1973-07-13","N/A","Rock","N/A","N/A","Bob Dylan","N/A","N/A","N/A","N/A","1025","N/A","N/A","N/A","N/A","233549434.95499998","N/A","N/A","N/A","250339806","869498968","N/A","N/A","N/A","14860100","80883717","N/A","N/A","N/A","101555","N/A","N/A","N/A","N/A","283566","523122","N/A","N/A","N/A","0","3530532"
"A Horse with No Name","1972-01-01","N/A","Rock","N/A","N/A","America, George Martin","N/A","N/A","N/A","N/A","1136","N/A","N/A","N/A","N/A","220728274.085","N/A","N/A","N/A","4122821","16560883","N/A","N/A","N/A","32855012","164264407","N/A","N/A","N/A","197446","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","7006526"
"For What It's Worth","1966-12-05","N/A","Rock","N/A","N/A","Buffalo Springfield","N/A","N/A","N/A","N/A","1226","N/A","N/A","N/A","N/A","213442040.21","N/A","N/A","N/A","121563647","867228902","N/A","N/A","N/A","4246467","27109031","N/A","N/A","N/A","87122","N/A","N/A","N/A","N/A","3786","4921","N/A","N/A","N/A","0","5136138"
"Hotel California - Live On MTV, 1994","1994-11-08","N/A","Rock","N/A","N/A","Eagles","N/A","N/A","N/A","N/A","1377","N/A","N/A","N/A","N/A","199366289.16999996","N/A","N/A","N/A","31036584","133631656","N/A","N/A","N/A","210581508","823127393","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11758","79320","N/A","N/A","N/A","N/A","N/A"
"Bad Moon Rising","1969-08-03","N/A","Rock","N/A","N/A","Creedence Clearwater Revival","N/A","N/A","N/A","N/A","1941","N/A","N/A","N/A","N/A","162004315.76500002","N/A","N/A","N/A","128010265","1180819524","N/A","N/A","N/A","19591980","192751520","N/A","N/A","N/A","159572","N/A","N/A","N/A","N/A","10619","340239","N/A","N/A","N/A","10313","3075140"
"Runtuh","2021-10-01","N/A","Pop","N/A","N/A","Feby Putri, Fiersa Besari","N/A","N/A","N/A","N/A","1979","N/A","N/A","N/A","N/A","160154009.51","N/A","N/A","N/A","170929741","747449684","N/A","N/A","N/A","38947220","214554058","N/A","N/A","N/A","5405","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","148080"
