"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1m","Spotify Followers Total","Spotify Streams 1m","Spotify Streams Total","Spotify Monthly Listeners 1m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1m","YouTube Subscribers Total","YouTube Views 1m","YouTube Views Total","YouTube Likes 1m","YouTube Likes Total","Social Rank","TikTok Followers 1m","TikTok Followers Total","TikTok Likes 1m","TikTok Views 1m","Instagram Followers 1m","Instagram Followers Total","Instagram Likes 1m","Facebook Followers 1m","Facebook Followers Total","Deezer Fans 1m","Deezer Fans Total","SoundCloud Followers 1m","SoundCloud Followers Total","SoundCloud Plays 1m","Shazam Shazams 1m","Radio Airplay Rank","Radio Airplay Spins 1m","Radio Airplay Countries with Spins 1m","Radio Airplay Stations with Spins 1m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1m","Beatport Track Performance Points Total"
"1","Queen","United Kingdom","Rock","Universal Music Group","73","35","357443","56888384","267973458","27830235360","953669","51990770","293061182","275","0","18900000","56399730","11611848184","349972","89906232","866","18822","3980219","260843","1168371","5170","6429010","256677","-28270","26128655","28238","12660620","2048","270670","464262","188944","9","367109","144","9749","N/A","N/A","N/A","N/A","N/A","N/A"
"2","Guns N' Roses","United States","Rock","Universal Music Group","87","76","338799","36961128","181471064","13050581835","1107272","36270098","153852283","156","100000","13300000","59346731","9241676266","243682","41860832","349","38104","1843543","25238","189528","33830","8927306","698442","-31465","28896060","22975","8490587","1746","159529","301601","246587","60","177814","118","6781","N/A","N/A","N/A","N/A","N/A","N/A"
"3","AC/DC","Australia","Rock","N/A","92","69","281221","33693886","225723677","16387858131","580618","37397693","189257026","163","0","11600000","64754790","9201472389","304933","49972274","642","73090","1625542","601583","2018988","92053","6316705","728168","-12108","28348300","24960","9818816","2676","187017","325687","271046","40","194691","112","5683","N/A","N/A","N/A","N/A","N/A","N/A"
"4","The Beatles","United Kingdom","Rock","Universal Music Group","103","125","208527","31693816","312408809","27623110105","1086724","35675326","167504797","337","40000","9450000","37619548","4250484512","315123","34091013","N/A","73327","2307607","784392","3242778","205559","5667875","759105","-7686","36985792","23144","8011709","935","344953","5640","327808","8","375703","132","7388","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Elton John","United Kingdom","Pop","Universal Music Group, Warner Music Group, Big Indie Labels, Sony Music Entertainment","151","64","150735","16290718","202899863","18861369459","3019127","49433012","452963676","217","20000","5200000","37578554","4779415877","158563","29630286","212","-1298","3382300","-168435","107404","17340","5853144","238697","2899","8085857","11525","2935722","548","60845","271972","377480","12","336131","206","10412","485","203","6","2554","67.61928882419637","21705.37389698313"
"6","Fleetwood Mac","United States","Rock","Warner Music Group","205","73","184193","14948920","328234570","16190382745","1993401","52086586","141898868","1423","20000","2180000","21948021","1765995930","122787","10891997","8456","N/A","N/A","N/A","N/A","-233","200098","2894","-4139","5035537","9757","1617055","1205","75709","658951","346409","41","200156","129","7248","123327","35","0","0","0.4847232062233171","9.694464124466343"
"7","Aerosmith","United States","Rock","Universal Music Group, Sony Music Entertainment, Big Indie Labels","266","225","125398","16706345","91662597","7574071190","-1143021","24980905","167062423","451","10000","4320000","32396311","4513182824","150380","23297391","305","7523","365878","68464","419811","16007","3482478","64908","-17492","16267708","11607","5279891","384","997891","126668","225505","38","206811","128","7448","158186","4","0","0","0.052804092321101906","1.056081846422038"
"8","The Rolling Stones","United Kingdom","Blues","Universal Music Group","334","192","106482","16256103","125979502","12291087959","705406","27447453","193874371","1021","10000","3600000","26588110","3631410246","135337","23552784","1472","1859","711651","12924","252438","22829","4228104","121398","-3941","18921711","18710","7012953","607","61699","245602","156741","22","255439","123","7710","N/A","N/A","N/A","N/A","N/A","N/A"
"9","Dire Straits","United Kingdom","Rock","Universal Music Group","344","309","94121","9351268","135219939","7482184104","1125070","26015432","96317316","594","20000","2730000","34550393","2609272538","168742","13752558","N/A","1545","305832","24442","212505","17013","299324","15799","-1735","3415630","12109","2225253","N/A","N/A","N/A","137147","78","152876","124","7547","N/A","N/A","N/A","N/A","N/A","N/A"
"10","Foo Fighters","United States","Rock","Sony Music Entertainment, Big Indie Labels","354","266","103998","13477410","103407412","10230204766","667386","21955804","168977062","825","10000","4170000","16561101","3173842408","95909","19762477","1266","6994","448977","69276","74591","13831","5797484","139348","-11956","11940257","12016","4534654","2451","1798592","737329","118050","136","108403","100","3860","N/A","N/A","N/A","N/A","N/A","N/A"
