"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"Bohemian Rhapsody - Remastered 2011","1975-11-21","N/A","Rock","N/A","N/A","Queen","N/A","N/A","N/A","N/A","69","N/A","N/A","N/A","N/A","678808212.435","N/A","N/A","N/A","277376135","3113493040","N/A","N/A","N/A","134463103","2283908016","N/A","N/A","N/A","319646","N/A","N/A","N/A","N/A","564616","2337608","N/A","N/A","N/A","N/A","N/A"
"Don't Stop Me Now - Remastered 2011","1978-11-10","N/A","Rock","N/A","N/A","Queen","N/A","N/A","N/A","N/A","101","N/A","N/A","N/A","N/A","589599649.5499998","N/A","N/A","N/A","316653057","2618771228","N/A","N/A","N/A","62902645","1051838163","N/A","N/A","N/A","184562","N/A","N/A","N/A","N/A","483036","9400060","N/A","N/A","N/A","N/A","N/A"
"Sweet Child O' Mine","1987-07-21","N/A","Rock","N/A","N/A","Guns N' Roses","N/A","N/A","N/A","N/A","107","N/A","N/A","N/A","N/A","584370999.515","N/A","N/A","N/A","426752110","2656052342","N/A","N/A","N/A","177282271","2288222534","N/A","N/A","N/A","356068","N/A","N/A","N/A","N/A","516302","2633306","N/A","N/A","N/A","N/A","N/A"
"Another One Bites The Dust - Remastered 2011","1980-06-26","N/A","Rock","N/A","N/A","Queen","N/A","N/A","N/A","N/A","121","N/A","N/A","N/A","N/A","559017649.685","N/A","N/A","N/A","255086448","2402176775","N/A","N/A","N/A","55405739","842215468","N/A","N/A","N/A","407488","N/A","N/A","N/A","N/A","576036","9229979","N/A","N/A","N/A","N/A","N/A"
"Don't Stop Believin'","1981-01-01","N/A","Rock","N/A","N/A","Journey","N/A","N/A","N/A","N/A","131","N/A","N/A","N/A","N/A","546355159.3199999","N/A","N/A","N/A","4705","119387","N/A","N/A","N/A","138858240","1028897655","N/A","N/A","N/A","432362","N/A","N/A","N/A","N/A","350745","3045163","N/A","N/A","N/A","N/A","N/A"
"Thunderstruck","1990-09-24","N/A","Rock","N/A","N/A","AC/DC","N/A","N/A","N/A","N/A","146","N/A","N/A","N/A","N/A","525305002.4899999","N/A","N/A","N/A","370977520","2188173138","N/A","N/A","N/A","205321193","2255692356","N/A","N/A","N/A","226939","N/A","N/A","N/A","N/A","545606","2799532","N/A","N/A","N/A","30629","6210305"
"I Was Made For Lovin' You","1979-03-23","N/A","Rock","N/A","N/A","KISS","N/A","N/A","N/A","N/A","200","N/A","N/A","N/A","N/A","471765204.47","N/A","N/A","N/A","298340172","1529257952","N/A","N/A","N/A","192561444","1167775511","N/A","N/A","N/A","252527","N/A","N/A","N/A","N/A","315398","1040827","N/A","N/A","N/A","N/A","N/A"
"Highway to Hell","1979-07-27","N/A","Rock","N/A","N/A","AC/DC","N/A","N/A","N/A","N/A","300","N/A","N/A","N/A","N/A","402474787.885","N/A","N/A","N/A","336712666","2258000597","N/A","N/A","N/A","78540687","607241392","N/A","N/A","N/A","257999","N/A","N/A","N/A","N/A","407107","1894619","N/A","N/A","N/A","17549","6990734"
"Back In Black","1980-07-24","N/A","Rock","N/A","N/A","AC/DC","N/A","N/A","N/A","N/A","385","N/A","N/A","N/A","N/A","364213309.46000004","N/A","N/A","N/A","289364524","2128520458","N/A","N/A","N/A","91726755","1295382759","N/A","N/A","N/A","223789","N/A","N/A","N/A","N/A","409733","4453081","N/A","N/A","N/A","15759","7808386"
"November Rain","1991-09-17","N/A","Rock","N/A","N/A","Guns N' Roses","N/A","N/A","N/A","N/A","400","N/A","N/A","N/A","N/A","360703266.34499997","N/A","N/A","N/A","211791791","1299534705","N/A","N/A","N/A","157110805","2464002676","N/A","N/A","N/A","218428","N/A","N/A","N/A","N/A","185376","824665","N/A","N/A","N/A","16291","5435224"
