"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1m","Spotify Followers Total","Spotify Streams 1m","Spotify Streams Total","Spotify Monthly Listeners 1m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1m","YouTube Subscribers Total","YouTube Views 1m","YouTube Views Total","YouTube Likes 1m","YouTube Likes Total","Social Rank","TikTok Followers 1m","TikTok Followers Total","TikTok Likes 1m","TikTok Views 1m","Instagram Followers 1m","Instagram Followers Total","Instagram Likes 1m","Facebook Followers 1m","Facebook Followers Total","Deezer Fans 1m","Deezer Fans Total","SoundCloud Followers 1m","SoundCloud Followers Total","SoundCloud Plays 1m","Shazam Shazams 1m","Radio Airplay Rank","Radio Airplay Spins 1m","Radio Airplay Countries with Spins 1m","Radio Airplay Stations with Spins 1m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1m","Beatport Track Performance Points Total"
"1","Arctic Monkeys","United Kingdom","Rock","Other Indie / Unsigned","147","38","376239","33936439","356419968","27024444048","210496","54843284","192023717","648","30000","9370000","25058069","5264516997","126271","39240897","2020","14543","941743","576769","293311","84758","7721700","245826","-9868","7495877","19394","4875746","34894","1095374","177091","288970","565","47234","94","2360","55808","134","0","0","8.816004672785237","126.28179513698544"
"2","The Neighbourhood","United States","Rock","Warner Music Group, Big Indie Labels, Sony Music Entertainment","251","70","286381","22997299","316789066","18474192953","1368099","46918299","182757376","735","20000","5820000","20305650","2796947532","159410","36684336","2335","100804","313391","289568","454909","104041","3947792","384185","-2766","1845457","13621","1604562","3341","1218098","1341772","191440","2222","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"3","Hindia","Indonesia","Pop","Universal Music Group","297","239","1076940","15788680","166374094","4444772099","308284","15644215","13833430","1432","20000","1050000","35632551","1142436132","75767","4328354","1136","66862","906451","1229041","4231999","45864","1779259","817824","880","15317","466","14023","387","1308","47975","9441","8204","2795","4","90","N/A","N/A","N/A","N/A","N/A","N/A"
"4","Måneskin","Italy","Rock","Sony Music Entertainment","408","280","59725","10935836","115648068","9556006128","581660","22836341","100546358","513","10000","5680000","30008368","3103780738","181883","36775636","3095","-11089","7877308","52354","347509","-23134","6584747","8352","-2061","1492734","6533","973908","940","72865","161072","188679","447","47950","101","2633","110418","3","0","0","0.9487776864937457","8.30110676332987"
"5","Anuv Jain","India","Pop","Universal Music Group","424","386","472558","10449293","83325065","2805010023","-333620","17896635","20426681","1076","20000","3650000","28800894","1234215976","162381","15418567","431","-70","23413","885","15731","74835","3400211","1535821","8737","206523","98","3690","271","42840","13094","31442","33180","382","15","22","N/A","N/A","N/A","N/A","N/A","N/A"
"6","YUNGBLUD","United Kingdom","Rock","Universal Music Group, BMG","457","1072","42634","3541581","57613808","4060603168","-982360","9992444","62674418","587","20000","3800000","18185066","1654878122","224332","38006463","135","47424","8530200","572159","2167176","38068","7679049","447664","19196","2584724","2899","418897","858","139207","281674","66878","1767","20343","75","1266","104010","10","1","1","1.173513651781752","23.34751156344809"
"7","Beabadoobee","United Kingdom","Rock","Universal Music Group","557","333","136596","7223123","157796602","7105854209","2149980","25357600","139159294","1210","30000","1970000","17751719","1454294849","224139","23436525","1763","25816","5649683","319171","12928867","84695","4516695","1536391","2717","818810","5730","185322","4869","185092","939588","52757","5242","5521","61","569","131264","3","1","59","0.33123787692114565","6.856550292257313"
"8","Kings of Leon","United States","Rock","Warner Music Group","604","352","40415","5946479","121015369","8364814731","1317951","25677751","162064146","1490","0","1990000","9316815","2252252229","36108","10196710","4672","1352","155842","1262","13648","729","865961","2206","-10221","9881374","3552","2377573","389","658864","215315","167374","384","57216","103","3751","N/A","N/A","N/A","N/A","N/A","N/A"
"9","The 1975","United Kingdom","Rock","Warner Music Group","664","402","74380","8305174","110833599","10021290619","109010","18670312","99563104","1121","10000","3600000","16015172","1801936791","64367","18991835","5375","2168","963826","27628","215591","6556","3722433","0","-4581","2583789","1607","599739","808","1050105","116813","37659","1794","15966","92","1565","56706","3","0","0","8.202025068868394","8.8988839748785"
"10","Glass Animals","United Kingdom","Pop","Universal Music Group","748","390","28328","4703306","82017318","8304426704","1126417","21729681","136849767","771","10000","3350000","17122198","1942189680","107215","21973738","7365","3621","789543","147192","175323","-73","727488","74548","-703","471162","1727","313570","609","262733","452403","129446","586","39553","112","2635","58219","4","1","2","4.59651253594172","8.328339491840484"
"11","For revenge","Indonesia","Rock","Sony Music Entertainment, Big Indie Labels","754","868","189805","5404751","64370112","2017610483","396542","10851533","9858446","2048","16000","539000","20090377","363174752","116681","2340974","579","45845","1527024","2195577","12416168","58461","959579","1221789","13566","467424","70","1131","37","5543","42025","2419","14489","1242","4","77","N/A","N/A","N/A","N/A","N/A","N/A"
"12","Clairo","United States","Pop","Universal Music Group, Big Indie Labels, Warner Music Group","770","400","73302","7017221","122588588","8546620478","-248343","16960422","118259992","3406","0","2390000","6136732","784458224","48414","14939380","1122","24817","1495868","888373","345422","25953","5572042","1231777","-4345","1266182","3680","467655","1563","401179","764466","57839","5291","4492","59","502","84378","4","0","0","2.627993668046412","10.166122086334578"
"13","R.E.M.","United States","Rock","Big Indie Labels, Universal Music Group","796","436","49885","5619257","68097302","5283668127","467604","21092884","137460309","1888","10000","1850000","17344900","2644427675","71611","12115011","N/A","96","10583","265","7342","33880","781530","27883","-2464","4115921","6459","2633709","339","23639","120303","63565","77","152151","199","8128","94623","4","0","0","1.7990837028199764","3.189348071008765"
"14","Nadin Amizah","Indonesia","Pop","Big Indie Labels","801","472","585198","13308234","90486669","3264475250","101226","12229007","7985515","2676","10000","1270000","14132308","622533589","38899","5275306","1353","9175","1637779","278923","1169547","13613","2935941","329134","-1","1056","200","7967","N/A","N/A","N/A","4883","14819","1114","4","85","N/A","N/A","N/A","N/A","N/A","N/A"
"15","M!LK","Japan","Pop","Other Indie / Unsigned","808","7022","56557","279640","38780214","152828774","229404","2620745","1973269","384","176000","1060000","179282363","863156941","3694700","21136660","47682","N/A","N/A","N/A","N/A","108754","901867","373919","N/A","N/A","15","194","N/A","N/A","N/A","10352","93653","89","3","4","N/A","N/A","N/A","N/A","N/A","N/A"
"16","The Strokes","United States","Rock","Sony Music Entertainment","818","515","57510","6695375","99593060","7515208127","135492","15737509","100594647","1646","10000","1990000","9248184","1440920046","53443","10184695","4737","20548","46588","149848","0","61089","1620711","240966","-4232","4111187","9222","1708362","550","231914","116457","83552","1238","21993","79","1721","N/A","N/A","N/A","N/A","N/A","N/A"
"17","Bastille","United Kingdom","Rock","Universal Music Group, Sony Music Entertainment, Big Indie Labels","825","399","17952","5723831","61613126","9515060017","444045","20174872","120063685","1096","0","2510000","15156189","3924827607","91245","36533508","3673","-391","784645","25733","116207","1738","1086345","12307","24527","2670904","1791","2241873","-217","5134918","68619","64004","484","50861","109","3378","3877","68","17","1130","32.203420685647096","3027.739045624716"
"18","Mac Demarco","United States","Rock","Universal Music Group, Big Indie Labels, Sony Music Entertainment","861","319","112105","8610796","153144158","9411913097","-323219","20408721","63582635","3615","10000","1680000","4728489","683449112","34743","8690434","16447","N/A","26600","N/A","N/A","4321","224321","5249","-349","714450","6647","528293","2658","299633","1502439","102090","5775","4660","55","422","65357","16","1","2","5.797765856598424","39.701788588996344"
"19","Aditya Rikhari","India","Pop","Big Indie Labels, Warner Music Group, Sony Music Entertainment","869","444","517261","3927060","81644314","2087720889","373647","18978122","21671716","2056","29000","971000","16567545","384898595","107510","3945158","5110","N/A","N/A","N/A","N/A","13408","471192","90297","N/A","N/A","25","670","110","4205","50412","19512","24459","572","15","22","N/A","N/A","N/A","N/A","N/A","N/A"
"20",".Feast","Indonesia","Rock","N/A","930","629","441972","7225274","71227678","1782733977","-20983","11141728","6789412","3174","9000","566000","14349517","360792437","31888","2080685","1429","9687","866873","668065","1010590","13955","884377","87536","N/A","N/A","194","6417","5","5499","2065","4380","12780","1546","3","64","N/A","N/A","N/A","N/A","N/A","N/A"
