"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"1","Arctic Monkeys","United Kingdom","Rock","Other Indie / Unsigned","147","38","85768","33936439","79337166","27024444048","3047","54843284","192023717","648","10000","9370000","5650937","5264516997","28576","39240897","2020","5226","941743","169267","0","5189","7721700","12284","-2241","7495877","4196","4875746","7712","1095374","55022","26192","565","10519","80","1539","55808","134","0","0","8.816004672785237","126.28179513698544"
"2","The Neighbourhood","United States","Rock","Warner Music Group, Big Indie Labels, Sony Music Entertainment","251","70","82337","22997299","83486245","18474192953","668163","46918299","182757376","735","10000","5820000","5230084","2796947532","44362","36684336","2335","54753","313391","169206","0","68509","3947792","155150","-389","1845457","3128","1604562","1019","1218098","326511","305","2222","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"3","Hindia","Indonesia","Pop","Universal Music Group","297","239","241216","15788680","42090500","4444772099","323286","15644215","13833430","1432","0","1050000","9377409","1142436132","21132","4328354","1136","8835","906451","122659","0","12110","1779259","336440","217","15317","100","14023","96","1308","11040","273","8204","718","3","65","N/A","N/A","N/A","N/A","N/A","N/A"
"4","Måneskin","Italy","Rock","Sony Music Entertainment","408","280","13410","10935836","26001324","9556006128","157402","22836341","100546358","513","0","5680000","6356651","3103780738","38498","36775636","3095","-2410","7877308","19034","0","-7888","6584747","1962","-544","1492734","1501","973908","219","72865","33634","37539","447","10557","90","1800","110418","3","0","0","0.9487776864937457","8.30110676332987"
"5","Anuv Jain","India","Pop","Universal Music Group","424","386","102718","10449293","21691006","2805010023","327385","17896635","20426681","1076","0","3650000","6451172","1234215976","31699","15418567","431","-37","23413","263","0","11242","3400211","95336","1430","206523","27","3690","74","42840","3414","342","33180","75","12","16","N/A","N/A","N/A","N/A","N/A","N/A"
"6","YUNGBLUD","United Kingdom","Rock","Universal Music Group, BMG","457","1072","9921","3541581","12504483","4060603168","-249252","9992444","62674418","587","10000","3800000","3976364","1654878122","45763","38006463","135","11970","8530200","360689","0","23054","7679049","295356","2972","2584724","649","418897","170","139207","61450","336","1767","4563","64","770","104010","10","1","1","1.173513651781752","23.34751156344809"
"7","Beabadoobee","United Kingdom","Rock","Universal Music Group","557","333","27212","7223123","34851346","7105854209","-89604","25357600","139159294","1210","0","1970000","3354661","1454294849","32939","23436525","1763","116","5649683","86511","0","13195","4516695","201012","-286","818810","1162","185322","1118","185092","199562","2851","5242","1836","50","337","131264","3","1","59","0.33123787692114565","6.856550292257313"
"8","Kings of Leon","United States","Rock","Warner Music Group","604","352","8784","5946479","29732907","8364814731","193950","25677751","162064146","1490","0","1990000","2005275","2252252229","7714","10196710","4672","405","155842","379","0","292","865961","917","-2350","9881374","786","2377573","70","658864","43085","21581","384","12934","86","2516","N/A","N/A","N/A","N/A","N/A","N/A"
"9","The 1975","United Kingdom","Rock","Warner Music Group","664","402","16807","8305174","24791821","10021290619","94468","18670312","99563104","1121","10000","3600000","3482317","1801936791","13743","18991835","5375","911","963826","8931","0","1251","3722433","0","-837","2583789","342","599739","173","1050105","25687","153","1794","3579","75","882","56706","3","0","0","8.202025068868394","8.8988839748785"
"10","Glass Animals","United Kingdom","Pop","Universal Music Group","748","390","6670","4703306","18768600","8304426704","171626","21729681","136849767","771","0","3350000","3651454","1942189680","22956","21973738","7365","2464","789543","107343","0","236","727488","71771","-165","471162","365","313570","168","262733","97230","22223","586","9053","100","1706","58219","4","1","2","4.59651253594172","8.328339491840484"
"11","For revenge","Indonesia","Rock","Sony Music Entertainment, Big Indie Labels","754","868","46131","5404751","15439536","2017610483","167644","10851533","9858446","2048","5000","539000","5819151","363174752","47254","2340974","579","13753","1527024","614960","0","14807","959579","165148","2094","467424","13","1131","7","5543","10030","1","14489","255","3","50","N/A","N/A","N/A","N/A","N/A","N/A"
"12","Clairo","United States","Pop","Universal Music Group, Big Indie Labels, Warner Music Group","770","400","17457","7017221","29615093","8546620478","10679","16960422","118259992","3406","0","2390000","1339944","784458224","10947","14939380","1122","12300","1495868","503635","0","6049","5572042","86667","-1116","1266182","786","467655","362","401179","164335","328","5291","1002","47","284","84378","4","0","0","2.627993668046412","10.166122086334578"
"13","R.E.M.","United States","Rock","Big Indie Labels, Universal Music Group","796","436","10872","5619257","15302121","5283668127","106073","21092884","137460309","1888","0","1850000","4076149","2644427675","16418","12115011","N/A","32","10583","92","0","672","781530","5891","-606","4115921","1491","2633709","81","23639","21525","183","77","34214","115","5804","94623","4","0","0","1.7990837028199764","3.189348071008765"
"14","Nadin Amizah","Indonesia","Pop","Big Indie Labels","801","472","104919","13308234","21929137","3264475250","145547","12229007","7985515","2676","0","1270000","3711826","622533589","9496","5275306","1353","4755","1637779","81694","0","-1284","2935941","184053","0","1056","47","7967","N/A","N/A","N/A","0","14819","252","3","57","N/A","N/A","N/A","N/A","N/A","N/A"
"15","M!LK","Japan","Pop","Other Indie / Unsigned","808","7022","13210","279640","9327700","152828774","49408","2620745","1973269","384","30000","1060000","39371669","863156941","808285","21136660","47682","N/A","N/A","N/A","N/A","38703","901867","181663","N/A","N/A","5","194","N/A","N/A","N/A","78","93653","16","3","3","N/A","N/A","N/A","N/A","N/A","N/A"
"16","The Strokes","United States","Rock","Sony Music Entertainment","818","515","18725","6695375","24004266","7515208127","134718","15737509","100594647","1646","0","1990000","2232684","1440920046","17720","10184695","4737","16711","46588","149848","0","54942","1620711","205788","-352","4111187","2050","1708362","138","231914","25177","916","1238","4985","63","1070","N/A","N/A","N/A","N/A","N/A","N/A"
"17","Bastille","United Kingdom","Rock","Universal Music Group, Sony Music Entertainment, Big Indie Labels","825","399","4332","5723831","14100114","9515060017","193629","20174872","120063685","1096","0","2510000","3288025","3924827607","17864","36533508","3673","-216","784645","4582","0","354","1086345","1629","9234","2670904","380","2241873","-38","5134918","15228","8254","484","11215","97","2227","3877","68","17","1130","32.203420685647096","3027.739045624716"
"18","Mac Demarco","United States","Rock","Universal Music Group, Big Indie Labels, Sony Music Entertainment","861","319","25164","8610796","34626033","9411913097","5665","20408721","63582635","3615","0","1680000","1225936","683449112","9072","8690434","16447","N/A","26600","N/A","N/A","1436","224321","1211","-187","714450","1451","528293","591","299633","319062","1587","5775","1070","41","216","65357","16","1","2","5.797765856598424","39.701788588996344"
"19","Aditya Rikhari","India","Pop","Big Indie Labels, Warner Music Group, Sony Music Entertainment","869","444","108239","3927060","20420024","2087720889","889926","18978122","21671716","2056","6000","971000","3735383","384898595","23012","3945158","5110","N/A","N/A","N/A","N/A","2323","471192","28242","N/A","N/A","2","670","24","4205","13738","915","24459","149","11","17","N/A","N/A","N/A","N/A","N/A","N/A"
"20",".Feast","Indonesia","Rock","N/A","930","629","135501","7225274","17792953","1782733977","114362","11141728","6789412","3174","2000","566000","3471957","360792437","7091","2080685","1429","1664","866873","145579","0","4919","884377","26674","N/A","N/A","38","6417","1","5499","427","536","12780","363","2","41","N/A","N/A","N/A","N/A","N/A","N/A"
"21","Shashwat Sachdev","India","Pop","Big Indie Labels, Sony Music Entertainment","938","712","20822","248457","92426299","1238665731","3213149","31116426","34163968","9041","10000","167000","28375","6979570","430","112619","34170","N/A","N/A","N/A","N/A","6967","1164874","118275","286","47497","13","216","2","273","N/A","4","34214","452","13","24","N/A","N/A","N/A","N/A","N/A","N/A"
"22","MGMT","United States","Rock","Big Indie Labels, Sony Music Entertainment, BMG","994","518","8572","3751732","21115823","6476760835","314576","19806901","131439422","2686","0","1330000","1434692","1113074983","11064","9722532","8609","281","103194","234","0","889","553606","255","-866","3413981","623","1186791","25","4844802","58922","28","1665","3783","68","932","3695","39","4","499","25.681097576555565","886.8886290470859"
"23","Foster the People","United States","Pop","Warner Music Group, Sony Music Entertainment, BMG","1061","552","5525","4134970","12103345","5591004051","246848","18002635","140601559","1161","0","3450000","2605469","2598297294","11987","22776364","5385","298","110919","1844","0","89","623072","96","-1470","4293286","327","1106486","41","166162","69325","5290","945","5874","86","1650","7019","48","11","211","25.092770396783617","519.2093750168098"
"24","Sam Fender","United Kingdom","Rock","Universal Music Group, Big Indie Labels","1072","1143","6918","1338860","26539578","2592530330","827953","15989733","139618108","5460","1000","324000","1777394","222834705","8774","1700118","2226","5366","964665","203630","0","5545","1379720","14082","178","255666","379","77313","124","17962","154291","0","761","10878","90","1359","113545","4","2","166","0.7676421089618565","890.0026864734441"
"25","Jack Johnson","United States","Rock","Universal Music Group, Sony Music Entertainment","1131","660","7375","4164563","21472188","8676745925","217274","14148818","101535937","4032","1000","937000","615652","834865926","3910","3812567","2001","3717","103953","15957","0","9730","1369397","13813","-1023","5179836","449","1159739","27","2009107","20373","904","1060","5793","71","1401","N/A","N/A","N/A","N/A","N/A","N/A"
"26","The Verve","United Kingdom","Rock","Universal Music Group","1204","837","7029","2904864","9630682","2380265205","226934","15809103","98524502","1434","0","1010000","2837982","1662313015","13165","7878084","N/A","N/A","N/A","N/A","N/A","733","200785","2240","0","1599526","0","1641776","N/A","N/A","N/A","15","672","8812","94","2753","N/A","N/A","N/A","N/A","N/A","N/A"
"27","Humbe","Mexico","Pop","Sony Music Entertainment, Universal Music Group","1212","1518","12106","3173092","13103751","2601895114","-133635","7492076","18135624","1338","0","1890000","3406952","858638716","16971","8569348","1820","N/A","N/A","N/A","N/A","-86","2133682","114540","-253","738117","121","59246","N/A","N/A","N/A","512","11166","364","23","87","N/A","N/A","N/A","N/A","N/A","N/A"
"28","Sal Priadi","Indonesia","Pop","Big Indie Labels","1218","1110","50379","2185417","27243722","1560739348","625694","15611463","14487537","5631","0","540000","3338735","665581280","9312","3128366","1477","3100","488763","225480","0","3306","664742","71623","4","692","42","2395","3","3126","263","2","13242","465","2","70","N/A","N/A","N/A","N/A","N/A","N/A"
"29","Boyce Avenue","United States","Pop","Big Indie Labels","1233","3173","796","3051449","4541467","4439505884","-29355","2853444","23145465","572","0","17000000","5602315","7123410210","15750","45088958","3487","187","1819036","6101","0","835","963813","1422","4363","3472171","149","652737","-5","212806","1052","101","2123","3392","113","326","N/A","N/A","N/A","N/A","N/A","N/A"
"30","LP","United States","Rock","BMG, Big Indie Labels, Universal Music Group, Sony Music Entertainment","1289","1562","2974","2891124","7106851","2573417954","-5976","8392418","17418549","1214","0","4940000","4841321","4019573644","20429","25945595","3599","638","1753659","13536","0","-1743","1854021","1842","-566","1243752","253","333096","41","51546","51490","42","1266","4669","74","1433","23245","N/A","N/A","N/A","N/A","N/A"
"31","Pamungkas","Indonesia","Pop","Universal Music Group, Big Indie Labels","1353","642","33240","7697859","14907532","2848913306","-31149","14668220","8801870","2869","0","1610000","3444064","1077620930","6569","6221488","15956","0","68237","0","0","-318","982270","29046","1","13015","17","19226","N/A","N/A","N/A","3","13778","351","5","66","N/A","N/A","N/A","N/A","N/A","N/A"
"32","Gustavo Cerati","Argentina","Rock","Sony Music Entertainment","1386","1495","10244","5830089","10657657","3581821013","56833","5634431","34240663","1927","0","1570000","2481208","1280209885","11811","6571413","N/A","1903","309691","22599","0","2542","1406437","155121","-667","2831276","370","631572","8","8656","1086","241","2004","3249","24","435","51344","7","0","0","10.310376123654295","11.036504056014664"
"33","Finn Wolfhard","Sweden","Rock","Other Indie / Unsigned","1392","9336","3922","509249","934367","35553042","-64937","506323","611658","3455","3000","680000","196197","12862851","9798","575178","116","2368","9087282","88955","0","-16733","25491889","41666","N/A","N/A","106","5778","79","5170","6199","39","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"34","Cage The Elephant","United States","Rock","Sony Music Entertainment","1408","600","6101","4432427","13420722","6033753973","180151","15543029","68430786","3855","0","1330000","789330","724683853","5400","7562346","6624","733","103336","17496","0","-141","791565","14658","-482","1548711","688","563217","57","114135","21776","18","1400","4078","55","708","N/A","N/A","N/A","N/A","N/A","N/A"
"35","Shinedown","United States","Rock","Warner Music Group","1418","1309","7610","4704755","13001152","4339240023","59489","7662312","47383085","2827","0","1970000","2388606","1689849845","25537","11376210","3499","795","712967","25832","0","366","1012313","16603","6779","3347543","419","346313","108","48432","70904","454","513","10068","60","811","150517","8","0","0","0.1056081846422038","2.112163692844076"
"36","Ren","United Kingdom","Hip Hop","Big Indie Labels, Sony Music Entertainment","1502","5120","4855","1803784","4674421","839596281","-34237","2293465","2204926","2125","10000","2600000","2527301","484098321","49220","13338815","548","4829","4588142","201740","0","-1348","3812170","14361","3924","2564059","354","46270","105","37652","30647","127","44642","34","12","16","N/A","N/A","N/A","N/A","N/A","N/A"
"37","Snow Patrol","United Kingdom","Rock","Universal Music Group","1621","934","4292","3400909","7847357","3287195569","94517","12211878","77006144","2947","0","1020000","1197337","1161775235","5171","7046118","13942","0","507","N/A","0","55","317528","119","-666","2665543","499","1285911","11","112117","9776","14895","708","7978","91","2330","162894","2","0","0","0.026402046160550953","0.528040923211019"
"38","Milky Chance","Germany","Rock","Big Indie Labels","1622","814","2850","2150519","12238793","4912941872","-200773","15341862","73954884","3280","0","1930000","1728309","1917417947","5818","11957272","5650","-26","340998","1087","0","-43","384841","44","-214","663482","316","509645","35","145800","47370","7182","773","7222","79","1499","131593","1","1","7","0.33192323537168233","1.6878694479200202"
"39","Massive Attack","United Kingdom","Electronic","Universal Music Group","1626","1494","8112","2831884","9923024","2144981546","70539","9117531","45311053","3213","3000","799000","1303481","723332930","15623","4871413","8847","N/A","N/A","N/A","N/A","460","545870","220","-592","2640911","1035","1173159","183","100585","19436","1232","1639","3810","72","1102","27808","260","12","831","4.763998966202919","300.5388604994705"
"40","wave to earth","South Korea","Rock","Universal Music Group","1629","1354","11060","5245036","11522289","2374053463","-72994","6750844","5716067","4624","0","1090000","1170731","182947716","6283","1941007","1607","-37","1374556","33425","0","-1929","2007169","82741","0","245897","219","38579","81","38380","6996","0","30727","93","6","13","N/A","N/A","N/A","N/A","N/A","N/A"
"41","Siddhartha","Mexico","Rock","Sony Music Entertainment","1655","2926","6655","1749768","8060410","2086049181","65360","3553360","13453183","1194","1000","965000","2497816","900250686","10295","5104214","2440","3184","475916","74046","0","6389","1272103","33543","1190","1209420","136","162394","0","3674","271","614","14601","346","15","71","131910","1","0","0","0.328348623594404","0.6458321924383125"
"42","Faheem Abdullah","India","Pop","Big Indie Labels, Sony Music Entertainment","1702","689","10081","928668","22531262","1544308215","549036","21406661","23279271","4970","3000","481000","611920","49872908","3984","518479","669699","N/A","N/A","N/A","N/A","0","3","0","0","560","22","1174","N/A","N/A","N/A","1950","38406","96","5","5","N/A","N/A","N/A","N/A","N/A","N/A"
"43","Blur","United Kingdom","Rock","Warner Music Group","1717","899","9906","4136820","9824866","3140015529","457740","12655268","129229331","6740","0","655000","37110","650853515","243","5898398","2802","2533","325778","52931","0","4525","919704","11729","504","2063278","1054","1479430","94","34982","15646","0","482","10766","94","2433","158186","4","0","0","0.052804092321101906","1.056081846422038"
"44","KALEO","Iceland","Rock","Warner Music Group","1730","894","3257","2123988","9592867","3366037327","-149499","12513411","61539333","2578","0","2150000","2479106","1654263707","9959","13856361","12927","355","86097","5915","0","-41","446160","1060","0","310433","293","266573","22","59259","16290","3","2155","2710","60","773","N/A","N/A","N/A","N/A","N/A","N/A"
"45","Perunggu","Indonesia","Rock","N/A","1759","2672","30216","548606","16688396","521035976","571304","6983719","5741643","4607","1800","100000","4165953","119979907","8379","315290","2277","4090","132660","251132","0","9293","362488","87971","1","40","27","500","N/A","N/A","N/A","58","25220","237","1","36","N/A","N/A","N/A","N/A","N/A","N/A"
"46","X Ambassadors","United States","Rock","Sony Music Entertainment, Big Indie Labels, Universal Music Group","1794","918","2354","3152840","7528820","5738638574","-33004","9720568","104511581","1131","0","1450000","2477292","2599909140","12634","21088472","15305","371","375241","3883","0","-143","236906","795","1149","374584","138","312369","4","24253","15644","156","1891","3174","75","1062","31053","41","1","35","27.642739496536116","152.488008210937"
