"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"1","Arctic Monkeys","United Kingdom","Rock","Other Indie / Unsigned","147","38","33936439","27024444048","54843284","192023717","648","9370000","5264516997","39240897","2020","941743","7721700","7495877","4875746","1095374","565","55808","134","0","0","126.28179513698544"
"2","The Neighbourhood","United States","Rock","Warner Music Group, Big Indie Labels, Sony Music Entertainment","251","70","22997299","18474192953","46918299","182757376","735","5820000","2796947532","36684336","2335","313391","3947792","1845457","1604562","1218098","2222","N/A","N/A","N/A","N/A","N/A"
"3","Hindia","Indonesia","Pop","Universal Music Group","297","239","15788680","4444772099","15644215","13833430","1432","1050000","1142436132","4328354","1136","906451","1779259","15317","14023","1308","8204","N/A","N/A","N/A","N/A","N/A"
"4","Måneskin","Italy","Rock","Sony Music Entertainment","408","280","10935836","9556006128","22836341","100546358","513","5680000","3103780738","36775636","3095","7877308","6584747","1492734","973908","72865","447","110418","3","0","0","8.30110676332987"
"5","Anuv Jain","India","Pop","Universal Music Group","424","386","10449293","2805010023","17896635","20426681","1076","3650000","1234215976","15418567","431","23413","3400211","206523","3690","42840","33180","N/A","N/A","N/A","N/A","N/A"
"6","YUNGBLUD","United Kingdom","Rock","Universal Music Group, BMG","457","1072","3541581","4060603168","9992444","62674418","587","3800000","1654878122","38006463","135","8530200","7679049","2584724","418897","139207","1767","104010","10","1","1","23.34751156344809"
"7","Beabadoobee","United Kingdom","Rock","Universal Music Group","557","333","7223123","7105854209","25357600","139159294","1210","1970000","1454294849","23436525","1763","5649683","4516695","818810","185322","185092","5242","131264","3","1","59","6.856550292257313"
"8","Kings of Leon","United States","Rock","Warner Music Group","604","352","5946479","8364814731","25677751","162064146","1490","1990000","2252252229","10196710","4672","155842","865961","9881374","2377573","658864","384","N/A","N/A","N/A","N/A","N/A"
"9","The 1975","United Kingdom","Rock","Warner Music Group","664","402","8305174","10021290619","18670312","99563104","1121","3600000","1801936791","18991835","5375","963826","3722433","2583789","599739","1050105","1794","56706","3","0","0","8.8988839748785"
"10","Glass Animals","United Kingdom","Pop","Universal Music Group","748","390","4703306","8304426704","21729681","136849767","771","3350000","1942189680","21973738","7365","789543","727488","471162","313570","262733","586","58219","4","1","2","8.328339491840484"
"11","For revenge","Indonesia","Rock","Sony Music Entertainment, Big Indie Labels","754","868","5404751","2017610483","10851533","9858446","2048","539000","363174752","2340974","579","1527024","959579","467424","1131","5543","14489","N/A","N/A","N/A","N/A","N/A"
"12","Clairo","United States","Pop","Universal Music Group, Big Indie Labels, Warner Music Group","770","400","7017221","8546620478","16960422","118259992","3406","2390000","784458224","14939380","1122","1495868","5572042","1266182","467655","401179","5291","84378","4","0","0","10.166122086334578"
"13","R.E.M.","United States","Rock","Big Indie Labels, Universal Music Group","796","436","5619257","5283668127","21092884","137460309","1888","1850000","2644427675","12115011","N/A","10583","781530","4115921","2633709","23639","77","94623","4","0","0","3.189348071008765"
"14","Nadin Amizah","Indonesia","Pop","Big Indie Labels","801","472","13308234","3264475250","12229007","7985515","2676","1270000","622533589","5275306","1353","1637779","2935941","1056","7967","N/A","14819","N/A","N/A","N/A","N/A","N/A"
"15","M!LK","Japan","Pop","Other Indie / Unsigned","808","7022","279640","152828774","2620745","1973269","384","1060000","863156941","21136660","47682","N/A","901867","N/A","194","N/A","93653","N/A","N/A","N/A","N/A","N/A"
"16","The Strokes","United States","Rock","Sony Music Entertainment","818","515","6695375","7515208127","15737509","100594647","1646","1990000","1440920046","10184695","4737","46588","1620711","4111187","1708362","231914","1238","N/A","N/A","N/A","N/A","N/A"
"17","Bastille","United Kingdom","Rock","Universal Music Group, Sony Music Entertainment, Big Indie Labels","825","399","5723831","9515060017","20174872","120063685","1096","2510000","3924827607","36533508","3673","784645","1086345","2670904","2241873","5134918","484","3877","68","17","1130","3027.739045624716"
"18","Mac Demarco","United States","Rock","Universal Music Group, Big Indie Labels, Sony Music Entertainment","861","319","8610796","9411913097","20408721","63582635","3615","1680000","683449112","8690434","16447","26600","224321","714450","528293","299633","5775","65357","16","1","2","39.701788588996344"
"19","Aditya Rikhari","India","Pop","Big Indie Labels, Warner Music Group, Sony Music Entertainment","869","444","3927060","2087720889","18978122","21671716","2056","971000","384898595","3945158","5110","N/A","471192","N/A","670","4205","24459","N/A","N/A","N/A","N/A","N/A"
"20",".Feast","Indonesia","Rock","N/A","930","629","7225274","1782733977","11141728","6789412","3174","566000","360792437","2080685","1429","866873","884377","N/A","6417","5499","12780","N/A","N/A","N/A","N/A","N/A"
"21","Shashwat Sachdev","India","Pop","Big Indie Labels, Sony Music Entertainment","938","712","248457","1238665731","31116426","34163968","9041","167000","6979570","112619","34170","N/A","1164874","47497","216","273","34214","N/A","N/A","N/A","N/A","N/A"
"22","MGMT","United States","Rock","Big Indie Labels, Sony Music Entertainment, BMG","994","518","3751732","6476760835","19806901","131439422","2686","1330000","1113074983","9722532","8609","103194","553606","3413981","1186791","4844802","1665","3695","39","4","499","886.8886290470859"
"23","Foster the People","United States","Pop","Warner Music Group, Sony Music Entertainment, BMG","1061","552","4134970","5591004051","18002635","140601559","1161","3450000","2598297294","22776364","5385","110919","623072","4293286","1106486","166162","945","7019","48","11","211","519.2093750168098"
"24","Sam Fender","United Kingdom","Rock","Universal Music Group, Big Indie Labels","1072","1143","1338860","2592530330","15989733","139618108","5460","324000","222834705","1700118","2226","964665","1379720","255666","77313","17962","761","113545","4","2","166","890.0026864734441"
"25","Jack Johnson","United States","Rock","Universal Music Group, Sony Music Entertainment","1131","660","4164563","8676745925","14148818","101535937","4032","937000","834865926","3812567","2001","103953","1369397","5179836","1159739","2009107","1060","N/A","N/A","N/A","N/A","N/A"
"26","The Verve","United Kingdom","Rock","Universal Music Group","1204","837","2904864","2380265205","15809103","98524502","1434","1010000","1662313015","7878084","N/A","N/A","200785","1599526","1641776","N/A","672","N/A","N/A","N/A","N/A","N/A"
"27","Humbe","Mexico","Pop","Sony Music Entertainment, Universal Music Group","1212","1518","3173092","2601895114","7492076","18135624","1338","1890000","858638716","8569348","1820","N/A","2133682","738117","59246","N/A","11166","N/A","N/A","N/A","N/A","N/A"
"28","Sal Priadi","Indonesia","Pop","Big Indie Labels","1218","1110","2185417","1560739348","15611463","14487537","5631","540000","665581280","3128366","1477","488763","664742","692","2395","3126","13242","N/A","N/A","N/A","N/A","N/A"
"29","Boyce Avenue","United States","Pop","Big Indie Labels","1233","3173","3051449","4439505884","2853444","23145465","572","17000000","7123410210","45088958","3487","1819036","963813","3472171","652737","212806","2123","N/A","N/A","N/A","N/A","N/A"
"30","LP","United States","Rock","BMG, Big Indie Labels, Universal Music Group, Sony Music Entertainment","1289","1562","2891124","2573417954","8392418","17418549","1214","4940000","4019573644","25945595","3599","1753659","1854021","1243752","333096","51546","1266","23245","N/A","N/A","N/A","N/A"
"31","Pamungkas","Indonesia","Pop","Universal Music Group, Big Indie Labels","1353","642","7697859","2848913306","14668220","8801870","2869","1610000","1077620930","6221488","15956","68237","982270","13015","19226","N/A","13778","N/A","N/A","N/A","N/A","N/A"
"32","Gustavo Cerati","Argentina","Rock","Sony Music Entertainment","1386","1495","5830089","3581821013","5634431","34240663","1927","1570000","1280209885","6571413","N/A","309691","1406437","2831276","631572","8656","2004","51344","7","0","0","11.036504056014664"
"33","Finn Wolfhard","Sweden","Rock","Other Indie / Unsigned","1392","9336","509249","35553042","506323","611658","3455","680000","12862851","575178","116","9087282","25491889","N/A","5778","5170","N/A","N/A","N/A","N/A","N/A","N/A"
"34","Cage The Elephant","United States","Rock","Sony Music Entertainment","1408","600","4432427","6033753973","15543029","68430786","3855","1330000","724683853","7562346","6624","103336","791565","1548711","563217","114135","1400","N/A","N/A","N/A","N/A","N/A"
"35","Shinedown","United States","Rock","Warner Music Group","1418","1309","4704755","4339240023","7662312","47383085","2827","1970000","1689849845","11376210","3499","712967","1012313","3347543","346313","48432","513","150517","8","0","0","2.112163692844076"
"36","Ren","United Kingdom","Hip Hop","Big Indie Labels, Sony Music Entertainment","1502","5120","1803784","839596281","2293465","2204926","2125","2600000","484098321","13338815","548","4588142","3812170","2564059","46270","37652","44642","N/A","N/A","N/A","N/A","N/A"
"37","Snow Patrol","United Kingdom","Rock","Universal Music Group","1621","934","3400909","3287195569","12211878","77006144","2947","1020000","1161775235","7046118","13942","507","317528","2665543","1285911","112117","708","162894","2","0","0","0.528040923211019"
"38","Milky Chance","Germany","Rock","Big Indie Labels","1622","814","2150519","4912941872","15341862","73954884","3280","1930000","1917417947","11957272","5650","340998","384841","663482","509645","145800","773","131593","1","1","7","1.6878694479200202"
"39","Massive Attack","United Kingdom","Electronic","Universal Music Group","1626","1494","2831884","2144981546","9117531","45311053","3213","799000","723332930","4871413","8847","N/A","545870","2640911","1173159","100585","1639","27808","260","12","831","300.5388604994705"
"40","wave to earth","South Korea","Rock","Universal Music Group","1629","1354","5245036","2374053463","6750844","5716067","4624","1090000","182947716","1941007","1607","1374556","2007169","245897","38579","38380","30727","N/A","N/A","N/A","N/A","N/A"
"41","Siddhartha","Mexico","Rock","Sony Music Entertainment","1655","2926","1749768","2086049181","3553360","13453183","1194","965000","900250686","5104214","2440","475916","1272103","1209420","162394","3674","14601","131910","1","0","0","0.6458321924383125"
"42","Faheem Abdullah","India","Pop","Big Indie Labels, Sony Music Entertainment","1702","689","928668","1544308215","21406661","23279271","4970","481000","49872908","518479","669699","N/A","3","560","1174","N/A","38406","N/A","N/A","N/A","N/A","N/A"
"43","Blur","United Kingdom","Rock","Warner Music Group","1717","899","4136820","3140015529","12655268","129229331","6740","655000","650853515","5898398","2802","325778","919704","2063278","1479430","34982","482","158186","4","0","0","1.056081846422038"
"44","KALEO","Iceland","Rock","Warner Music Group","1730","894","2123988","3366037327","12513411","61539333","2578","2150000","1654263707","13856361","12927","86097","446160","310433","266573","59259","2155","N/A","N/A","N/A","N/A","N/A"
"45","Perunggu","Indonesia","Rock","N/A","1759","2672","548606","521035976","6983719","5741643","4607","100000","119979907","315290","2277","132660","362488","40","500","N/A","25220","N/A","N/A","N/A","N/A","N/A"
"46","X Ambassadors","United States","Rock","Sony Music Entertainment, Big Indie Labels, Universal Music Group","1794","918","3152840","5738638574","9720568","104511581","1131","1450000","2599909140","21088472","15305","375241","236906","374584","312369","24253","1891","31053","41","1","35","152.488008210937"
"47","The Kiffness","South Africa","Electronic","Sony Music Entertainment","1837","17074","296916","193636457","867356","1458546","1997","3220000","887765411","21735853","3054","1762483","1683010","4554405","17757","8515","40505","131265","6","0","0","6.0287025644386665"
"48","(Sandy) Alex G","United States","Pop","Sony Music Entertainment","1838","1059","3980330","3454445922","7909518","24003872","7897","500000","71476912","1320128","8728","532","864836","44614","118969","182044","23094","146471","2","0","0","2.6966996921543718"
"49","Franz Ferdinand","United Kingdom","Rock","Sony Music Entertainment","1881","1122","3135692","2503382644","10738337","69402191","4922","558000","487696391","4016876","5668","192016","438827","1818524","1115840","37193","1026","30942","221","13","364","553.9349416953504"
"50","Andrés Calamaro","Argentina","Rock","Warner Music Group, Sony Music Entertainment, Big Indie Labels, Universal Music Group","1924","1526","2894267","3472158412","8076485","54010655","2458","617000","1695161630","5796711","8312","28945","673821","2280858","536287","N/A","1443","N/A","N/A","N/A","N/A","N/A"
"51","Two Door Cinema Club","United Kingdom","Rock","Big Indie Labels","1940","1209","2610060","3439721526","9621990","39825492","10033","684000","410704157","3491505","4166","251890","371686","1608600","602383","3170103","2503","44974","66","4","672","680.3649828203977"
"52","Kodaline","Ireland","Rock","Other Indie / Unsigned","2034","1175","3237955","3927224419","7953917","60587450","1437","2740000","1762152444","21625124","14854","102413","505508","878187","457535","75563","5746","138694","4","2","63","160.93573837614338"
"53","Portugal. The Man","United States","Rock","Warner Music Group, Sony Music Entertainment, Big Indie Labels, BMG","2125","885","1581352","3231243071","14135658","139304886","8036","789000","707364068","5508561","17111","30965","257251","439024","134226","2269699","836","1542","34","3","438","4100.7145367706735"
"54","Kimbra","United States","Pop","Big Indie Labels, Universal Music Group, Warner Music Group, BMG","2228","763","535530","3035801800","15756590","105541065","1839","353000","3285005567","24124573","20774","45422","285845","437562","189032","39870","17233","141","39","4","911","26818.248125033206"
"55","The Kooks","United Kingdom","Rock","Big Indie Labels, Universal Music Group","2245","1369","2704558","3202591861","7019980","62034170","7091","588000","556130854","3208861","5034","186977","393183","2341225","807736","77690","1699","135443","2","0","0","3.746721178603189"
"56","alt-J","United Kingdom","Rock","BMG, Big Indie Labels, Sony Music Entertainment","2256","1101","3461101","4606002082","8178840","52528743","5947","1220000","1074556866","6778191","13384","74317","412515","1475752","600012","1117400","3108","45972","34","7","240","518.7731202215391"
"57","Fontaines D.C.","Ireland","Rock","Big Indie Labels, Universal Music Group","2281","2246","1323180","1279305195","6891534","27803071","11944","247000","82801272","1111499","3144","323073","1014045","144582","112542","18539","2322","25076","16","2","2","47.6915904166084"
"58","Enjambre","Mexico","Rock","Universal Music Group, Big Indie Labels","2368","2240","2164033","2103625598","4970301","13199622","3440","869000","677660906","3910333","4021","117042","670316","1425623","345419","1701","13639","N/A","N/A","N/A","N/A","N/A"
"59","Good Kid","Canada","Rock","Big Indie Labels","2423","4481","747453","768508861","3742338","11561250","2743","715000","251767628","6328601","4611","350061","406085","21156","11462","19405","57968","75107","N/A","N/A","N/A","N/A"
"60","Fourtwnty","Indonesia","Pop","Other Indie / Unsigned","2429","1227","3991319","1780089972","9956858","11813810","4235","1710000","760523117","4055251","24353","50500","743921","68291","16750","93673","17048","N/A","N/A","N/A","N/A","N/A"
"61","The Temper Trap","Australia","Rock","Big Indie Labels, Sony Music Entertainment, BMG","2447","931","816499","2086090592","16749032","94839299","14334","163000","228548627","1571147","3771","105588","152572","668623","121110","86227","2111","292","69","12","2052","20819.597755498493"
"62","Mother Mother","Canada","Rock","Warner Music Group, Big Indie Labels","2537","1256","4593115","3866975036","6386417","20138644","5293","1340000","590105198","11115929","7926","2799989","709143","181802","295421","137018","9337","N/A","N/A","N/A","N/A","N/A"
"63","The XX","United Kingdom","Pop","Other Indie / Unsigned","2560","1673","3835624","3477789820","4979439","45756001","5827","1160000","787080734","4372451","3053","N/A","799592","3477354","1091227","71044","2578","21699","124","28","3237","8378.830476020757"
"64","Mazzy Star","United States","Rock","Big Indie Labels","2610","973","2018777","2052948977","14576809","78318386","9493","419000","189514610","2158490","N/A","N/A","N/A","401915","99619","10897","3845","158186","4","0","0","1.056081846422038"
"65","Two Feet","United States","Pop","Big Indie Labels, Sony Music Entertainment, Universal Music Group","2657","1383","2222535","3489133536","7388806","36472630","2388","1740000","2080421215","27919944","20200","783506","274278","142457","239130","186705","8795","68942","13","1","6","26.15914282277551"
"66","Wet Leg","United Kingdom","Rock","Big Indie Labels, Sony Music Entertainment, Warner Music Group","2814","3275","937897","626579768","4569699","45280850","9110","293000","80121677","1229039","4053","684842","735855","87710","54503","7632","1722","N/A","N/A","N/A","N/A","N/A"
"67","Yeah Yeah Yeahs","United States","Rock","Big Indie Labels","2865","1432","1533640","1329493624","9835378","62734983","5895","600000","410244740","3664741","14239","N/A","331997","1959215","345395","13307","2967","77921","8","2","6","7.323637107521035"
