"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"Sweater Weather","2012-08-07","N/A","Rock","N/A","N/A","The Neighbourhood","N/A","N/A","N/A","N/A","55","N/A","N/A","N/A","N/A","713700509.62","N/A","N/A","N/A","777710126","4508394356","N/A","N/A","N/A","109022675","1480546526","N/A","N/A","N/A","68725","N/A","N/A","N/A","N/A","75016","276074","N/A","N/A","N/A","N/A","N/A"
"I Wanna Be Yours","2013-01-01","N/A","Rock","N/A","N/A","Arctic Monkeys","N/A","N/A","N/A","N/A","93","N/A","N/A","N/A","N/A","601001774.42","N/A","N/A","N/A","716410553","3708157373","N/A","N/A","N/A","123525002","513052971","N/A","N/A","N/A","46237","N/A","N/A","N/A","N/A","332308","1509335","N/A","N/A","N/A","23695","5663658"
"505","2007-04-22","N/A","Rock","N/A","N/A","Arctic Monkeys","N/A","N/A","N/A","N/A","233","N/A","N/A","N/A","N/A","446578926.2","N/A","N/A","N/A","573734330","2761023112","N/A","N/A","N/A","15489955","177102638","N/A","N/A","N/A","18207","N/A","N/A","N/A","N/A","527267","3019704","N/A","N/A","N/A","N/A","N/A"
"Do I Wanna Know?","2013-01-01","N/A","Rock","N/A","N/A","Arctic Monkeys","N/A","N/A","N/A","N/A","272","N/A","N/A","N/A","N/A","420409623.72","N/A","N/A","N/A","385112311","2938716604","N/A","N/A","N/A","131526431","2105996001","N/A","N/A","N/A","86014","N/A","N/A","N/A","N/A","327259","2046219","N/A","N/A","N/A","15791","11470249"
"Bitter Sweet Symphony","1997-01-01","N/A","Rock","N/A","N/A","The Verve","N/A","N/A","N/A","N/A","285","N/A","N/A","N/A","N/A","413302235.86500007","N/A","N/A","N/A","287084475","1546640579","N/A","N/A","N/A","120701624","1348635994","N/A","N/A","N/A","305898","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"About You","2022-10-14","N/A","Rock","N/A","N/A","The 1975","N/A","N/A","N/A","N/A","389","N/A","N/A","N/A","N/A","363293798.0350001","N/A","N/A","N/A","361133956","972299349","N/A","N/A","N/A","98559598","178306028","N/A","N/A","N/A","1301","N/A","N/A","N/A","N/A","291582","946473","N/A","N/A","N/A","N/A","N/A"
"I Love You So","2014-11-28","N/A","Rock","N/A","N/A","The Walters","N/A","N/A","N/A","N/A","393","N/A","N/A","N/A","N/A","361622291.8","N/A","N/A","N/A","396582039","2303887799","N/A","N/A","N/A","68886940","441320008","N/A","N/A","N/A","14173","N/A","N/A","N/A","N/A","5140493","34773939","N/A","N/A","N/A","N/A","N/A"
"Lost On You","2016-05-25","N/A","Rock","N/A","N/A","LP","N/A","N/A","N/A","N/A","429","N/A","N/A","N/A","N/A","351865880.44","N/A","N/A","N/A","177816232","1166598679","N/A","N/A","N/A","231994647","2897126340","N/A","N/A","N/A","144938","N/A","N/A","N/A","N/A","2486875","30938026","N/A","N/A","N/A","N/A","N/A"
"Sex on Fire","2008-09-23","N/A","Rock","N/A","N/A","Kings of Leon","N/A","N/A","N/A","N/A","452","N/A","N/A","N/A","N/A","345109500.28999996","N/A","N/A","N/A","321922035","2088969201","N/A","N/A","N/A","50410790","729589406","N/A","N/A","N/A","176005","N/A","N/A","N/A","N/A","601806","2803797","N/A","N/A","N/A","0","8854422"
"Shut up My Moms Calling","2020-02-10","N/A","Rock","N/A","N/A","Hotel Ugly","N/A","N/A","N/A","N/A","602","N/A","N/A","N/A","N/A","303883119.41499996","N/A","N/A","N/A","377077025","1674688623","N/A","N/A","N/A","20497020","58612076","N/A","N/A","N/A","4435","N/A","N/A","N/A","N/A","3598176","23217487","N/A","N/A","N/A","0","2042926"
