"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 3m","Spotify Followers Total","Spotify Streams 3m","Spotify Streams Total","Spotify Monthly Listeners 3m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 3m","YouTube Subscribers Total","YouTube Views 3m","YouTube Views Total","YouTube Likes 3m","YouTube Likes Total","Social Rank","TikTok Followers 3m","TikTok Followers Total","TikTok Likes 3m","TikTok Views 3m","Instagram Followers 3m","Instagram Followers Total","Instagram Likes 3m","Facebook Followers 3m","Facebook Followers Total","Deezer Fans 3m","Deezer Fans Total","SoundCloud Followers 3m","SoundCloud Followers Total","SoundCloud Plays 3m","Shazam Shazams 3m","Radio Airplay Rank","Radio Airplay Spins 3m","Radio Airplay Countries with Spins 3m","Radio Airplay Stations with Spins 3m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 3m","Beatport Track Performance Points Total"
"1","Coldplay","United Kingdom","Rock","Warner Music Group","21","7","1398773","63412075","1595731905","44722061436","-8759495","91758775","527842774","52","100000","28400000","302583636","22995191909","1093793","151606658","253","-63281","8001690","87282","1127629","-127534","29176472","293907","-170200","41051776","113718","18215283","8342","525739","4878191","484979","14","863707","184","9894","17874","45","17","2946","18.49985108764066","4220.872219331149"
"2","Maroon 5","United States","Pop","Universal Music Group","26","17","909028","47368065","1179212698","34287193505","1930427","75029536","309599239","19","100000","38000000","315733157","26232089205","987667","141738184","446","72822","3173152","212574","2323174","-30306","9172278","175300","-141689","36457812","44671","11335333","4486","1766680","2854242","358646","16","796214","184","8659","94764","38","3","123","1.7288062914707238","330.5708363040307"
"3","Imagine Dragons","United States","Rock","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels","30","16","634730","59523546","1003338185","39252272120","131774","54377775","273869446","38","100000","33200000","336565145","24571559032","1295426","188124764","976","10571","4041176","95215","1483605","121069","10135720","992951","-64247","14570000","103839","9385815","3964","5552168","1253905","379346","37","581164","180","7015","99114","28","5","201","1.56057558421251","559.7098376675602"
"4","Olivia Rodrigo","United States","Pop","Universal Music Group","54","26","1902453","52453589","1038930074","25997175348","229618","46504577","220750169","257","100000","15700000","140744019","6183695401","800159","102862619","171","382773","24749373","10270612","33941700","110295","39358034","12705851","-23159","3533829","45077","1716677","16255","565238","1303124","198841","114","383619","169","4127","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Queen","United Kingdom","Rock","Universal Music Group","73","35","970462","56888384","773089217","27830235360","-13601242","51990770","293061182","275","100000","18900000","165039842","11611848184","1016822","89906232","866","38822","3980219","260843","3184711","16761","6429010","808062","-74444","26128655","105471","12660620","6188","270670","1356275","188944","9","1075129","149","10815","N/A","N/A","N/A","N/A","N/A","N/A"
"6","WWE","United States","Rock","Sony Music Entertainment, Warner Music Group","99","4988","24209","739109","75101448","1797295962","5814","2922371","6885873","31","0","112000000","1238246145","15382056212","20255056","454841338","266","1534570","35863946","26860866","134175186","5826","36006583","3425454","-3347","1043887","707","28277","37","3491","73424","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"7","The Beatles","United Kingdom","Rock","Universal Music Group","103","125","548827","31693816","903373838","27623110105","1959267","35675326","167504797","337","120000","9450000","104542242","4250484512","788991","34091013","N/A","203327","2307607","784392","7632478","205559","5667875","759105","-15445","36985792","80025","8011709","2928","344953","17273","327808","8","1096734","138","8422","N/A","N/A","N/A","N/A","N/A","N/A"
"8","P!nk","United States","Pop","Sony Music Entertainment","114","137","256160","18630598","438851912","15801410653","3069977","36841878","249972119","239","100000","13000000","134530995","9928953190","822762","54817877","313","8540","4078768","5688","553155","407255","11911066","6981436","640579","31431474","37728","4609445","1164","6347705","654554","229690","42","562921","150","7366","64245","29","0","0","6.359070438758648","64.58425375439643"
"9","Bon Jovi","United States","Rock","Universal Music Group, Big Indie Labels","135","139","491373","16698720","405379078","10269854997","866274","32499261","219014898","176","80000","9050000","174763049","8649519473","677920","41381163","567","121490","1326551","94324","11950548","110747","2933132","954964","-50372","23957609","36548","5217479","2613","81601","684902","191289","24","758949","140","9646","N/A","N/A","N/A","N/A","N/A","N/A"
"10","OneRepublic","United States","Pop","Universal Music Group, Warner Music Group, BMG, Sony Music Entertainment","137","68","344531","19328848","606622587","20892121627","-2049731","46535214","416163171","114","0","11200000","170979161","10353201647","641079","61768360","1728","10166","1191010","164341","1748270","-4228","3128180","370209","-28180","11767096","27755","4301208","1667","137722","729448","308680","59","482173","148","6998","1308","58","15","857","48.871739138068506","3839.65678554762"
"11","Fleetwood Mac","United States","Rock","Warner Music Group","205","73","535360","14948920","944936667","16190382745","2475257","52086586","141898868","1423","60000","2180000","64396889","1765995930","356703","10891997","8456","N/A","N/A","N/A","N/A","-20","200098","43950","-13370","5035537","36955","1617055","3694","75709","1789175","346409","41","581764","171","8146","123327","35","0","0","0.4847232062233171","9.694464124466343"
"12","Oasis","United Kingdom","Rock","Big Indie Labels, Sony Music Entertainment","206","178","455429","13294180","499667171","10390023510","-1334417","30627042","131495061","492","70000","4440000","98595753","3717300753","477790","21731593","661","82581","1557420","233845","6701016","67168","4873404","1468444","-13785","8494294","40644","4633463","4175","129335","34853163","230452","179","263457","127","6676","73055","N/A","N/A","N/A","N/A","N/A"
"13","Maná","Mexico","Rock","Warner Music Group, Universal Music Group","236","257","549300","14497717","558386284","9605489544","1796602","26322290","98508065","387","50000","6730000","202096746","8336323001","420328","24354447","1192","8428","675224","54321","1270039","58931","2682410","366509","-3483","17701666","10229","1762492","1000","34973","340119","105567","286","196014","70","3003","N/A","N/A","N/A","N/A","N/A","N/A"
