"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"1","Coldplay","United Kingdom","Rock","Warner Music Group","21","7","96520","63412075","122099694","44722061436","381405","91758775","527842774","52","0","28400000","23015222","22995191909","79276","151606658","253","-4897","8001690","8216","0","-18903","29176472","11313","-13724","41051776","7942","18215283","664","525739","373235","20407","14","65996","146","7028","17874","45","17","2946","14.943179520695917","4220.872219331149"
"2","Maroon 5","United States","Pop","Universal Music Group","26","17","71343","47368065","94713400","34287193505","493501","75029536","309599239","19","0","38000000","24222598","26232089205","74881","141738184","446","657","3173152","4992","0","-6083","9172278","2303","-13090","36457812","3436","11335333","351","1766680","215972","18137","16","59439","142","6025","94764","38","3","123","1.7288062914707238","330.5708363040307"
"3","Imagine Dragons","United States","Rock","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels","30","16","53980","59523546","73546171","39252272120","312726","54377775","273869446","38","0","33200000","26006520","24571559032","96476","188124764","976","774","4041176","25774","0","58583","10135720","98850","-5293","14570000","7743","9385815","204","5552168","104422","50410","37","46018","168","4937","99114","28","5","201","1.478429565545832","559.7098376675602"
"4","Olivia Rodrigo","United States","Pop","Universal Music Group","54","26","177618","52453589","94288216","25997175348","208057","46504577","220750169","257","0","15700000","12584209","6183695401","152409","102862619","171","50235","24749373","354615","0","211428","39358034","0","7657","3533829","3426","1716677","1333","565238","98849","34379","114","30350","109","2339","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Queen","United Kingdom","Rock","Universal Music Group","73","35","72384","56888384","62577656","27830235360","336100","51990770","293061182","275","0","18900000","12784584","11611848184","78104","89906232","866","6876","3980219","115701","0","526","6429010","25683","-6182","26128655","6449","12660620","445","270670","98112","13718","9","82340","128","7886","N/A","N/A","N/A","N/A","N/A","N/A"
"6","WWE","United States","Rock","Sony Music Entertainment, Warner Music Group","99","4988","1508","739109","5270212","1797295962","-36667","2922371","6885873","31","0","112000000","105006124","15382056212","1725221","454841338","266","389698","35863946","13145877","0","-4465","36006583","1127207","-293","1043887","118","28277","2","3491","5416","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"7","The Beatles","United Kingdom","Rock","Universal Music Group","103","125","43852","31693816","72144522","27623110105","519926","35675326","167504797","337","10000","9450000","8386248","4250484512","63232","34091013","N/A","14346","2307607","225944","0","19682","5667875","281472","-2763","36985792","4881","8011709","226","344953","1231","9453","8","84760","114","5620","N/A","N/A","N/A","N/A","N/A","N/A"
"8","P!nk","United States","Pop","Sony Music Entertainment","114","137","22734","18630598","37794457","15801410653","324699","36841878","249972119","239","0","13000000","11854565","9928953190","77993","54817877","313","894","4078768","2657","0","4917","11911066","155891","123255","31431474","2483","4609445","73","6347705","43334","2452","42","43496","140","5104","64245","29","0","0","6.044467974232477","64.58425375439643"
"9","Bon Jovi","United States","Rock","Universal Music Group, Big Indie Labels","135","139","35917","16698720","32249970","10269854997","292369","32499261","219014898","176","10000","9050000","13379538","8649519473","52564","41381163","567","3432","1326551","41885","0","13302","2933132","96638","-5990","23957609","2705","5217479","168","81601","53526","5959","24","58782","122","6744","N/A","N/A","N/A","N/A","N/A","N/A"
"10","OneRepublic","United States","Pop","Universal Music Group, Warner Music Group, BMG, Sony Music Entertainment","137","68","29593","19328848","49737502","20892121627","1020931","46535214","416163171","114","0","11200000","15191200","10353201647","101839","61768360","1728","666","1191010","22625","0","1078","3128180","17378","-2920","11767096","2134","4301208","151","137722","59982","24399","59","35241","129","4735","1308","58","15","857","41.3972116283634","3839.65678554762"
