"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1m","Spotify Followers Total","Spotify Streams 1m","Spotify Streams Total","Spotify Monthly Listeners 1m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1m","YouTube Subscribers Total","YouTube Views 1m","YouTube Views Total","YouTube Likes 1m","YouTube Likes Total","Social Rank","TikTok Followers 1m","TikTok Followers Total","TikTok Likes 1m","TikTok Views 1m","Instagram Followers 1m","Instagram Followers Total","Instagram Likes 1m","Facebook Followers 1m","Facebook Followers Total","Deezer Fans 1m","Deezer Fans Total","SoundCloud Followers 1m","SoundCloud Followers Total","SoundCloud Plays 1m","Shazam Shazams 1m","Radio Airplay Rank","Radio Airplay Spins 1m","Radio Airplay Countries with Spins 1m","Radio Airplay Stations with Spins 1m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1m","Beatport Track Performance Points Total"
"1","Coldplay","United Kingdom","Rock","Warner Music Group","21","7","512338","63412075","530720875","44722061436","119696","91758775","527842774","52","0","28400000","104066761","22995191909","380768","151606658","253","-23281","8001690","87282","197829","-61910","29176472","43756","-56782","41051776","35029","18215283","2719","525739","1688145","484979","14","293030","179","8912","17874","45","17","2946","18.433146247238955","4220.872219331149"
"2","Imagine Dragons","United States","Rock","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels","30","16","241236","59523546","332096362","39252272120","625123","54377775","273869446","38","0","33200000","115402561","24571559032","456073","188124764","976","571","4041176","95215","236085","86031","10135720","878345","-22893","14570000","33970","9385815","1189","5552168","428957","379346","37","200873","174","6239","99114","28","5","201","1.478429565545832","559.7098376675602"
"3","Linkin Park","United States","Rock","Warner Music Group","37","34","431902","33977719","586591531","31453791686","1719428","55329407","185902931","104","0","24800000","148685068","17108413548","746177","128157913","327","25001","3142842","87351","384331","29174","11272535","370941","-48192","55878043","42191","12038784","163493","5426275","2672425","455671","71","151266","196","5326","3245","47","14","1027","2.58315054434243","2143.7819043575796"
"4","Queen","United Kingdom","Rock","Universal Music Group","73","35","357443","56888384","267973458","27830235360","953669","51990770","293061182","275","0","18900000","56399730","11611848184","349972","89906232","866","18822","3980219","260843","1168371","5170","6429010","256677","-28270","26128655","28238","12660620","2048","270670","464262","188944","9","367109","144","9749","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Guns N' Roses","United States","Rock","Universal Music Group","87","76","338799","36961128","181471064","13050581835","1107272","36270098","153852283","156","100000","13300000","59346731","9241676266","243682","41860832","349","38104","1843543","25238","189528","33830","8927306","698442","-31465","28896060","22975","8490587","1746","159529","301601","246587","60","177814","118","6781","N/A","N/A","N/A","N/A","N/A","N/A"
"6","AC/DC","Australia","Rock","N/A","92","69","281221","33693886","225723677","16387858131","580618","37397693","189257026","163","0","11600000","64754790","9201472389","304933","49972274","642","73090","1625542","601583","2018988","92053","6316705","728168","-12108","28348300","24960","9818816","2676","187017","325687","271046","40","194691","112","5683","N/A","N/A","N/A","N/A","N/A","N/A"
"7","WWE","United States","Rock","Sony Music Entertainment, Warner Music Group","99","4988","7332","739109","24157596","1797295962","-106730","2922371","6885873","31","0","112000000","432703987","15382056212","7171810","454841338","266","794570","35863946","26860866","96828326","5826","36006583","3425454","-1256","1043887","359","28277","14","3491","23806","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8","The Beatles","United Kingdom","Rock","Universal Music Group","103","125","208527","31693816","312408809","27623110105","1086724","35675326","167504797","337","40000","9450000","37619548","4250484512","315123","34091013","N/A","73327","2307607","784392","3242778","205559","5667875","759105","-7686","36985792","23144","8011709","935","344953","5640","327808","8","375703","132","7388","N/A","N/A","N/A","N/A","N/A","N/A"
"9","Red Hot Chili Peppers","United States","Rock","Warner Music Group, Big Indie Labels","110","53","246856","24306173","335562760","20920285403","2377538","47759340","204811414","528","30000","8550000","49325227","7759466618","187215","37334041","891","27605","956467","108506","211435","40371","6488581","175076","-29504","25751583","22500","7588621","2795","225837","1115070","208865","63","166198","118","6449","162894","2","1","38","0.026402046160550953","252.72907641901784"
"10","Gorillaz","United Kingdom","Rock","Warner Music Group, Sony Music Entertainment","116","128","244049","15766537","278279515","13362370569","-42387","42059357","153556256","264","100000","13200000","71010304","6174213240","712634","73160293","342","168348","5733617","967972","5436297","190389","7471128","930004","12213","10255220","21675","2945034","3650","500155","1136497","218372","505","48024","116","3730","255","58","14","3675","3.4312139219817372","32715.693079476787"
