"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 3m","Spotify Followers Total","Spotify Streams 3m","Spotify Streams Total","Spotify Monthly Listeners 3m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 3m","YouTube Subscribers Total","YouTube Views 3m","YouTube Views Total","YouTube Likes 3m","YouTube Likes Total","Social Rank","TikTok Followers 3m","TikTok Followers Total","TikTok Likes 3m","TikTok Views 3m","Instagram Followers 3m","Instagram Followers Total","Instagram Likes 3m","Facebook Followers 3m","Facebook Followers Total","Deezer Fans 3m","Deezer Fans Total","SoundCloud Followers 3m","SoundCloud Followers Total","SoundCloud Plays 3m","Shazam Shazams 3m","Radio Airplay Rank","Radio Airplay Spins 3m","Radio Airplay Countries with Spins 3m","Radio Airplay Stations with Spins 3m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 3m","Beatport Track Performance Points Total"
"1","Coldplay","United Kingdom","Rock","Warner Music Group","21","7","1398773","63412075","1595731905","44722061436","-8759495","91758775","527842774","52","100000","28400000","302583636","22995191909","1093793","151606658","253","-63281","8001690","87282","1127629","-127534","29176472","293907","-170200","41051776","113718","18215283","8342","525739","4878191","484979","14","863707","184","9894","17874","45","17","2946","18.49985108764066","4220.872219331149"
"2","Imagine Dragons","United States","Rock","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels","30","16","634730","59523546","1003338185","39252272120","131774","54377775","273869446","38","100000","33200000","336565145","24571559032","1295426","188124764","976","10571","4041176","95215","1483605","121069","10135720","992951","-64247","14570000","103839","9385815","3964","5552168","1253905","379346","37","581164","180","7015","99114","28","5","201","1.56057558421251","559.7098376675602"
"3","Linkin Park","United States","Rock","Warner Music Group","37","34","1219732","33977719","1697216665","31453791686","3514391","55329407","185902931","104","200000","24800000","445022389","17108413548","2258635","128157913","327","55001","3142842","87351","2153251","239369","11272535","2039266","-165166","55878043","135303","12038784","163493","5426275","2672426","455671","71","442957","198","6127","3245","47","14","1027","2.8061780678609467","2143.7819043575796"
"4","Queen","United Kingdom","Rock","Universal Music Group","73","35","970462","56888384","773089217","27830235360","-13601242","51990770","293061182","275","100000","18900000","165039842","11611848184","1016822","89906232","866","38822","3980219","260843","3184711","16761","6429010","808062","-74444","26128655","105471","12660620","6188","270670","1356275","188944","9","1075129","149","10815","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Guns N' Roses","United States","Rock","Universal Music Group","87","76","958286","36961128","518282837","13050581835","1652461","36270098","153852283","156","200000","13300000","167991205","9241676266","668330","41860832","349","38104","1843543","25238","1354678","114638","8927306","1484551","-98210","28896060","69911","8490587","5127","159529","858641","246587","60","518737","126","7709","N/A","N/A","N/A","N/A","N/A","N/A"
"6","AC/DC","Australia","Rock","N/A","92","69","770421","33693886","623117478","16387858131","1784445","37397693","189257026","163","100000","11600000","180182207","9201472389","830627","49972274","642","113090","1625542","601583","3877818","212567","6316705","2335893","-24458","28348300","80902","9818816","7585","187017","919702","271046","40","565527","118","6476","N/A","N/A","N/A","N/A","N/A","N/A"
"7","WWE","United States","Rock","Sony Music Entertainment, Warner Music Group","99","4988","24209","739109","75101448","1797295962","5814","2922371","6885873","31","0","112000000","1238246145","15382056212","20255056","454841338","266","1534570","35863946","26860866","134175186","5826","36006583","3425454","-3347","1043887","707","28277","37","3491","73424","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8","The Beatles","United Kingdom","Rock","Universal Music Group","103","125","548827","31693816","903373838","27623110105","1959267","35675326","167504797","337","120000","9450000","104542242","4250484512","788991","34091013","N/A","203327","2307607","784392","7632478","205559","5667875","759105","-15445","36985792","80025","8011709","2928","344953","17273","327808","8","1096734","138","8422","N/A","N/A","N/A","N/A","N/A","N/A"
"9","Red Hot Chili Peppers","United States","Rock","Warner Music Group, Big Indie Labels","110","53","636524","24306173","943336470","20920285403","5789320","47759340","204811414","528","70000","8550000","138881407","7759466618","508732","37334041","891","57735","956467","108506","691065","110744","6488581","885063","-68191","25751583","79102","7588621","7710","225837","3079305","208865","63","484547","128","7277","162894","2","1","38","0.026402046160550953","252.72907641901784"
"10","Gorillaz","United Kingdom","Rock","Warner Music Group, Sony Music Entertainment","116","128","717671","15766537","762407074","13362370569","4610189","42059357","153556256","264","400000","13200000","196587680","6174213240","2417087","73160293","342","188348","5733617","1267972","11834367","790626","7471128","8342027","41372","10255220","66671","2945034","9912","500155","2874641","218372","505","135553","119","4466","255","58","14","3675","3.6551798992109696","32715.693079476787"
