"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"1","Coldplay","United Kingdom","Rock","Warner Music Group","21","7","96520","63412075","122099694","44722061436","381405","91758775","527842774","52","0","28400000","23015222","22995191909","79276","151606658","253","-4897","8001690","8216","0","-18903","29176472","11313","-13724","41051776","7942","18215283","664","525739","373235","20407","14","65996","146","7028","17874","45","17","2946","14.943179520695917","4220.872219331149"
"2","Imagine Dragons","United States","Rock","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels","30","16","53980","59523546","73546171","39252272120","312726","54377775","273869446","38","0","33200000","26006520","24571559032","96476","188124764","976","774","4041176","25774","0","58583","10135720","98850","-5293","14570000","7743","9385815","204","5552168","104422","50410","37","46018","168","4937","99114","28","5","201","1.478429565545832","559.7098376675602"
"3","Linkin Park","United States","Rock","Warner Music Group","37","34","87170","33977719","133643800","31453791686","36212","55329407","185902931","104","0","24800000","32731779","17108413548","159156","128157913","327","3395","3142842","18281","0","9977","11272535","48455","-11888","55878043","9047","12038784","1508","5426275","855923","40234","71","34334","191","3703","3245","47","14","1027","2.58315054434243","2143.7819043575796"
"4","Queen","United Kingdom","Rock","Universal Music Group","73","35","72384","56888384","62577656","27830235360","336100","51990770","293061182","275","0","18900000","12784584","11611848184","78104","89906232","866","6876","3980219","115701","0","526","6429010","25683","-6182","26128655","6449","12660620","445","270670","98112","13718","9","82340","128","7886","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Guns N' Roses","United States","Rock","Universal Music Group","87","76","72450","36961128","41817032","13050581835","252844","36270098","153852283","156","100000","13300000","14221072","9241676266","58731","41860832","349","3823","1843543","11051","0","26922","8927306","402527","-7498","28896060","5434","8490587","395","159529","69696","630","60","40038","106","4799","N/A","N/A","N/A","N/A","N/A","N/A"
"6","AC/DC","Australia","Rock","N/A","92","69","58208","33693886","50491842","16387858131","124130","37397693","189257026","163","0","11600000","14675708","9201472389","68283","49972274","642","21808","1625542","247756","0","26992","6316705","197648","237","28348300","5824","9818816","574","187017","71456","1053","40","44165","94","3980","N/A","N/A","N/A","N/A","N/A","N/A"
"7","WWE","United States","Rock","Sony Music Entertainment, Warner Music Group","99","4988","1508","739109","5270212","1797295962","-36667","2922371","6885873","31","0","112000000","105006124","15382056212","1725221","454841338","266","389698","35863946","13145877","0","-4465","36006583","1127207","-293","1043887","118","28277","2","3491","5416","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8","The Beatles","United Kingdom","Rock","Universal Music Group","103","125","43852","31693816","72144522","27623110105","519926","35675326","167504797","337","10000","9450000","8386248","4250484512","63232","34091013","N/A","14346","2307607","225944","0","19682","5667875","281472","-2763","36985792","4881","8011709","226","344953","1231","9453","8","84760","114","5620","N/A","N/A","N/A","N/A","N/A","N/A"
"9","Red Hot Chili Peppers","United States","Rock","Warner Music Group, Big Indie Labels","110","53","49238","24306173","78344515","20920285403","846159","47759340","204811414","528","0","8550000","11479924","7759466618","42641","37334041","891","11026","956467","71536","0","8118","6488581","25080","-6185","25751583","4954","7588621","590","225837","241387","240","63","37805","107","4753","162894","2","1","38","0.026402046160550953","252.72907641901784"
"10","Gorillaz","United Kingdom","Rock","Warner Music Group, Sony Music Entertainment","116","128","47703","15766537","57816145","13362370569","-840547","42059357","153556256","264","0","13200000","13962739","6174213240","113954","73160293","342","21078","5733617","450281","0","57334","7471128","285543","5674","10255220","3883","2945034","681","500155","218780","4733","505","11011","99","2339","255","58","14","3675","3.4312139219817372","32715.693079476787"
"11","Bon Jovi","United States","Rock","Universal Music Group, Big Indie Labels","135","139","35917","16698720","32249970","10269854997","292369","32499261","219014898","176","10000","9050000","13379538","8649519473","52564","41381163","567","3432","1326551","41885","0","13302","2933132","96638","-5990","23957609","2705","5217479","168","81601","53526","5959","24","58782","122","6744","N/A","N/A","N/A","N/A","N/A","N/A"
"12","Nirvana","United States","Rock","Universal Music Group","143","91","63925","24974149","48743007","14778619209","199488","38047066","147402416","204","100000","10800000","11625653","6420998638","71266","49578231","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-7200","25176038","5180","9959769","1208","454375","324919","8048","N/A","N/A","N/A","N/A","166087","1","0","0","0.013201023080275476","0.2640204616055095"
"13","Radiohead","United Kingdom","Rock","Big Indie Labels","144","94","70469","15659445","76400100","15852294382","-65890","43750998","156056492","650","10000","5130000","9522818","3439968797","58088","25734734","792","6075","1857584","81703","0","6724","4626418","70585","-3373","11068189","3896","4011321","1050","1911898","104215","22956","364","12366","90","2661","19008","295","2","15","23.816043892406736","294.66512795999074"
