"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"Every Breath You Take","1983-06-17","N/A","Rock","N/A","N/A","The Police","N/A","N/A","N/A","N/A","12","N/A","N/A","N/A","N/A","1080292447.6550002","N/A","N/A","N/A","800889824","3413281864","N/A","N/A","N/A","333472175","2101729925","N/A","N/A","N/A","627352","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Iris","1998-09-11","N/A","Rock","N/A","N/A","Goo Goo Dolls","N/A","N/A","N/A","N/A","19","N/A","N/A","N/A","N/A","969099381.7749999","N/A","N/A","N/A","936814697","3261527510","N/A","N/A","N/A","254883169","1633393517","N/A","N/A","N/A","315937","N/A","N/A","N/A","N/A","3890292","17766427","N/A","N/A","N/A","N/A","N/A"
"Creep","1992-09-21","N/A","Rock","N/A","N/A","Radiohead","N/A","N/A","N/A","N/A","28","N/A","N/A","N/A","N/A","866874668.445","N/A","N/A","N/A","696392725","2812960239","N/A","N/A","N/A","301699211","1833814514","N/A","N/A","N/A","234165","N/A","N/A","N/A","N/A","1192038","3924576","N/A","N/A","N/A","0","11899160"
"Wonderwall","1994-12-12","N/A","Rock","N/A","N/A","Oasis","N/A","N/A","N/A","N/A","41","N/A","N/A","N/A","N/A","769924239.775","N/A","N/A","N/A","360961089","2732202993","N/A","N/A","N/A","92188540","1187243992","N/A","N/A","N/A","330528","N/A","N/A","N/A","N/A","652430","724934","N/A","N/A","N/A","N/A","N/A"
"In the End","2000-01-01","N/A","Rock","N/A","N/A","Linkin Park","N/A","N/A","N/A","N/A","53","N/A","N/A","N/A","N/A","720784685.2449999","N/A","N/A","N/A","563732231","3097435966","N/A","N/A","N/A","246103813","2427591365","N/A","N/A","N/A","219355","N/A","N/A","N/A","N/A","3421","165645","N/A","N/A","N/A","N/A","N/A"
"Yellow","2000-06-26","N/A","Rock","N/A","N/A","Coldplay","N/A","N/A","N/A","N/A","54","N/A","N/A","N/A","N/A","715062066.0899999","N/A","N/A","N/A","703919540","3684710757","N/A","N/A","N/A","240822448","2041466418","N/A","N/A","N/A","169527","N/A","N/A","N/A","N/A","2400390","5667390","N/A","N/A","N/A","25288","8025963"
"Sweater Weather","2012-08-07","N/A","Rock","N/A","N/A","The Neighbourhood","N/A","N/A","N/A","N/A","55","N/A","N/A","N/A","N/A","713700509.62","N/A","N/A","N/A","777710126","4508394356","N/A","N/A","N/A","109022675","1480546526","N/A","N/A","N/A","68725","N/A","N/A","N/A","N/A","75016","276074","N/A","N/A","N/A","N/A","N/A"
"Bohemian Rhapsody - Remastered 2011","1975-11-21","N/A","Rock","N/A","N/A","Queen","N/A","N/A","N/A","N/A","69","N/A","N/A","N/A","N/A","678808212.435","N/A","N/A","N/A","277376135","3113493040","N/A","N/A","N/A","134463103","2283908016","N/A","N/A","N/A","319646","N/A","N/A","N/A","N/A","564616","2337608","N/A","N/A","N/A","N/A","N/A"
"Somewhere Only We Know","2004-01-01","N/A","Rock","N/A","N/A","Keane","N/A","N/A","N/A","N/A","81","N/A","N/A","N/A","N/A","621819528.955","N/A","N/A","N/A","508713352","2487270336","N/A","N/A","N/A","246601858","1330432598","N/A","N/A","N/A","157481","N/A","N/A","N/A","N/A","329691","1554365","N/A","N/A","N/A","N/A","N/A"
"Everybody Wants To Rule The World","1985-02-25","N/A","Rock","N/A","N/A","Tears For Fears","N/A","N/A","N/A","N/A","82","N/A","N/A","N/A","N/A","621031025.115","N/A","N/A","N/A","444114184","2490931590","N/A","N/A","N/A","252239315","1240483305","N/A","N/A","N/A","454039","N/A","N/A","N/A","N/A","517608","2704323","N/A","N/A","N/A","N/A","N/A"
