"Playlist title","Playlist type","Playlist curator","Playlist genres","Playlist subgenres","Spotify tracks Alltime","Spotify followers growth 1m","Spotify followers Alltime"
"Today’s Top Hits","Editorial","Spotify","Pop, R&B","Mainstream Pop","50","-27533","34424025"
"Top 50 - Global","Charts","Spotify","Pop, Latin","Mainstream Pop, Reggaeton, Indie Pop","50","15209","17039309"
"RapCaviar","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap, Alternative Hip Hop","50","-18275","15782255"
"Viva Latino","Editorial","Spotify","Latin","Reggaeton","50","143","15474497"
"All Out 2010s","Editorial","Spotify","Hip Hop","Contemporary Hip Hop","150","280607","14789891"
"Rock Classics","Editorial","Spotify","Rock, Metal","Heavy Metal, Psychedelic Rock, Progressive Rock","200","304889","13028140"
"All Out 2000s","Editorial","Spotify","Pop, Hip Hop, Rock","Mainstream Pop, Contemporary Hip Hop","150","116835","12862750"
"All Out 80s","Editorial","Spotify","Pop","Mainstream Pop","150","27123","11898088"
"phonk","Editorial","Spotify","Electronic, Hip Hop, Latin","Phonk","100","109456","11449796"
"Songs to Sing in the Car","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","100","13861","11258524"
"Beast Mode","Editorial","Spotify","Hip Hop, Electronic, Pop","Contemporary Hip Hop, Dance","150","17248","11038028"
"Baila Reggaeton","Editorial","Spotify","Latin, Hip Hop","Reggaeton","51","-28706","10385261"
"MANSIÓN REGGAETÓN","Editorial","Spotify","Latin, Hip Hop","Reggaeton","50","11124","9848743"
"I Love My '90s Hip-Hop","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Contemporary R&B","100","17858","9282700"
"Dance Party","Editorial","Spotify","Electronic","Dance, House","150","8685","9241371"
"Chill Hits","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","130","-4776","9104762"
"Top Brasil","Editorial","Spotify","Latin","Sertanejo, Funk Carioca","50","5904","8814106"
"All Out 90s","Editorial","Spotify","Rock, Pop","Mainstream Pop, Alternative Rock","150","17465","8670492"
"Mega Hit Mix","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","75","43853","8480675"
"Esquenta Sertanejo","Editorial","Spotify","Latin","Sertanejo","50","10386","8083609"
"This Is BTS","This Is ...","Spotify","Pop","k-pop","321","187146","8038404"
"Gym Hits","Editorial","Spotify","Electronic","Dance","80","-5400","7882360"
"Peaceful Piano","Editorial","Spotify","Classical","Classical Crossover, Downtempo","131","15624","7869894"
"Mood Booster","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","80","-559","7821898"
"Christmas Hits","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","90","-34154","7797977"
"Soft Pop Hits","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","100","4133","7796446"
"Hot Country","Editorial","Spotify","Country","Contemporary Country","50","190","7642697"
"Songs to Sing in the Shower","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop, Contemporary R&B","200","2195","7589753"
"Deep House 2026","Indie Curator","selected.","Electronic","Dance, House, Deep House","150","59085","7584158"
"Lofi Fruits Music - lofi hip hop beats to study, relax & sleep to","Indie Curator","Fruits Music","Electronic","Downtempo, Lo-Fi","250","20374","7429713"
"Lofi Girl - beats to relax/study to","Indie Curator","Lofi Girl","Electronic","Downtempo, Lo-Fi","500","1949","7124313"
"90s Rock Anthems","Editorial","Spotify","Rock","Alternative Rock","100","7512","6758959"
"Classic Road Trip Songs","Editorial","Spotify","Rock","Hard Rock, Pop Rock","100","14935","6756457"
"Funk Hits","Editorial","Spotify","Latin","Funk Carioca","50","18972","6748238"
"Top Gaming Tracks","Editorial","Spotify","Pop, Hip Hop, Electronic","N/A","100","-6539","6743612"
"Pop Up","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","100","10926","6683771"
"Get Turnt","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap","100","0","6658974"
"Sleep","Editorial","Spotify","Electronic, Pop","Downtempo, Ambient","300","34008","6576575"
"This Is Taylor Swift","This Is ...","Spotify","Pop","Mainstream Pop","85","9906","6396493"
"Happy Hits!","Editorial","Spotify","Pop, Country","Mainstream Pop","100","-207","6343454"
"00s Rock Anthems","Editorial","Spotify","Rock, Punk","Alternative Rock","100","2180","6206341"
"This Is Bad Bunny","This Is ...","Spotify","Latin","Reggaeton","129","219900","6147764"
"RNB X","Editorial","Spotify","R&B","Contemporary R&B","50","-5365","6109457"
"K-Pop ON! (온)","Editorial","Spotify","Pop","k-pop","50","39775","6102141"
"Hit Rewind","Editorial","Spotify","Pop","Mainstream Pop","100","-6100","6073160"
"Éxitos México","Editorial","Spotify","Latin","Reggaeton, Regional Mexican Music, Corrido","50","-12725","6052290"
"All Out 70s","Editorial","Spotify","Rock, Pop","Mainstream Pop, Hard Rock, Pop Rock","150","6265","5865238"
"Disney Hits","Editorial","Spotify","Pop, Classical","Mainstream Pop, Orchestral","72","28148","5720420"
"This Is Ed Sheeran","This Is ...","Spotify","Pop","Mainstream Pop","101","1585","5638128"
"mint","Editorial","Spotify","Electronic","Dance, House","75","22082","5606398"
"lofi beats","Editorial","Spotify","Electronic, Hip Hop","Contemporary Hip Hop, Downtempo, Lo-Fi","200","4085","5481759"
"Have a Great Day!","Editorial","Spotify","Rock, Pop","Mainstream Pop, Pop Rock","80","-1784","5259892"
"Hot Hits Philippines","Editorial","Spotify","Pop, R&B","Mainstream Pop, OPM","50","-2308","5066423"
"This Is Queen","This Is ...","Spotify","Rock","Hard Rock, Pop Rock","50","3628","4973319"
"Deep Focus","Editorial","Spotify","Electronic","Downtempo","266","16708","4909010"
"Jazz Classics","Editorial","Spotify","Jazz","Smooth Jazz, Bebop","250","24231","4907574"
"This Is The Weeknd","This Is ...","Spotify","Pop, Hip Hop","Mainstream Pop, Contemporary Hip Hop, Contemporary R&B","50","6761","4881165"
"Dance Fruits Music - dance music to workout, game & party to ","Indie Curator","Fruits Music","Electronic","Dance, Deep House","137","-9732","4877867"
"my life is a movie","Editorial","Spotify","Pop, Rock","Indie Pop, Indie Rock","100","34702","4872907"
"I Love My '00s R&B","Editorial","Spotify","R&B","Mainstream Pop, Contemporary R&B","100","2921","4812851"
"Workout","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","93","-3281","4739879"
"This Is Billie Eilish","This Is ...","Spotify","Pop","Mainstream Pop, Indie Pop","50","10635","4644679"
"Acoustic Covers","Editorial","Spotify","Pop, Country, Classical","Indie Pop","150","-11446","4458943"
"Dance Hits","Editorial","Spotify","Electronic","Dance, House","50","4773","4398115"
"Rock en Español","Editorial","Spotify","Rock","Folk Rock, Pop Rock","100","2134","4262713"
"MARROW","Editorial","Spotify","Rock","Alternative Rock, Indie Rock","75","-9508","4259626"
"Legendary","Editorial","Spotify","Rock","Hard Rock, Pop Rock","70","2199","4247156"
"This Is Drake","This Is ...","Spotify","Hip Hop","Mainstream Pop, Contemporary Hip Hop","151","8647","4229070"
"New Music Friday","Editorial","Spotify","Hip Hop, Pop","N/A","100","0","4227134"
"Viral Hits","Editorial","Spotify","Pop, Hip Hop","Contemporary Hip Hop","50","-5396","4223377"
"This Is Coldplay","This Is ...","Spotify","Rock, Pop, African","Mainstream Pop, Pop Rock","57","2093","4185916"
"big on the internet","Editorial","Spotify","Pop, Hip Hop","Mainstream Pop, Indie Pop","50","-10173","4126359"
"Cardio","Editorial","Spotify","Electronic, Pop","Mainstream Pop, Dance","100","-1579","4116796"
"Power Workout","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap, Alternative Hip Hop","50","-4364","4115389"
"This Is Eminem","This Is ...","Spotify","Hip Hop","Contemporary Hip Hop, Alternative Hip Hop","50","8041","4108209"
"80s Rock Anthems","Editorial","Spotify","Rock","Alternative Rock, Hard Rock, Pop Rock","80","4777","4081182"
"This Is The Beatles","This Is ...","Spotify","Rock","Hard Rock, Pop Rock","50","-1127","4052860"
"Your Favorite Coffeehouse","Editorial","Spotify","Pop, Rock","Indie Pop, Folk Rock","146","-2888","4046038"
"Pop Remix","Editorial","Spotify","Electronic, Pop","Mainstream Pop, Dance","75","-5437","4024155"
"Gold School","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap","50","8830","4006755"
"Life Sucks","Editorial","Spotify","Pop, R&B","Mainstream Pop, Indie Pop, Contemporary R&B","200","-4078","3953665"
"Esenciales","Editorial","Spotify","Latin","Regional Mexican Music","150","8624","3948086"
"Chill Tracks","Editorial","Spotify","Electronic, Pop","Dance, House, Deep House","100","-1782","3921601"
"Reggaetón Viejito","Editorial","Spotify","Pop","Reggaeton, Latin Pop","200","24125","3920156"
"Baladas Románticas","Editorial","Spotify","Pop, Hip Hop","Latin Pop, Indie Pop, Pop Rock","100","-7874","3908324"
"Confidence Boost","Editorial","Spotify","Pop","Mainstream Pop, Contemporary R&B","75","0","3896375"
"Acoustic Hits: Oldies but Goodies","Editorial","Spotify","Rock, Pop","Mainstream Pop, Pop Rock","50","-4381","3883640"
"Party Hits","Editorial","Spotify","Hip Hop, Electronic, Pop","Mainstream Pop","100","-11257","3870176"
"Locked In","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap","100","8880","3867226"
"La Reina: Éxitos de la Música Mexicana","Editorial","Spotify","Latin","Regional Mexican Music, Corrido","50","6749","3837761"
"I Love My '90s R&B","Editorial","Spotify","R&B","Contemporary R&B, Soul","75","8762","3836640"
"Top 50 - Brazil","Charts","Spotify","Latin","Sertanejo, Funk Carioca","50","7944","3834418"
"This Is Ariana Grande","This Is ...","Spotify","Pop","Mainstream Pop, Contemporary R&B","80","4279","3792390"
"Classical Essentials","Editorial","Spotify","Classical","Orchestral, Chamber Music","205","9992","3769329"
"Metal Essentials","Editorial","Spotify","Metal","Heavy Metal","100","-1943","3764532"
"90s Love Songs","Editorial","Spotify","Pop, R&B, Rock","Mainstream Pop, Contemporary R&B","75","6699","3698302"
"Brain Food","Editorial","Spotify","Electronic","Downtempo, Other Electronic Music","200","219","3680037"
"Christmas Classics","Editorial","Spotify","Pop, Jazz","Mainstream Pop","68","-8049","3672058"
"Pagodeira","Editorial","Spotify","Latin","Samba","75","4728","3647776"
"Broken Heart","Editorial","Spotify","Pop, Jazz","Mainstream Pop, Indie Pop","100","-256","3645005"
"La Lista Pop","Editorial","Spotify","Latin, Pop","Reggaeton, Latin Pop","50","-1416","3627439"
"Good Vibes","Editorial","Spotify","Pop, Hip Hop, R&B","Mainstream Pop, Contemporary R&B","100","12598","3620063"
"Feelin' Good","Editorial","Spotify","Pop, Jazz, R&B","Mainstream Pop, Retro Soul","150","-3595","3613434"
"Soft Rock","Editorial","Spotify","Rock, Pop","Pop Rock","125","-2305","3576057"
"Relax & Unwind","Editorial","Spotify","Pop, Rock, Country","Indie Pop","150","-9281","3540457"
"80s Hits","Editorial","Spotify","Rock, Pop, R&B","Mainstream Pop, Pop Rock","100","-2116","3537265"
"Verano Forever","Editorial","Spotify","Latin, Hip Hop, Pop","Reggaeton, Latin Pop","100","-16659","3516209"
"Éxitos Argentina","Editorial","Spotify","Latin, Pop, Hip Hop","Trap, Reggaeton, Latin Pop","50","6789","3482224"
"Car Music","Indie Curator","Future House Cloud","Electronic","Dance, Techno, House","149","27658","3472291"
"Corridos Perrones","Editorial","Spotify","Latin","Regional Mexican Music, Corrido","75","-2047","3456073"
"This Is Adele","This Is ...","Spotify","Pop","Mainstream Pop, Soul","39","5384","3443276"
"Chillin' on a Dirt Road","Editorial","Spotify","Country","Contemporary Country","100","58","3415451"
"Deep House Relax","Editorial","Spotify","Electronic","House, Deep House","200","17982","3404850"
"This Is BLACKPINK","This Is ...","Spotify","Pop","k-pop","72","11579","3401197"
"Guilty Pleasures","Editorial","Spotify","Pop, Rock","Mainstream Pop","150","561","3392025"
"Love Pop","Editorial","Spotify","Pop","Mainstream Pop, Contemporary R&B","100","-5961","3375404"
"70s Road Trip","Editorial","Spotify","Rock","Hard Rock, Pop Rock","100","7829","3351699"
"Alone Again","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","150","-1437","3317718"
"This Is Justin Bieber","This Is ...","Spotify","Pop","Mainstream Pop","50","8535","3314125"
"Stranger Things Official Playlist","Editorial","Spotify","Rock, R&B","N/A","189","14523","3297314"
"Old School Reggaeton","Editorial","Spotify","Latin","Reggaeton","54","3874","3280230"
"Los Que Mandan - Música Mexicana","Editorial","Spotify","Latin","Regional Mexican Music, Corrido","55","-12414","3270440"
"Feelin' Myself","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap, Alternative Hip Hop","51","-1642","3249860"
"Top 50 - USA","Charts","Spotify","Pop, Country, Latin","Indie Pop","50","694","3248434"
"Potência Sertaneja","Editorial","Spotify","Latin","Sertanejo","75","14991","3220325"
"This Is Rihanna","This Is ...","Spotify","Electronic, Pop","Mainstream Pop, Dance, Contemporary R&B","50","6145","3217223"
"Pop Rising","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","100","3501","3208637"
"All Out 60s","Editorial","Spotify","Rock, R&B, Pop","Mainstream Pop, Soul","150","564","3194692"
"Reggae Classics","Editorial","Spotify","Reggae","Roots Reggae, Rocksteady","100","8312","3190071"
"70s Rock Anthems","Editorial","Spotify","Rock","Hard Rock, Pop Rock","100","844","3140364"
"Party Hits 2010s","Editorial","Spotify","Electronic, Pop","Mainstream Pop, Dance, Contemporary R&B","150","20316","3091217"
"Hot Hits Hindi","Editorial","Spotify","Pop","Indian Pop, Indian Folk","50","34289","3077530"
"This Is Michael Jackson","This Is ...","Spotify","Pop","Mainstream Pop, Contemporary R&B","49","16088","3065281"
"Éxitos España","Editorial","Spotify","Latin, Hip Hop","Reggaeton, Latin Pop","50","-10610","3060700"
"Hot Hits UK","Editorial","Spotify","Pop, Electronic","Mainstream Pop","70","-3508","3037159"
"Canciones del Recuerdo","Editorial","Spotify","Pop","Latin Pop, Other Latin Music","150","-1668","3032687"
"Pure Pop Punk","Editorial","Spotify","Punk, Rock","Alternative Rock, Punk Rock, Pop Punk","100","-125","3000779"
"Paredão Explode","Editorial","Spotify","Latin","Forró, Piseiro","50","24303","3000071"
"just hits","Editorial","Spotify","Pop, Electronic","Mainstream Pop","100","16930","2992494"
"This Is XXXTENTACION","This Is ...","Spotify","Hip Hop","Contemporary Hip Hop, Trap, Emo Rap","50","-1306","2948950"
"Latin Pop Classics","Editorial","Spotify","Pop","Latin Pop","100","-646","2938933"
"Deutschrap Brandneu","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap","77","-4243","2920323"
"Beast Mode Hip-Hop","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap, Alternative Hip Hop","76","4836","2849925"
"This Is Imagine Dragons","This Is ...","Spotify","Rock","Mainstream Pop, Pop Rock","45","0","2816995"
"Throwback Jams","Editorial","Spotify","Hip Hop, R&B, Pop","Mainstream Pop, Contemporary Hip Hop, Contemporary R&B","93","2544","2807431"
"Warm Fuzzy Feeling","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","100","1413","2805319"
"80s HITS | TOP 100 SONGS ","Indie Curator","Filtr US","Pop","Mainstream Pop, Dance","145","11795","2804999"
"This Is One Direction","This Is ...","Spotify","Pop","Mainstream Pop","50","631","2800099"
"This Is Post Malone","This Is ...","Spotify","Hip Hop, Country","Contemporary Country, Mainstream Pop, Alternative Hip Hop","50","2340","2796372"
"This Is Lana Del Rey","This Is ...","Spotify","Pop, Hip Hop","Mainstream Pop, Indie Pop","50","11034","2775277"
"Rock Party","Editorial","Spotify","Rock","Hard Rock, Glam Metal","100","3517","2761584"
"All The Feels","Editorial","Spotify","R&B","Contemporary R&B, Neo Soul","100","-1596","2739557"
"Most Necessary","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap, Alternative Hip Hop","100","-4177","2738044"
"Peaceful Meditation","Editorial","Spotify","Electronic","Downtempo","230","25795","2730737"
"Deep House - dance music to workout, game & party to by dance fruits","Indie Curator","Fruits Music","Electronic, Pop","Dance, Deep House","136","-5723","2711604"
"Girls' Night","Editorial","Spotify","Pop","Mainstream Pop, Contemporary R&B","80","-1276","2663362"
"Coffee Table Jazz","Editorial","Spotify","Jazz","Smooth Jazz","100","2298","2662064"
"TECHNO BUNKER","Editorial","Spotify","Electronic","Techno","100","4174","2657192"
"Classic Acoustic","Editorial","Spotify","Rock, Country","Folk Rock","100","-265","2644635"
"young, wild & free","Editorial","Spotify","Pop","Mainstream Pop, Contemporary R&B","100","-2617","2631614"
"80s Love Songs","Editorial","Spotify","Rock, Pop","Mainstream Pop, Pop Rock","75","3100","2603360"
"Power Hour","Editorial","Spotify","Electronic, Pop","Dance","125","347","2599435"
"Hits Urbanos","Editorial","Spotify","Latin, Hip Hop","Reggaeton","100","62521","2595324"
"Hype","Editorial","Spotify","Electronic","Dance, Dubstep, Trap/Future Bass","75","-365","2575423"
"Women of Pop","Editorial","Spotify","Pop","Mainstream Pop, Indie Pop","75","-852","2563328"
"Rap Workout","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap, Alternative Hip Hop","100","10853","2559231"
"Love Deluxe","Editorial","Spotify","R&B","Contemporary R&B, Soul","50","-1327","2555518"
"Hot Hits Deutschland","Editorial","Spotify","Pop, Hip Hop, Electronic","Mainstream Pop","50","-7783","2550563"
"This Is Luis Miguel","This Is ...","Spotify","Pop","Latin Pop, Other Latin Music","50","5536","2544971"
