"Playlist title","Playlist type","Playlist curator","Playlist genres","Playlist subgenres","Spotify tracks Alltime","Spotify followers growth 1m","Spotify followers Alltime"
"phonk","Editorial","Spotify","Electronic, Hip Hop, Latin","Phonk","100","109456","11449796"
"Beast Mode","Editorial","Spotify","Hip Hop, Electronic, Pop","Contemporary Hip Hop, Dance","150","17248","11038028"
"Dance Party","Editorial","Spotify","Electronic","Dance, House","150","8685","9241371"
"Gym Hits","Editorial","Spotify","Electronic","Dance","80","-5400","7882360"
"Deep House 2026","Indie Curator","selected.","Electronic","Dance, House, Deep House","150","59085","7584158"
"Lofi Fruits Music - lofi hip hop beats to study, relax & sleep to","Indie Curator","Fruits Music","Electronic","Downtempo, Lo-Fi","250","20374","7429713"
"Lofi Girl - beats to relax/study to","Indie Curator","Lofi Girl","Electronic","Downtempo, Lo-Fi","500","1949","7124313"
"Top Gaming Tracks","Editorial","Spotify","Pop, Hip Hop, Electronic","N/A","100","-6539","6743612"
"Sleep","Editorial","Spotify","Electronic, Pop","Downtempo, Ambient","300","34008","6576575"
"mint","Editorial","Spotify","Electronic","Dance, House","75","22082","5606398"
"lofi beats","Editorial","Spotify","Electronic, Hip Hop","Contemporary Hip Hop, Downtempo, Lo-Fi","200","4085","5481759"
"Deep Focus","Editorial","Spotify","Electronic","Downtempo","266","16708","4909010"
"Dance Fruits Music - dance music to workout, game & party to ","Indie Curator","Fruits Music","Electronic","Dance, Deep House","137","-9732","4877867"
"Dance Hits","Editorial","Spotify","Electronic","Dance, House","50","4773","4398115"
"Cardio","Editorial","Spotify","Electronic, Pop","Mainstream Pop, Dance","100","-1579","4116796"
"Pop Remix","Editorial","Spotify","Electronic, Pop","Mainstream Pop, Dance","75","-5437","4024155"
"Chill Tracks","Editorial","Spotify","Electronic, Pop","Dance, House, Deep House","100","-1782","3921601"
"Party Hits","Editorial","Spotify","Hip Hop, Electronic, Pop","Mainstream Pop","100","-11257","3870176"
"Brain Food","Editorial","Spotify","Electronic","Downtempo, Other Electronic Music","200","219","3680037"
"Car Music","Indie Curator","Future House Cloud","Electronic","Dance, Techno, House","149","27658","3472291"
"Deep House Relax","Editorial","Spotify","Electronic","House, Deep House","200","17982","3404850"
"This Is Rihanna","This Is ...","Spotify","Electronic, Pop","Mainstream Pop, Dance, Contemporary R&B","50","6145","3217223"
"Party Hits 2010s","Editorial","Spotify","Electronic, Pop","Mainstream Pop, Dance, Contemporary R&B","150","20316","3091217"
"Hot Hits UK","Editorial","Spotify","Pop, Electronic","Mainstream Pop","70","-3508","3037159"
"just hits","Editorial","Spotify","Pop, Electronic","Mainstream Pop","100","16930","2992494"
"Peaceful Meditation","Editorial","Spotify","Electronic","Downtempo","230","25795","2730737"
"Deep House - dance music to workout, game & party to by dance fruits","Indie Curator","Fruits Music","Electronic, Pop","Dance, Deep House","136","-5723","2711604"
"TECHNO BUNKER","Editorial","Spotify","Electronic","Techno","100","4174","2657192"
"Power Hour","Editorial","Spotify","Electronic, Pop","Dance","125","347","2599435"
"Hype","Editorial","Spotify","Electronic","Dance, Dubstep, Trap/Future Bass","75","-365","2575423"
"Hot Hits Deutschland","Editorial","Spotify","Pop, Hip Hop, Electronic","Mainstream Pop","50","-7783","2550563"
"Happy Beats","Editorial","Spotify","Electronic, Pop","Dance, House","150","8041","2470358"
"Soft Lounge","Editorial","Spotify","Electronic","Dance, House, Downtempo","197","7706","2414005"
"Intense Studying","Editorial","Spotify","Classical, Electronic","Classical Crossover, Downtempo","153","1007","2376840"
"Tropical House","Editorial","Spotify","Electronic, Pop","Dance","200","1752","2326577"
"Jazz Vibes","Editorial","Spotify","Electronic, Hip Hop","Downtempo, Lo-Fi","200","82","2234176"
"Daily Lift","Editorial","Spotify","Pop, Electronic","Mainstream Pop, Indie Pop","100","721","2195404"
"White Noise 10 Hours","Editorial","Spotify","Electronic","Downtempo, Other Electronic Music","182","35523","2188001"
"chill lofi study beats","Editorial","Spotify","Electronic, Hip Hop","Contemporary Hip Hop, Downtempo, Lo-Fi","200","6866","2157042"
"Yoga & Meditation","Editorial","Spotify","Electronic","Downtempo, Ambient","185","12776","2124060"
"Piano in the Background","Editorial","Spotify","Classical, Electronic, Pop","Classical Crossover, Downtempo","185","-848","2113824"
"Deep Sleep","Editorial","Spotify","Electronic","Downtempo, Ambient","396","8737","2110236"
"Chillout 2026","Indie Curator","We Are Diamond","Electronic","Dance, Deep House, Downtempo","349","-2905","2106527"
"TikTok Songs 2026 | Tik Tok Hits | Viral Hits","Indie Curator","LoudKult","Electronic, Pop","Mainstream Pop, Dance","335","-4248","2079528"
"Summer Party","Editorial","Spotify","Electronic, Pop","Dance, House","100","-3200","2074075"
"This Is Bob Marley & The Wailers","This Is ...","Spotify","Reggae, Electronic","Dance, House, Roots Reggae","48","1200","2071868"
"Disney Favorites","Editorial","Spotify","Pop, Electronic, Classical","Mainstream Pop, Latin Pop, Other Electronic Music","129","1464","2070832"
"This Is Avicii","This Is ...","Spotify","Electronic, Country, Pop","Mainstream Pop, Dance","49","1854","2045512"
"Top 50 - Germany","Charts","Spotify","Pop, Electronic","Mainstream Pop","50","-1877","2043220"
"Trap Nation","Indie Curator","Trap Nation","Electronic","Dance","153","-1052","2020026"
"Chill Beats 💙 groove, relax","Indie Curator","Chill Beats Music","Electronic, Hip Hop","Downtempo, Lo-Fi","637","-3453","2012680"
"Chillout Lounge","Editorial","Spotify","Electronic","Dance, House, Deep House","100","-878","2008333"
"CAR MUSIC 2026 🔥 Bass Boosted Songs 🔊 EDM Remixes Of Popular Songs","Indie Curator","Magic Records","Electronic, Hip Hop","Dance, House","269","9006","1999673"
"Party Hits","Editorial","Spotify","Electronic, Pop","Dance","100","-2527","1985304"
"LOUNGE MUSIC 2026","Indie Curator","OneSevenMusic","Electronic","Dance","101","149655","1963874"
"WORKOUT MUSIC 2026 ⚡ GYM WORKOUT SONGS POWER MUSIC","Indie Curator","Magic Records","Electronic, Hip Hop","Dance, Phonk","246","10498","1953157"
"Housewerk","Editorial","Spotify","Electronic","Dance, House, Tech House","106","65","1949274"
"sped up songs","Editorial","Spotify","Pop, Electronic","Mainstream Pop, k-pop","100","-3639","1944691"
"Sueño Profundo","Editorial","Spotify","Electronic","Downtempo, Ambient","350","11319","1910702"
"Chill House 2026","Indie Curator","selected.","Electronic","Dance, House, Deep House","167","22219","1906649"
"Good Mood","Editorial","Spotify","Pop, Electronic","Mainstream Pop, Dance, Indie Pop","90","-2505","1904163"
"Summer Hits 2025","Editorial","Spotify","Pop, Electronic","Mainstream Pop","75","-1975","1902220"
"Workout Motivation 2026 💪","Indie Curator","Workout Music","Electronic, Pop","Dance, House","218","13701","1890897"
"Summer Dance Hits","Editorial","Spotify","Electronic","Dance, House","120","-3194","1879692"
"Stress Relief","Editorial","Spotify","Electronic","Downtempo","200","20092","1859719"
"Bass Boosted Car 2026 🔥🔊","Indie Curator","Actuation","Electronic","Dance, Techno","165","-3181","1839700"
"RUNNING Music Hits 2026 🏃‍♂️","Indie Curator","OneSevenMusic","Electronic","Dance, House","101","9205","1838854"
"Dance Rising","Editorial","Spotify","Electronic, Hip Hop","House","75","-2358","1838307"
"Main Stage","Editorial","Spotify","Electronic","Dance, House","50","2167","1827452"
"Instrumental Study","Editorial","Spotify","Classical, Pop, Electronic","Classical Crossover, Downtempo","194","-1877","1819179"
"mint Latin","Editorial","Spotify","Electronic, Latin","Reggaeton, Dance","112","-7133","1805855"
"Dance Classics","Editorial","Spotify","Electronic","Dance, House","120","6729","1773586"
"African Heat","Editorial","Spotify","African, Electronic","Afrobeat, Amapiano","50","3472","1739685"
"Sleep Music for Deep Sleeping","Indie Curator","Soothing Oasis","Electronic","Dance, Downtempo","432","73811","1724660"
"GYM PHONK 2026 😈 AGGRESSIVE WORKOUT PHONK MUSIC","Indie Curator","Magic Records","Electronic, Hip Hop","Dance, Phonk","269","25373","1708345"
"Gaming Music Playlist 2026 🎮 👾 EDM Remixes Of Popular Songs for Gaming, Car, Gym","Indie Curator","Magic Records","Electronic","Dance, House","292","13774","1691029"
"This Is Marshmello","This Is ...","Spotify","Electronic, Pop","Mainstream Pop, Dance","50","-1368","1657701"
"This Is Alan Walker","This Is ...","Spotify","Electronic, Pop","Mainstream Pop, Dance, Electro House","50","-376","1638226"
"liminal","Editorial","Spotify","Electronic","Ambient","99","30836","1636470"
"slowed and reverbed","Editorial","Spotify","Electronic, Pop, Hip Hop","Phonk","50","8285","1612039"
"Night Rider","Editorial","Spotify","Electronic","Dance, House","100","1520","1609580"
"Night Rain","Editorial","Spotify","Electronic","Downtempo, Other Electronic Music","170","5859","1604580"
"Reading Soundtrack","Editorial","Spotify","Classical, Pop, Electronic","Classical Crossover, Downtempo","130","9407","1580555"
"Sommerhits 2025","Editorial","Spotify","Electronic, Pop","Mainstream Pop, Dance","70","-3707","1579494"
"Chill  Vibes 2026 🌙","Indie Curator","Electro Posé","Electronic, Pop","Dance","209","17468","1573436"
"8D Music 2024 🎧 8D Audio | 8D Songs by 8D Tunes","Indie Curator","8D TUNES","Electronic","Dance, House","120","0","1565813"
"Summer House 2026","Editorial","Spotify","Electronic","House, Afro House","100","1660","1540380"
"Hardstyle Bangers","Editorial","Spotify","Electronic","Dance, Hardstyle/Hardcore","150","7736","1523724"
"GYM Pump 2026 🔥🍑 BEASTMODE","Indie Curator","LoudKult","Electronic","Dance, House","152","21212","1517670"
"90s Dance Party","Editorial","Spotify","Electronic, Pop","Mainstream Pop, Dance","70","7629","1485052"
"Massive Drum & Bass","Editorial","Spotify","Electronic","Drum & Bass","100","-375","1482628"
"Mellow Beats","Editorial","Spotify","Electronic, Jazz, Hip Hop","Downtempo, Lo-Fi","80","-1314","1476894"
"Pumped Pop","Editorial","Spotify","Pop, Electronic","Mainstream Pop","75","2546","1463668"
"Perfect Concentration","Editorial","Spotify","Classical, Pop, Electronic","Classical Crossover, Downtempo","169","2686","1448083"
"Hot Hits Australia","Editorial","Spotify","Pop, Electronic","Mainstream Pop, Indie Pop","75","-1058","1435700"
"TikTok Music 2026 💯 Viral Trending TikTok Songs","Indie Curator","Soave","Pop, Electronic","Mainstream Pop, Dance","200","4345","1429083"
"Massive Dance Hits","Editorial","Spotify","Electronic","Dance, House","70","-550","1428751"
"Lounge Music 2026 🍹 Soft House, Ibiza Chill & Lounge Hits","Indie Curator","Storm Music Group","Electronic","Dance, House, Downtempo","315","12612","1425508"
"Tomorrowland Official Playlist","Indie Curator","Dimitri Vegas & Like Mike","Electronic","Mainstream Pop, Dance","31","-1994","1425268"
"Beast Mode Dance","Editorial","Spotify","Electronic, Pop","Mainstream Pop, Dance","100","0","1390450"
"Badass Villain Vibes!","Indie Curator","CloudKid","Pop, Electronic","Mainstream Pop, Indie Pop, Neo Soul","403","-261","1379192"
"Beyond Borders: Asian Artists A to Z","Indie Curator","Filtr US","Pop, Electronic, R&B","k-pop","61","-2217","1376748"
"One-Hit Wonders","Editorial","Spotify","Pop, Rock, Electronic","N/A","50","3132","1362219"
"Nature Sounds","Editorial","Spotify","Electronic","Downtempo, Ambient","140","7985","1350301"
"Happy Dance","Editorial","Spotify","Electronic, Pop","Dance, House","60","887","1344113"
"Chill House 2026 🌴🌊🎧 | Chill Hits, Deep House Covers, Good Vibes Only","Indie Curator","ChillYourMind","Electronic","Dance, House, Deep House","230","19303","1343378"
"POLLEN","Editorial","Spotify","Hip Hop, R&B, Electronic","Contemporary R&B","100","-738","1327292"
"HOUSE MUSIC 2026 🪩 100 BEST DANCE HITS 2026","Major Label","Topsify","Electronic","Dance, House","100","-1568","1317113"
"Alternative 90s","Editorial","Spotify","Rock, Electronic","Alternative Rock, Indie Rock","80","0","1316984"
"Nasty Bits","Editorial","Spotify","Electronic","Dance, House, Tech House","125","-268","1313260"
"Workout Beats","Editorial","Spotify","Electronic, Pop","Dance, House","75","-611","1304043"
"This Is P!nk","This Is ...","Spotify","Pop, Electronic, Rock","Mainstream Pop, Pop Rock","50","1164","1283843"
"Ambient Relaxation","Editorial","Spotify","Electronic","Downtempo","200","628","1274170"
"Beach Party","Editorial","Spotify","Electronic, Pop","Mainstream Pop, Dance","167","12308","1273141"
"Brown Noise","Editorial","Spotify","Electronic","Downtempo, Other Electronic Music","174","21556","1262876"
"DEEP HOUSE 2026 🌴 SUMMER MIX ","Indie Curator","Magic Records","Electronic","Dance, House, Deep House","350","25073","1258671"
"Heart Beats","Editorial","Spotify","Electronic, Pop","Dance, House","183","-228","1258257"
"Academia 2026 (Atualizada Cada Semana)","Indie Curator","Academia","Electronic, Pop","Mainstream Pop, Dance","311","13663","1250599"
"Sanremo 2026","Editorial","Spotify","Pop, Rock, Electronic","Mainstream Pop, Alternative Rock, Hard Rock","58","77713","1246722"
"Massive Dance Classics","Editorial","Spotify","Electronic, Pop","Dance, House","50","321","1238746"
"Relaxing Massage","Editorial","Spotify","Electronic","Downtempo","250","14166","1237650"
"Ultra Gaming","Editorial","Spotify","Electronic, Hip Hop","Dance, Phonk","100","4941","1227955"
"Music for Concentration","Editorial","Spotify","Classical, Pop, Electronic","Classical Crossover, Downtempo","167","-1191","1211362"
"Dance Paradise","Editorial","Spotify","Electronic","Dance, House","75","-2797","1196036"
"AMAPIANO GROOVES","Editorial","Spotify","Electronic, African","Amapiano","49","16183","1194584"
"BRAZILIAN PHONK 🇧🇷","Indie Curator","Tribal Trap","Electronic, Hip Hop, Latin","Phonk","143","18712","1179028"
"Lounge Music 🍹Bar Playlist for Summer","Indie Curator","Soave","Electronic","Dance, House, Deep House","270","-1688","1129124"
"Gym 2026","Editorial","Spotify","Electronic, Latin, Pop","N/A","150","12464","1125693"
"Remixes 2026 🔥 Best Popular Songs Remixed 🔥 Best Remixes & EDM Hits 2025","Indie Curator","Filtr Éxitos","Electronic, Pop","Mainstream Pop, Dance, House","270","885","1111084"
"Relaxing Music 2026 🍃  Night Drive Pop Music to Relax & Chill","Indie Curator","Magic Records","Pop, Electronic","Mainstream Pop","186","21473","1104998"
"sad songs 2026 😢 crying and depressing music","Indie Curator","Lofish Records ☄️","Pop, Electronic","Dance, Indie Pop","94","4107","1104080"
"Retrowave // Outrun","Editorial","Spotify","Electronic, Pop","Indie Pop, Synthwave","150","1478","1094091"
"Rain Sounds","Editorial","Spotify","Electronic, Rock","Downtempo","167","14821","1088322"
"Party Songs 🥳 2010-2026 Hits 🎉","Indie Curator","Julia Michaels","Electronic","Dance, House","159","11209","1087999"
"slow living","Editorial","Spotify","Electronic, Hip Hop","Contemporary Hip Hop, Downtempo, Lo-Fi","140","10292","1077457"
"This Is The Rolling Stones","This Is ...","Spotify","Blues, Electronic","Hard Rock, House, Blues Rock","50","994","1066736"
"PHONK MUSIC 2026 ☠️😈 AURA +10,000,000 DARK PHONK","Indie Curator","Magic Records","Electronic, Hip Hop","Dance, Phonk","317","19013","1065421"
"Lowkey Tech","Editorial","Spotify","Electronic","Dance, House, Afro House","60","3319","1060125"
"Bob Marley Greatest Hits 2026","Indie Curator","Chill Music","Reggae, Electronic, Hip Hop","Contemporary Hip Hop, Downtempo, Lo-Fi","67","19199","1057695"
"Sleepy Piano","Editorial","Spotify","Classical, Electronic","Classical Crossover, Downtempo","147","9179","1045702"
"This Is The Chainsmokers","This Is ...","Spotify","Electronic, R&B, Pop","Mainstream Pop, Dance","50","94","1038092"
"You Can Do It","Editorial","Spotify","Electronic","Dance, House","50","50","1037500"
"Projeto Verão","Editorial","Spotify","Electronic, Pop","Dance, Latin Pop, Funk Carioca","70","-396","1035259"
"Sextou","Editorial","Spotify","Electronic, Pop","Mainstream Pop, Dance","100","-2120","1035258"
"Breathe","Editorial","Spotify","Electronic, Pop","Downtempo","200","-1826","1030430"
"lofi chill","Editorial","Spotify","Electronic, Hip Hop","Downtempo, Lo-Fi","200","17516","1029392"
"HARDSTYLE 2026  😈🔱  SET FIRE TO THE RAIN HARDSTYLE, TEK IT HARDSTYLE, ONLY GIRL HARDSTYLE, AOT HARD","Indie Curator","SICK LEGEND","Electronic","Hardstyle/Hardcore","871","-2811","1020404"
"SIGMA MALE TIKTOK MUSIC - BEST SIGMA SONGS","Indie Curator","CRD","Electronic, Hip Hop","Alternative Hip Hop, Phonk","110","-2058","1004583"
"Tulum Party","Editorial","Spotify","Electronic","Dance, House, Afro House","100","5604","1002470"
"Rain Fruits Sounds - rain sounds, relaxing nature thunder & white noise - 10 hours for sleeping ⛈️","Indie Curator","Fruits Music","Electronic","Ambient","748","8400","998657"
"lofi hip hop beats - music to study/relax to | Focus Music | Chillhop Music 2026","Indie Curator","Chillhop Music","Electronic, Hip Hop","Downtempo, Lo-Fi","200","-951","996201"
"Meditate to the Sounds of Nature","Editorial","Spotify","Electronic","Downtempo","200","2416","995218"
"Bass Arcade","Editorial","Spotify","Electronic","Dance, Dubstep, Trap/Future Bass","90","691","992325"
"Calming Acoustic","Editorial","Spotify","Classical, Pop, Electronic","Classical Crossover, Downtempo","149","5094","982574"
