"Playlist title","Playlist type","Playlist curator","Playlist genres","Playlist subgenres","Spotify tracks Alltime","Spotify followers growth 1m","Spotify followers Alltime"
"RapCaviar","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap, Alternative Hip Hop","50","-18275","15782255"
"All Out 2010s","Editorial","Spotify","Hip Hop","Contemporary Hip Hop","150","280607","14789891"
"All Out 2000s","Editorial","Spotify","Pop, Hip Hop, Rock","Mainstream Pop, Contemporary Hip Hop","150","116835","12862750"
"phonk","Editorial","Spotify","Electronic, Hip Hop, Latin","Phonk","100","109456","11449796"
"Beast Mode","Editorial","Spotify","Hip Hop, Electronic, Pop","Contemporary Hip Hop, Dance","150","17248","11038028"
"Baila Reggaeton","Editorial","Spotify","Latin, Hip Hop","Reggaeton","51","-28706","10385261"
"MANSIÓN REGGAETÓN","Editorial","Spotify","Latin, Hip Hop","Reggaeton","50","11124","9848743"
"I Love My '90s Hip-Hop","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Contemporary R&B","100","17858","9282700"
"Top Gaming Tracks","Editorial","Spotify","Pop, Hip Hop, Electronic","N/A","100","-6539","6743612"
"Get Turnt","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap","100","0","6658974"
"lofi beats","Editorial","Spotify","Electronic, Hip Hop","Contemporary Hip Hop, Downtempo, Lo-Fi","200","4085","5481759"
"This Is The Weeknd","This Is ...","Spotify","Pop, Hip Hop","Mainstream Pop, Contemporary Hip Hop, Contemporary R&B","50","6761","4881165"
"This Is Drake","This Is ...","Spotify","Hip Hop","Mainstream Pop, Contemporary Hip Hop","151","8647","4229070"
"New Music Friday","Editorial","Spotify","Hip Hop, Pop","N/A","100","0","4227134"
"Viral Hits","Editorial","Spotify","Pop, Hip Hop","Contemporary Hip Hop","50","-5396","4223377"
"big on the internet","Editorial","Spotify","Pop, Hip Hop","Mainstream Pop, Indie Pop","50","-10173","4126359"
"Power Workout","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap, Alternative Hip Hop","50","-4364","4115389"
"This Is Eminem","This Is ...","Spotify","Hip Hop","Contemporary Hip Hop, Alternative Hip Hop","50","8041","4108209"
"Gold School","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap","50","8830","4006755"
"Baladas Románticas","Editorial","Spotify","Pop, Hip Hop","Latin Pop, Indie Pop, Pop Rock","100","-7874","3908324"
"Party Hits","Editorial","Spotify","Hip Hop, Electronic, Pop","Mainstream Pop","100","-11257","3870176"
"Locked In","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap","100","8880","3867226"
"Good Vibes","Editorial","Spotify","Pop, Hip Hop, R&B","Mainstream Pop, Contemporary R&B","100","12598","3620063"
"Verano Forever","Editorial","Spotify","Latin, Hip Hop, Pop","Reggaeton, Latin Pop","100","-16659","3516209"
"Éxitos Argentina","Editorial","Spotify","Latin, Pop, Hip Hop","Trap, Reggaeton, Latin Pop","50","6789","3482224"
"Feelin' Myself","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap, Alternative Hip Hop","51","-1642","3249860"
"Éxitos España","Editorial","Spotify","Latin, Hip Hop","Reggaeton, Latin Pop","50","-10610","3060700"
"This Is XXXTENTACION","This Is ...","Spotify","Hip Hop","Contemporary Hip Hop, Trap, Emo Rap","50","-1306","2948950"
"Deutschrap Brandneu","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap","77","-4243","2920323"
"Beast Mode Hip-Hop","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap, Alternative Hip Hop","76","4836","2849925"
"Throwback Jams","Editorial","Spotify","Hip Hop, R&B, Pop","Mainstream Pop, Contemporary Hip Hop, Contemporary R&B","93","2544","2807431"
"This Is Post Malone","This Is ...","Spotify","Hip Hop, Country","Contemporary Country, Mainstream Pop, Alternative Hip Hop","50","2340","2796372"
"This Is Lana Del Rey","This Is ...","Spotify","Pop, Hip Hop","Mainstream Pop, Indie Pop","50","11034","2775277"
"Most Necessary","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap, Alternative Hip Hop","100","-4177","2738044"
"Hits Urbanos","Editorial","Spotify","Latin, Hip Hop","Reggaeton","100","62521","2595324"
"Rap Workout","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap, Alternative Hip Hop","100","10853","2559231"
"Hot Hits Deutschland","Editorial","Spotify","Pop, Hip Hop, Electronic","Mainstream Pop","50","-7783","2550563"
"Hits du Moment","Editorial","Spotify","Pop, Hip Hop","Mainstream Pop","50","-1582","2374667"
"Hot Rhythmic","Editorial","Spotify","Hip Hop, R&B","Contemporary Hip Hop, Trap, Contemporary R&B","100","2544","2355800"
"Welcome to Premium","Editorial","Spotify","Pop, Hip Hop","Mainstream Pop","60","-1214","2350285"
"Silk Sheets","Editorial","Spotify","R&B, Hip Hop","Contemporary R&B","100","-4388","2338839"
"Jazz Vibes","Editorial","Spotify","Electronic, Hip Hop","Downtempo, Lo-Fi","200","82","2234176"
"Gold Edition","Editorial","Spotify","R&B, Hip Hop","Contemporary R&B","150","-1591","2163251"
"chill lofi study beats","Editorial","Spotify","Electronic, Hip Hop","Contemporary Hip Hop, Downtempo, Lo-Fi","200","6866","2157042"
"B.A.E.","Editorial","Spotify","Hip Hop, R&B","Contemporary Hip Hop, Trap, Contemporary R&B","80","3583","2122300"
"Power Gaming","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap","100","-84","2117365"
"Signed XOXO","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap","100","-3728","2103658"
"BEST OF EMINEM","Indie Curator","Eminem","Hip Hop","Contemporary Hip Hop","199","-1614","2031548"
"Chill Beats 💙 groove, relax","Indie Curator","Chill Beats Music","Electronic, Hip Hop","Downtempo, Lo-Fi","637","-3453","2012680"
"CAR MUSIC 2026 🔥 Bass Boosted Songs 🔊 EDM Remixes Of Popular Songs","Indie Curator","Magic Records","Electronic, Hip Hop","Dance, House","269","9006","1999673"
"Modus Mio","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap","0","0","1969096"
"WORKOUT MUSIC 2026 ⚡ GYM WORKOUT SONGS POWER MUSIC","Indie Curator","Magic Records","Electronic, Hip Hop","Dance, Phonk","246","10498","1953157"
"Fuego","Editorial","Spotify","Latin, Hip Hop","Reggaeton, Contemporary R&B","20","-1549","1921546"
"Dance Rising","Editorial","Spotify","Electronic, Hip Hop","House","75","-2358","1838307"
"Old School Hip-Hop House Party","Editorial","Spotify","Hip Hop","Contemporary Hip Hop","54","5539","1801075"
"I Love My '10s R&B","Editorial","Spotify","R&B, Hip Hop, Pop","Mainstream Pop, Contemporary R&B","100","4087","1781144"
"Workout Twerkout","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap, Alternative Hip Hop","50","612","1748507"
"Hot Hits Italia","Editorial","Spotify","Pop, Hip Hop","Mainstream Pop, Trap","50","288","1728131"
"GYM PHONK 2026 😈 AGGRESSIVE WORKOUT PHONK MUSIC","Indie Curator","Magic Records","Electronic, Hip Hop","Dance, Phonk","269","25373","1708345"
