Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5e9TFTbltYBg2xThimr0rU,"The Chain - 2004 Remaster","Rumours (Super Deluxe)","Fleetwood Mac",1977-02-04,270213,89,false,,2021-02-10T18:00:33Z,"yacht rock,classic rock,soft rock","Rhino/Warner Records",0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,4
spotify:track:2kkvB3RNRzwjFdGhaUA0tz,"Layla","Layla And Other Assorted Love Songs (Remastered 2010)","Derek & The Dominos",1970-11-01,423840,77,false,,2021-02-10T18:00:33Z,"blues rock,classic rock","Universal Music Group International",0.404,0.902,1,-3.88,1,0.0665,0.577,0.297,0.287,0.497,115.669,4
spotify:track:6HSXNV0b4M4cLJ7ljgVVeh,"Knockin' On Heaven's Door","Pat Garrett & Billy The Kid (Soundtrack From The Motion Picture)","Bob Dylan",1973-07-13,149880,84,false,,2021-02-10T18:00:33Z,"folk rock,folk,singer-songwriter,roots rock","Columbia/Legacy",0.513,0.396,7,-13.061,1,0.0299,0.251,0.177,0.11,0.229,140.208,4
spotify:track:1gKmnrz6SzJlGMNRKBLx1V,"One Way Or Another","Best Of Blondie","Blondie",1981-10-31,216400,64,false,,2021-02-10T18:00:33Z,"","Chrysalis\EMI Records (USA)",0.472,0.796,6,-12.055,0,0.0516,0.0815,0.0000694,0.292,0.909,161.407,4
spotify:track:0pQskrTITgmCMyr85tb9qq,"Starman - 2012 Remaster","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)","David Bowie",1972-06-06,254293,82,false,,2021-02-10T18:00:33Z,"glam rock,art rock","Parlophone UK",0.486,0.449,5,-10.298,1,0.0267,0.166,0.00000223,0.54,0.549,100.456,4
spotify:track:0LfiPrJKVVpnkXUcLLMzOo,"A Horse with No Name - 2006 Remaster","Definitive Pop: America","America;George Martin",2007-02-05,249600,60,false,,2021-02-10T18:00:33Z,"yacht rock,soft rock,folk rock","Rhino/Warner Records",0.677,0.705,2,-10.202,1,0.0515,0.612,0.000346,0.118,0.835,124.485,4
spotify:track:15BQ7vEDv2LJuh8TxWIhtd,"The Passenger","Lust For Life","Iggy Pop",1977-08-29,283360,75,false,,2021-02-10T18:00:33Z,"proto-punk,glam rock","Virgin Catalog",0.498,0.889,0,-5.413,1,0.0544,0.0937,0.00000162,0.734,0.696,134.882,4
spotify:track:1QFh8OH1e78dGd3VyJZCAC,"Boys Don't Cry","Three Imaginary Boys","The Cure",1979-05-11,155973,85,false,,2021-02-10T18:00:33Z,"new wave,post-punk,gothic rock,darkwave","UMC (Universal Music Catalogue)",0.462,0.836,11,-5.766,0,0.0621,0.00517,0,0.18,0.671,168.766,4
spotify:track:0Z3xhSOhrawLV81YdiDiiJ,"Venus","At Home","Shocking Blue",1969,187533,71,false,,2021-02-10T18:00:33Z,"nederpop","Red Bullet",0.691,0.762,11,-6.47,0,0.0367,0.462,0.0286,0.0804,0.957,128.111,4
spotify:track:2Xb6wJYGi0QXwURw5WWvI5,"Right Down the Line","City to City","Gerry Rafferty",1978,267773,80,false,,2021-02-10T18:00:33Z,"yacht rock","Parlophone UK",0.783,0.322,0,-15.091,1,0.0343,0.213,0.00243,0.114,0.77,128.226,4
spotify:track:7Jh1bpe76CNTCgdgAdBw4Z,"""Heroes"" - 2017 Remaster","""Heroes"" (2017 Remaster)","David Bowie",1977,371413,81,false,,2021-02-10T18:00:33Z,"glam rock,art rock","Parlophone UK",0.489,0.758,7,-6.491,1,0.0297,0.000678,0.49,0.092,0.435,112.113,4
spotify:track:6zeE5tKyr8Nu882DQhhSQI,"Dust in the Wind","Point Of Know Return (Expanded Edition)","Kansas",1977,206266,81,false,,2021-02-10T18:00:33Z,"classic rock,progressive rock,aor","Epic/Legacy",0.475,0.322,7,-10.687,1,0.0283,0.367,0.00056,0.11,0.387,93.503,4
spotify:track:37Tmv4NnfQeb0ZgUC4fOJj,"Sultans Of Swing","Dire Straits","Dire Straits",1978-10-07,348400,86,false,,2021-02-10T18:00:33Z,"classic rock","EMI",0.733,0.794,5,-10.023,1,0.0307,0.0614,0.0367,0.33,0.931,148.174,4
spotify:track:5FMXrphygZ4z3gVDHGWxgl,"Copacabana (At the Copa) - Short Version","Dance Vault Mixes - Copacabana (At The Copa)","Barry Manilow",2006-09-12,236760,73,false,,2021-02-10T18:00:33Z,"yacht rock,adult standards","Arista",0.606,0.899,7,-6.412,0,0.0758,0.333,0.000102,0.0754,0.66,116.735,4
spotify:track:0lIoY4ZQsdn5QzhraM9o9u,"Because the Night","Easter","Patti Smith",1978,204800,69,false,,2021-02-10T18:00:33Z,"proto-punk","Arista",0.466,0.763,11,-7.748,0,0.0391,0.0542,0,0.119,0.473,123.539,4
spotify:track:7mjSHL2Eb0kAwiKbvNNyD9,"Wild World","Tea For The Tillerman (Remastered 2020)","Yusuf / Cat Stevens",1970-11-23,200560,79,false,,2021-02-10T18:00:33Z,"folk rock,folk,singer-songwriter","UMC (Universal Music Catalogue)",0.48,0.542,0,-8.51,1,0.0348,0.345,0.000609,0.113,0.567,152.853,4
spotify:track:4DMKwE2E2iYDKY01C335Uw,"Carry on Wayward Son","Leftoverture (Expanded Edition)","Kansas",1976,323000,79,false,,2021-02-10T18:00:33Z,"classic rock,progressive rock,aor","Epic/Legacy",0.482,0.786,7,-5.735,1,0.032,0.00321,0.0000888,0.446,0.793,126.755,4
spotify:track:1QEEqeFIZktqIpPI4jSVSF,"More Than a Feeling","Boston","Boston",1976,285133,84,false,,2021-02-10T18:00:33Z,"classic rock,aor","Epic/Legacy",0.377,0.681,7,-8.039,1,0.0298,0.00088,0.0023,0.0504,0.285,108.789,4
spotify:track:4v2rkl1mC3zVAz0nXMx9r4,"Heart Of Glass","Parallel Lines","Blondie",1978-09-23,229423,76,false,,2021-02-10T18:00:33Z,"","Chrysalis\EMI Records (USA)",0.77,0.654,4,-6.107,1,0.0361,0.0548,0.000498,0.0819,0.686,114.82,4
spotify:track:0gCJkpD0RhF2rjiALLHBQL,"Almost Cut My Hair","Deja Vu","Crosby, Stills, Nash & Young",1970-03-11,269173,64,false,,2022-07-05T19:09:15Z,"folk rock,classic rock","Rhino Atlantic",0.471,0.471,7,-10.483,1,0.0437,0.185,0.00927,0.164,0.575,136.829,4
spotify:track:7gREIuHognJFspylIDJ94p,"Vienna","The Stranger","Billy Joel",1977-09-29,213924,57,false,,2021-02-10T18:00:33Z,"soft rock","Columbia",0.532,0.495,10,-6.662,1,0.0343,0.659,0,0.0754,0.308,124.936,4
spotify:track:0ofHAoxe9vBkTCp2UQIavz,"Dreams - 2004 Remaster","Rumours (Super Deluxe)","Fleetwood Mac",1977-02-04,257800,92,false,,2021-02-10T18:00:33Z,"yacht rock,classic rock,soft rock","Rhino/Warner Records",0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4
spotify:track:2DnJjbjNTV9Nd5NOa1KGba,"You're So Vain","No Secrets","Carly Simon",1972,258411,79,false,,2021-02-10T18:00:33Z,"","Rhino/Elektra",0.66,0.68,0,-8.18,1,0.0313,0.153,0.0000067,0.0784,0.671,106.187,4
spotify:track:5fdhThPDe6jQQDqCyWrdAn,"Jolene","Jolene (Expanded Edition)","Dolly Parton",1974,161533,76,false,,2021-02-10T18:00:33Z,"country,classic country","RLG/Legacy",0.674,0.537,1,-10.971,0,0.0363,0.566,0,0.131,0.809,110.578,4
spotify:track:5jQcJ2st6yHWhUBjoDoZPH,"Georgy Porgy","Toto","TOTO",1978-10-10,247592,72,false,,2021-02-10T18:00:33Z,"yacht rock,soft rock","Columbia",0.799,0.783,11,-7.703,0,0.0847,0.0519,0.0213,0.127,0.918,97.207,4
spotify:track:78WVLOP9pN0G3gRLFy1rAa,"Piano Man","Piano Man","Billy Joel",1973-11-09,339290,62,false,,2021-02-10T18:00:33Z,"soft rock","Columbia",0.334,0.477,0,-8.806,1,0.0276,0.618,0.00000417,0.312,0.405,179.239,3
spotify:track:0NI9wGowTO80hVs3l6wa0i,"Driver's Seat","Fickle Heart (Plus Two Bonus Cuts)","Sniff 'n' The Tears",1978-01-01,240746,60,false,,2021-02-10T18:00:33Z,"","Ace Records",0.754,0.804,11,-7.189,0,0.0368,0.0186,0.0613,0.207,0.972,132.964,4
spotify:track:5T8EDUDqKcs6OSOwEsfqG7,"Don't Stop Me Now - Remastered 2011","Jazz (2011 Remaster)","Queen",1978-11-10,209413,85,false,,2021-02-10T18:00:33Z,"classic rock,rock,glam rock","EMI",0.559,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295,4
spotify:track:0l2kEdf5XjlckyybbNjmYS,"Roundabout","Yesstory","Yes",1992-09-01,512386,50,false,,2021-02-10T18:00:33Z,"progressive rock,art rock,aor","EastWest",0.412,0.842,4,-6.826,0,0.0763,0.115,0.0133,0.0738,0.382,132.534,4
spotify:track:3omTpa42nUfQS3OHiRUSeF,"Breakfast In America - Remastered 2026","Breakfast In America (Remastered 2026)","Supertramp",1979-03-16,159466,67,false,,2021-02-10T18:00:33Z,"progressive rock,classic rock","A&M",0.542,0.557,0,-9.169,0,0.0309,0.585,0.0000303,0.096,0.729,75.07,4
spotify:track:0bRXwKfigvpKZUurwqAlEh,"Lovely Day","Menagerie","Bill Withers",1977-10-29,257157,82,false,,2021-02-10T18:00:33Z,"soul","Columbia/Legacy",0.692,0.651,9,-8.267,1,0.0324,0.292,0.00241,0.105,0.706,97.923,4
spotify:track:6ZBeRXjadHvBk9VYSnoO0R,"You Don't Mess Around with Jim","You Don't Mess Around With Jim","Jim Croce",1972-04-01,182533,68,false,,2021-02-10T18:00:33Z,"folk rock,singer-songwriter","R2M",0.763,0.736,11,-6.958,0,0.0491,0.584,0.0000171,0.145,0.967,82.046,4
spotify:track:608xszaAxVh4m7NcKJiAbF,"One of These Nights - 2013 Remaster","One of These Nights (2013 Remaster)","Eagles",1975-06-10,291685,79,false,,2021-02-10T18:00:33Z,"classic rock,yacht rock,soft rock","Rhino/Elektra",0.655,0.606,7,-10.385,1,0.0285,0.0603,0.0789,0.0757,0.765,110.061,4
spotify:track:4sUlsy0tPv9n5nqrqeA0lE,"Magic Man","Dreamboat Annie","Heart",1975,328360,65,false,,2021-02-10T18:00:33Z,"classic rock,aor,rock","Capitol Records",0.435,0.444,0,-12.816,1,0.0336,0.159,0.000697,0.457,0.734,103.817,4
spotify:track:1oYYd2gnWZYrt89EBXdFiO,"Message In A Bottle","Reggatta De Blanc (Remastered 2003)","The Police",1979-10-02,290280,80,false,,2021-02-10T18:00:33Z,"","Polydor Records",0.577,0.808,1,-7.04,0,0.039,0.0338,0.0000133,0.221,0.869,151.008,4
spotify:track:2L3LNptCUEKQF9VbyQgaZP,"Black Betty","The Best Year Of My Life: 1977","Ram Jam",2010-04-30,235306,40,false,,2021-02-10T18:00:33Z,"southern rock","Sony Music Entertainment",0.521,0.726,11,-8.885,0,0.0947,0.000821,0.00123,0.204,0.813,117.124,4
spotify:track:73TxYZd0lBCVRrHawrAglA,"Sweet Emotion","Toys In The Attic","Aerosmith",1975-04-08,274088,77,false,,2021-02-10T18:00:33Z,"classic rock,rock","Aerosmith P&D - Sony",0.379,0.76,9,-10.961,1,0.0378,0.00298,0.0296,0.104,0.491,99.436,4
spotify:track:5gOd6zDC8vhlYjqbQdJVWP,"Baker Street","City to City","Gerry Rafferty",1978,365626,76,false,,2021-02-10T18:00:33Z,"yacht rock","Parlophone UK",0.497,0.349,7,-14,1,0.0297,0.0929,0.028,0.259,0.421,113.762,4
spotify:track:6Qb7gtV6Q4MnUjSbkFcopl,"50 Ways to Leave Your Lover","Still Crazy After All These Years","Paul Simon",1975-10-25,217573,74,false,,2022-04-14T15:08:02Z,"singer-songwriter","Legacy Recordings",0.815,0.372,7,-12.814,1,0.0752,0.166,0.000116,0.0767,0.293,101.684,4
spotify:track:0UOxp1BpnD8uPQMKU4wKjz,"I Shot The Sheriff","461 Ocean Blvd. (Deluxe Edition)","Eric Clapton",1974-07-01,263746,62,false,,2021-02-10T18:00:33Z,"blues,blues rock,classic rock","Polydor",0.73,0.639,7,-11.025,0,0.0524,0.0853,0.00221,0.102,0.658,94.395,4
spotify:track:2RlgNHKcydI9sayD2Df2xp,"Mr. Blue Sky","Out of the Blue","Electric Light Orchestra",1977,303820,83,false,,2021-02-10T18:00:33Z,"art rock,soft rock","Epic/Legacy",0.388,0.338,10,-10.054,1,0.0329,0.652,0.00000373,0.248,0.478,177.765,4
spotify:track:1LOZMYF5s8qhW7Rv4w2gun,"Dreadlock Holiday","Bloody Tourists","10cc",1978,267946,67,false,,2021-02-10T18:00:33Z,"yacht rock,art rock,glam rock","EMI",0.837,0.38,7,-13.341,0,0.064,0.541,0.00789,0.198,0.892,104.995,4
spotify:track:7GVUmCP00eSsqc4tzj1sDD,"Come and Get Your Love - Single Version","Come and Get Your Love","Redbone",1973-11-01,205933,83,false,,2021-02-10T18:00:33Z,"native american music","Epic/Legacy",0.731,0.804,11,-7.621,0,0.0473,0.172,0.00028,0.0685,0.957,107.383,4
spotify:track:4ZEEcEMGjkWOfZNBcIB9yE,"War","War And Peace","Edwin Starr",1970-01-01,200266,63,false,,2021-02-10T18:00:33Z,"northern soul,motown,classic soul","UNI/MOTOWN",0.59,0.671,1,-12.484,1,0.154,0.0939,0,0.248,0.736,109.333,4
spotify:track:2XHjFJVXYlEzoDvN82h8s5,"Rocky Mountain Way","The Smoker You Drink, The Player You Get","Joe Walsh",1973-06-18,315400,67,false,,2021-02-10T18:00:33Z,"classic rock,southern rock","Geffen",0.493,0.376,4,-15.045,1,0.0435,0.0241,0.792,0.102,0.419,86.47,4
spotify:track:2LXISHBkx8FyoxCBkckh19,"Do It Again","Can't Buy A Thrill","Steely Dan",1972-11-01,357041,77,false,,2021-02-10T18:00:33Z,"yacht rock,classic rock","Geffen",0.655,0.431,2,-15.18,0,0.032,0.343,0.0000095,0.0711,0.941,124.588,4
spotify:track:23DZLSxCK6kM8FF2RlzKDl,"You're No Good","Heart Like A Wheel","Linda Ronstadt",1974,224026,63,false,,2021-02-10T18:00:33Z,"country rock,mariachi","Capitol Records",0.669,0.52,8,-10.136,1,0.0345,0.245,0.00535,0.126,0.634,104.812,4
spotify:track:4rDbp1vnvEhieiccprPMdI,"Somebody To Love - Remastered 2011","A Day At The Races (Deluxe Edition 2011 Remaster)","Queen",1976-12-10,296480,77,false,,2021-02-10T18:00:33Z,"classic rock,rock,glam rock","EMI",0.406,0.698,8,-7.024,1,0.0624,0.186,0,0.233,0.333,109.266,3
spotify:track:7gUMShP1l20tC0xf17Zplk,"Ride Like the Wind","Christopher Cross","Christopher Cross",1979,275506,72,false,,2021-02-10T18:00:33Z,"yacht rock,soft rock","Rhino/Warner Records",0.669,0.707,0,-13.66,0,0.0478,0.347,0.000716,0.0997,0.806,124.335,4
spotify:track:4T5Y25pWs2pVZVcFIqFuf8,"You Should Be Dancing","The Ultimate Bee Gees","Bee Gees",2009-11-03,256453,64,false,,2021-02-10T18:00:33Z,"disco","Bee Gees Catalog",0.703,0.855,0,-6.478,1,0.0315,0.0246,0.517,0.611,0.953,122.929,4
spotify:track:1TB0dZqFRQsnf4fLLLRKQV,"Just Kissed My Baby","Rejuvenation","The Meters",1974,283573,52,false,,2021-02-10T18:00:33Z,"funk,soul,jazz funk","Rhino/Warner Records",0.719,0.615,0,-13.674,1,0.122,0.0345,0.0492,0.0573,0.961,170.888,4
spotify:track:6yjKlmm7vOszkXEUku1EM1,"New York State of Mind","Turnstiles","Billy Joel",1976-05-19,363286,66,false,,2021-02-10T18:00:33Z,"soft rock","Columbia",0.506,0.373,0,-9.473,1,0.0347,0.499,0.0000405,0.323,0.194,121.289,4
spotify:track:4xh7W7tlNMIczFhupCPniY,"Go Your Own Way - 2004 Remaster","Rumours (Super Deluxe)","Fleetwood Mac",1977-02-04,223613,69,false,,2021-02-10T18:00:33Z,"yacht rock,classic rock,soft rock","Rhino/Warner Records",0.586,0.941,5,-5.139,1,0.0375,0.0167,0.000776,0.068,0.831,135.448,4
