Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7N3PAbqfTjSEU1edb2tY8j,"Jump - 2015 Remaster","1984 (Remastered)","Van Halen",1984-01-04,241599,80,false,,2024-09-24T04:48:30Z,"glam metal,classic rock,rock,hard rock","Rhino/Warner Records",0.572,0.835,0,-6.219,1,0.0317,0.171,0.000377,0.0702,0.795,129.981,4
spotify:track:6eN1f9KNmiWEhpE2RhQqB5,"Paradise City","Appetite For Destruction","Guns N' Roses",1987-07-21,405600,84,false,,2024-09-24T04:48:30Z,"rock,glam metal,hard rock,classic rock","Guns N Roses P&D",0.268,0.98,11,-5.959,1,0.101,0.019,0.00692,0.182,0.39,100.316,4
spotify:track:2TofEeQobQ9YoK7EFds698,"You Give Love A Bad Name","Slippery When Wet (Deluxe Edition)","Bon Jovi",1986,222317,81,false,,2024-09-24T04:48:30Z,"glam metal","Bon Jovi Dist Deal (Catalog)",0.542,0.942,0,-4.024,0,0.0482,0.00547,0.00000102,0.39,0.835,122.85,4
spotify:track:58dBJivB6lbAY5irCuAxJX,"Rock You Like a Hurricane - 2015 - Remaster","Love At First Sting","Scorpions",1984-03-27,253666,69,false,,2024-09-24T04:48:30Z,"hard rock,glam metal,rock","BMG Rights Management GmbH",0.402,0.873,4,-3.209,0,0.0586,0.00484,0.000073,0.157,0.684,125.443,4
spotify:track:2MuWTIM3b0YEAskbeeFE1i,"Master Of Puppets","Master Of Puppets (Remastered)","Metallica",1986-03-03,515386,81,false,,2024-09-24T04:48:30Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.543,0.836,4,-9.11,0,0.0353,0.000647,0.431,0.153,0.56,105.173,4
spotify:track:3439OLNIeD3y68kVuoZUO5,"Girls, Girls, Girls","Girls, Girls, Girls (Deluxe Version)","Mötley Crüe",1987-05-15,270533,74,false,,2024-09-24T04:48:30Z,"glam metal,glam rock,hard rock","BMG Rights Management (US) LLC",0.599,0.922,7,-4.887,1,0.0739,0.025,0.0000582,0.356,0.514,140.098,4
spotify:track:0PdM2a6oIjqepoEfcJo0RO,"Pour Some Sugar On Me - Remastered 2017","Hysteria (Super Deluxe)","Def Leppard",1987-08-03,267306,77,false,,2024-09-24T04:48:30Z,"glam metal,glam rock,classic rock","UMC (Universal Music Catalogue)",0.267,0.953,1,-4.899,0,0.096,0.00211,0,0.283,0.568,84.989,4
spotify:track:2V8KvnD5LVeeDChMWEkSzC,"Nothin' But A Good Time - Remastered 2006","Open Up And Say...Ahh! (20th Anniversary Edition)","Poison",1988-03-21,224866,70,false,,2024-09-24T04:48:30Z,"glam metal,glam rock","Capitol Records",0.576,0.974,1,-2.785,1,0.0829,0.0199,0,0.348,0.53,129.088,4
spotify:track:6FdLptSCCN8LJdKWwY7VcC,"Still Of The Night - 2017 Remaster","Whitesnake (30th Anniversary Super Deluxe Edition)","Whitesnake",1987-03-23,399693,67,false,,2024-09-24T04:48:30Z,"glam metal,glam rock,hard rock","Craft Recordings",0.411,0.874,0,-6.026,1,0.0508,0.00594,0.000458,0.346,0.215,100.385,4
spotify:track:7ACxUo21jtTHzy7ZEV56vU,"Crazy Train","Blizzard Of Ozz (40th Anniversary Expanded Edition)","Ozzy Osbourne",2020-09-18,293183,83,false,,2024-09-24T04:48:30Z,"metal,glam metal,heavy metal,hard rock","Epic/Legacy",0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,4
