Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2374M0fQpWi3dLnB54qaLX,"Africa","Toto IV","TOTO",1982-04-08,295282,89,false,,2023-02-21T17:19:34Z,"yacht rock,soft rock","Columbia",0.671,0.373,9,-18.064,1,0.0323,0.257,0.0000801,0.0481,0.732,92.718,4
spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,"Take on Me","Hunting High and Low","a-ha",1985-06-01,225280,89,false,,2023-02-21T17:19:34Z,"new wave,synthpop","Rhino",0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,4
spotify:track:1TfqLAPs4K3s2rJMoCokcS,"Sweet Dreams (Are Made of This) - 2005 Remaster","Sweet Dreams (Are Made Of This)","Eurythmics;Annie Lennox;Dave Stewart",1983-01-04,216933,86,false,,2023-02-21T17:19:34Z,"new wave,synthpop","RCA Records Label",0.692,0.711,0,-7.498,0,0.0317,0.225,0,0.12,0.875,125.135,4
spotify:track:2YiCMmONQcoMPX2bV1LxE0,"Everybody Wants To Rule The World","Songs From The Big Chair","Tears For Fears",1985-02-25,251480,82,false,,2023-02-21T17:19:34Z,"new wave,synthpop","UMC (Universal Music Catalogue)",0.631,0.821,7,-11.284,1,0.0555,0.336,0.00641,0.104,0.504,112.052,4
spotify:track:2tUBqZG2AbRi7Q0BIrVrEj,"I Wanna Dance with Somebody (Who Loves Me)","Whitney","Whitney Houston",1987-06-02,292875,85,false,,2023-02-21T17:19:34Z,"","Arista/Legacy",0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818,4
spotify:track:4YR6Dextuoc3I8nJ0XgzKI,"Footloose - From ""Footloose"" Soundtrack","The Essential Kenny Loggins","Kenny Loggins",2002,226293,64,false,,2023-02-21T17:19:34Z,"yacht rock","Columbia/Legacy",0.564,0.911,2,-5.39,1,0.0536,0.159,0.0000436,0.118,0.582,173.938,4
spotify:track:1jDJFeK9x3OZboIAHsY9k2,"I'm Still Standing","Too Low For Zero","Elton John",1983-05-30,183440,86,false,,2023-02-21T17:19:34Z,"","EMI",0.505,0.904,6,-6.863,1,0.179,0.355,0.118,0.14,0.773,176.811,4
spotify:track:2zjt2hHBbiv5SuxYg8Z7eP,"Girls Just Want to Have Fun","She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition)","Cyndi Lauper",2014-03-28,238120,66,false,,2023-02-21T17:19:34Z,"","Epic/Legacy",0.707,0.788,6,-5.269,1,0.0333,0.214,0.000571,0.308,0.746,120.465,4
spotify:track:7iN2AiwBr3FKuloMzDjIQO,"Tainted Love - Remastered 2023","Non-Stop Erotic Cabaret","Soft Cell",1981-11-27,154733,69,false,,2023-02-21T17:19:34Z,"synthpop,new wave","UMC (Universal Music Catalogue)",0.489,0.63,0,-3.701,0,0.0366,0.35,0,0.148,0.61,144.402,4
spotify:track:298CFqWcJGOnOnVgubW8Al,"Dancing On The Ceiling","Back To Front","Lionel Richie",1992-01-01,262026,50,false,,2023-02-21T17:19:34Z,"motown","Motown",0.708,0.686,0,-11.09,1,0.0337,0.113,0.0000321,0.0505,0.778,133.377,4
spotify:track:4o6BgsqLIBViaGVbx5rbRk,"You Make My Dreams (Come True)","Voices","Daryl Hall & John Oates",1980,190626,82,false,,2023-02-21T17:19:34Z,"yacht rock,soft rock","RCA/BMG Heritage",0.751,0.501,5,-12.151,1,0.0551,0.234,0.112,0.0467,0.902,167.057,4
spotify:track:14MpI2pC5ACRg6y2tcH30g,"Maniac - From ""Flashdance""","ドライブが楽しくなる洋楽ヒッツ！80年代 HITS","Michael Sembello",2026-04-17,246000,74,false,,2023-02-21T17:19:34Z,"","UME - Global Clearing House",0.605,0.757,3,-5.897,0,0.0554,0.0396,0.0000026,0.0447,0.828,157.714,4
spotify:track:0GONea6G2XdnHWjNZd6zt3,"Summer Of '69","Reckless (30th Anniversary / Deluxe Edition)","Bryan Adams",1984-11-05,216053,85,false,,2023-02-21T17:19:34Z,"","A&M",0.509,0.834,2,-6.205,1,0.0386,0.0183,0,0.0732,0.774,139.13,4
spotify:track:05yiiw2F3XXoighyveZTDs,"Heaven Is a Place on Earth - Promo 7"" Edit","Heaven on Earth (Deluxe Edition)","Belinda Carlisle",1987-10-05,233666,77,false,,2023-02-21T17:19:34Z,"","BMG Rights Management (UK) Ltd.",0.604,0.9,4,-5.807,1,0.0382,0.0163,0.00000173,0.129,0.684,122.88,4
spotify:track:5RKQ5NdjSh2QzD4MaunT91,"Don't Stop Believin' (2022 Remaster)","Escape (2022 Remaster)","Journey",1981-07-17,249600,86,false,,2023-02-21T17:19:34Z,"aor,classic rock","Columbia/Legacy",0.505,0.754,4,-7.435,1,0.0366,0.132,0,0.204,0.51,119.204,4
spotify:track:2fuCquhmrzHpu5xcA1ci9x,"Under Pressure - Remastered 2011","Hot Space (2011 Remaster)","Queen;David Bowie",1982-05-03,248440,84,false,,2023-02-21T17:19:34Z,"classic rock,rock,glam rock,art rock","EMI",0.671,0.712,2,-7.815,1,0.0476,0.429,0,0.103,0.462,113.805,4
spotify:track:3fH4KjXFYMmljxrcGrbPj9,"Don't You (Forget About Me)","Once Upon A Time (Super Deluxe)","Simple Minds",1985,263040,78,false,,2023-02-21T17:19:34Z,"new wave","UMC (Universal Music Catalogue)",0.66,0.816,2,-6.61,1,0.0299,0.168,0.0181,0.0608,0.678,111.346,4
