Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2SiXAy7TuUkycRVbbWDEpo,"You Shook Me All Night Long","Back In Black","AC/DC",1980-07-25,210328,85,false,,2024-09-13T16:58:23Z,"rock,hard rock,classic rock,rock and roll","Columbia",0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,4
spotify:track:06dAFXkgM2OGAkGS3CxpEm,"Love Is A Battlefield","Live From Earth","Pat Benatar",1983-01-01,325066,61,false,,2024-09-13T16:58:23Z,"aor","Chrysalis\EMI Records (USA)",0.672,0.526,2,-15.157,0,0.0527,0.0389,0.00313,0.0443,0.851,90.67,4
spotify:track:4TIJ7zSBNejpoIPaWpWRKc,"Rebel Yell","Rebel Yell","Billy Idol",1983-11-01,288533,79,false,,2024-09-13T16:58:23Z,"","CAPITOL CATALOG MKT (C92)",0.531,0.864,4,-4.948,0,0.0611,0.000753,0.00046,0.354,0.485,166.312,4
spotify:track:6sby78fghipoXHQLeeZFFH,"When Doves Cry","Purple Rain","Prince",1984-06-25,354133,77,false,,2024-09-13T16:58:23Z,"funk rock,funk","Warner Records",0.729,0.989,9,-4.613,0,0.049,0.0102,0.0000443,0.443,0.841,126.468,4
spotify:track:7866E49sLyI938dEqxi8a4,"Fade To Black - Remastered","Ride The Lightning (Remastered)","Metallica",1984-07-27,417226,68,false,,2024-09-13T16:58:23Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.256,0.924,7,-6.685,1,0.113,0.00369,0.234,0.114,0.28,113.574,4
spotify:track:77NNZQSqzLNqh2A9JhLRkg,"Don't Stop Believin'","The Essential Journey","Journey",2001-10-16,248906,78,false,,2024-09-13T16:58:23Z,"aor,classic rock","Columbia",0.491,0.802,4,-7.106,1,0.0392,0.25,0,0.387,0.472,119.25,4
spotify:track:2wUlYDGGXlSvm2NkGj0Qio,"Personal Jesus","Violator (Deluxe)","Depeche Mode",1990-03-19,295960,68,false,,2024-09-13T16:58:23Z,"new wave,synthpop,darkwave","Venusnote Ltd.",0.682,0.742,11,-7.595,1,0.0492,0.135,0.209,0.0979,0.356,130.033,4
spotify:track:4OROzZUy6gOWN4UGQVaZMF,"The Trooper - 2015 Remaster","Piece of Mind (2015 Remaster)","Iron Maiden",1983,252733,77,false,,2024-09-13T16:58:23Z,"heavy metal,metal,hard rock,rock","Parlophone UK",0.285,0.908,4,-4.601,0,0.0705,0.0318,0.00909,0.311,0.669,159.756,4
spotify:track:39shmbIHICJ2Wxnk1fPSdz,"Should I Stay or Should I Go - Remastered","Combat Rock (Remastered)","The Clash",1982,188987,84,false,,2024-09-13T16:58:23Z,"punk","Sony Music UK",0.743,0.836,2,-6.465,1,0.116,0.0804,0,0.384,0.82,113.375,4
spotify:track:02xhLoVqpGmOqvolgrwM8w,"One","…And Justice for All (Remastered)","Metallica",1988-08-25,446145,78,false,,2024-09-13T16:58:23Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.439,0.691,7,-9.158,1,0.0608,0.000666,0.0777,0.423,0.433,103.281,3
spotify:track:1YrnDTqvcnUKxAIeXyaEmU,"How Soon Is Now? - 2011 Remaster","Hatful of Hollow","The Smiths",1984,408173,75,false,,2024-09-13T16:58:23Z,"new wave,madchester,jangle pop","WM UK",0.398,0.93,11,-6.76,1,0.0615,0.000854,0.121,0.0874,0.725,190.818,4
spotify:track:3MrRksHupTVEQ7YbA0FsZK,"The Final Countdown","The Final Countdown (Expanded Edition)","Europe",1986,310333,79,false,,2024-09-13T16:58:23Z,"glam metal","Portrait/Epic/Legacy",0.529,0.843,6,-6.908,0,0.0616,0.0628,0.000827,0.0608,0.188,117.662,4
spotify:track:4PJEK76V3A1S0XzZJuTWh7,"Love Is A Long Road","Full Moon Fever","Tom Petty",1989-01-01,247600,68,false,,2024-09-13T16:58:23Z,"classic rock","Tom Petty P&D",0.64,0.622,4,-10.851,1,0.0316,0.0303,0.0000763,0.0866,0.496,116.334,4
spotify:track:08mG3Y1vljYA6bvDt4Wqkj,"Back In Black","Back In Black","AC/DC",1980-07-25,256000,87,false,,2024-09-13T16:58:23Z,"rock,hard rock,classic rock,rock and roll","Columbia",0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,4
spotify:track:5qFxuUIAwJlzO60vqOiL7y,"Rainbow In The Dark","Holy Diver","Dio",1983,252693,63,false,,2024-09-13T16:58:23Z,"heavy metal,metal,hard rock","UMC (Universal Music Catalogue)",0.508,0.912,9,-8.049,0,0.0368,0.0000706,0.403,0.0492,0.682,117.582,4
spotify:track:0rmGAIH9LNJewFw7nKzZnc,"You Give Love A Bad Name","Slippery When Wet","Bon Jovi",1986-08-16,222706,78,false,,2024-09-13T16:58:23Z,"glam metal","Island Records",0.541,0.959,0,-2.947,0,0.0505,0.0663,0.00000218,0.344,0.812,122.805,4
spotify:track:58dBJivB6lbAY5irCuAxJX,"Rock You Like a Hurricane - 2015 - Remaster","Love At First Sting","Scorpions",1984-03-27,253666,69,false,,2024-09-13T16:58:23Z,"hard rock,glam metal,rock","BMG Rights Management GmbH",0.402,0.873,4,-3.209,0,0.0586,0.00484,0.000073,0.157,0.684,125.443,4
spotify:track:3CIOopLwvyMvXk97ZEksKO,"Ace of Spades","Ace of Spades (Expanded Edition)","Motörhead",1980-11-08,168320,75,false,,2024-09-13T16:58:23Z,"heavy metal,metal,speed metal,hard rock,rock","Sanctuary Records",0.322,0.991,6,-4.453,1,0.213,0.00313,0.0035,0.0708,0.198,140.221,4
spotify:track:7HKxTNVlkHsfMLhigmhC0I,"Call Me","Call Me","Blondie",2004-01-01,212226,74,false,,2024-09-13T16:58:23Z,"","Chrysalis\EMI Records (USA)",0.553,0.833,2,-6.667,0,0.0347,0.000646,0.00246,0.0737,0.773,142.663,4
spotify:track:64F1ojnPPiJiFZtYQtHB7r,"Eye of the Tiger","Ultimate Survivor","Survivor",2004-07-12,245533,55,false,,2024-09-13T16:58:23Z,"","Volcano III / BMG Heritage",0.823,0.562,0,-10.134,0,0.0318,0.156,0.00033,0.0861,0.562,108.863,4
