Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7ySbfLwdCwl1EM0zNCJZ38,"One Sweet Day","Daydream","Mariah Carey;Boyz II Men",1995-10-03,281066,70,false,,2024-07-12T19:31:17Z,"christmas,new jack swing,r&b,quiet storm","Columbia",0.568,0.495,1,-8.964,1,0.0299,0.353,0,0.0839,0.303,128.234,4
spotify:track:1LzNfuep1bnAUR9skqdHCK,"Fade Into You","So Tonight That I Might See","Mazzy Star",1993-10-05,295600,87,false,,2024-07-12T19:31:17Z,"dream pop,shoegaze,slowcore","Capitol Records",0.417,0.33,9,-13.925,1,0.0275,0.247,0.000689,0.0677,0.175,157.113,3
spotify:track:2RChe0r2cMoyOvuKobZy44,"Always","Cross Road","Bon Jovi",1994-10-18,353026,82,false,,2024-07-12T19:31:17Z,"glam metal","Bon Jovi Dist Deal (Catalog)",0.384,0.659,4,-5.558,1,0.0314,0.115,0,0.0778,0.326,140.795,4
spotify:track:1oaaSrDJimABpOdCEbw2DJ,"No Ordinary Love","Love Deluxe","Sade",1992-10-26,440466,78,false,,2024-07-12T19:31:17Z,"","Epic",0.629,0.364,11,-12.259,0,0.038,0.467,0.0204,0.0941,0.701,166.266,4
spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,"Iris","Dizzy up the Girl","The Goo Goo Dolls",1998,289533,94,false,,2024-07-12T19:31:17Z,"","Warner Records",0.315,0.715,11,-8.072,0,0.0362,0.00125,0.00000797,0.0942,0.497,155.925,3
spotify:track:6gsFth2s4hP8zXHSqNcsuY,"I'll Never Break Your Heart","Backstreet Boys","Backstreet Boys",1996-05-06,286786,65,false,,2024-07-12T19:31:17Z,"","Jive",0.519,0.559,7,-6.474,0,0.0283,0.0856,0,0.19,0.343,162.076,3
spotify:track:3RSpK5Y0y5tl25qvssrwJ6,"My All","Butterfly","Mariah Carey",1997-09-16,230933,77,false,,2024-07-12T19:31:17Z,"christmas","Columbia",0.607,0.317,7,-10.244,0,0.029,0.732,0.0000453,0.086,0.111,108.122,4
spotify:track:33LC84JgLvK2KuW43MfaNq,"My Heart Will Go On - Love Theme from ""Titanic""","Let's Talk About Love","Céline Dion",1997-11-14,280000,77,false,,2024-07-12T19:31:17Z,"variété française","Columbia",0.428,0.276,4,-11.729,1,0.0312,0.732,0.00000533,0.117,0.0382,99.195,1
spotify:track:3YKptz29AsOlm7WAVnztBh,"Kiss from a Rose","Seal","Seal",1994-05-31,288426,79,false,,2024-07-12T19:31:17Z,"","Warner Records",0.584,0.533,10,-7.11,0,0.0305,0.684,0,0.306,0.224,131.745,3
spotify:track:7IljDTNkQEyy77CcaRbiAj,"Endless Love (with Mariah Carey)","Songs","Luther Vandross;Mariah Carey",1994-09-20,261093,64,false,,2024-07-12T19:31:17Z,"quiet storm,soul,classic soul,christmas","LV Records/Epic",0.413,0.477,10,-7.748,1,0.0264,0.747,0.00000239,0.122,0.241,95.958,4
