Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3DwQ7AH3xGD9h65ezslm6q,"Enter Sandman - Remastered 2021","Metallica (Remastered Deluxe Box Set)","Metallica",2021-09-10,331560,86,false,,2025-11-24T12:45:57Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.569,0.838,6,-8.421,0,0.0302,0.0026,0.00836,0.0628,0.615,123.299,4
spotify:track:7fcfNW0XxTWlwVlftzfDOR,"Walk","Vulgar Display of Power","Pantera",1992,315120,78,true,,2025-11-24T12:45:57Z,"groove metal,metal,thrash metal,heavy metal","Atlantic Records",0.43,0.704,1,-8.008,0,0.0804,0.000155,0.00221,0.0933,0.703,118.242,4
spotify:track:59WN2psjkt1tyaxjspN8fp,"Killing In The Name","Rage Against The Machine - XX (20th Anniversary Special Edition)","Rage Against The Machine",1992,313573,82,true,,2025-11-24T12:45:57Z,"rap metal,rap rock,alternative metal,nu metal","Epic/Legacy",0.466,0.833,7,-4.215,1,0.304,0.0266,0,0.0327,0.661,88.785,4
spotify:track:6W21LNLz9Sw7sUSNWMSHRu,"Freak On a Leash","Follow The Leader","Korn",1998-08-18,255729,83,true,,2025-11-24T12:45:57Z,"nu metal,metal,rap metal,alternative metal","Immortal/Epic",0.353,0.898,2,-5.877,1,0.052,0.0000223,0.105,0.39,0.525,103.299,4
spotify:track:0pwObEOHolQZSldJ2q1wpy,"Stinkfist","Ænima","TOOL",1996-09-17,311293,72,false,,2025-11-24T12:45:57Z,"progressive metal,alternative metal,progressive rock,metal","RCA Records Label",0.286,0.728,0,-6.608,1,0.0616,0.000174,0.836,0.133,0.467,171.441,4
spotify:track:1158ckiB5S4cpsdYHDB9IF,"My Own Summer (Shove It)","Around the Fur","Deftones",1997-10-27,214760,84,false,,2025-11-24T12:45:57Z,"nu metal,alternative metal,rap metal,rock,shoegaze","Maverick",0.443,0.781,1,-4.277,1,0.0377,0.0000133,0.205,0.166,0.372,71.841,4
spotify:track:7w6PJe5KBPyvuRYxFkPssC,"No More Tears","No More Tears (Expanded Edition)","Ozzy Osbourne",1991-09-17,444983,80,false,,2025-11-24T12:45:57Z,"metal,glam metal,heavy metal,hard rock","Epic",0.346,0.749,6,-6.506,1,0.035,0.00167,0.0000886,0.648,0.315,102.591,4
spotify:track:3quYoE7KgIIaqVXPd7MpX0,"Wherever I May Roam - Remastered 2021","Metallica (Remastered 2021)","Metallica",2021-09-10,404333,70,false,,2025-11-24T12:45:57Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.537,0.831,9,-7.467,0,0.0364,0.000617,0.000571,0.117,0.351,131.384,4
spotify:track:6olS0TmHmsGr0hXtcBsiVM,"A Tout Le Monde - Remastered 2004","Youthanasia (Expanded Edition - Remastered)","Megadeth",1994-10-28,262133,67,false,,2025-11-24T12:45:57Z,"thrash metal,metal,heavy metal,speed metal","Capitol Records",0.272,0.747,5,-4.86,0,0.0401,0.000393,0.0000403,0.16,0.255,202.777,4
spotify:track:2KKLuHN6zDxVnWtFKO8vo4,"Wasting Love - 2015 Remaster","Fear of the Dark (2015 Remaster)","Iron Maiden",1992,351026,67,false,,2025-11-24T12:45:57Z,"heavy metal,metal,hard rock,rock","Parlophone UK",0.324,0.667,4,-5.373,0,0.0321,0.00562,0.0000356,0.0873,0.29,142.503,4
spotify:track:5CPXR6lDTvngxtmMZxnWmC,"Pull Me Under","Images and Words","Dream Theater",1992-06-30,493933,64,false,,2025-11-24T12:45:57Z,"progressive metal,progressive rock,metal","Atlantic Records",0.532,0.941,9,-9.025,1,0.0465,0.000579,0.0527,0.15,0.278,102.198,4
spotify:track:58RDwkonFMOkoytBtIQetc,"Love You to Death","October Rust (Special Edition)","Type O Negative",1996-08-19,428800,67,false,,2025-11-24T12:45:57Z,"gothic metal,gothic rock,doom metal","Roadrunner Records",0.423,0.738,6,-7.329,1,0.0319,0.359,0.084,0.0801,0.276,111.414,4
spotify:track:5ltXoDLlI0rFZAmOXbAp5T,"Sad But True - Remastered 2021","Metallica (Remastered Deluxe Box Set)","Metallica",2021-09-10,324600,75,false,,2025-11-24T12:45:57Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.625,0.876,7,-5.998,1,0.035,0.000848,0.00198,0.0639,0.46,89.233,4
spotify:track:0xrkyEMkG4dVa5OMLQZOX8,"Engel","Sehnsucht","Rammstein",1997-08-25,264266,66,false,,2025-11-24T12:45:57Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.638,0.658,2,-5.775,1,0.0291,0.00918,0.00229,0.295,0.328,96.071,4
spotify:track:4Uiw0Sl9yskBaC6P4DcdVD,"Be Quiet and Drive (Far Away)","Around the Fur","Deftones",1997-10-27,299866,82,false,,2025-11-24T12:45:57Z,"nu metal,alternative metal,rap metal,rock,shoegaze","Maverick",0.206,0.965,1,-5.116,1,0.079,0.00000991,0.827,0.367,0.168,92.615,4
spotify:track:2N2yrmodOnVF10mKvItC9P,"Don't Cry (Original)","Use Your Illusion I","Guns N' Roses",1991-09-17,283733,81,false,,2025-11-24T12:45:57Z,"rock,glam metal,hard rock,classic rock","Guns N Roses P&D",0.455,0.589,11,-8.64,1,0.0328,0.00184,0.00358,0.104,0.254,124.634,4
spotify:track:6AioOohg4bQZFA4jIYQQ2r,"Forty Six & 2","Ænima","TOOL",1996-09-17,364520,77,false,,2025-11-24T12:45:57Z,"progressive metal,alternative metal,progressive rock,metal","RCA Records Label",0.375,0.682,0,-6.898,0,0.0364,0.00152,0.598,0.0897,0.396,159.23,4
spotify:track:51TG9W3y9qyO8BY5RXKgnZ,"Symphony Of Destruction","Countdown To Extinction (Expanded Edition - Remastered)","Megadeth",1992-07-14,246733,68,false,,2025-11-24T12:45:57Z,"thrash metal,metal,heavy metal,speed metal","Capitol Records",0.61,0.889,4,-5.452,0,0.0585,0.000794,0.0865,0.0657,0.506,139.903,4
spotify:track:5awDvzxWfd53SSrsRZ8pXO,"Du hast","Sehnsucht","Rammstein",1997-08-25,234226,70,false,,2025-11-24T12:45:57Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.64,0.921,9,-6.283,0,0.0385,0.00369,0.055,0.332,0.716,125.104,4
spotify:track:6p8eFfPw3nQkf37aT3AkmK,"Fear of the Dark - 2015 Remaster","Fear of the Dark (2015 Remaster)","Iron Maiden",1992,438120,74,false,,2025-11-24T12:45:57Z,"heavy metal,metal,hard rock,rock","Parlophone UK",0.308,0.866,2,-5.671,0,0.059,0.000739,0.00141,0.232,0.227,109.825,4
spotify:track:1pr9TZGOXeJUggIal1Wq3R,"Blind","Korn","Korn",1994-10-11,258266,80,false,,2025-11-24T12:45:57Z,"nu metal,metal,rap metal,alternative metal","Immortal/Epic",0.283,0.891,2,-8.165,1,0.178,0.00678,0.0038,0.159,0.226,92.049,4
spotify:track:0L7zm6afBEtrNKo6C6Gj08,"Painkiller","Painkiller","Judas Priest",1990-09-26,365826,68,false,,2025-11-24T12:45:57Z,"heavy metal,metal,hard rock,glam metal,speed metal","Columbia",0.435,0.987,1,-4.667,0,0.16,0.000195,0.0879,0.268,0.1,103.162,4
spotify:track:5LyRtsQLhcXmy50VXhQXXS,"Holy Wars...The Punishment Due - 2004 Remix","Rust In Peace (2004 Remix / Expanded Edition)","Megadeth",1990-10-04,392600,70,false,,2025-11-24T12:45:57Z,"thrash metal,metal,heavy metal,speed metal","Capitol Records",0.325,0.985,11,-3.941,1,0.151,0.00177,0.107,0.351,0.221,125.307,4
spotify:track:6HtFpG2WX3TfB8oLLua3XJ,"Black No. 1 (Little Miss Scare -All)","Bloody Kisses","Type O Negative",1994-05-10,675653,51,true,,2025-11-24T12:45:57Z,"gothic metal,gothic rock,doom metal","Roadrunner Records",0.348,0.7,4,-8.885,1,0.0611,0.0397,0.00228,0.106,0.416,93.614,4
spotify:track:5w8agmmSkjBh4ScKCAtWqx,"How The Gods Kill","Danzig III: How The Gods Kill","Danzig",1992-01-01,356400,53,false,,2025-11-24T12:45:57Z,"horror punk","American Recordings Catalog P&D",0.303,0.27,3,-12.003,0,0.031,0.0147,0.00401,0.0661,0.0461,89.386,4
spotify:track:6FUwPb4mGlUDbx42uspXaZ,"Fuel","Reload","Metallica",1997-01-01,269800,75,true,,2025-11-24T12:45:57Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.49,0.951,1,-3.777,1,0.0477,0.0000202,0.0027,0.0314,0.589,106.946,4
spotify:track:3Ky8IzV8IVSwijtaTWB2SK,"Seasons In The Abyss","Seasons In The Abyss","Slayer",1990-10-09,397826,62,false,,2025-11-24T12:45:57Z,"thrash metal,metal,speed metal,heavy metal,groove metal,death metal","American Recordings Catalog P&D",0.263,0.97,5,-4.182,0,0.163,0.00338,0.000795,0.0922,0.17,151.729,4
spotify:track:6ursmCnbc9oDRGa2yHKkoZ,"Roots Bloody Roots","Roots","Sepultura",1996-02-20,212253,69,false,,2025-11-24T12:45:57Z,"thrash metal,groove metal,metal,death metal,nu metal,heavy metal,speed metal,alternative metal","Roadrunner Records",0.428,0.874,4,-6.664,0,0.128,0.000337,0.0419,0.311,0.261,119.708,4
spotify:track:3ovjw5HZZv43SxTwApooCM,"Wind Of Change","Crazy World","Scorpions",1990-01-01,312360,84,false,,2025-11-24T12:45:57Z,"hard rock,glam metal,rock","Island Mercury",0.452,0.524,0,-10.108,1,0.0351,0.315,0,0.103,0.246,151.505,4
spotify:track:6nxHMqTNKWlQnx5AFxz1iX,"Green Machine","Blues for the Red Sun","Kyuss",1992-01-01,217906,57,false,,2025-11-24T12:45:57Z,"stoner rock,stoner metal,sludge metal,doom metal,space rock","Rhino/Elektra",0.497,0.947,0,-8.802,1,0.0391,0.0000821,0.000693,0.118,0.588,90.371,4
spotify:track:0PicuPCfXDJyyRtOR1ukGW,"Bored","Adrenaline","Deftones",1995,245973,68,false,,2025-11-24T12:45:57Z,"nu metal,alternative metal,rap metal,rock,shoegaze","Rhino",0.365,0.538,2,-6.951,1,0.035,0.00039,0.0869,0.198,0.314,79.863,4
spotify:track:6DyywdbmTzlmXBzG9ym7Rt,"Sober","Undertow","TOOL",1993-04-06,306853,76,true,,2025-11-24T12:45:57Z,"progressive metal,alternative metal,progressive rock,metal","RCA Records Label",0.385,0.673,2,-8.182,1,0.0329,0.000183,0.149,0.0721,0.187,149.271,4
spotify:track:0t1lDXmMWBzF6mfnQ6KwqZ,"Dead Skin Mask","Seasons In The Abyss","Slayer",1990-10-09,320520,59,false,,2025-11-24T12:45:57Z,"thrash metal,metal,speed metal,heavy metal,groove metal,death metal","American Recordings Catalog P&D",0.342,0.987,3,-4.42,1,0.205,0.000262,0.00025,0.172,0.0418,110.125,4
spotify:track:4vJr55lngvhSM8WIh9CjQc,"Cemetery Gates","Cowboys from Hell","Pantera",1990-07-20,422933,72,true,,2025-11-24T12:45:57Z,"groove metal,metal,thrash metal,heavy metal","Rhino",0.274,0.726,9,-11.541,1,0.0449,0.000212,0.0113,0.0993,0.426,146.449,4
spotify:track:0QRxtcxL31dRAeiUUuENPu,"Territory","Chaos A.D.","Sepultura",1993-09-02,287480,62,false,,2025-11-24T12:45:57Z,"thrash metal,groove metal,metal,death metal,nu metal,heavy metal,speed metal,alternative metal","Roadrunner Records",0.332,0.946,2,-6.233,1,0.127,0.000275,0.0304,0.136,0.303,153.091,4
