Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1SKPmfSYaPsETbRHaiA18G,"Somewhere Only We Know","Hopes And Fears","Keane",2004-05-10,237146,88,false,,2024-07-05T22:41:32Z,"","Universal-Island Records Ltd.",0.448,0.665,9,-4.203,1,0.026,0.06,0.0000255,0.0828,0.304,172.004,4
spotify:track:3dYD57lRAUcMHufyqn9GcI,"Take Me To Church","Hozier","Hozier",2014-09-19,241688,85,false,,2024-07-05T22:41:32Z,"","Universal-Island Records Ltd.",0.575,0.664,4,-5.303,0,0.0481,0.637,0,0.116,0.437,129.071,4
spotify:track:2uXlHCUbq9OMUwx3hrk06o,"Riptide","Dream Your Life Away (Deluxe Edition)","Vance Joy",2014-08-05,204280,89,false,,2024-07-05T22:41:32Z,"folk pop","Atlantic Records",0.483,0.731,1,-6.696,1,0.0381,0.436,0,0.151,0.484,101.654,4
spotify:track:0R8P9KfGJCDULmlEoBagcO,"Trouble","Parachutes","Coldplay",2000-07-10,273426,75,false,,2024-07-05T22:41:32Z,"","Parlophone UK",0.565,0.546,11,-7.496,0,0.0314,0.189,0.0015,0.17,0.195,139.757,4
spotify:track:3bHhUEOTIbezeZ856R0BX5,"Society","Into The Wild (Music For The Motion Picture)","Eddie Vedder",2007-09-18,236306,70,false,,2024-07-05T22:41:32Z,"","Into The Wild Soundtrack",0.561,0.327,11,-10.835,0,0.0327,0.902,0.000469,0.111,0.298,161.858,4
spotify:track:4JehYebiI9JE8sR8MisGVb,"Halo","I AM...SASHA FIERCE","Beyoncé",2008-11-17,261640,76,false,,2024-07-05T22:41:32Z,"","Music World Music/Columbia",0.508,0.72,11,-5.908,0,0.0628,0.272,0,0.0563,0.472,79.983,4
spotify:track:3XXaCFZD3dcik18uJYs9fA,"Use Somebody","Use Somebody","Isaac Hale",2022-10-14,188437,65,false,,2024-07-05T22:41:32Z,"","Isaac Hale",0.45,0.249,2,-11.407,1,0.0306,0.859,0.00000209,0.0974,0.332,93.466,3
spotify:track:6FlAGda9qkDhTU7ctFM4uG,"Crazy - Single Version","Crazy","Gnarls Barkley;CeeLo Green;Danger Mouse",2006-04-03,180786,51,false,,2024-07-05T22:41:32Z,"","WM UK",0.864,0.474,0,-8.41,0,0.0367,0.0259,0.0487,0.0906,0.602,111.952,4
spotify:track:3AJwUDP919kvQ9QcozQPxg,"Yellow","Parachutes","Coldplay",2000-07-10,266773,91,false,,2024-07-05T22:41:32Z,"","Parlophone UK",0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,4
spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,"Iris","Dizzy up the Girl","The Goo Goo Dolls",1998,289533,94,false,,2024-07-05T22:41:32Z,"","Warner Records",0.315,0.715,11,-8.072,0,0.0362,0.00125,0.00000797,0.0942,0.497,155.925,3
