Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6JpjIy1M7oxvPJ3uVdUKTe,"Creep - Acoustic","Creep EP","Radiohead",1992-09-21,258640,73,false,,2026-04-08T19:46:17Z,"art rock,alternative rock","XL Recordings",0.399,0.239,7,-17.123,1,0.0407,0.557,0.000203,0.121,0.147,166.419,4
spotify:track:1aZfq7TK3tNl9XJLkOpwKw,"Zombie - Acoustic Version","Something Else","The Cranberries",2017-04-28,241560,70,false,,2026-04-08T19:46:17Z,"","BMG Rights Management (UK) Ltd.",0.469,0.427,4,-7.954,0,0.0242,0.00415,0.0000415,0.128,0.0833,84.009,4
spotify:track:3QmesrvdbPjwf7i40nht1D,"Everlong - Acoustic Version","Greatest Hits","Foo Fighters",2009-11-03,250906,69,false,,2026-04-08T19:46:17Z,"rock,post-grunge,alternative rock,grunge","RCA Records Label",0.643,0.344,2,-11.342,1,0.0349,0.909,0.0112,0.106,0.547,144.171,4
spotify:track:13lZDbwonGhOflQLQIfdtZ,"We're Going to Be Friends","White Blood Cells","The White Stripes",2001-07-03,140178,70,false,,2026-04-08T19:46:17Z,"garage rock,blues rock,rock,alternative rock","Legacy Recordings",0.534,0.441,7,-5.752,1,0.0303,0.661,0,0.0934,0.439,97.009,4
spotify:track:1CfFF36728zzSOcSLzj74U,"Disarm - Acoustic","Siamese Dream (Deluxe Edition)","The Smashing Pumpkins",1993,198560,48,false,,2026-04-08T19:46:17Z,"alternative rock,rock","Virgin Records",0.564,0.226,7,-11.215,1,0.0324,0.225,0.234,0.124,0.188,129.44,4
spotify:track:3bedSjXvV2wByMkSf8cTx4,"The Kill - Acoustic","A Beautiful Lie (20 Year Anniversary)","Thirty Seconds To Mars",2026-03-27,206201,55,false,,2026-04-08T19:46:17Z,"","Virgin (VIR)",0.573,0.402,2,-6.376,0,0.0279,0.57,0,0.0932,0.219,114.949,4
spotify:track:6c6vG7r3RWpiuIrawHNpd7,"A Decade Under The Influence - Acoustic","Punk Goes Acoustic, Vol. 3","Taking Back Sunday",2019-07-26,252466,43,false,,2026-04-08T19:46:17Z,"emo,pop punk,screamo,post-hardcore,punk","Fearless Records",0.497,0.326,8,-8.801,1,0.0293,0.444,0,0.0746,0.163,72.449,4
spotify:track:62x1GuaBigIZyCuvDfDYyA,"Cherry Waves - Acoustic","Mein","Deftones",2007-03-03,304760,39,false,,2026-04-08T19:46:17Z,"nu metal,alternative metal,rap metal,rock,shoegaze","Maverick",0.494,0.497,9,-6.813,1,0.0308,0.603,0.00866,0.133,0.0746,114.022,4
spotify:track:3inSmIa388icRdpDi5ecJd,"Way down We Go - Recorded at Spotify Studios NYC","Spotify Singles","KALEO",2016-10-28,193297,56,false,,2026-04-08T19:46:17Z,"","Elektra (NEK)",0.602,0.459,8,-7.167,0,0.036,0.63,0.000165,0.146,0.366,86.38,4
spotify:track:5JxZgmOjx6j1StzrOq85HK,"Decode - Acoustic Version","Decode","Paramore",2009-01-16,267466,50,false,,2026-04-08T19:46:17Z,"pop punk,emo","Atlantic Records",0.467,0.421,10,-8.843,0,0.031,0.191,0,0.116,0.335,74.96,4
spotify:track:3xIaUb1WsnrqbJo6CsJMLO,"Black - Live MTV Unplugged","MTV Unplugged","Pearl Jam",2020-10-22,330768,63,false,,2026-04-08T19:46:17Z,"grunge,rock,post-grunge","Epic/Legacy",0.363,0.553,0,-7.698,1,0.0299,0.00754,0.00001,0.909,0.0908,142.865,4
spotify:track:5l4O7VzsZhKpAJO8w2jrC9,"Legendary - Acoustic","Legendary (Acoustic)","Welshly Arms",2017-07-21,216940,44,false,,2026-04-08T19:46:17Z,"","Vertigo Berlin",0.665,0.458,6,-8.111,0,0.0371,0.661,0,0.0774,0.612,141.934,4
spotify:track:0CMo36AWojJ04Gb3GKf604,"Freak on a Leash (feat. Amy Lee) - Live At MTV Studio, NYC, 2006","MTV Unplugged (Live)","Korn;Amy Lee",2007-03-05,235800,53,false,,2026-04-08T19:46:17Z,"nu metal,metal,rap metal,alternative metal","Tempo Music",0.441,0.776,2,-5.787,1,0.198,0.238,0.00000433,0.923,0.169,109.672,4
spotify:track:1xP9IsJMMihmBzQgTIhTLg,"Make Me Wanna Die - Acoustic Version","Miss Nothing (UK Version)","The Pretty Reckless",2010-01-01,213880,36,false,,2026-04-08T19:46:17Z,"","DAS Label / Interscope Records",0.582,0.338,5,-6.416,0,0.0369,0.665,0.0000401,0.107,0.298,97.785,4
spotify:track:3V1H6liHwCDcWeqdPJabOM,"Wicked Game - Acoustic; Live","Come What(ever) May [10th Anniversary Edition]","Stone Sour",2006,267253,69,false,,2026-04-08T19:46:17Z,"post-grunge,alternative metal,nu metal","Roadrunner Records",0.561,0.337,8,-9.272,1,0.0284,0.644,0.0000879,0.67,0.273,109.373,4
spotify:track:503JPUMXxOdBet88wQUwg1,"Dust in the Wind (From 'Queen of the Ring - Music From The Motion Picture')","Dust in the Wind (From 'Queen of the Ring - Music From The Motion Picture')","Corey Taylor;Queen of the Ring;Sumerian Pictures;Bad Omens;Aaron Gilhuis",2025-02-26,258466,54,false,,2026-04-08T19:46:17Z,"metalcore","Sumerian Records",0.365,0.462,7,-11.231,1,0.0272,0.0543,0.004,0.111,0.366,72.049,4
spotify:track:3KeEwsPOWFXcNbQlYwAcNT,"Sad Happy - Acoustic","Sadder, Happier - The Box Room Recordings","Circa Waves",2020-05-20,184142,28,false,,2026-04-08T19:46:17Z,"indie","Prolifica Inc.",0.72,0.344,1,-9.762,0,0.0609,0.851,0.00148,0.928,0.45,126.013,4
spotify:track:1BMDaiVYDREQnrQZA7Drpk,"Sweet Child O' Mine (feat. Myles Kennedy and The Conspirators) - Live at Spotify, London","Spotify Sessions","Slash;Myles Kennedy;Myles Kennedy And The Conspirators",2014-09-01,396968,56,false,,2026-04-08T19:46:17Z,"hard rock","Roadrunner Records",0.566,0.538,6,-5.729,1,0.0346,0.406,0.000497,0.979,0.315,121.154,4
spotify:track:69mwPY097BcpVDYHOFIAT7,"Shooting Stars - in the Woods","Shooting Stars (in the Woods)","Rival Sons",2020-04-24,263088,46,false,,2026-04-08T19:46:17Z,"blues rock,modern blues","Atlantic Records",0.634,0.491,9,-3.967,1,0.0252,0.659,0,0.369,0.245,91.932,4
spotify:track:0Akytll1e5KvwNKvhqIZFn,"Sorry - Acoustic","Broken Machine (Deluxe)","Nothing But Thieves",2017-09-08,214421,49,false,,2026-04-08T19:46:17Z,"","RCA Records Label",0.672,0.429,8,-7.364,0,0.0298,0.818,0.00000469,0.205,0.481,127.912,4
spotify:track:3sYWyVGfPuit80szWXhrRA,"Come As You Are - Live","MTV Unplugged In New York","Nirvana",1994-11-01,253906,65,false,,2026-04-08T19:46:17Z,"grunge,rock","DGC",0.683,0.766,5,-8.733,0,0.041,0.554,0.00346,0.0815,0.568,119.19,4
spotify:track:7mGAH8wfCljwG0tBi9WMGJ,"I Sat by the Ocean - Live Acoustic","...Like Cologne (Spotify Exclusive)","Queens of the Stone Age",2013-11-18,275571,48,false,,2026-04-08T19:46:17Z,"stoner rock,alternative rock","Matador",0.585,0.52,1,-5.892,1,0.0275,0.288,0,0.697,0.568,106.36,4
spotify:track:2l2i0FeYCBkK0OdPMuBGeW,"Teenage Dirtbag (Acoustic)","Teenage Dirtbag 2020 / Mope","Wheatus",2020-08-15,272975,52,true,,2026-04-08T19:46:17Z,"","Montauk Mantis Records",0.379,0.359,4,-8.373,1,0.0346,0.818,0,0.0969,0.427,176.663,4
