Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3r2ZoCWlf9RewWlxxozfQ8,"De Lejitos","De Lejitos","Jay Wheeler",2026-04-09,207600,86,true,,2026-05-01T04:02:04Z,"reggaeton","Linked Music / Dynamic Records / EMPIRE",0.712,0.565,5,-6.858,0,0.0378,0.38,0,0.1,0.479,99.903,4
spotify:track:1YAWMfsmduIrpqrjP45pFn,"FOREVER TU GANTEL","POR SI MAÑANA NO ESTOY","Omar Courtz;Ñengo Flow",2026-02-19,226533,86,true,,2026-05-01T04:02:04Z,"reggaeton,trap latino","Rimas Entertainment LLC.",0.808,0.714,5,-3.965,0,0.201,0.146,0,0.515,0.721,82.988,4
spotify:track:3e9zgP2N318DmC6qP7kdNj,"EL BAIFO","EL BAIFO","Quevedo",2026-04-24,199480,75,false,,2026-05-01T04:02:04Z,"","Quevedo",0.652,0.946,0,-3.943,1,0.0475,0.0489,0.000104,0.143,0.77,92.025,4
spotify:track:68KElV3TDyDy2zHPCWjUyt,"Choque","Choque","Bad Gyal;Chencho Corleone",2026-02-12,199456,73,true,,2026-05-01T04:02:04Z,"neoperreo,reggaeton","Interscope Records / Universal Music Latino",0.833,0.824,5,-3.282,0,0.0471,0.106,0.000557,0.126,0.417,93.994,4
spotify:track:10MpBpx64MNixmUMNj7f6b,"LATINA FOREVA","LATINA FOREVA","KAROL G",2025-05-22,159452,72,true,,2026-05-01T04:02:04Z,"reggaeton,latin,urbano latino","Bichota/Interscope Records",0.806,0.715,1,-3.539,0,0.0538,0.0115,0,0.0756,0.5,97.936,4
spotify:track:1VvliZHnsUj177MnuSY8G2,"Te Entiendo - Remix","Te Entiendo (Remix)","Maisak;Feid;Maluma",2026-04-29,335104,0,true,,2026-05-01T04:02:04Z,"reggaeton,urbano latino,latin","Royalty Records LLC",0.684,0.746,4,-3.866,0,0.166,0.0486,0,0.109,0.402,179.974,4
spotify:track:3ExANo8u3uX8NsA9YkZ2Ke,"HOLA QUÉ TAL","HOLA QUÉ TAL","Blessd;Ovy On The Drums;Myke Towers",2026-04-08,198606,65,true,,2026-05-01T04:02:04Z,"reggaeton,urbano latino,trap latino","WEA Latina",0.817,0.719,5,-2.625,1,0.0741,0.151,0,0.0932,0.793,91.033,4
spotify:track:2pbSCYzxrG0wa6qcj8IyiE,"Cuando No Era Cantante - Remix","Cuando No Era Cantante (Remix)","El Bogueto;Anuel AA;Fuerza Regida;Yung Beef",2025-12-10,327488,89,true,,2026-05-01T04:02:04Z,"reggaeton mexa,reggaeton,trap latino,urbano latino,latin,corrido,corridos tumbados,corridos bélicos,música mexicana,banda,sierreño,sad sierreño,electro corridos,neoperreo","El Bogueto",0.695,0.851,11,-3.566,0,0.0448,0.247,0,0.103,0.795,166.128,4
spotify:track:4VGFK69hVzkQ4K5qR4ypdF,"Balenciaga","Balenciaga","El Malilla;Luis R Conriquez",2026-04-10,153566,73,true,,2026-05-01T04:02:04Z,"reggaeton mexa,reggaeton,corrido,corridos bélicos,corridos tumbados,electro corridos,dembow belico,banda,sad sierreño,sierreño,música mexicana","El Malilla",0.83,0.871,1,-4,1,0.0524,0.196,0.0000092,0.0913,0.724,102.029,4
spotify:track:6J5kc12BW5HuP3d7C3vvx8,"EoO","DeBÍ TiRAR MáS FOToS","Bad Bunny",2025-01-05,204768,93,true,,2026-05-01T04:02:04Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC.",0.36,0.464,10,-29.598,0,0.0702,0.749,0.859,0.0825,0.184,63.662,4
