Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7wUt1v2ddVqPayC8EKDp5P,"El Amar y el Querer","Reencuentro","José José",1977-05-07,234773,78,false,,2025-12-05T05:00:17Z,"bolero,bacardi","Ariola",0.416,0.369,9,-11.675,0,0.031,0.747,0.0000143,0.123,0.17,66.302,4
spotify:track:6m2zdtNuSoZSjN4FtNR1sJ,"Te Regalo - Versión Desnudo","Amor Supremo (Desnudo)","Carla Morrison",2017-06-09,242446,72,false,,2025-12-05T05:00:17Z,"","C Morrison Enterprises/5020 Records",0.597,0.116,2,-10.034,1,0.0384,0.968,0,0.0871,0.33,121.678,4
spotify:track:4xDPw0yKACEyZ5M3Mts69i,"Hoy Tengo Ganas De Ti","Hoy Tengo Ganas De Ti","Alejandro Fernández;Christina Aguilera",2013-01-01,291253,49,false,,2025-12-05T05:00:17Z,"mariachi,ranchera,latin pop,bolero","UMLE - Latino",0.387,0.472,3,-6.5,0,0.0392,0.312,0,0.0687,0.188,123.654,4
spotify:track:7CZkVQ8LsfDsu8STKAQfWY,"No (feat. Gustavo Cerati)","Fijación Oral Volumen 1 (Expanded Edition)","Shakira;Gustavo Cerati",2005-06-03,284721,68,false,,2025-12-05T05:00:17Z,"latin pop,argentine rock,latin rock,rock en español,latin alternative","Epic",0.726,0.301,0,-11.964,0,0.0334,0.849,0.00302,0.11,0.378,131.983,4
spotify:track:7BwxbmYFy0l3ROHDjV2c14,"Culpable O No - Miénteme Como Siempre","Busca Una Mujer","Luis Miguel",1988-11-25,237240,79,false,,2025-12-05T05:00:17Z,"mariachi,bolero,latin pop,ranchera,villancicos","WEA Latina",0.54,0.367,0,-14.238,1,0.0277,0.0367,0,0.0433,0.252,70.276,4
spotify:track:2pOyQcM91HM3tZEiwZCraG,"La Nave del Olvido","La Nave del Olvido","José José",1998,215400,72,false,,2025-12-05T05:00:17Z,"bolero,bacardi","RCA Records Label",0.315,0.306,9,-8.777,0,0.0293,0.757,0,0.188,0.465,94.334,3
spotify:track:7vDbXop7XfI3FGyHLWGzIC,"Si Te Quedas (feat. Pablo Alborán)","Si Te Quedas (feat. Pablo Alborán)","Carla Morrison;Pablo Alborán",2025-12-04,175748,63,false,,2025-12-05T05:00:17Z,"latin pop","C Morrison Enterprises/5020 Records",0.65,0.361,3,-9.292,0,0.0417,0.725,0,0.113,0.236,126.988,4
spotify:track:7010oiDHpfwrZoYNxqgfoI,"Por El Amor De Una Mujer","A Flor De Piel","Julio Iglesias",1974,228933,62,false,,2025-12-05T05:00:17Z,"bolero","Columbia",0.4,0.239,9,-16.343,1,0.0418,0.509,0,0.277,0.336,97.28,4
spotify:track:3NKk6MKNU7zkGiewjo0bby,"No Me Ames (with Marc Anthony) - Ballad Version","Sigo Siendo Yo","Jennifer Lopez;Marc Anthony",2006-06-30,275840,44,false,,2025-12-05T05:00:17Z,"salsa,merengue,bachata,latin,latin pop","Sony Music Latin",0.545,0.539,0,-6.819,1,0.0366,0.491,0,0.147,0.309,83.209,4
spotify:track:3p8szomcjl5ghqOKSH5vZf,"Regresa a Mí","Il Divo","Il Divo",2004-10-25,280680,59,false,,2025-12-05T05:00:17Z,"classical crossover,opera","Syco Music UK",0.495,0.381,9,-10.091,0,0.0281,0.562,0.0027,0.126,0.19,111.02,4
spotify:track:4hsISengUD6beOi6kUIcXl,"Vamos a Darnos Tiempo","Gracias","José José",1981-11-05,248640,76,false,,2025-12-05T05:00:17Z,"bolero,bacardi","Ariola",0.384,0.327,10,-10.631,1,0.0357,0.823,0,0.164,0.175,147.667,4
spotify:track:6kQYMqjobmB8MkWwa9OUyA,"Amiga mía","Más","Alejandro Sanz",1997,290973,80,false,,2025-12-05T05:00:17Z,"latin pop","WM Spain",0.629,0.703,2,-4.875,1,0.0504,0.519,0,0.11,0.402,144.016,4
spotify:track:5BtNKZScq7gRDbcJ2FhIQb,"Hey","HEY!","Julio Iglesias",1980-12-14,300506,56,false,,2025-12-05T05:00:17Z,"bolero","Columbia",0.55,0.434,2,-12.685,1,0.0353,0.3,0,0.106,0.325,104.214,4
spotify:track:2kfSFdq2h0xLXq01em1zc7,"La Gata Bajo la Lluvia","Sus 16 Grandes Exitos","Rocío Dúrcal",1983-03-05,219106,69,false,,2025-12-05T05:00:17Z,"mariachi,ranchera,bolero","Ariola",0.499,0.648,7,-5.812,1,0.0331,0.723,0,0.576,0.464,88.14,4
spotify:track:0KAqMRUSZwzG3dZLdDA4eH,"Antología","Pies Descalzos","Shakira",1995-10-06,254240,80,false,,2025-12-05T05:00:17Z,"latin pop","Epic",0.839,0.403,0,-11.059,1,0.0308,0.5,0.00000181,0.0786,0.575,97.967,4
spotify:track:2nejvFyJeTDtMRP2nUMt0J,"Abrázame Muy Fuerte","Abrázame Muy Fuerte","Juan Gabriel",2000-12-12,239426,80,false,,2025-12-05T05:00:17Z,"mariachi,ranchera,bolero,música mexicana","Ariola",0.515,0.387,4,-7.343,0,0.0567,0.689,0,0.126,0.312,135.739,4
spotify:track:7sRXhReWmJF5pqyg3uUTES,"Solamente tú","Pablo Alboran (Deluxe)","Pablo Alborán",2011-02-01,247186,74,false,,2025-12-05T05:00:17Z,"latin pop","Parlophone Spain",0.519,0.419,9,-6.276,1,0.033,0.457,0,0.161,0.266,140.033,4
spotify:track:1UhC65P18YWD02sW0GiyMl,"Ahora Quien","Sigo Siendo Yo","Marc Anthony",2006-06-30,305426,52,false,,2025-12-05T05:00:17Z,"salsa,merengue,bachata,latin,latin pop","Sony Music Latin",0.603,0.624,4,-6.982,0,0.0305,0.197,0,0.0992,0.334,130.004,4
spotify:track:2DAsLftcRKP3iarCPmI1RY,"No Sé Tú","Romance","Luis Miguel",1991-11-19,229853,75,false,,2025-12-05T05:00:17Z,"mariachi,bolero,latin pop,ranchera,villancicos","WEA Latina",0.389,0.443,10,-8.546,0,0.0304,0.571,0.00178,0.114,0.0888,76.54,4
spotify:track:15eXfjBk8M8L0aKJXe5YnG,"Bésame","Besame","Ricardo Montaner",2001-06-26,236080,74,false,,2025-12-05T05:00:17Z,"latin pop","WEA Latina",0.456,0.693,4,-4.345,0,0.0359,0.58,0,0.122,0.48,80.5,4
spotify:track:3fLULPPtmfVkGMnwAhHAij,"Mi Verdad (feat. Shakira)","Mi Verdad (feat. Shakira)","Maná;Shakira",2015-02-10,272576,58,false,,2025-12-05T05:00:17Z,"rock en español,latin rock,mexican rock,latin pop","WM Mexico",0.857,0.561,9,-7.288,1,0.0292,0.435,0,0.0831,0.76,99.989,4
spotify:track:4Wg6Ggb6DY8OmlFQvvHO9b,"Gavilán o Paloma","Reencuentro","José José",1977-05-07,250200,75,false,,2025-12-05T05:00:17Z,"bolero,bacardi","Ariola",0.537,0.454,0,-10.632,1,0.0315,0.566,0,0.583,0.378,125.619,4
spotify:track:1Y7q2zwCBjt9zgIHZ0Ku7J,"¿Quieres Ser Mi Amante?","Camilo","Camilo Sesto",1974-01-02,249666,74,false,,2025-12-05T05:00:17Z,"bolero","Ariola",0.409,0.574,5,-8.112,0,0.0415,0.792,0.00000128,0.0915,0.55,151.979,4
spotify:track:5OKrgU6UuGMp4sGRxv1JH2,"Dígale","Corazón Latino","David Bisbal",2002-10-15,262440,75,false,,2025-12-05T05:00:17Z,"latin pop,villancicos","Universal Music Spain S.L.",0.57,0.474,2,-6.809,1,0.0296,0.595,0,0.143,0.299,130.103,4
spotify:track:7C5l5hLxS4uZX1VJR13ZBT,"Si tú no vuelves","Colección Definitiva","Miguel Bosé",2013-12-10,278293,56,false,,2025-12-05T05:00:17Z,"latin pop","WM Spain",0.74,0.509,6,-6.971,1,0.0332,0.355,0.0963,0.117,0.133,121.971,4
spotify:track:28ANj8vuad6phtclxhmPYO,"Costumbres","Amor Eterno","Rocío Dúrcal",1984-04-26,272400,59,false,,2025-12-05T05:00:17Z,"mariachi,ranchera,bolero","Ariola",0.404,0.126,9,-16.832,0,0.0321,0.58,0.000283,0.233,0.36,172.525,4
spotify:track:3hbTkJ0yFzHbawnKyhvTQj,"Sálvame","Rebelde","RBD;Anahí;Dulce María;Maite Perroni;Christian Chávez;Christopher von Uckermann;Alfonso Herrera",2004-01-01,224973,74,false,,2025-12-05T05:00:17Z,"latin pop","Universal Music Mexico",0.473,0.657,6,-6.278,1,0.024,0.0454,0.00000241,0.068,0.294,74.996,4
spotify:track:6F9yAYUaNbUhdlQyt5uZ3b,"La Incondicional","Busca Una Mujer","Luis Miguel",1988-11-25,257026,80,false,,2025-12-05T05:00:17Z,"mariachi,bolero,latin pop,ranchera,villancicos","WEA Latina",0.374,0.727,10,-4.352,1,0.0309,0.237,0,0.134,0.283,155.127,4
