Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5KDcDThWtlOOcEncBmseAw,"Leftovers","Reveries","Akın Sevgör",2024-01-19,181461,40,false,,2026-05-01T00:01:53Z,"","Tantana Records",0.499,0.171,7,-15.452,0,0.0324,0.981,0.938,0.0935,0.415,174.019,4
spotify:track:7J8NbJZXIbR3JLOUk5BITV,"Just Sine Waves","Mono No Aware","Martin Roth",2022-09-12,166057,58,false,,2026-05-01T00:01:53Z,"synthwave","Anjunachill",0.735,0.138,9,-20.736,0,0.0624,0.943,0.938,0.0965,0.664,95.009,4
spotify:track:5iynHQ9dyOKR4HDQMy1dix,"Persica Blossoms","Persica Blossoms","Holly Waxwing;OrangeTone",2025-06-16,181333,49,false,,2026-05-01T00:01:53Z,"hyperpop","Four Finger Distro",0.641,0.741,5,-6.455,1,0.0326,0.637,0.843,0.111,0.683,134.989,4
spotify:track:2IylguIokLMTagCSWe0Ym6,"Into The Glare","Into The Glare","Ah! Kosmos;Hainbach",2025-01-31,141936,36,false,,2026-05-01T00:01:53Z,"dark ambient,electroacoustic,ambient,drone,experimental","FUU",0.545,0.293,7,-12.887,1,0.0277,0.503,0.922,0.135,0.0294,133.192,4
spotify:track:4oV37nYkVu3IZ64ZGxghT7,"I Know","OnlyL","TSHA",2021-08-27,288038,50,false,,2026-05-01T00:01:53Z,"","Ninja Tune",0.687,0.803,11,-5.873,0,0.0322,0.103,0.869,0.158,0.174,115,4
spotify:track:0MrHjYitcj2AM851dimyn3,"Scene 2","Pentagram","Gui Boratto",2018-06-15,172500,37,false,,2026-05-01T00:01:53Z,"minimal techno","Kompakt",0.452,0.481,3,-12.234,0,0.0292,0.851,0.931,0.333,0.139,64.992,4
spotify:track:4u5073p9qQ3EdBUuh7Qp05,"Lunar","Lunar","M1NT;blnkspc_",2023-10-27,194187,48,false,,2026-05-01T00:01:53Z,"jazz house,lo-fi house,lo-fi beats,lo-fi hip hop,lo-fi","Bamboo Artist & Label Services GmbH",0.802,0.575,4,-11.677,0,0.047,0.0074,0.917,0.119,0.668,120.003,4
spotify:track:71352qWlxI4t5Wj3YsVvAR,"1 18. 13 1 14 5 18. 11 15 26 8","11 5 18 2 5 18","Yann Tiersen",2022-06-10,263200,32,false,,2026-05-01T00:01:53Z,"","Mute",0.595,0.662,5,-14.546,0,0.0533,0.251,0.699,0.113,0.0618,120.005,4
spotify:track:7y4dEwmZu6ErfezHluGUEs,"Gentle Hum","Gentle Hum","Ah! Kosmos;Hainbach",2024-11-22,160476,34,false,,2026-05-01T00:01:53Z,"dark ambient,electroacoustic,ambient,drone,experimental","FUU",0.0856,0.361,5,-12.427,1,0.0384,0.104,0.987,0.0836,0.0407,85.221,3
spotify:track:6VO8xJuYyncOOFiUk3Tgx3,"Bleached Flamingo","Bleached Flamingo EP","Stavroz",2020-11-20,272982,29,false,,2026-05-01T00:01:53Z,"organic house,downtempo","Moodfamily",0.649,0.347,4,-12.441,0,0.0437,0.686,0.846,0.136,0.569,161.038,1
