Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:48vIfHaK7by6x0T6ucpODL,"make you mine","make you mine","Madison Beer",2024-02-09,221709,76,false,,2026-04-06T14:17:44Z,"","Epic/Sing It Loud",0.533,0.642,6,-6.315,0,0.0403,0.221,0.00697,0.238,0.488,123.128,4
spotify:track:0ccoGCaOFCxI6pHixrQpKj,"Neverender","Neverender","Justice;Tame Impala",2024-04-25,266493,66,false,,2026-04-06T14:17:44Z,"french house,new rave,neo-psychedelic,indie","Genesis",0.563,0.44,6,-10.01,0,0.0608,0.0258,0.00000762,0.227,0.417,116.988,4
spotify:track:1XhItJSBxL5yKh0V0ymg6D,"That's When You Know","That's When You Know","Kygo;Carter Faith",2026-04-10,193842,76,false,,2026-04-17T04:01:27Z,"tropical house","Kygo",0.63,0.849,8,-6.885,1,0.0547,0.385,0.000108,0.0642,0.344,123.966,4
spotify:track:4KmkJjHTNlr1jFY56Lyz4E,"PINKY UP","PINKY UP","KATSEYE",2026-04-09,131437,90,true,,2026-04-17T04:01:27Z,"k-pop","HYBE/Geffen",0.844,0.876,10,-4.76,0,0.0954,0.00885,0.0000548,0.13,0.579,151.997,4
spotify:track:2Lb9ww5vZAnveWnrFQfAKR,"New Religion","New Religion","Bebe Rexha;Faithless",2026-03-06,174400,82,false,,2026-04-06T14:17:44Z,"trip hop","Bebe Rexha Music LLC / EMPIRE",0.663,0.919,11,-3.313,0,0.0346,0.0338,0.0000213,0.0666,0.347,127.98,4
spotify:track:1WmBVbFmLt0w6zPP37TeCG,"Illegal","Fancy That","PinkPantheress",2025-05-09,149666,83,false,,2026-04-06T14:17:44Z,"bedroom pop","Warner Records",0.624,0.89,0,-5.209,0,0.0476,0.0684,0.00149,0.187,0.518,141.47,4
spotify:track:2GxrNKugF82CnoRFbQfzPf,"i like the way you kiss me","i like the way you kiss me","Artemas",2024-03-19,142514,81,false,,2026-04-06T14:17:44Z,"","Artemas",0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,4
spotify:track:4A56h4B9xUuMMXoKuj18HT,"Edge of Desire","Edge of Desire","Jonas Blue;Malive",2025-07-18,134905,84,false,,2026-04-06T14:17:44Z,"tropical house,brazilian hip hop,brazilian bass","Defected Records",0.779,0.787,0,-6.636,1,0.0459,0.139,0.827,0.0904,0.818,123.019,4
spotify:track:3ISiRKaCo6JzoKRjNJlvQA,"work","work","no na",2026-01-23,145756,69,true,,2026-04-06T14:17:44Z,"","88rising Music",0.938,0.842,1,-5.253,1,0.0873,0.121,0,0.132,0.79,119.959,4
spotify:track:5sSX7WUAGL1TUSWnGgnTA8,"Çike Çike","Çike Çike","Bebe Rexha",2026-02-20,139379,61,true,,2026-04-06T14:17:44Z,"","Bebe Rexha Music LLC / EMPIRE",0.773,0.73,1,-7.014,1,0.0471,0.00862,0.0614,0.308,0.522,124.052,4
spotify:track:5nPbKG04fhLkIAjcPFaZq7,"I Adore You (feat. Daecolm)","I Adore You (feat. Daecolm)","HUGEL;Topic;Arash;Daecolm",2024-07-19,214000,86,false,,2026-04-06T14:17:44Z,"latin house,afro house,techengue,house","Intercord",0.704,0.787,11,-6.751,0,0.0462,0.00926,0.00538,0.159,0.31,119.996,4
spotify:track:1Cbl3Yq8rHo7hhDQmLQagU,"PUSH 2 START","TYLA +","Tyla",2024-10-11,156825,81,false,,2026-04-06T14:17:44Z,"afrobeats","FAX Records/Epic",0.683,0.814,2,-3.505,1,0.0466,0.277,0.00826,0.0858,0.758,93.482,4
spotify:track:0kl6Ozan3fuUdCl6TlB15v,"Talk To You","Talk To You","ANOTR;54 Ultra",2026-03-06,191076,86,false,,2026-04-06T14:17:44Z,"house,tech house,retro soul","No Art",0.702,0.83,0,-3.499,0,0.0426,0.0172,0.355,0.0567,0.672,131.996,4
spotify:track:6J5kc12BW5HuP3d7C3vvx8,"EoO","DeBÍ TiRAR MáS FOToS","Bad Bunny",2025-01-05,204768,93,true,,2026-04-06T14:17:44Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC.",0.36,0.464,10,-29.598,0,0.0702,0.749,0.859,0.0825,0.184,63.662,4
spotify:track:5H1sKFMzDeMtXwND3V6hRY,"JUMP","JUMP","BLACKPINK",2025-07-11,164718,87,false,,2026-04-06T14:17:44Z,"k-pop","YG Entertainment",0.706,0.927,5,-5.762,0,0.0714,0.00243,0.0000388,0.101,0.523,144.972,4
spotify:track:3WOhcATHxK2SLNeP5W3v1v,"Guess featuring billie eilish","Guess featuring billie eilish","Charli xcx;Billie Eilish",2024-08-01,143330,75,false,,2026-04-06T14:17:44Z,"hyperpop,art pop","Atlantic Records",0.776,0.667,7,-6.622,1,0.0983,0.0146,0.3,0.0761,0.618,130.019,4
