Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7BRD7x5pt8Lqa1eGYC4dzj,"CHIHIRO","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,303440,87,false,,2026-03-31T14:27:16Z,"","Darkroom/Interscope Records",0.7,0.425,7,-12.531,1,0.0529,0.144,0.879,0.083,0.521,110.015,4
spotify:track:5XeFesFbtLpXzIVDNQP22n,"I Wanna Be Yours","AM","Arctic Monkeys",2013-09-09,183956,92,false,,2026-03-31T14:27:16Z,"indie,garage rock","Domino Recording Co",0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4
spotify:track:6GGtHZgBycCgGBUhZo81xe,"Say Yes To Heaven","Say Yes To Heaven","Lana Del Rey",2023-05-19,209156,86,false,,2026-03-31T14:27:16Z,"","Polydor Records",0.485,0.348,6,-11.576,0,0.0257,0.678,0.167,0.118,0.145,99.898,4
spotify:track:5y2ijHECwFYWqcAHKTZgzD,"Risk It All","The Romantic","Bruno Mars",2026-02-27,204068,96,false,,2026-03-31T14:27:16Z,"","Atlantic Records",0.401,0.347,2,-9.892,1,0.0442,0.495,0,0.0563,0.267,171.804,4
spotify:track:3vkCueOmm7xQDoJ17W1Pm3,"My Love Mine All Mine","The Land Is Inhospitable and So Are We","Mitski",2023-09-15,137773,87,false,,2026-03-31T14:27:16Z,"","Dead Oceans",0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,4
spotify:track:2prqm9sPLj10B4Wg0wE5x9,"BLUE","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,343120,81,false,,2026-03-31T14:27:16Z,"","Darkroom/Interscope Records",0.349,0.337,7,-10.671,1,0.0407,0.29,0.172,0.139,0.0365,142.01,4
spotify:track:1XTY6rA7XQosc0ynkkE9kN,"Black Friday","Black Friday","Tom Odell",2023-09-22,221510,72,false,,2026-03-31T14:27:16Z,"","UROK",0.48,0.199,6,-12.398,1,0.0329,0.931,0.0563,0.0978,0.201,165.476,4
spotify:track:6qqrTXSdwiJaq8SO0X2lSe,"Ordinary","Ordinary","Alex Warren",2025-02-07,186964,89,false,,2026-03-31T14:27:16Z,"","Atlantic Records",0.446,0.682,2,-6.229,1,0.0497,0.739,0.00000951,0.0562,0.382,112.252,4
spotify:track:21IYMdzTrzSe191Cy5eMap,"Sailor Song","At The Beach, In Every Life","Gigi Perez",2025-04-25,211978,89,false,,2026-03-31T14:27:16Z,"","Outtahere, LLC / Island Records",0.499,0.392,11,-10.441,1,0.0262,0.627,0.000071,0.192,0.272,95.076,4
spotify:track:5BZsQlgw21vDOAjoqkNgKb,"DAISIES","SWAG","Justin Bieber",2025-07-11,176453,95,false,,2026-03-31T14:27:16Z,"","JRC Entertainment, LLC / ILH Production Co. LLC / Def Jam Recordings",0.802,0.384,8,-8.906,1,0.054,0.715,0.000686,0.108,0.482,110.153,4
spotify:track:2gYTC8DsplN3RNdpdBcCOQ,"Die On This Hill","Die On This Hill","SIENNA SPIRO",2025-10-10,217008,93,false,,2026-03-31T14:27:16Z,"","Capitol Records",0.523,0.429,5,-4.642,0,0.0288,0.76,0.00000427,0.349,0.247,82.457,4
spotify:track:5IMpnpD0tQVcqWlVIgtAtV,"iloveitiloveitiloveit","iloveitiloveitiloveit","Bella Kay",2026-01-11,183237,94,true,,2026-03-31T14:27:16Z,"","2026 Bella Kay",0.615,0.327,6,-8.13,0,0.0332,0.735,0.0000309,0.112,0.382,143.198,4
spotify:track:45J4avUb9Ni0bnETYaYFVJ,"luther (with sza)","GNX","Kendrick Lamar;SZA",2024-11-22,177598,82,false,,2026-03-31T14:27:16Z,"hip hop,west coast hip hop,r&b","pgLang, under exclusive license to Interscope Records",0.707,0.575,2,-7.546,1,0.125,0.251,0,0.248,0.576,138.008,4
spotify:track:1Ukxccao1BlWrPhYkcXbwZ,"From The Start","From The Start","Laufey",2023-05-11,169573,74,false,,2026-03-31T14:27:16Z,"","Laufey",0.664,0.405,1,-7.413,1,0.08,0.877,0.000765,0.11,0.743,81.89,3
spotify:track:4IhTXiZLKATmwhMZIb1GQN,"Lights Are On","Z-Sides","Tom Rosenthal",2018-10-26,193749,77,false,,2026-03-31T14:27:16Z,"","Tinpot Records",0.44,0.04,3,-16.887,1,0.0322,0.981,0.465,0.111,0.249,135.965,4
spotify:track:04sN26COy28wTXYj3dMoiZ,"Bored","Bored","Billie Eilish",2017-03-30,180933,79,false,,2026-03-31T14:27:16Z,"","Darkroom",0.614,0.318,7,-12.695,1,0.0478,0.896,0.00239,0.0795,0.112,119.959,4
spotify:track:5OGZ2Mx4Cs6RCndDRycGBJ,"Daylight","The Dichotomy","David Kushner",2024-08-30,212953,84,false,,2026-03-31T14:27:16Z,"","Miserable Music Group",0.51,0.432,5,-9.492,1,0.0334,0.825,0.000294,0.0933,0.31,129.872,4
spotify:track:3wJVBz7gvGTwTWVAxFa6ny,"Fever","Fever","Dua Lipa;Angèle",2020-10-29,156910,62,false,,2026-03-31T14:27:16Z,"pop,french pop,variété française,french indie pop,chanson","Warner Records",0.868,0.693,6,-7.052,0,0.181,0.0597,0.00399,0.106,0.396,114.999,4
spotify:track:2mlNgAeIBnL78ZriXgrRHz,"Glimpse of Us","SMITHEREENS","Joji",2022-11-04,233453,83,false,,2026-03-31T14:27:16Z,"","88rising Music",0.441,0.287,8,-9.963,1,0.0448,0.899,0.00000369,0.155,0.272,169.672,3
spotify:track:7zFio8WT0tTBqLs1pXYKqy,"We Hug Now","We Hug Now","Sydney Rose",2025-02-13,248821,79,false,,2026-03-31T14:27:16Z,"","Sydney Rose",0.367,0.332,0,-10.86,1,0.0352,0.714,0.000977,0.122,0.208,120.05,4
spotify:track:042Sl6Mn83JHyLEqdK7uI0,"Your Power","Happier Than Ever","Billie Eilish",2021-07-30,245896,74,false,,2026-03-31T14:27:16Z,"","Darkroom/Interscope Records",0.632,0.284,9,-14.025,0,0.0801,0.932,0.000476,0.233,0.208,129.642,4
spotify:track:6N22FZs2ZhPBYi3b9XPajV,"Still Don't Know My Name (From ""Euphoria: Season 1"" Soundtrack)","Euphoria (Original Score from the HBO Series)","Labrinth",2019-10-04,153294,76,false,,2026-03-31T14:27:16Z,"","Masterworks",0.316,0.63,5,-5.963,1,0.117,0.471,0.262,0.205,0.313,89.643,1
