Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:24QnH4LamDh2UhhmHyXjE8,"Hinoki Wood","Romantic Piano","Gia Margaret",2023-05-26,94946,64,false,,2026-01-19T19:51:38Z,"","Jagjaguwar",0.394,0.158,1,-21.432,1,0.0481,0.949,0.829,0.109,0.0398,124.567,4
spotify:track:3XagHd6dQ24vSujx0ADqXK,"Blood Milk Moon","Blood Milk Moon","Hermanos Gutiérrez",2023-12-14,177852,52,false,,2026-01-19T19:51:38Z,"","Easy Eye Sound",0.683,0.472,2,-10.75,0,0.0289,0.747,0.925,0.121,0.615,111.778,4
spotify:track:0il7LJ828XyPqyvNx9cF5S,"You got time and I got money","Big city life","Smerz",2025-05-23,271583,65,false,,2026-01-19T19:51:38Z,"","Escho",0.653,0.419,7,-8.272,1,0.0335,0.335,0.224,0.116,0.15,131.012,4
spotify:track:0VIegveYbIaxxTgBNHSl3v,"Three Piece Suit (feat. Azekel)","Three Piece Suit (feat. Azekel)","Kokoroko;Azekel",2024-10-02,276733,43,false,,2026-01-19T19:51:38Z,"trip hop,alté","Brownswood Recordings",0.489,0.565,9,-10.495,0,0.126,0.045,0.22,0.132,0.67,112.518,4
spotify:track:2vECdxxkaVhExdYdB85fyP,"Life Is","Here in the Pitch","Jessica Pratt",2024-05-03,188293,48,false,,2026-01-19T19:51:38Z,"ambient folk","City Slang",0.675,0.337,2,-11.926,1,0.0256,0.749,0.00596,0.0639,0.378,103.988,4
spotify:track:5yVGW2o9LXaiiS4I3HUM3k,"May Ninth","A LA SALA","Khruangbin",2024-04-05,192144,65,false,,2026-01-19T19:51:38Z,"neo-psychedelic","Dead Oceans",0.609,0.356,6,-11.163,0,0.0364,0.353,0.855,0.138,0.531,80.838,4
spotify:track:5SqHQPdRnsypIJEJNTspWE,"Caroline","Slow Burn","Baby Rose;BADBADNOTGOOD;Mereba",2024-04-12,246836,52,false,,2026-01-19T19:51:38Z,"alternative r&b","Secretly Canadian",0.51,0.593,7,-9.058,1,0.0347,0.633,0.000831,0.0836,0.417,88.977,4
spotify:track:73pJ9jnsBhDIyXrIxlBKyZ,"Earthstar","Earthstar Mountain","Hannah Cohen",2025-03-28,243455,56,false,,2026-01-19T19:51:38Z,"","Bella Union",0.513,0.728,1,-8.563,0,0.0397,0.304,0.283,0.0786,0.479,152.006,4
spotify:track:4xyZ8TMuWWlSCN3NRUsOCq,"The Rest Of Me","The Rest Of Me","Michael Kiwanuka",2024-10-03,230661,49,false,,2026-01-19T19:51:38Z,"soul","Polydor Records",0.603,0.4,9,-10.577,0,0.0365,0.763,0.0609,0.115,0.356,96.233,4
spotify:track:0HwvseqsH7GQre8BamXIkN,"Already Gone","Orion","Orion Sun",2024-09-20,228040,47,false,,2026-01-19T19:51:38Z,"alternative r&b,bedroom pop","Mom+Pop Music",0.603,0.409,3,-8.361,1,0.0531,0.655,0.011,0.0776,0.428,139.963,4
spotify:track:2vlkTkPqdATznKHu9gD2c1,"Her","Her","The American Dawn",2024-07-26,214086,79,false,,2026-01-19T19:51:38Z,"","DAWN RECORDS",0.66,0.603,3,-7.7,0,0.025,0.00566,0.0144,0.0751,0.527,102.99,4
spotify:track:3AblXPVtQlTdXMU2Lo5rf8,"september lightning","i don't mind floating","Humble the Great;Amie Blu",2024-10-17,174240,47,false,,2026-01-19T19:51:38Z,"","Neighbourhood",0.64,0.36,6,-11.352,1,0.0403,0.411,0.00000344,0.152,0.536,66.975,4
spotify:track:4kUzd7iCNJUQ1nP9BjeRiE,"Lejos De Más","Lejos De Más","pablopablo;Helado Negro",2024-10-02,246720,39,false,,2026-01-19T19:51:38Z,"latin indie,latin alternative","Mom+Pop Music",0.683,0.334,6,-13.294,1,0.0432,0.691,0.0472,0.137,0.218,124.863,4
spotify:track:0Bq9VjpPqkP3Mbq4Ui2mbo,"Only One","My Light, My Destroyer","Cassandra Jenkins",2024-07-12,189093,41,false,,2026-01-19T19:51:38Z,"","Dead Oceans",0.585,0.519,9,-10.159,1,0.0388,0.612,0.15,0.088,0.486,78.01,4
spotify:track:6U13ePayjjfmxzXHGGYbv5,"I Come With Mud","Equus Asinus","Men I Trust",2025-03-19,291791,55,false,,2026-01-19T19:51:38Z,"bedroom pop,indie pop","Independent",0.586,0.195,7,-17.293,1,0.0352,0.876,0.784,0.093,0.43,177.905,4
spotify:track:4DPRZwT4XWlZHuj4CpXDZ1,"The Hard Way","The Hard Way","Pete Yorn",2024-08-23,236133,41,false,,2026-01-19T19:51:38Z,"","Shelly Music",0.434,0.524,7,-10.608,1,0.0293,0.298,0.807,0.111,0.309,83.936,4
spotify:track:21ktp6PzUlRdruDIEcraM2,"No Champagne (6am)","No Champagne (6am)","Cautious Clay",2025-02-14,154600,37,false,,2026-01-19T19:51:38Z,"","Fantasy",0.39,0.498,0,-6.53,1,0.0278,0.325,0,0.0892,0.243,182.093,3
spotify:track:5NR7XN88d1NhOXKR0vD5XK,"Nomad","Nomad","Clairo",2024-06-28,225572,51,false,,2026-01-19T19:51:38Z,"bedroom pop","Clairo",0.51,0.453,8,-11.172,1,0.0313,0.901,0.0000749,0.152,0.269,83.044,4
spotify:track:1e1QnRkEXG5HFMOUFo3V4L,"Snowpath","Snowpath","Jonah Yano;Clairo",2024-09-30,133000,39,false,,2026-01-19T19:51:38Z,"indie jazz,bedroom pop","Innovative Leisure",0.528,0.372,3,-7.335,1,0.0368,0.927,0.408,0.16,0.164,119.255,4
spotify:track:3ScfduFQvLS1zsqnxZkazU,"canine teeth","there is one place we're all going","Orchid Mantis;Fog Lake",2023-08-04,80000,38,false,,2026-01-19T19:51:38Z,"slowcore,dream pop,lo-fi indie","Orchid Mantis",0.506,0.546,11,-11.324,1,0.109,0.881,0.892,0.393,0.627,149.963,4
spotify:track:6rQoQSGhuySs5otnmML19s,"Imagination","Natural Pleasure","BRONCHO",2025-04-25,248261,41,false,,2026-01-19T19:51:38Z,"","Broncho Worldwide",0.567,0.478,0,-10.7,1,0.0258,0.673,0.218,0.177,0.533,83.206,4
spotify:track:32ugaYvnzBbGq3qJjRkKZt,"Stuck","MUSH","AKA BK",2025-11-11,258000,37,false,,2026-01-19T19:51:38Z,"","bk & friends",0.432,0.654,4,-6.449,1,0.0258,0.00505,0.00000601,0.149,0.268,77.48,4
spotify:track:4WhFJqlNSycgYlNga1IF6x,"Dramamine","The Unwavering Hand","Flawed Mangoes",2024-09-25,205714,63,false,,2026-01-19T19:51:38Z,"","Artist Partner Group",0.529,0.383,3,-13.453,1,0.0324,0.907,0.91,0.111,0.16,112.037,4
