Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2FRnf9qhLbvw8fu4IBXx78,"Last Christmas","LAST CHRISTMAS","Wham!",1984-11-29,262960,73,false,,2025-12-25T07:25:04Z,"christmas","Epic",0.735,0.478,2,-12.472,1,0.0293,0.189,0.00000248,0.355,0.947,107.682,4
spotify:track:0bYg9bo50gSsH3LtXe2SQn,"All I Want for Christmas Is You","Merry Christmas","Mariah Carey",1994-10-28,241562,71,false,,2025-12-25T07:25:04Z,"christmas","Columbia",0.336,0.627,7,-7.463,1,0.0384,0.164,0,0.0708,0.35,150.273,4
spotify:track:2uFaJJtFpPDc5Pa95XzTvg,"Let It Snow! Let It Snow! Let It Snow!","A Winter Romance","Dean Martin",1959-01-01,117146,61,false,,2025-12-25T07:25:04Z,"christmas,adult standards,big band,swing music","Capitol Records",0.451,0.241,1,-14.014,1,0.0352,0.912,0.00000266,0.175,0.698,134.009,4
spotify:track:0lizgQ7Qw35od7CYaoMBZb,"Santa Tell Me","Santa Tell Me","Ariana Grande",2014-11-24,204093,67,false,,2025-12-25T07:25:04Z,"pop","Universal Records",0.525,0.621,7,-7.364,1,0.117,0.0489,0,0.291,0.592,191.868,4
spotify:track:3nAp4IvdMPPWEH9uuXFFV5,"Underneath the Tree","Wrapped In Red","Kelly Clarkson",2013-10-25,229638,60,false,,2025-12-25T07:25:04Z,"christmas","RCA Records Label",0.509,0.812,8,-5.438,1,0.0537,0.0013,0.0000199,0.214,0.689,159.876,4
spotify:track:2EjXfH91m7f8HiJN1yQg97,"Rockin' Around The Christmas Tree","Merry Christmas From Brenda Lee","Brenda Lee",1964-10-19,126266,64,false,,2025-12-25T07:25:04Z,"christmas","MCA Nashville",0.598,0.47,8,-8.744,1,0.0496,0.617,0,0.505,0.879,67.086,4
spotify:track:6rqn19AqjcM5wgI1hCYciJ,"Holly Jolly Christmas","Christmas (Deluxe 10th Anniversary Edition)","Michael Bublé",2024-12-05,121526,55,false,,2025-12-25T07:25:04Z,"christmas","Reprise",0.61,0.427,0,-8.639,1,0.0416,0.857,0,0.0898,0.742,151.43,4
spotify:track:7vQbuQcyTflfCIOu3Uzzya,"Jingle Bell Rock","Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol)","Bobby Helms",1957-12-02,130973,63,false,,2025-12-25T07:25:04Z,"christmas,villancicos","Geffen",0.754,0.424,2,-8.463,1,0.0363,0.643,0,0.0652,0.806,119.705,4
spotify:track:4PS1e8f2LvuTFgUs1Cn3ON,"The Christmas Song (Merry Christmas To You)","The Christmas Song (Expanded Edition)","Nat King Cole",2018-09-21,192160,57,false,,2025-12-25T07:25:04Z,"christmas,adult standards,vocal jazz","CAPITOL CATALOG MKT (C92)",0.32,0.21,6,-15.231,1,0.0345,0.92,0.0000801,0.138,0.208,73.196,5
spotify:track:1LmkdWSxjCV7wKTPsCvYWN,"Winter Wonderland - Spotify Singles Holiday","Spotify Singles Holiday","Laufey",2023-11-14,132800,55,false,,2025-12-25T07:25:04Z,"","Laufey",0.528,0.281,2,-9.784,1,0.037,0.839,0,0.0873,0.514,127.617,4
