Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:02OwhwebATDY9i4xfeo3FV,"Shards","Your Eyes","Small Town Kid",2026-01-30,120687,72,false,selectedbase,2026-05-01T08:30:22Z,"deep house","Selected.",0.859,0.625,9,-7.869,1,0.0526,0.237,0.355,0.132,0.452,131.064,4
spotify:track:6nHyY8kHh39ZB4SfsQ35zD,"Glow","Glow","MA:RK",2026-01-16,159390,71,false,selectedbase,2026-05-01T08:30:22Z,"deep house","Selected.",0.766,0.552,2,-8.937,0,0.0472,0.22,0.308,0.106,0.106,125.022,4
spotify:track:2MjUXeQsfJAFhSXvpojmQX,"Can't Go Back","Can't Go Back","Astrality;James French",2026-01-30,155462,69,false,selectedbase,2026-05-01T08:30:22Z,"deep house","Selected.",0.804,0.799,0,-6.115,0,0.0613,0.293,0.247,0.119,0.418,127.01,4
spotify:track:2ZGSXWF4H5HogHxtKbyckj,"We Run","We Run","Small Town Kid",2026-03-13,162946,76,false,selectedbase,2026-05-01T08:30:22Z,"deep house","Selected.",0.838,0.464,6,-7.123,0,0.0426,0.0175,0.153,0.0871,0.37,126.027,4
spotify:track:6ogAI7hxJhcpH04xFuwGn4,"Slide","Slide","April Girl",2026-03-27,174228,65,false,selectedbase,2026-05-01T08:30:22Z,"deep house","Selected.",0.753,0.678,0,-8.139,0,0.0382,0.0194,0.649,0.11,0.736,128.008,4
spotify:track:6RLBwMcxEX9QS2XYO7Xc52,"Heartbeat","Are You Real?","MIND",2026-02-06,148330,70,false,selectedbase,2026-05-01T08:30:22Z,"deep house","Selected.",0.721,0.75,9,-6.639,0,0.249,0.236,0.014,0.304,0.0727,136.978,4
spotify:track:3iB4dAyzPF9PSD3xptZ6Z1,"Let Me In","Let Me In","London Topaz;Sophia Brown",2026-01-23,201562,66,false,selectedbase,2026-05-01T08:30:22Z,"deep house","Selected.",0.651,0.598,3,-7.911,0,0.0385,0.117,0.00676,0.187,0.296,128.032,3
spotify:track:6naA2kx3P4uRTjWbNuSdDX,"Dreamin' About You","Dreamin' About You","Josh Hunter;Lily Denning",2026-02-20,147480,63,false,selectedbase,2026-05-01T08:30:22Z,"liquid funk,drum and bass","Selected.",0.752,0.9,7,-4.939,0,0.0314,0.0336,0.0655,0.145,0.269,128.001,4
spotify:track:5NfXyiFOOApr4DdvGj2wMX,"When the Feeling Is Gone","When the Feeling Is Gone","Small Town Kid",2026-05-01,156615,0,false,selectedbase,2026-05-01T08:30:22Z,"deep house","Selected.",0.774,0.659,8,-5.947,1,0.0851,0.107,0.00104,0.108,0.493,122.975,4
spotify:track:0C5G0JJLTyDexp08AiAzxy,"i think i'm addicted","feel","oskar med k;Haley Joelle",2026-03-27,158520,75,false,selectedbase,2026-05-01T08:30:22Z,"stutter house","7CULT",0.874,0.666,8,-8.566,0,0.175,0.691,0.478,0.289,0.496,125.029,4
spotify:track:2NSGXSn3phBbGnEnWQyyx8,"gravity","gravity","all things break",2025-11-28,230137,77,false,selectedbase,2026-05-01T08:30:22Z,"deep house","Selected.",0.724,0.657,11,-8.131,0,0.032,0.139,0.637,0.09,0.0686,126.991,4
spotify:track:6Pr51Pbeeu9PXskLUBfaBf,"SHADES OF BLUE","CTRL ESCAPE","John Summit;Devault;Julia Church",2026-04-15,203076,73,false,selectedbase,2026-05-01T08:30:22Z,"house,tech house,stutter house","Experts Only/Darkroom Records",0.604,0.716,0,-5.496,1,0.0293,0.00329,0.248,0.214,0.513,130.016,4
spotify:track:2jBDsEEUNiGhB6O0HQWlNE,"Sense of Time","Sense of Time","Reiny;EZIA",2026-05-01,159461,0,false,selectedbase,2026-05-01T08:30:22Z,"deep house","Selected.",0.766,0.765,0,-6.711,1,0.124,0.238,0.0000269,0.107,0.556,129.969,4
spotify:track:7yWy7PV3Sv6kzjhgx4gI4S,"in my arms","in my arms","abelon",2026-04-10,125653,58,false,selectedbase,2026-05-01T08:30:22Z,"stutter house,deep house","Selected.",0.761,0.664,7,-11.25,0,0.0481,0.0665,0.906,0.112,0.0991,130.004,4
