Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4YNQelHwc7eqjrliWoSh2g,"Yamato","Yamato","Sabaton",2026-03-13,201000,67,false,,2026-03-22T01:56:31Z,"power metal,metal,heavy metal,symphonic metal,folk metal","Better Noise Music",0.481,0.961,2,-5.57,1,0.104,0.00338,0.064,0.0588,0.321,172.059,4
spotify:track:3g8dRL2mQOgqUZVdK4Ba6O,"Freedom Concept","Freedom Concept","Sonata Arctica",2026-02-27,253565,45,false,,2026-03-22T01:56:31Z,"power metal,symphonic metal,speed metal,progressive metal,metal,folk metal","Reigning Phoenix Music",0.407,0.961,5,-5.668,0,0.105,0.00000108,0.623,0.23,0.522,159.995,4
spotify:track:36LRne9ykUjTPUAo64xGU5,"We Stand United","We Stand United","Eleine",2025-09-05,282478,50,false,,2026-03-22T01:56:31Z,"symphonic metal,gothic metal,power metal,metal","Reigning Phoenix Music",0.596,0.954,11,-4.536,1,0.0535,0.0000309,0.239,0.172,0.433,125.594,4
spotify:track:3pVsVG4BRX4orlvLpL42rj,"Avatar - The Final Incarnation -","Avatar - The Final Incarnation -","Epica",2025-12-11,320724,42,false,,2026-03-22T01:56:31Z,"symphonic metal,gothic metal,power metal,metal,folk metal,gothic rock","Nuclear Blast",0.246,0.868,1,-6.62,1,0.0619,0.000163,0.000271,0.31,0.213,110.937,4
spotify:track:6spmQ1gUjeu10pUUxnLyZW,"On a Quest for Aberdeen","On a Quest for Aberdeen","Gloryhammer",2025-05-27,233906,47,false,,2026-03-22T01:56:31Z,"power metal,symphonic metal,folk metal,metal","Napalm Records Handels GmbH",0.372,0.971,10,-5.334,0,0.0945,0.0000569,0,0.121,0.14,170.096,4
spotify:track:1Syy5gdj5Ug4kIYwnjYQT5,"Where The Wild Things Are","Where The Wild Things Are","Edenbridge",2025-11-07,281600,36,false,,2026-03-22T01:56:31Z,"symphonic metal,gothic metal,power metal","Steamhammer",0.276,0.855,10,-6.663,0,0.0666,0.00237,0.00000462,0.28,0.401,119.923,4
spotify:track:4uFUalyidCKsnJbFCzRmhs,"A Little Is A Little Too Much","Giants & Monsters","Helloween",2025-08-29,210253,49,true,,2026-03-22T01:56:31Z,"power metal,speed metal,heavy metal,metal,symphonic metal","Reigning Phoenix Music",0.508,0.927,6,-5.071,0,0.0569,0.0000252,0.00529,0.225,0.532,125.009,4
spotify:track:7DBF159mGFVoZZQw2SYHKJ,"Ravens","Ravens","Beyond The Black",2025-12-05,223632,40,false,,2026-03-22T01:56:31Z,"symphonic metal,power metal,gothic metal,metal","Nuclear Blast",0.376,0.537,0,-8.267,0,0.0346,0.116,0,0.329,0.185,150.085,3
spotify:track:62JAxMtxSgFMUlBgjmi23H,"Don't Go In The Forest","Don't Go In The Forest","Avatar",2025-10-31,290495,51,false,,2026-03-22T01:56:31Z,"metal,melodic death metal,groove metal","Black Waltz Records AB",0.536,0.949,11,-5.521,0,0.0617,0.0000397,0.342,0.0724,0.539,138.035,4
spotify:track:7FsajybFPzZypMEqmiQGRu,"My Funeral","My Funeral","Lord Of The Lost",2026-03-11,243260,44,true,,2026-03-22T01:56:31Z,"gothic metal,industrial metal,gothic rock,mediaeval metal,industrial","Napalm Records Handels GmbH",0.489,0.89,10,-4.53,1,0.0546,0.000261,0.00193,0.335,0.424,163.991,4
spotify:track:3NfKh2juPFmKxdNeDJSzAX,"The North Will Rise (feat. Sonata Arctica)","The North Will Rise (feat. Sonata Arctica)","Tungsten;Sonata Arctica",2026-03-19,202706,45,false,,2026-03-22T01:56:31Z,"power metal,symphonic metal,folk metal,heavy metal,speed metal,progressive metal,metal","PERCEPTION",0.35,0.985,4,-2.147,0,0.164,0.0000553,0.000147,0.438,0.203,185.929,4
spotify:track:4zwRfbIQHfZNm9CWQMh4TA,"Regicide","Regicide","Ad Infinitum",2025-10-20,208346,41,false,,2026-03-22T01:56:31Z,"symphonic metal,power metal,gothic metal","Napalm Records Handels GmbH",0.298,0.917,6,-5.173,0,0.129,0.000537,0.0000203,0.29,0.39,118.122,4
spotify:track:2x4mCI7cIqvHmOP8ATqKNy,"Ruler Of Tamag","Leviathan III","Therion",2023-12-15,404200,28,false,,2026-03-22T01:56:31Z,"symphonic metal,gothic metal,power metal,metal,death metal,folk metal,progressive metal,doom metal","Adulruna",0.562,0.747,4,-7.23,0,0.0305,0.00143,0.0000636,0.0947,0.391,130.979,4
spotify:track:7wTeWbhGtXYe1sJkjqwLke,"At Sea","At Sea","Tarja;Mervi Myllyoja;Niklas Pokki",2026-03-18,622004,46,false,,2026-03-22T01:56:31Z,"symphonic metal,gothic metal,power metal,gothic rock","earMUSIC",0.246,0.771,2,-6.25,0,0.0568,0.0242,0.213,0.165,0.206,75.009,4
spotify:track:0bd3NFnDVgFZi25ktPoHHO,"Until the End","Until the End","Myrath;Elize Ryd",2025-11-04,242826,32,false,,2026-03-22T01:56:31Z,"progressive metal,folk metal,power metal,symphonic metal,metal","earMUSIC",0.504,0.875,7,-5.032,0,0.0842,0.000155,0,0.0346,0.505,129.979,4
spotify:track:3nRzfRi5pdXe2aA9rbE0S8,"Moth to a Flame","Queen of Shadow","Delain",2023-02-09,247349,36,false,,2026-03-22T01:56:31Z,"symphonic metal,gothic metal,power metal,gothic rock,metal","Napalm Records Handels GmbH",0.524,0.882,7,-5.784,1,0.0359,0.000069,0.0235,0.347,0.447,128.013,4
