Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2vlkTkPqdATznKHu9gD2c1,"Her","Her","The American Dawn",2024-07-26,214086,79,false,,2026-03-06T04:59:14Z,"","DAWN RECORDS",0.66,0.603,3,-7.7,0,0.025,0.00566,0.0144,0.0751,0.527,102.99,4
spotify:track:7j6PWLaubVavCLE4peea8S,"Backseat","Portal","Balu Brigada",2025-08-29,383400,75,false,,2026-03-06T04:59:14Z,"","WM Australia",0.345,0.812,1,-5.407,1,0.167,0.000921,0.00248,0.678,0.216,126.065,4
spotify:track:5ruzrDWcT0vuJIOMW7gMnW,"The Adults Are Talking","The New Abnormal","The Strokes",2020-04-10,309053,85,false,,2026-03-06T04:59:14Z,"garage rock,indie rock,alternative rock","Cult Records/RCA Records",0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,4
spotify:track:2mUl2MNzIO6BHCrI1QdEcj,"Sickly Sweet","MADRA","NewDad",2024-01-26,203037,54,false,,2026-03-06T04:59:14Z,"lo-fi indie","Atlantic Records UK",0.682,0.53,4,-8.366,0,0.0277,0.0279,0.415,0.28,0.724,119.967,4
spotify:track:3HlK8txWAdtKMrbsqX40pl,"Freaking Out the Neighborhood","2","Mac DeMarco",2012-10-16,173888,79,false,,2026-03-06T04:59:14Z,"indie,lo-fi indie","Captured Tracks",0.565,0.832,8,-5.751,0,0.108,0.0638,0.0288,0.386,0.847,143.303,4
spotify:track:64dLd6rVqDLtkXFYrEUHIU,"New Gold (feat. Tame Impala and Bootie Brown)","New Gold (feat. Tame Impala and Bootie Brown)","Gorillaz;Tame Impala;Bootie Brown",2022-08-31,215149,63,true,,2026-03-06T04:59:14Z,"neo-psychedelic,indie","Parlophone UK",0.695,0.923,1,-3.93,0,0.0522,0.0425,0.0469,0.116,0.551,108.014,3
spotify:track:0R3TWpoxAhT3HDXM7tpRzS,"Ghostride","Jinx","Crumb",2019-06-14,126120,69,false,,2026-03-06T04:59:14Z,"neo-psychedelic,bedroom pop","Crumb Records",0.665,0.351,2,-9.424,1,0.0276,0.516,0.819,0.109,0.451,87.057,4
spotify:track:297PYWIVLP38C1a92ND8Kv,"So Cold","So Cold","Balu Brigada",2024-06-07,201133,60,false,,2026-03-06T04:59:14Z,"","WM Australia",0.658,0.771,10,-6.09,0,0.072,0.000893,0.001,0.0767,0.79,111.057,4
spotify:track:3p84R45PM75ngq8XRoe45o,"Nothing Matters","Nothing Matters","The Last Dinner Party",2023-04-19,181750,63,true,,2026-03-06T04:59:14Z,"","Universal-Island Records Ltd.",0.576,0.794,2,-5.119,1,0.0366,0.0222,0.000155,0.154,0.6,101.096,4
spotify:track:2B664ulJSVBd6B8SAY3Wux,"Oysters In My Pocket","Oysters In My Pocket","Royel Otis",2022-03-10,162338,76,false,,2026-03-06T04:59:14Z,"indie","House Anxiety / Ourness",0.598,0.924,6,-4.974,0,0.0623,0.0205,0.799,0.17,0.611,168.017,4
spotify:track:65leXqfkdViSssEVN23uYL,"Mama's Boy","Mama's Boy","Dominic Fike",2023-06-23,155721,69,false,,2026-03-06T04:59:14Z,"","Columbia",0.807,0.354,9,-7.554,1,0.0321,0.15,0.713,0.186,0.602,78.964,4
spotify:track:5JWPUEov2wlX7c0jhYZpeB,"Lost In Yesterday","The Slow Rush","Tame Impala",2020-02-14,249586,73,false,,2026-03-06T04:59:14Z,"neo-psychedelic,indie","Universal Music Australia Pty. Ltd.",0.569,0.84,1,-4.123,1,0.118,0.0295,0.000118,0.0995,0.749,183.059,3
spotify:track:2Lumsra3kuU61wXkEKzKaK,"Disco","Disco","Surf Curse",2019-06-12,152760,80,false,,2026-03-06T04:59:14Z,"indie","Surf Curse",0.473,0.621,11,-8.698,0,0.0291,0.0253,0.000366,0.19,0.782,173.083,4
spotify:track:0IjdXwCEhZR7JIwq6Za8j5,"Jane!","Jane!","The Long Faces",2018-07-03,186986,87,false,,2026-03-06T04:59:14Z,"","North West Sound Recordings",0.483,0.542,1,-10.928,0,0.0365,0.0213,0.00000129,0.105,0.744,146.099,4
spotify:track:2Iq6HhIquO7JKr0KfTNLzU,"My Type","My Type EP","Saint Motel",2014-08-16,204811,72,false,,2026-03-06T04:59:14Z,"","Parlophone UK",0.595,0.896,10,-2.951,1,0.047,0.0641,0.0000582,0.0748,0.567,118.001,4
spotify:track:4SwSpxsOYtnEaRxWtYrnvZ,"Vampire Empire","Vampire Empire / Born For Loving You","Big Thief",2023-09-13,192127,76,false,,2026-03-06T04:59:14Z,"","4AD",0.636,0.572,9,-7.797,1,0.0913,0.287,0,0.0878,0.66,131.272,4
spotify:track:4Sz61x2L4mYmtw47NBrzfC,"Somebody Come Through","Isotope","Wasia Project",2024-08-29,238381,54,false,,2026-03-06T04:59:14Z,"","LAOLAO Records",0.499,0.725,0,-7.209,0,0.0481,0.0772,0.0368,0.391,0.533,153.047,4
spotify:track:306xT15GTuDs3NyopIANrh,"My Fun","My Fun","Suki Waterhouse",2024-04-11,162291,57,false,,2026-03-06T04:59:14Z,"","Sub Pop Records",0.445,0.699,4,-5.217,1,0.134,0.115,0.00263,0.274,0.847,174.078,4
spotify:track:5yVGW2o9LXaiiS4I3HUM3k,"May Ninth","A LA SALA","Khruangbin",2024-04-05,192144,65,false,,2026-03-06T04:59:14Z,"neo-psychedelic","Dead Oceans",0.609,0.356,6,-11.163,0,0.0364,0.353,0.855,0.138,0.531,80.838,4
spotify:track:2x8evxqUlF0eRabbW2JBJd,"Fluorescent Adolescent","Favourite Worst Nightmare","Arctic Monkeys",2007-04-22,183893,79,false,,2026-03-06T04:59:14Z,"indie,garage rock","Domino Recording Co",0.654,0.828,1,-5.377,0,0.0281,0.00146,0.000144,0.122,0.79,112.056,4
spotify:track:4dyx5SzxPPaD8xQIid5Wjj,"Young Folks","Writer's Block","Peter Bjorn and John",2006-01-01,276693,81,false,,2026-03-06T04:59:14Z,"indie","Universal Music AB",0.699,0.812,0,-6.005,1,0.0377,0.0164,0.000763,0.105,0.662,138.185,4
