Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0v9Wz8o0BT8DU38R4ddjeH,"No Problem (feat. Lil Wayne & 2 Chainz)","Coloring Book","Chance the Rapper;Lil Wayne;2 Chainz",2016-05-27,304606,66,true,,2026-05-01T04:03:16Z,"rap,hip hop,southern hip hop","Chance the Rapper",0.652,0.795,11,-5.192,0,0.174,0.156,0,0.123,0.788,135.018,4
spotify:track:0wwPcA6wtMf6HUMpIRdeP7,"Hotline Bling","Views","Drake",2016-05-06,267066,85,false,,2026-05-01T04:03:16Z,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.891,0.628,2,-7.863,1,0.0551,0.00258,0.00019,0.0504,0.552,134.966,4
spotify:track:5A6OHHy73AR5tLxgTc98zz,"Black and Yellow","Rolling Papers","Wiz Khalifa",2011-03-29,217666,81,true,,2026-05-01T04:03:16Z,"","Rostrum/Atlantic",0.684,0.834,2,-4.524,0,0.0675,0.0646,0,0.271,0.538,164.02,4
spotify:track:0CAJdthKDdRjB2h8YOguN6,"What You Know","King","T.I.",2006-03-26,274333,70,true,,2026-05-01T04:03:16Z,"southern hip hop","Grand Hustle, LLC",0.551,0.81,11,-4.365,1,0.0344,0.0155,0,0.169,0.332,73.464,4
spotify:track:3RmKpob8xzv1pzHEQrMJah,"Let Me Blow Ya Mind","Scorpion","Eve;Gwen Stefani",2001-03-06,230133,74,true,,2026-05-01T04:03:16Z,"","Ruff Ryders RECORDS",0.908,0.557,8,-4.243,0,0.107,0.242,0,0.0709,0.897,90.032,4
spotify:track:3vZO25GdYuqFrR1kzZADnp,"Ready or Not","The Score (Expanded Edition)","Fugees;Ms. Lauryn Hill;Wyclef Jean;Pras",1996-02-13,226933,75,true,,2026-05-01T04:03:16Z,"east coast hip hop,neo soul,old school hip hop","Columbia",0.544,0.428,10,-13.392,0,0.514,0.245,0,0.0899,0.524,89.129,4
spotify:track:6nz35DNIzbtj5ztpDEcW1j,"Kick, Push","Lupe Fiasco's Food & Liquor","Lupe Fiasco",2006-09-18,254466,67,false,,2026-05-01T04:03:16Z,"","Atlantic Records",0.652,0.809,5,-5.276,1,0.17,0.164,0,0.175,0.512,94.786,4
spotify:track:5g9lS8deSIxItFBmZRC4vN,"Ambitionz Az A Ridah","All Eyez On Me","2Pac",1996-02-13,278386,80,true,,2026-05-01T04:03:16Z,"old school hip hop,west coast hip hop,gangster rap,g-funk,hip hop","Amaru Entertainment, Inc./Interscope Records",0.801,0.91,2,-6.566,1,0.225,0.00239,0.000891,0.0737,0.805,87.277,4
spotify:track:3NxAG2ni1lLa8RKL6a0INc,"Childs Play","Views","Drake",2016-05-06,241400,70,true,,2026-05-01T04:03:16Z,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.746,0.475,10,-11.243,0,0.113,0.0175,0.000011,0.197,0.292,80.006,4
spotify:track:0I3q5fE6wg7LIfHGngUTnV,"Ms. Jackson","Stankonia","Outkast",2000-10-31,270506,85,true,,2026-05-01T04:03:16Z,"southern hip hop,hip hop","Arista/LaFace Records",0.843,0.806,4,-5.946,0,0.269,0.143,0,0.0771,0.613,94.948,4
