Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4bJygwUKrRgq1stlNXcgMg,"All The Things She Said","200 KM/H In The Wrong Lane (10th Anniversary Edition)","t.A.T.u.",2002,214440,86,true,,2024-07-02T21:25:40Z,"","Interscope",0.527,0.834,5,-5.767,0,0.0474,0.0411,0.00599,0.105,0.381,179.92,4
spotify:track:7rIovIsXE6kMn629b7kDig,"I Will Survive","Love Tracks","Gloria Gaynor",1978-11-27,296106,79,false,,2024-07-02T21:25:40Z,"disco","Polydor",0.77,0.775,9,-9.571,0,0.0495,0.0227,0.00262,0.297,0.802,116.935,4
spotify:track:7wuJGgpTNzbUyn26IOY6rj,"Total Eclipse of the Heart","The Very Best of Bonnie Tyler","Bonnie Tyler",2009-03-26,267360,83,false,,2024-07-02T21:25:40Z,"","Sony Music UK",0.431,0.723,8,-5.887,1,0.0568,0.145,0,0.374,0.19,130.141,4
spotify:track:5FMXrphygZ4z3gVDHGWxgl,"Copacabana (At the Copa) - Short Version","Dance Vault Mixes - Copacabana (At The Copa)","Barry Manilow",2006-09-12,236760,73,false,,2024-07-02T21:25:40Z,"yacht rock,adult standards","Arista",0.606,0.899,7,-6.412,0,0.0758,0.333,0.000102,0.0754,0.66,116.735,4
spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,"Sweater Weather","I Love You.","The Neighbourhood",2013-04-22,240400,93,false,,2024-07-02T21:25:40Z,"","Columbia",0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4
spotify:track:3vkQ5DAB1qQMYO4Mr9zJN6,"Gimme! Gimme! Gimme! (A Man After Midnight)","Voulez-Vous","ABBA",1979,292613,84,false,,2024-07-02T21:25:40Z,"","Polar Music International AB",0.749,0.491,10,-9.655,1,0.0403,0.02,0.00899,0.159,0.536,119.528,4
spotify:track:2NniAhAtkRACaMeYt48xlD,"50 Ways to Say Goodbye","California 37","Train",2012-04-17,247946,72,false,,2024-07-02T21:25:40Z,"soft pop","Columbia",0.591,0.935,6,-2.664,1,0.0478,0.000284,0.000278,0.142,0.736,140.043,4
spotify:track:3U5JVgI2x4rDyHGObzJfNf,"Unwritten","Unwritten","Natasha Bedingfield",2004-08-30,259333,89,false,,2024-07-02T21:25:40Z,"","Sony Music CG",0.706,0.8,5,-6.333,1,0.0399,0.00584,0,0.0822,0.629,100.011,4
spotify:track:0laYHRpNTS6i8FXdupHkJ4,"Love You Like A Love Song","When The Sun Goes Down","Selena Gomez & The Scene",2011-01-01,188453,85,false,,2024-07-02T21:25:40Z,"","Hollywood Records",0.858,0.678,1,-3.87,0,0.0469,0.0761,0,0.0741,0.922,117.009,4
spotify:track:5EQzuYfTZt7B2LqlvTF49l,"It's All Coming Back to Me Now","Falling into You","Céline Dion",1996-03-11,456866,78,false,,2024-07-02T21:25:40Z,"variété française","Columbia",0.384,0.438,0,-9.149,1,0.0362,0.753,0,0.101,0.287,87.903,4
