Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2ykXJ9QVwx9Li8nsW0h6b2,"UP","UP","INNA;Sean Paul",2021-12-17,148944,63,false,,2024-06-13T22:00:00Z,"europop,dancehall","WM Poland/WMI",0.812,0.712,0,-5.993,0,0.0452,0.01,0,0.108,0.85,98.029,4
spotify:track:30Uu3CWjWfudnTGTIrw93V,"4runner","County Line","Brenn!",2024-02-09,265453,69,false,,2024-06-13T22:00:00Z,"","Darkroom Records",0.588,0.508,1,-10.667,1,0.095,0.318,0.000186,0.421,0.483,128.025,4
spotify:track:2qSkIjg1o9h3YT9RAgYN75,"Espresso","Espresso","Sabrina Carpenter",2024-04-12,175459,86,true,,2024-06-13T22:00:00Z,"pop","Island Records",0.701,0.76,0,-5.478,1,0.0285,0.107,0.0000654,0.185,0.69,103.969,4
spotify:track:1SC5rEoYDGUK4NfG82494W,"MONTERO (Call Me By Your Name)","MONTERO","Lil Nas X",2021-09-17,137704,76,true,,2024-06-13T22:00:00Z,"","Columbia",0.593,0.503,8,-6.725,0,0.22,0.293,0,0.405,0.71,178.781,4
spotify:track:2I5ipWaIXUknimwtJPoPYt,"Dance With Me","Dance With Me","Tones And I",2024-06-17,225204,61,false,,2024-06-13T22:00:00Z,"","Elektra (NEK)",0.633,0.686,0,-4.493,1,0.0922,0.0543,0,0.56,0.442,128.888,4
spotify:track:3DarAbFujv6eYNliUTyqtz,"Kiss Me More (feat. SZA)","Planet Her","Doja Cat;SZA",2021-06-25,208666,86,true,,2024-06-13T22:00:00Z,"r&b","Kemosabe Records/RCA Records",0.764,0.705,8,-3.463,1,0.0284,0.259,0.0000892,0.12,0.781,110.97,4
spotify:track:5iBSvGT3waImHIGW1eEeH7,"Look Who's Laughing Now","Look Who's Laughing Now","Benjamin Ingrosso",2024-06-14,174660,63,false,,2024-06-13T22:00:00Z,"swedish pop","Universal Music AB",0.824,0.616,5,-5.768,1,0.0557,0.271,0,0.115,0.661,125.009,4
spotify:track:4ZnkygoWLzcGbQYCm3lkae,"Rush","Something To Give Each Other","Troye Sivan",2023-10-13,156391,81,true,,2024-06-13T22:00:00Z,"","EMI Recorded Music Australia Pty Ltd",0.728,0.841,10,-7.682,0,0.0567,0.00242,0.0000909,0.106,0.402,125.991,4
spotify:track:32OlwWuMpZ6b0aN2RZOeMS,"Uptown Funk (feat. Bruno Mars)","Uptown Special","Mark Ronson;Bruno Mars",2015-01-12,269658,87,false,,2024-06-13T22:00:00Z,"","Columbia",0.856,0.609,0,-7.223,1,0.0824,0.00801,0.0000815,0.0344,0.928,114.988,4
spotify:track:59qrUpoplZxbIZxk6X0Bm3,"Take You Dancing","Take You Dancing","Jason Derulo",2020-07-22,190306,73,false,,2024-06-13T22:00:00Z,"","Atlantic Records",0.789,0.711,2,-4.248,1,0.041,0.0332,0,0.0876,0.753,112.985,4
spotify:track:12vs8cG1lkt4Eq53nLK2GV,"Lips","Lips","Aden Foyer",2024-06-14,135559,59,false,,2024-06-13T22:00:00Z,"","Columbia",0.41,0.798,1,-5.905,1,0.051,0.00147,0.0000193,0.331,0.585,156.848,4
spotify:track:3U5JVgI2x4rDyHGObzJfNf,"Unwritten","Unwritten","Natasha Bedingfield",2004-08-30,259333,89,false,,2024-06-13T22:00:00Z,"","Sony Music CG",0.706,0.8,5,-6.333,1,0.0399,0.00584,0,0.0822,0.629,100.011,4
spotify:track:0b18g3G5spr4ZCkz7Y6Q0Q,"Rasputin","Rasputin","Majestic;Boney M.",2021-02-26,186209,81,false,,2024-06-13T22:00:00Z,"disco","NITRON music",0.758,0.913,6,-2.926,0,0.113,0.00364,0.0000692,0.193,0.658,128.04,4
spotify:track:0TK2YIli7K1leLovkQiNik,"Señorita","Señorita","Shawn Mendes;Camila Cabello",2019-06-21,190960,80,false,,2024-06-13T22:00:00Z,"","Island Records",0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,4
spotify:track:3DmW6y7wTEYHJZlLo1r6XJ,"Shower","Shower","Becky G",2014-04-23,206166,84,false,,2024-06-13T22:00:00Z,"reggaeton,latin","Kemosabe Records/RCA Records",0.699,0.529,2,-7.548,1,0.0487,0.0317,0.0000359,0.285,0.121,119.987,4
spotify:track:0VjIjW4GlUZAMYd2vXMi3b,"Blinding Lights","After Hours","The Weeknd",2020-03-20,200040,90,false,,2024-06-13T22:00:00Z,"","Republic Records",0.513,0.73,1,-5.94,1,0.0598,0.00143,0.0000954,0.0897,0.334,171.001,4
spotify:track:4cG7HUWYHBV6R6tHn1gxrl,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit","Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit]","Riton;Nightcrawlers;Mufasa & Hypeman;Mufasa;Dopamine",2021-01-15,169153,81,false,,2024-06-13T22:00:00Z,"house","Ministry of Sound Recordings",0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98,4
spotify:track:6UN73IYd0hZxLi8wFPMQij,"Players","Players","Coi Leray",2022-11-30,139560,70,true,,2024-06-13T22:00:00Z,"","Uptown / Republic Records",0.948,0.512,6,-5.74,0,0.146,0.0269,0.00000857,0.0504,0.599,105.004,4
spotify:track:6pb5DtlAeG95dNQLHiArRU,"Rock My Body","Rock My Body (with INNA & Sash!)","R3HAB;INNA;Sash!",2023-04-28,137419,72,false,,2024-06-13T22:00:00Z,"slap house,edm,europop,eurodance","Spinnin' Records",0.662,0.821,2,-4.103,0,0.13,0.202,0,0.522,0.47,124.077,4
spotify:track:7a53HqqArd4b9NF4XAmlbI,"Kings & Queens","Heaven & Hell","Ava Max",2020-09-18,162398,83,false,,2024-06-13T22:00:00Z,"","Atlantic Records",0.637,0.69,1,-4.057,0,0.0405,0.00786,0,0.124,0.457,129.857,4
spotify:track:60nZcImufyMA1MKQY3dcCH,"Happy - From ""Despicable Me 2""","G I R L","Pharrell Williams",2014-03-03,233306,83,false,,2024-06-13T22:00:00Z,"","Columbia",0.647,0.822,5,-4.662,0,0.183,0.219,0,0.0908,0.962,160.019,4
spotify:track:23RoR84KodL5HWvUTneQ1w,"(It Goes Like) Nanana - Edit","(It Goes Like) Nanana [Edit]","Peggy Gou",2023-06-15,231545,77,false,,2024-06-13T22:00:00Z,"","XL Recordings",0.671,0.876,7,-5.681,0,0.0352,0.12,0.188,0.0823,0.964,129.998,4
spotify:track:4QjVfuu7om31HBan0jlX4p,"Don't Call Me Up","Don't Call Me Up","Mabel",2019-01-18,178480,57,false,,2024-06-13T22:00:00Z,"","Polydor Records",0.636,0.88,9,-2.853,1,0.137,0.296,0.00000297,0.0793,0.228,98.855,4
spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,"Don't Start Now","Don't Start Now","Dua Lipa",2019-10-31,183290,75,false,,2024-06-13T22:00:00Z,"pop","Warner Records",0.794,0.793,11,-4.521,0,0.0842,0.0125,0,0.0952,0.677,123.941,4
spotify:track:1KixkQVDUHggZMU9dUobgm,"My Head & My Heart","Heaven & Hell","Ava Max",2020-09-18,174760,75,false,,2024-06-13T22:00:00Z,"","Atlantic Records",0.614,0.934,9,-3.709,0,0.07,0.0697,0,0.121,0.436,116.001,4
spotify:track:6UelLqGlWMcVH1E5c4H7lY,"Watermelon Sugar","Fine Line","Harry Styles",2019-12-13,173991,87,false,,2024-06-13T22:00:00Z,"","Columbia",0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,4
spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,"I Ain't Worried","I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")","OneRepublic",2022-05-13,148485,83,false,,2024-06-13T22:00:00Z,"soft pop","Interscope Records",0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4
spotify:track:6hH6QJ9ZAO0Z6m7PfvLoXW,"CHICKEN TERIYAKI","MOTOMAMI","ROSALÍA",2022-03-18,122209,60,false,,2024-06-13T22:00:00Z,"latin","Columbia",0.788,0.4,2,-6.454,1,0.115,0.454,0.000141,0.0686,0.558,97.936,4
