Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0pUVeEgZuNyFzIMKp67RbS,"Eyes Without A Face","Rebel Yell","Billy Idol",1983-11-01,299240,86,false,,2023-06-01T18:01:35Z,"","CAPITOL CATALOG MKT (C92)",0.54,0.816,9,-6.197,1,0.0421,0.0177,0.00226,0.276,0.658,85.563,4
spotify:track:1Hv1VTm8zeOeybub15mA2R,"Smooth Operator - Single Version","The Best of Sade","Sade",1994-10-31,258693,84,false,,2023-06-01T18:00:22Z,"","Epic",0.734,0.58,9,-6.619,0,0.0321,0.238,0.0006,0.0298,0.962,119.336,4
spotify:track:3v8PlUFGQQDBIk1J86waCo,"Should I Stay or Should I Go - Remastered","Hits Back","The Clash",2013-08-26,188240,64,false,,2023-05-02T19:18:45Z,"punk","Sony Music UK",0.742,0.838,2,-6.442,1,0.11,0.0832,0,0.418,0.848,113.373,4
spotify:track:5zH710lFSLtkHbMkslLDjR,"Crazy On You","Dreamboat Annie","Heart",1975,293440,71,false,,2023-05-02T19:18:45Z,"classic rock,aor,rock","Capitol Records",0.435,0.459,9,-12.442,0,0.0329,0.117,0.000103,0.132,0.383,129.929,4
spotify:track:1PtQJZVZIdWIYdARpZRDFO,"Running Up That Hill (A Deal With God)","Hounds Of Love","Kate Bush",1985-09-16,298933,87,false,,2023-05-02T19:18:45Z,"art pop,baroque pop,art rock","Fish People",0.629,0.545,10,-13.123,0,0.0546,0.719,0.00308,0.0604,0.194,108.376,4
spotify:track:0bhwnn2xqnBUcMZDcXNuII,"Hey Lover","Hey Lover / Stand by Me","The Daughters Of Eve",1966-02-05,144000,72,false,,2023-05-02T19:18:45Z,"","USA Records a division of 43 North Broadway, LLC.",0.48,0.482,7,-11.451,0,0.0364,0.257,0.000239,0.345,0.685,128.152,4
spotify:track:4dyx5SzxPPaD8xQIid5Wjj,"Young Folks","Writer's Block","Peter Bjorn and John",2006-01-01,276693,81,false,,2023-05-02T19:18:45Z,"indie","Universal Music AB",0.699,0.812,0,-6.005,1,0.0377,0.0164,0.000763,0.105,0.662,138.185,4
spotify:track:3XKIUb7HzIF1Vu9usunMzc,"Maria Maria (feat. The Product G&B)","Supernatural (Remastered)","Santana;The Product G&B",1999-06-15,261973,75,false,,2023-05-02T19:18:45Z,"","Columbia/Legacy",0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,4
spotify:track:6VnpKLtfNH4Dk09YSGPSyR,"It Ain't Over 'Til It's Over","Mama Said","Lenny Kravitz",1991-04-02,242640,85,false,,2023-05-02T19:18:45Z,"","Virgin Records",0.679,0.568,6,-10.74,1,0.0423,0.422,0.00928,0.322,0.93,159.69,4
spotify:track:3mRM4NM8iO7UBqrSigCQFH,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack","Greatest","Bee Gees",1979-01-01,285373,83,false,,2023-05-02T19:18:45Z,"disco","Bee Gees Catalog",0.703,0.827,10,-7.179,0,0.0343,0.032,0.00636,0.179,0.944,103.564,4
spotify:track:4RvWPyQ5RL0ao9LPZeSouE,"Everybody Wants To Rule The World","Songs From The Big Chair (Super Deluxe Edition)","Tears For Fears",1985-02-25,251488,86,false,,2023-05-02T19:18:45Z,"new wave,synthpop","UMC (Universal Music Catalogue)",0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,4
spotify:track:0jWgAnTrNZmOGmqgvHhZEm,"What's Up?","Bigger, Better, Faster, More !","4 Non Blondes",1992-01-01,295533,86,false,,2023-05-02T19:18:45Z,"","Interscope",0.565,0.564,2,-10.044,1,0.0292,0.161,0,0.114,0.454,134.358,4
spotify:track:0GjEhVFGZW8afUYGChu3Rr,"Dancing Queen","Arrival","ABBA",1976,230400,87,false,,2023-05-02T19:18:45Z,"","Polar Music International AB",0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804,4
spotify:track:1jUkHIMc7UaJQuzWe5Iop2,"Sweet Disposition","Conditions","The Temper Trap",2009-08-10,234360,78,false,,2023-05-02T19:18:45Z,"","Infectious Music",0.542,0.813,2,-6.89,1,0.0429,0.0765,0.252,0.116,0.305,129.09,4
spotify:track:4v2rkl1mC3zVAz0nXMx9r4,"Heart Of Glass","Parallel Lines","Blondie",1978-09-23,229423,76,false,,2023-05-02T19:18:45Z,"","Chrysalis\EMI Records (USA)",0.77,0.654,4,-6.107,1,0.0361,0.0548,0.000498,0.0819,0.686,114.82,4
spotify:track:2id8E4WvczfKHB4LHI7Np3,"Edge of Seventeen","Crystal Visions...The Very Best of Stevie Nicks","Stevie Nicks",2007-03-27,329680,70,false,,2023-05-02T19:18:45Z,"","Reprise",0.59,0.828,0,-6.28,1,0.0439,0.277,0.00000557,0.0868,0.636,111.353,4
spotify:track:1jDJFeK9x3OZboIAHsY9k2,"I'm Still Standing","Too Low For Zero","Elton John",1983-05-30,183440,86,false,,2023-05-02T19:18:45Z,"","EMI",0.505,0.904,6,-6.863,1,0.179,0.355,0.118,0.14,0.773,176.811,4
spotify:track:2pX4FpOgwItRVPPUFdRcxA,"Smooth (feat. Rob Thomas)","Supernatural (Legacy Edition)","Santana;Rob Thomas",1999,294986,76,false,,2025-03-25T15:39:56Z,"","Columbia/Legacy",0.609,0.923,9,-3.908,1,0.0338,0.16,0.00000473,0.295,0.961,115.996,4
spotify:track:0ofHAoxe9vBkTCp2UQIavz,"Dreams - 2004 Remaster","Rumours (Super Deluxe)","Fleetwood Mac",1977-02-04,257800,92,false,,2023-05-02T19:18:45Z,"yacht rock,classic rock,soft rock","Rhino/Warner Records",0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4
spotify:track:2NVpYQqdraEcQwqT7GhUkh,"Ain't Nobody","Epiphany: The Best of Chaka Khan, Vol. 1","Chaka Khan",1996-11-08,280853,69,false,,2023-05-02T19:18:45Z,"","Reprise",0.8,0.878,1,-7.109,1,0.0434,0.189,0.000104,0.14,0.816,104.282,4
spotify:track:78WVLOP9pN0G3gRLFy1rAa,"Piano Man","Piano Man","Billy Joel",1973-11-09,339290,62,false,,2023-05-02T19:18:45Z,"soft rock","Columbia",0.334,0.477,0,-8.806,1,0.0276,0.618,0.00000417,0.312,0.405,179.239,3
spotify:track:0GO8y8jQk1PkHzS31d699N,"Tongue Tied","Never Trust a Happy Song","GROUPLOVE",2011-09-02,218013,82,false,,2023-05-02T19:18:45Z,"indie","Canvasback/ATL",0.56,0.936,3,-5.835,1,0.0439,0.00847,0,0.161,0.371,112.96,4
spotify:track:5m1x4QRgaKmK8cTkZQjGRr,"Home - 2019 Remaster","Up From Below - 10th Anniversary Edition","Edward Sharpe & The Magnetic Zeros",2009-07-07,306373,80,false,,2023-05-02T19:18:45Z,"","Community Music Group",0.53,0.634,2,-5.759,1,0.0311,0.245,0.000601,0.0978,0.105,111.615,4
spotify:track:5T8EDUDqKcs6OSOwEsfqG7,"Don't Stop Me Now - Remastered 2011","Jazz (2011 Remaster)","Queen",1978-11-10,209413,85,false,,2023-05-02T19:18:45Z,"classic rock,rock,glam rock","EMI",0.559,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295,4
spotify:track:1zusIxNqJu8i4g6P6hJ2Qa,"Mercy","Rockferry","Duffy",2008,219920,72,false,,2023-05-02T19:18:45Z,"","Polydor Records",0.793,0.859,0,-3.774,1,0.0332,0.266,0.000356,0.133,0.964,129.911,4
spotify:track:72zZfHPYx43shcP3eKkYi5,"Are You Gonna Be My Girl","Get Born (Deluxe Edition)","Jet",2003-09-14,213800,80,false,,2023-05-02T19:18:45Z,"","BMG Rights Management (US) LLC",0.606,0.957,2,-3.404,1,0.0814,0.00117,0.000295,0.14,0.603,105.105,4
spotify:track:6dGnYIeXmHdcikdzNNDMm2,"Here Comes The Sun - Remastered 2009","Abbey Road (Remastered)","The Beatles",1969-09-26,185733,85,false,,2023-05-02T19:18:45Z,"classic rock,psychedelic rock","EMI Catalogue",0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.177,4
spotify:track:4QlzkaRHtU8gAdwqjWmO8n,"Friday I'm In Love","Wish","The Cure",1992-04-20,215160,80,false,,2023-05-02T19:18:45Z,"new wave,post-punk,gothic rock,darkwave","Polydor Records",0.526,0.763,0,-12.663,0,0.0341,0.00126,0.0000675,0.359,0.514,136.205,4
spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,"Take on Me","Hunting High and Low","a-ha",1985-06-01,225280,89,false,,2023-05-02T19:18:45Z,"new wave,synthpop","Rhino",0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,4
spotify:track:003vvx7Niy0yvhvHt4a68B,"Mr. Brightside","Hot Fuss","The Killers",2004,222973,93,false,,2023-05-02T19:18:45Z,"alternative rock","Island Records",0.352,0.911,1,-5.23,1,0.0747,0.00121,0,0.0995,0.236,148.033,4
spotify:track:2374M0fQpWi3dLnB54qaLX,"Africa","Toto IV","TOTO",1982-04-08,295282,89,false,,2023-05-02T19:18:45Z,"yacht rock,soft rock","Columbia",0.671,0.373,9,-18.064,1,0.0323,0.257,0.0000801,0.0481,0.732,92.718,4
spotify:track:0ACACkoHUwgfgY5CxVIL4N,"Lovely Day","Lean on Me: The Best of Bill Withers","Bill Withers",1994-08-09,255066,63,false,,2023-05-02T19:18:45Z,"soul","Legacy Recordings",0.694,0.565,9,-12.583,1,0.0345,0.194,0.000172,0.0806,0.692,97.938,4
spotify:track:1fDsrQ23eTAVFElUMaf38X,"American Pie","American Pie","Don McLean",1971,516893,82,false,,2023-05-02T19:18:45Z,"","Capitol Records",0.529,0.482,4,-11.709,0,0.0599,0.7,0,0.0842,0.492,138.453,4
spotify:track:254bXAqt3zP6P50BdQvEsq,"Everywhere - 2017 Remaster","Tango In the Night (Deluxe Edition)","Fleetwood Mac",1987-04-13,226653,87,false,,2023-05-02T19:18:45Z,"yacht rock,classic rock,soft rock","Rhino/Warner Records",0.73,0.487,4,-10.991,1,0.0303,0.258,0.01,0.0852,0.731,114.965,4
spotify:track:0SMkzFGJOBFDI9KfYD55L0,"There She Goes","The La's (Deluxe Edition)","The La's",1990,162160,64,false,,2023-05-02T19:18:45Z,"britpop,jangle pop","UMC (Universal Music Catalogue)",0.536,0.854,7,-6.907,1,0.0298,0.0129,0.743,0.156,0.905,122.733,4
spotify:track:456WNXWhDwYOSf5SpTuqxd,"Dog Days Are Over","Lungs (Deluxe Version)","Florence + The Machine",2009,252818,82,false,,2023-05-16T14:07:14Z,"baroque pop","Universal-Island Records Ltd.",0.501,0.809,7,-5.264,1,0.0938,0.0338,0.00602,0.119,0.258,149.964,4
spotify:track:4JGKZS7h4Qa16gOU3oNETV,"Dreams","Everybody Else Is Doing It, So Why Can't We?","The Cranberries",1993-03-01,271560,85,false,,2023-05-02T19:18:45Z,"","Island Records",0.551,0.645,4,-13.093,1,0.0354,0.0031,0.00376,0.421,0.508,128.665,4
spotify:track:4DX82Vc8qAH4jJPvKxvwg6,"Move Your Feet","D-D-Don't Don't Stop The Beat","Junior Senior",2002-04-03,181826,75,false,,2023-05-02T19:18:45Z,"","Crunchy Frog",0.747,0.904,9,-2.623,1,0.0803,0.046,0.106,0.203,0.846,118.877,4
spotify:track:05ajrG3EAcIe3j7NuqRV9B,"Alright - 2015 Remaster","I Should Coco (20th Anniversary Collector's Edition)","Supergrass",1995-05-15,181266,73,false,,2023-05-02T19:18:45Z,"britpop","Echo",0.463,0.967,4,-5.781,0,0.0901,0.000322,0.357,0.308,0.741,145.915,4
spotify:track:7iN2AiwBr3FKuloMzDjIQO,"Tainted Love - Remastered 2023","Non-Stop Erotic Cabaret","Soft Cell",1981-11-27,154733,69,false,,2023-05-02T19:18:45Z,"synthpop,new wave","UMC (Universal Music Catalogue)",0.489,0.63,0,-3.701,0,0.0366,0.35,0,0.148,0.61,144.402,4
spotify:track:5ihS6UUlyQAfmp48eSkxuQ,"Landslide","Fleetwood Mac","Fleetwood Mac",1975-07-11,199493,87,false,,2023-05-02T19:18:45Z,"yacht rock,classic rock,soft rock","Warner Records",0.414,0.161,7,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375,4
spotify:track:4y1LsJpmMti1PfRQV9AWWe,"Girls Just Want to Have Fun","She's So Unusual","Cyndi Lauper",1983-10-14,238120,84,false,,2023-05-02T19:18:45Z,"","Portrait",0.71,0.799,6,-4.897,1,0.0328,0.22,0.000602,0.349,0.725,120.372,4
spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,"Hey Ya!","Speakerboxxx/The Love Below","Outkast",2003,235213,86,true,,2023-05-02T19:18:45Z,"southern hip hop,hip hop","Arista",0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,4
spotify:track:2nGFzvICaeEWjIrBrL2RAx,"Put Your Records On","Corinne Bailey Rae","Corinne Bailey Rae",2006-01-01,215360,83,false,,2023-05-02T19:18:45Z,"","EMI Records",0.739,0.511,9,-7.844,1,0.0362,0.167,0.00000134,0.133,0.542,96.038,4
spotify:track:6xq5DxZWGgdStAxGAil0yw,"Since You Been Gone","Down To Earth","Rainbow",1979-01-01,197160,67,false,,2023-05-02T19:18:45Z,"hard rock,aor,metal,heavy metal","Polydor",0.733,0.726,7,-6.514,1,0.0371,0.379,0.00000258,0.471,0.915,120.814,4
spotify:track:5Hroj5K7vLpIG4FNCRIjbP,"Best Day Of My Life","Oh, What A Life","American Authors",2014-01-01,194240,81,false,,2023-05-02T19:18:45Z,"","Island Records",0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000227,0.0558,0.536,100.012,4
spotify:track:2RlgNHKcydI9sayD2Df2xp,"Mr. Blue Sky","Out of the Blue","Electric Light Orchestra",1977,303820,83,false,,2023-05-02T19:18:45Z,"art rock,soft rock","Epic/Legacy",0.388,0.338,10,-10.054,1,0.0329,0.652,0.00000373,0.248,0.478,177.765,4
spotify:track:7GVUmCP00eSsqc4tzj1sDD,"Come and Get Your Love - Single Version","Come and Get Your Love","Redbone",1973-11-01,205933,83,false,,2023-05-02T19:18:45Z,"native american music","Epic/Legacy",0.731,0.804,11,-7.621,0,0.0473,0.172,0.00028,0.0685,0.957,107.383,4
spotify:track:3Fzlg5r1IjhLk2qRw667od,"Dancing in the Moonlight","Onka's Big Moka","Toploader",2000,232693,80,false,,2023-05-02T19:18:45Z,"","Sony Soho Square",0.632,0.856,10,-3.463,1,0.0348,0.0624,0,0.347,0.867,119.397,4
spotify:track:6PgVDY8GTkxF3GmhVGPzoB,"Hold On, I'm Comin'","Hold On, I'm Comin'","Sam & Dave",1966,155706,73,false,,2023-05-02T19:18:45Z,"motown,soul,classic soul","Rhino Atlantic",0.803,0.338,6,-14.029,1,0.0349,0.196,0.038,0.097,0.912,106.841,4
spotify:track:77NNZQSqzLNqh2A9JhLRkg,"Don't Stop Believin'","The Essential Journey","Journey",2001-10-16,248906,78,false,,2023-05-02T19:18:45Z,"aor,classic rock","Columbia",0.491,0.802,4,-7.106,1,0.0392,0.25,0,0.387,0.472,119.25,4
spotify:track:4z7maGZkAonDlXlwo8q69f,"Da Ya Think I'm Sexy?","Blondes Have More Fun","Rod Stewart",1978-11-24,331333,78,false,,2023-05-02T19:18:45Z,"soft rock","Rhino/Warner Records",0.715,0.689,2,-8.065,0,0.029,0.0143,0.000192,0.111,0.852,111.504,4
spotify:track:3MrWxJaD2AT0W9DjWF64Vm,"Come On Eileen","Too Rye Ay","Dexys Midnight Runners",1982-07-22,287306,80,false,,2023-05-02T19:18:45Z,"","Mercury Nashville",0.45,0.656,2,-7.049,1,0.0472,0.664,0.00000302,0.259,0.782,106.61,4
spotify:track:1oFiPGBafH9Woo9AMwgBSl,"I'm Every Woman","Chaka","Chaka Khan",1978,249600,73,false,,2023-05-02T19:18:45Z,"","Rhino/Warner Records",0.603,0.886,0,-7.301,0,0.0465,0.0418,0.000171,0.295,0.727,114.045,4
spotify:track:7tqhbajSfrz2F7E1Z75ASX,"Ain't No Mountain High Enough","United","Marvin Gaye;Tammi Terrell",1967-08-29,151666,86,false,,2023-05-02T19:18:45Z,"motown,classic soul,soul,northern soul,quiet storm","UNI/MOTOWN",0.663,0.6,7,-10.87,1,0.032,0.43,0,0.184,0.797,129.987,4
spotify:track:5Ts1DYOuouQLgzTaisxWYh,"Love Grows (Where My Rosemary Goes)","Love Grows (Where My Rosemary Goes) & Other Gems","Edison Lighthouse",1970-01-01,174760,75,false,,2023-05-02T19:18:45Z,"","Crimson",0.568,0.824,9,-4.613,1,0.0299,0.403,0,0.0855,0.753,108.625,4
spotify:track:4xh7W7tlNMIczFhupCPniY,"Go Your Own Way - 2004 Remaster","Rumours (Super Deluxe)","Fleetwood Mac",1977-02-04,223613,69,false,,2023-05-02T19:18:45Z,"yacht rock,classic rock,soft rock","Rhino/Warner Records",0.586,0.941,5,-5.139,1,0.0375,0.0167,0.000776,0.068,0.831,135.448,4
spotify:track:3gdewACMIVMEWVbyb8O9sY,"Rocket Man (I Think It's Going To Be A Long, Long Time)","Honky Chateau","Elton John",1972-05-19,281613,84,false,,2023-05-02T19:18:45Z,"","EMI",0.601,0.532,10,-9.119,1,0.0286,0.433,0.00000595,0.0925,0.342,136.576,4
spotify:track:62LJFaYihsdVrrkgUOJC05,"Kiss","Parade - Music from the Motion Picture Under the Cherry Moon","Prince",1986-03-31,226240,78,false,,2025-03-25T15:39:56Z,"funk rock,funk","Warner Records",0.898,0.271,7,-12.238,1,0.091,0.0135,0.00138,0.0461,0.742,111.485,4
spotify:track:4kbj5MwxO1bq9wjT5g9HaA,"Shut Up and Dance","TALKING IS HARD","WALK THE MOON",2014-12-02,199080,86,false,,2023-05-02T19:18:45Z,"","RCA Records Label",0.578,0.866,1,-3.804,1,0.0619,0.00701,0,0.257,0.619,128.038,4
spotify:track:5I9zIwGB6f0edpjO5oX2b9,"Escape (The Pina Colada Song)","Escape...The Best Of","Rupert Holmes",1998-01-01,275293,63,false,,2023-05-02T19:18:45Z,"yacht rock","Half Moon",0.824,0.739,0,-7.198,1,0.0602,0.24,0.00000143,0.0866,0.954,139.344,4
