Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:35wWE0VppYs6vsMh6Yn1iN,"The Place","The Place","Sepultura",2026-02-26,358837,51,true,,2026-04-27T18:30:30Z,"thrash metal,groove metal,metal,death metal,nu metal,heavy metal,speed metal,alternative metal","Nuclear Blast",0.611,0.875,7,-5.684,1,0.0864,0.00075,0.0403,0.207,0.345,124.065,4
spotify:track:1GxE8KmP1PRhLsh0ttixvf,"(I'm a) Rock ""N"" Roller","(I'm a) Rock ""N"" Roller","Rob Zombie",2026-01-23,212720,52,true,,2026-04-27T18:30:30Z,"industrial metal,industrial rock,alternative metal,metal,nu metal","Nuclear Blast",0.592,0.933,9,-4.029,1,0.0499,0.000051,0.0369,0.0708,0.326,110.055,4
spotify:track:5jE2MH6J9clMtNYiKW0IB7,"Behemoth","Behemoth","August Burns Red",2026-02-20,219408,56,false,,2026-04-27T18:30:30Z,"metalcore,metal,deathcore,djent,post-hardcore,screamo","Fearless Records",0.303,0.967,11,-3.675,1,0.157,0.000237,0.00000356,0.103,0.232,91.556,1
spotify:track:1wK0EaN9EAuSNSp3uB3rgs,"Puppet Parade","Puppet Parade","Megadeth",2026-01-19,280924,49,false,,2026-04-27T18:30:30Z,"thrash metal,metal,heavy metal,speed metal","BLKIIBLK",0.253,0.918,9,-3.812,1,0.0951,0.000024,0.228,0.394,0.379,145.898,4
spotify:track:5o0irNTd67SrpigtecFYrd,"Lacerations","The New Flesh","Sylosis",2026-02-20,295266,52,false,,2026-04-27T18:30:30Z,"melodic death metal,thrash metal,metal,metalcore,groove metal,death metal,deathcore","Nuclear Blast",0.494,0.913,8,-4.571,1,0.0467,0.0000337,0.0287,0.227,0.424,95.999,4
spotify:track:0bUxpdWMazVZv1f7TSNSCW,"Into Oblivion","Into Oblivion","Lamb of God",2026-01-15,214723,54,false,,2026-04-27T18:30:30Z,"groove metal,metal,heavy metal,nu metal,thrash metal,death metal","Epic",0.515,0.992,1,-3.505,1,0.114,0.0000225,0.278,0.114,0.315,134.934,4
spotify:track:29Uss2uPm7lOeKzoLyQXQ6,"The Fever Mask","The Fever Mask","At The Gates",2026-02-20,192586,46,false,,2026-04-27T18:30:30Z,"melodic death metal,death metal,metal","Century Media",0.452,0.984,1,-5.19,1,0.112,0.00000636,0.019,0.115,0.175,114.713,3
spotify:track:4JZISTWgyMBA5C6QmeK2n4,"Name In Blood","Engines of Demolition","Black Label Society",2026-03-27,276600,55,false,,2026-04-27T18:30:30Z,"groove metal,metal,heavy metal","Spinefarm",0.504,0.934,1,-5.726,1,0.0903,0.00196,0.00141,0.118,0.472,128.001,4
spotify:track:2MuWTIM3b0YEAskbeeFE1i,"Master Of Puppets","Master Of Puppets (Remastered)","Metallica",1986-03-03,515386,81,false,,2026-04-27T18:30:30Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.543,0.836,4,-9.11,0,0.0353,0.000647,0.431,0.153,0.56,105.173,4
spotify:track:1kLXoAje5Z4mlZOAFgZZj3,"The Drapery Falls","Blackwater Park","Opeth",2001-02-27,652040,46,false,,2026-04-27T18:30:30Z,"progressive metal,progressive rock,metal,death metal,melodic death metal","Sony BMG Music Entertainment",0.103,0.859,7,-6.107,1,0.0803,0.000339,0.168,0.0974,0.306,186.415,3
spotify:track:3GMLXn9WaVqYFyMUM7i4Dw,"Krushers Of The World","Krushers Of The World","Kreator",2026-01-16,260333,51,false,,2026-04-27T18:30:30Z,"thrash metal,speed metal,metal,groove metal,heavy metal","Nuclear Blast",0.472,0.972,5,-3.257,1,0.0457,0.0000392,0.0093,0.071,0.242,99.675,4
spotify:track:3CZDkpmq245kzvCe44P2hM,"I, Emperor","Legends","Sabaton",2025-10-17,255973,63,false,,2026-04-27T18:30:30Z,"power metal,metal,heavy metal,symphonic metal,folk metal","Better Noise Music",0.634,0.929,11,-5.865,0,0.0336,0.0196,0,0.109,0.445,107.97,4
spotify:track:1158ckiB5S4cpsdYHDB9IF,"My Own Summer (Shove It)","Around the Fur","Deftones",1997-10-27,214760,84,false,,2026-04-27T18:30:30Z,"nu metal,alternative metal,rap metal,rock,shoegaze","Maverick",0.443,0.781,1,-4.277,1,0.0377,0.0000133,0.205,0.166,0.372,71.841,4
