Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:51NFxnQvaosfDDutk0tams,"bellyache","Bellyache","Billie Eilish",2017-02-24,179172,79,false,,2023-11-07T15:22:31Z,"","Darkroom",0.695,0.573,4,-8.597,0,0.106,0.46,0.0734,0.482,0.408,99.939,4
spotify:track:7rl7ao5pb9BhvAzPdWStxi,"Telephone","The Fame Monster (Deluxe Edition)","Lady Gaga;Beyoncé",2009-08-05,220626,73,false,,2023-11-07T15:22:31Z,"art pop,pop","Interscope",0.825,0.832,5,-5.862,0,0.0403,0.00587,0.000733,0.114,0.713,122.021,4
spotify:track:3fd4XsfabB2aPXGKywbM21,"Don't Be so Shy - Filatov & Karas Remix","Sous les jupes des filles (Original Motion Picture Soundtrack / Bonus Track Version)","Imany;Filatov & Karas",2016-04-08,191360,71,false,,2023-11-07T15:22:31Z,"","Think Zik !",0.768,0.904,8,-5.759,0,0.0584,0.0502,0.011,0.386,0.905,119.989,4
spotify:track:6T689Jvh5KrSXyaPtUWZtQ,"Criminal","Femme Fatale (Deluxe Version)","Britney Spears",2011-03-28,225080,75,false,,2023-11-07T15:22:31Z,"pop","Jive",0.696,0.734,7,-5.294,1,0.0298,0.0485,0,0.183,0.711,107.987,4
spotify:track:5wEreUfwxZxWnEol61ulIi,"Born To Die","Born To Die – Paradise Edition (Special Version)","Lana Del Rey",2012-01-01,286253,74,false,,2023-11-07T15:22:31Z,"","Urban",0.393,0.634,4,-6.629,0,0.0378,0.2,0.000166,0.198,0.395,85.767,4
spotify:track:6VObnIkLVruX4UVyxWhlqm,"Skyfall","Skyfall","Adele",2012-10-04,286081,86,false,,2023-11-07T15:22:31Z,"soft pop","XL Recordings/Columbia",0.346,0.552,0,-6.864,0,0.0282,0.417,0,0.114,0.0789,75.881,4
spotify:track:0laYHRpNTS6i8FXdupHkJ4,"Love You Like A Love Song","When The Sun Goes Down","Selena Gomez & The Scene",2011-01-01,188453,85,false,,2023-11-07T15:22:31Z,"","Hollywood Records",0.858,0.678,1,-3.87,0,0.0469,0.0761,0,0.0741,0.922,117.009,4
spotify:track:3tyPOhuVnt5zd5kGfxbCyL,"Where Have You Been","Talk That Talk","Rihanna",2011-11-19,242680,79,false,,2023-11-07T15:22:31Z,"","Def Jam Recordings",0.719,0.847,0,-6.34,0,0.0919,0.00201,0.0204,0.223,0.443,127.96,4
spotify:track:2zFF6jG5hQArbzcXz3KUWk,"Cool for the Summer","Confident (Deluxe Edition)","Demi Lovato",2015-10-16,214739,65,true,,2023-11-07T15:22:31Z,"","Hollywood Records",0.583,0.61,5,-5.639,0,0.0382,0.00425,0.000105,0.14,0.336,114.06,4
spotify:track:1Ist6PR2BZR3n2z2Y5R6S1,"Summertime Sadness","Born To Die – Paradise Edition (Special Version)","Lana Del Rey",2012-01-01,264773,78,false,,2023-11-07T15:22:31Z,"","Urban",0.566,0.647,1,-6.815,0,0.0335,0.0477,0,0.121,0.22,111.96,4
spotify:track:22mek4IiqubGD9ctzxc69s,"How Deep Is Your Love","How Deep Is Your Love","Calvin Harris;Disciples",2015-07-17,212495,80,false,,2023-11-07T15:22:31Z,"edm,house","Columbia",0.738,0.868,11,-4.373,0,0.0731,0.0392,0.00169,0.388,0.336,122.003,4
spotify:track:1rIKgCH4H52lrvDcz50hS8,"Lush Life","So Good","Zara Larsson",2017-03-17,200646,94,false,,2023-11-07T15:22:31Z,"","Epic/Record Company TEN",0.694,0.712,7,-3.923,0,0.046,0.132,0,0.211,0.799,98.023,4
spotify:track:2hgzdQdnfWwtdpZbhZlV72,"Ain't Your Mama","Ain't Your Mama","Jennifer Lopez",2016-04-07,218234,72,false,,2023-11-07T15:22:31Z,"","Epic/Nuyorican Productions",0.757,0.678,8,-5.529,0,0.233,0.0472,0.00000914,0.0654,0.82,120.075,4
spotify:track:2T3jgoAMbBXiMMD8pSc6QL,"This Is The Life","This Is The Life (eDeluxe)","Amy Macdonald",2007-01-01,184413,80,false,,2023-11-07T15:22:31Z,"","EMI",0.628,0.882,1,-5.024,0,0.0323,0.259,0,0.065,0.853,95.083,4
spotify:track:2bL2gyO6kBdLkNSkxXNh6x,"Animals","V","Maroon 5",2014-09-02,231013,85,false,,2023-11-07T15:22:31Z,"pop","Interscope Records*",0.279,0.742,4,-6.46,0,0.0898,0.000185,0,0.593,0.328,189.868,4
spotify:track:5TbzAWWc5eJaANpA9kfGCd,"Love Me Again","Tribute","John Newman",2013-01-01,239894,82,false,,2023-11-07T15:22:31Z,"","Universal-Island Records Ltd.",0.495,0.894,2,-4.814,0,0.0441,0.00453,0.000596,0.103,0.213,126.03,4
spotify:track:3JvKfv6T31zO0ini8iNItO,"Another Love","Long Way Down (Deluxe)","Tom Odell",2013-06-24,244360,88,true,,2023-11-07T15:22:31Z,"","ITNO/Columbia",0.445,0.537,4,-8.532,0,0.04,0.695,0.0000165,0.0944,0.131,122.769,4
spotify:track:3C0nOe05EIt1390bVABLyN,"On The Floor","Love?","Jennifer Lopez;Pitbull",2011-04-29,284866,85,false,,2023-11-07T15:22:31Z,"","Nuyorican Productions / IDJ",0.73,0.777,3,-5.194,0,0.0496,0.105,0.000486,0.0691,0.575,130.003,4
spotify:track:5Ohxk2dO5COHF1krpoPigN,"Sign of the Times","Harry Styles","Harry Styles",2017-05-12,340706,92,false,,2023-11-07T15:22:31Z,"","Columbia",0.516,0.595,5,-4.63,1,0.0313,0.0275,0,0.109,0.222,119.972,4
spotify:track:7ySUcLPVX7KudhnmNcgY2D,"S&M","Loud","Rihanna",2010-01-01,243600,88,true,,2023-11-07T15:22:31Z,"","Def Jam Recordings",0.769,0.685,1,-5.019,1,0.041,0.0105,0.000124,0.0887,0.836,127.977,4
spotify:track:3pYDZTJM2tVBUhIRifWVzI,"Blow","Cannibal (Expanded Edition)","Kesha",2010-11-19,219973,82,false,,2023-11-07T15:22:31Z,"","RCA Records Label",0.753,0.729,11,-3.862,0,0.0392,0.00334,0.0000566,0.073,0.812,120.013,4
spotify:track:2Foc5Q5nqNiosCNqttzHof,"Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]","Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]","Daft Punk;Pharrell Williams;Nile Rodgers",2013-04-19,247632,82,false,,2023-11-07T15:22:31Z,"french house,electronic,electro","Columbia",0.794,0.811,6,-8.966,0,0.038,0.0426,0.00000107,0.101,0.862,116.047,4
spotify:track:6ZANrVuAMp2rpjhfbOuJly,"Same Old Love","Revival (Deluxe)","Selena Gomez",2015-10-09,229080,72,false,,2023-11-07T15:22:31Z,"","Selena Gomez PS",0.672,0.593,11,-4.01,0,0.0304,0.0223,0,0.214,0.438,98.02,4
spotify:track:6kwAbEjseqBob48jCus7Sz,"Elastic Heart","1000 Forms Of Fear","Sia",2014-07-04,257200,81,false,,2023-11-07T15:22:31Z,"","Monkey Puzzle Records/RCA Records",0.421,0.791,9,-4.998,1,0.0496,0.0117,0.0000148,0.146,0.499,130.075,4
spotify:track:3WD91HQDBIavSapet3ZpjG,"Video Games","Born To Die – Paradise Edition (Special Version)","Lana Del Rey",2012-01-01,281946,75,false,,2023-11-07T15:22:31Z,"","Urban",0.39,0.252,6,-9.666,0,0.0298,0.808,0,0.0887,0.181,122.053,4
spotify:track:4OSBTYWVwsQhGLF9NHvIbR,"Rolling in the Deep","21","Adele",2011-01-24,228093,82,false,,2023-11-07T15:22:31Z,"soft pop","XL Recordings",0.73,0.769,8,-5.114,1,0.0298,0.138,0,0.0473,0.507,104.948,4
spotify:track:6i0V12jOa3mr6uu4WYhUBr,"Heathens","Heathens","Twenty One Pilots",2016-06-16,195920,84,false,,2023-11-07T15:22:31Z,"","Atlantic Records",0.732,0.396,4,-9.348,0,0.0286,0.0841,0.0000358,0.105,0.548,90.024,4
spotify:track:6wJwkMo278iWVlWl1XQ4WA,"The Heart Wants What It Wants","The Heart Wants What It Wants","Selena Gomez",2014-01-01,227373,74,false,,2023-11-07T15:22:31Z,"","Hollywood Records",0.616,0.789,7,-4.874,0,0.0377,0.053,0,0.142,0.621,83.066,4
spotify:track:5WsxrJcbgobPj4V7lhs8Qf,"Ocean Drive","Blasé Boys Club (Pt. 1)","Duke Dumont",2015-10-02,206320,50,false,,2023-11-07T15:22:31Z,"house","EMI",0.686,0.718,8,-5.054,0,0.0431,0.00637,0.000703,0.119,0.557,115.026,4
spotify:track:0VgkVdmE4gld66l8iyGjgx,"Mask Off","FUTURE","Future",2017-06-30,204600,83,true,,2023-11-07T15:22:31Z,"rap","Epic/Freebandz/A1",0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,4
spotify:track:3di5hcvxxciiqwMH1jarhY,"Set Fire to the Rain","21","Adele",2011-01-24,242973,83,false,,2023-11-07T15:22:31Z,"soft pop","XL Recordings",0.603,0.67,2,-3.882,0,0.0249,0.00408,0.00000168,0.112,0.446,107.993,4
