Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3Y6XWs8xMlCngyIxNOFnsp,"Sound of da Police","Return of the Boom Bap","KRS-One",1993-09-03,258506,65,false,,2024-06-28T10:14:13Z,"old school hip hop,east coast hip hop,hip hop,hardcore hip hop","Jive",0.794,0.95,1,-8.78,1,0.294,0.124,0.0000771,0.133,0.324,94.984,4
spotify:track:4pdLZsxq0y5oJDb6Cxlokw,"You Got Me","Things Fall Apart","The Roots;Tariq Trotter;Erykah Badu;Eve",1999-02-23,259306,69,true,,2024-06-28T10:14:13Z,"east coast hip hop,jazz rap,hip hop,neo soul,r&b","Geffen",0.729,0.442,11,-8.108,0,0.285,0.151,0,0.189,0.757,81.029,4
spotify:track:2Ih217RCGAmyQR68Nn7Cqo,"You Know How We Do It","Lethal Injection","Ice Cube",1993-12-07,232773,80,true,,2024-06-28T10:14:13Z,"old school hip hop,gangster rap,west coast hip hop,g-funk,hip hop","Priority Records",0.747,0.52,10,-10.523,0,0.0357,0.0977,0.0537,0.142,0.601,92.869,4
spotify:track:5l7icgnicl7JToRxPkSXyy,"The Truth","So...How's Your Girl?","Handsome Boy Modeling School;Dan The Automator;Prince Paul;Róisín Murphy;J-Live",1999-10-19,337200,62,false,,2024-06-28T10:14:13Z,"trip hop,jazz rap,east coast hip hop,art pop,electropop,underground hip hop,boom bap","Tommy Boy Music, LLC",0.703,0.393,2,-10.88,1,0.0455,0.6,0.00000609,0.113,0.478,79.653,4
spotify:track:0nzLXQufkRxo1aslz36gJp,"DEAD PRESIDENTS (ALBUM VERSION)","Dead Presidents","JAŸ-Z",2026-02-20,213200,62,true,,2026-02-20T05:00:42Z,"hip hop,east coast hip hop,rap","ROC NATION",0.659,0.719,8,-9.426,1,0.26,0.17,0.00000352,0.339,0.728,86.839,4
spotify:track:4VQNCzfZ3MdHEwwErNXpBo,"All Eyez On Me (ft. Big Syke)","All Eyez On Me","2Pac;Big Syke",1996-02-13,307773,81,true,,2024-06-28T10:14:13Z,"old school hip hop,west coast hip hop,gangster rap,g-funk,hip hop","Amaru Entertainment, Inc./Interscope Records",0.872,0.723,1,-5.968,1,0.247,0.0293,0,0.327,0.843,93.279,4
spotify:track:1DIXPcTDzTj8ZMHt3PDt8p,"Gangsta's Paradise","Gangsta's Paradise","Coolio;L.V.",1995-11-07,240693,88,false,,2024-06-28T10:14:13Z,"west coast hip hop,g-funk","Tommy Boy Music, LLC",0.647,0.514,8,-10.05,1,0.0593,0.0655,0,0.398,0.386,79.975,4
spotify:track:33ZXjLCpiINn8eQIDYEPTD,"Shook Ones, Pt. II","The Infamous","Mobb Deep",1995-04-25,325506,79,true,,2024-06-28T10:14:13Z,"old school hip hop,east coast hip hop,hardcore hip hop,hip hop,gangster rap","RCA Records Label",0.763,0.786,10,-6.472,0,0.229,0.0146,0.0114,0.0817,0.504,93.857,4
spotify:track:0B8drtTSp68pZdkmVrG9ZA,"Twinz (Deep Cover 98) (feat. Fat Joe)","Capital Punishment","Big Pun;Fat Joe",1998-04-28,228173,68,true,,2024-06-28T10:14:13Z,"east coast hip hop,old school hip hop,hardcore hip hop","LOUD Records",0.634,0.763,0,-7.216,1,0.323,0.32,0.0000034,0.237,0.519,94.981,4
spotify:track:7KwZNVEaqikRSBSpyhXK2j,"Hypnotize - 2014 Remaster","Life After Death (2014 Remastered Edition)","The Notorious B.I.G.",1997-03-04,229826,84,true,,2024-06-28T10:14:13Z,"old school hip hop,gangster rap,east coast hip hop,hip hop","Rhino Atlantic",0.901,0.697,9,-3.439,1,0.28,0.145,0,0.287,0.67,93.941,4
spotify:track:503OTo2dSqe7qk76rgsbep,"Still D.R.E.","2001","Dr. Dre;Snoop Dogg",1999-11-16,270586,85,true,,2024-06-28T10:14:13Z,"old school hip hop,g-funk,gangster rap,west coast hip hop,hip hop,rap","Aftermath",0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,4
spotify:track:2qOm7ukLyHUXWyR4ZWLwxA,"It Was A Good Day","The Predator","Ice Cube",1992-11-17,260000,81,true,,2024-06-28T10:14:13Z,"old school hip hop,gangster rap,west coast hip hop,g-funk,hip hop","Priority Records",0.798,0.744,7,-5.328,0,0.136,0.33,0.000106,0.292,0.794,82.356,4
spotify:track:0trHOzAhNpGCsGBEu7dOJo,"N.Y. State of Mind","Illmatic","Nas",1994-04-19,294081,73,true,,2024-06-28T10:14:13Z,"old school hip hop,east coast hip hop,hip hop","Columbia",0.665,0.91,6,-4.682,0,0.223,0.0394,0,0.227,0.887,84.099,4
spotify:track:3ia3dJETSOllPsv3LJkE35,"California Love - Original Version","Greatest Hits","2Pac;Roger;Dr. Dre",1998-01-01,284906,83,true,,2024-06-28T10:14:13Z,"old school hip hop,west coast hip hop,gangster rap,g-funk,hip hop,funk,post-disco,rap","2Pac Greatest Hits",0.763,0.85,7,-3.052,1,0.0417,0.0304,0.00000121,0.371,0.761,91.519,4
spotify:track:62l1ZGNoUlJlVwhwMKu2T6,"Simon Says","Internal Affairs","Pharoahe Monch",2019-10-18,173373,64,true,,2024-06-28T10:14:13Z,"east coast hip hop,old school hip hop","Trescadecaphobia Music",0.622,0.913,1,-3.701,1,0.462,0.141,0.0000271,0.12,0.546,92.222,4
spotify:track:17larILaMHwsprsMFnYI77,"Big Poppa - 2005 Remaster","Bad Boy's 10th Anniversary- The Hits","The Notorious B.I.G.",2004-03-09,249840,60,true,,2024-06-28T10:14:13Z,"old school hip hop,gangster rap,east coast hip hop,hip hop","Bad Boy Records",0.73,0.608,9,-6.417,0,0.295,0.301,0,0.207,0.753,84.555,4
