Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1D5L58KLBbceOynTP4DQnY,"It's Me","MAMIHLAPINATAPAI","ILLIT",2026-04-30,138284,0,false,,2026-04-30T09:10:21Z,"k-pop","BELIFT LAB",0.67,0.914,10,-4.005,0,0.0582,0.14,0.00121,0.0365,0.65,147.046,4
spotify:track:7Cy79KgYPsjOTX7VITI1U1,"CELEBRATION","CELEBRATION","LE SSERAFIM",2026-04-24,153000,76,false,,2026-04-30T09:10:21Z,"k-pop","SOURCE MUSIC",0.589,0.745,1,-5.417,0,0.0804,0.0139,0,0.198,0.486,150.001,4
spotify:track:2fCwv2ppU5nTRTckomIGsd,"REDRED","REDRED","CORTIS",2026-04-20,163001,85,false,,2026-04-30T09:10:21Z,"k-pop","Republic Records – CORTIS",0.697,0.601,0,-5.606,1,0.037,0.0265,0.0000464,0.256,0.913,120.978,4
spotify:track:2bAQsNqdo62T8akkIvWzGl,"RUDE!","RUDE!","Hearts2Hearts",2026-02-20,200000,87,false,,2026-04-30T09:10:21Z,"k-pop","SM Entertainment",0.78,0.784,6,-4.2,0,0.0893,0.169,0.00000839,0.339,0.467,128.076,4
spotify:track:1ttNlwhsAwCvSKWGxA6fDk,"Stick With You","7TH YEAR: A Moment of Stillness in the Thorns","TOMORROW X TOGETHER",2026-04-13,153954,86,false,,2026-04-30T09:10:21Z,"k-pop","Republic Records - TXT",0.743,0.796,0,-7.011,0,0.0709,0.17,0,0.29,0.424,113.95,4
spotify:track:2O9bMJticxbQ8FH3NiQ7Xh,"Catch Catch","LOVE CATCHER","YENA",2026-03-11,180000,84,false,,2026-04-30T09:10:21Z,"k-pop","Genie Music Corporation, Stone Music Entertainment",0.809,0.942,5,-2.712,0,0.0926,0.0203,0.00015,0.0535,0.967,138.011,4
spotify:track:4g5eopb54XIaV2ciooY3St,"SWIM","ARIRANG","BTS",2026-03-20,159007,89,false,,2026-04-30T09:10:21Z,"k-pop","BIGHIT MUSIC",0.531,0.706,6,-5.487,0,0.0638,0.153,0,0.117,0.157,93.811,4
spotify:track:16iOs2f9G9qRknDgM9cfAw,"Who is she","Who is she","KISS OF LIFE",2026-04-06,159000,77,false,,2026-04-30T09:10:21Z,"k-pop","S2 ENTERTAINMENT INC.",0.8,0.648,7,-4.829,0,0.0846,0.112,0,0.0528,0.633,134.018,4
spotify:track:0q1NTsO5b93R97JdQxtFGx,"THAT’S A NO NO","IT'z ME","ITZY",2020-03-09,180180,76,false,,2026-04-30T09:10:21Z,"k-pop","Republic Records - ITZY",0.778,0.924,2,-4.915,1,0.0788,0.0151,0.0000193,0.183,0.776,120.048,4
spotify:track:02PyZNzTdzA1Nbxycnv93V,"Body to Body","ARIRANG","BTS",2026-03-20,189725,82,false,,2026-04-30T09:10:21Z,"k-pop","BIGHIT MUSIC",0.674,0.788,6,-3.367,0,0.0442,0.113,0.00000216,0.168,0.495,120.016,4
