Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7Lt57VWFV2MRbn9fzY0kp9,"Revenant","Revenant","Loathe;NOWHERE2RUN",2026-04-27,211746,56,false,,2026-05-01T04:02:35Z,"shoegaze,industrial metal","SHARPTONE",0.21,0.978,9,-3.659,0,0.385,0.0000233,0.897,0.597,0.245,171.918,4
spotify:track:4AbGzxD4kxvdoCX55DLumA,"SONG OF THE SWAMP","IT CALLS ME BY NAME","Wage War",2026-04-17,198118,57,false,,2026-05-01T04:02:35Z,"metalcore,metal,deathcore,djent","Fearless Records",0.487,0.967,1,-4.38,1,0.0891,0.000509,0.0487,0.386,0.387,129.93,4
spotify:track:4oZFqhv200v5rOCPHfwIec,"Reward the Scars","Reward the Scars","Korn",2026-04-23,215455,69,false,,2026-05-01T04:02:35Z,"nu metal,metal,rap metal,alternative metal","Loma Vista Recordings",0.576,0.968,1,-4.059,0,0.0805,0.0000125,0.745,0.0867,0.26,116.065,4
spotify:track:39G4lx75wNFd1rU74WhmqK,"Revenger","Revenger","Black Veil Brides;Machine Head",2026-04-23,220227,56,false,,2026-05-01T04:02:35Z,"emo,screamo,groove metal,metal,nu metal,thrash metal,hard rock,heavy metal","Spinefarm",0.5,0.971,6,-3.262,1,0.139,0.0000125,0.0426,0.252,0.541,130.022,4
spotify:track:1BDqFxvOeS9SWVnMTXPMx2,"Who Will You Follow","Who Will You Follow","Evanescence",2026-04-10,235504,65,false,,2026-05-01T04:02:35Z,"alternative metal","Columbia Local",0.505,0.898,9,-4.488,0,0.107,0.00112,0.000751,0.0772,0.255,96.059,4
spotify:track:46odPfzMypgxCBMUPmdKxr,"Afraid Of The Dark","Afraid Of The Dark","Motionless In White",2026-01-28,278416,78,true,,2026-05-01T04:02:35Z,"metalcore,metal","Roadrunner Records",0.46,0.961,3,-3.197,0,0.222,0.000548,0,0.114,0.227,110.561,4
spotify:track:7sxzXYrcCVnMnqCxBwCXLN,"Blunt Force Blues","Blunt Force Blues","Lamb of God",2026-02-27,251505,55,false,,2026-05-01T04:02:35Z,"groove metal,metal,heavy metal,nu metal,thrash metal,death metal","Epic",0.491,0.976,1,-3.958,1,0.0571,0.000067,0.404,0.108,0.301,93.829,4
spotify:track:08Q6bcPGaSSeBttJjToFJN,"Kickboxer","House of Cards","The Amity Affliction",2026-04-24,166711,57,true,,2026-05-01T04:02:35Z,"metalcore,post-hardcore,screamo","Pure Noise Records",0.255,0.971,8,-2.75,0,0.196,0.0000284,0.00531,0.182,0.177,131.042,3
spotify:track:5Sl5nxwOOREn5pBoZyPomu,"split","split","thrown",2026-04-17,131004,60,true,,2026-05-01T04:02:35Z,"metalcore,deathcore","Arising Empire",0.376,0.909,6,-2.28,1,0.193,0.000158,0.00000957,0.265,0.711,135.168,4
spotify:track:27FTxVOBjgkv8Ox47iNftf,"You Get One","You Get One","The Plot In You",2026-04-03,180403,64,true,,2026-05-01T04:02:35Z,"metalcore","Fearless Records",0.574,0.971,1,-4.068,1,0.309,0.000508,0.00215,0.0579,0.321,130.034,4
spotify:track:5MC8y7w5E0DUEqii0sP4Fm,"In Your Name","In Your Name","Vana",2026-04-08,282138,59,false,,2026-05-01T04:02:35Z,"","Sumerian Records",0.294,0.912,5,-3.553,0,0.0903,0.00563,0,0.236,0.266,129.898,4
spotify:track:4pjSe7n2609YnMWnrJ3OVJ,"Left For Good","Left For Good","Bad Omens",2025-11-18,233737,72,true,,2026-05-01T04:02:35Z,"metalcore","Sumerian Records",0.453,0.89,9,-4.342,0,0.147,0.00105,0.000168,0.2,0.413,170.071,4
spotify:track:4jfzIzQiUabe8PDNo0O66j,"Hive Mind (feat. Denzel Curry)","Hive Mind (feat. Denzel Curry)","Knocked Loose;Denzel Curry",2026-02-10,206161,63,true,,2026-05-01T04:02:35Z,"hardcore,metalcore,deathcore,hardcore punk","Pure Noise Records",0.383,0.983,0,-2.268,1,0.256,0.000191,0.000004,0.262,0.273,95.507,4
spotify:track:459NVRkYEftpuwkmSH1U1H,"Drag Me","Drag Me","From Ashes to New",2025-12-05,186237,59,true,,2026-05-01T04:02:35Z,"rap rock,rap metal,metalcore","Better Noise Music",0.515,0.944,10,-3.382,0,0.261,0.000505,0.00000703,0.305,0.403,99.133,4
spotify:track:3F8Bjx90CZMEWADfHSImPN,"Killshot","Killshot","Upon A Burning Body",2023-11-06,152547,47,true,,2026-05-01T04:02:35Z,"deathcore,metalcore,metal","Upon A Burning Body LLC",0.428,0.939,1,-3.569,1,0.114,0.00011,0.000806,0.113,0.42,151.664,4
spotify:track:4JZISTWgyMBA5C6QmeK2n4,"Name In Blood","Engines of Demolition","Black Label Society",2026-03-27,276600,55,false,,2026-05-01T04:02:35Z,"groove metal,metal,heavy metal","Spinefarm",0.504,0.934,1,-5.726,1,0.0903,0.00196,0.00141,0.118,0.472,128.001,4
spotify:track:2MGhVrA4Th1xHGkdfdUZTk,"Construct","Construct","Sevendust",2026-04-30,237207,13,false,,2026-05-01T04:02:35Z,"nu metal,alternative metal,rap metal,hard rock","Napalm Records Handels GmbH",0.465,0.919,8,-3.788,1,0.106,0.0000573,0.00016,0.107,0.417,102.689,3
spotify:track:2r5xv2gHu6gVM9ZzJ1fs1r,"Grave","Dissenter","Haste The Day",2026-05-01,224689,0,false,,2026-05-01T04:02:35Z,"metalcore,post-hardcore,christian rock,screamo","Solid State Records",0.503,0.987,11,-4.743,0,0.169,0.0000685,0.00123,0.108,0.191,115.024,4
spotify:track:5WpfJrnqAtUqoGIRjJ8e7l,"Ay Ay Ay","Ay Ay Ay","Ladrones",2026-04-03,227686,51,false,,2026-05-01T04:02:35Z,"","Rise Records",0.569,0.873,6,-7.427,0,0.0763,0.00215,0.00000734,0.29,0.368,105.118,3
spotify:track:1MuHPZ9gnIM0SIpON7bflB,"Pray","Violent Nature","I Prevail",2025-09-19,191531,57,true,,2026-05-01T04:02:35Z,"metalcore,metal","Fearless Records",0.41,0.863,8,-4.074,1,0.167,0.000221,0.000183,0.125,0.491,185.089,3
spotify:track:2DaR6GuQKi78Lq32oRv38C,"Twisting The Knife (feat. Mckenna Grace)","Twisting The Knife (feat. Mckenna Grace)","Ice Nine Kills;Mckenna Grace",2026-02-19,201477,72,false,,2026-05-01T04:02:35Z,"metalcore,metal","Fearless Records",0.242,0.914,8,-3.873,1,0.191,0.013,0,0.11,0.373,163.595,3
spotify:track:16vHgP2qsRuhMdhx7JUA7S,"Children of Light (feat. Max Cavalera)","Children of Light","Atreyu;Soulfly;Max Cavalera",2026-04-10,252189,58,false,,2026-05-01T04:02:35Z,"metalcore,screamo,groove metal,nu metal,rap metal,metal,alternative metal,thrash metal","Spinefarm",0.282,0.935,8,-5.091,1,0.28,0.000378,0.00506,0.256,0.111,149.391,4
spotify:track:1v9OAyGabSeIOH2VWIJ0wx,"Time Will Tell","Empty Hands","Poppy",2026-01-23,207200,61,false,,2026-05-01T04:02:35Z,"","Sumerian Records",0.558,0.912,1,-3.853,1,0.134,0.00108,0.00311,0.191,0.318,99.905,4
spotify:track:7au6WtRcJBcjaGPS2RIYmG,"Sonic Salvation (feat. Jamie Hails)","Sonic Salvation (feat. Jamie Hails)","August Burns Red;Polaris",2026-04-24,253673,53,false,,2026-05-01T04:02:35Z,"metalcore,metal,deathcore,djent,post-hardcore,screamo","Fearless Records",0.267,0.988,11,-3.361,1,0.215,0.000191,0.00000453,0.316,0.184,149.433,4
spotify:track:6bzbBeqibhl70svGOboJDN,"True Believers (Feat. Sam Carter)","Nightmare Tripping","DON BROCO;Sam Carter",2026-03-27,212287,62,true,,2026-05-01T04:02:35Z,"","Fearless Records",0.473,0.926,5,-2.894,0,0.0999,0.0175,0,0.347,0.415,92.054,4
spotify:track:4suU2hfS3Qt3ps8iO81WmE,"Everyone Dies Alone","Everyone Dies Alone","Periphery",2026-04-23,275673,51,false,,2026-05-01T04:02:35Z,"djent,progressive metal,metalcore,metal,mathcore","3DOT Recordings",0.375,0.963,10,-3.558,0,0.183,0.0000954,0.0021,0.343,0.232,179.865,4
spotify:track:2k9a1cVGz3eF941sOtN15g,"Fall Like Rain","Fall Like Rain","Invent Animate",2026-04-23,181082,58,false,,2026-05-01T04:02:35Z,"djent,metalcore,progressive metal,deathcore,metal","UNFD",0.451,0.972,10,-3.636,0,0.159,0.000998,0.227,0.967,0.223,83.979,3
