Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6dGnYIeXmHdcikdzNNDMm2,"Here Comes The Sun - Remastered 2009","Abbey Road (Remastered)","The Beatles",1969-09-26,185733,85,false,,2024-02-05T22:59:04Z,"classic rock,psychedelic rock","EMI Catalogue",0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.177,4
spotify:track:2AX5E86cn9n2dgioZEjirI,"Golden Brown","La Folie","The Stranglers",1981,206760,83,false,,2024-02-05T22:59:04Z,"proto-punk,new wave","Parlophone UK",0.562,0.383,6,-15.474,1,0.0304,0.143,0.124,0.138,0.599,93.764,3
spotify:track:4wajJ1o7jWIg62YqpkHC7S,"Weird Fishes / Arpeggi","In Rainbows","Radiohead",2007-12-28,318186,79,false,,2024-02-05T22:59:04Z,"art rock,alternative rock","XL Recordings",0.531,0.61,11,-8.025,0,0.0387,0.772,0.756,0.0908,0.199,152.958,4
spotify:track:4s6LhHAV5SEsOV0lC2tjvJ,"California Dreamin' - Single Version","If You Can Believe Your Eyes & Ears","The Mamas & The Papas",1966-03,162373,82,false,,2024-02-05T22:59:04Z,"folk rock","Geffen*",0.552,0.608,1,-9.786,0,0.0345,0.352,0,0.0533,0.637,112.367,4
spotify:track:3oEkrIfXfSh9zGnE7eBzSV,"The Winner Takes It All","Super Trouper","ABBA",1980,294720,87,false,,2024-02-05T22:59:04Z,"","Polar Music International AB",0.454,0.788,6,-6.748,1,0.0371,0.574,0.000766,0.0859,0.52,126.15,4
spotify:track:5Ih9gbqyxCzTJ43nuSuKnC,"Dream On","Aerosmith","Aerosmith",1973-01-05,267600,83,false,,2024-02-05T22:59:04Z,"classic rock,rock","Aerosmith P&D - Sony",0.37,0.583,1,-5.894,1,0.0248,0.496,0.0000084,0.269,0.24,78.681,4
spotify:track:4vpeKl0vMGdAXpZiQB2Dtd,"White Rabbit","Surrealistic Pillow","Jefferson Airplane",1967,150640,71,false,,2024-02-05T22:59:04Z,"psychedelic rock,acid rock","RCA/BMG Heritage",0.551,0.293,2,-12.503,1,0.0272,0.486,0.000273,0.0864,0.322,106.798,4
spotify:track:63OQupATfueTdZMWTxW03A,"Karma Police","OK Computer","Radiohead",1997-05-28,264066,82,false,,2024-02-05T22:59:04Z,"art rock,alternative rock","XL Recordings",0.36,0.501,7,-9.129,1,0.0258,0.0638,0.0000932,0.172,0.324,74.807,4
spotify:track:07q0QVgO56EorrSGHC48y3,"I Was Made For Lovin' You","Dynasty","KISS",1979-03-23,271240,86,false,,2024-02-05T22:59:04Z,"glam rock,glam metal,hard rock,rock,classic rock","Casablanca Records",0.768,0.852,4,-6.215,1,0.038,0.214,0.0000736,0.0723,0.867,128.373,4
spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,"Paint It, Black","Aftermath","The Rolling Stones",1966-04-15,202266,85,false,,2024-02-05T22:59:04Z,"classic rock,rock","ABKCO Music and Records, Inc.",0.464,0.795,1,-9.267,1,0.0926,0.0493,0.00244,0.399,0.612,158.691,4
spotify:track:3fLJ2zOGZD2wyYATCZnOJU,"If You Go Away","Where Am I Going (Expanded Edition)","Dusty Springfield",1967-10-27,230066,49,false,,2024-02-05T22:59:04Z,"","EMI",0.256,0.187,6,-13.312,0,0.0373,0.901,0,0.204,0.21,171.323,1
spotify:track:5e9TFTbltYBg2xThimr0rU,"The Chain - 2004 Remaster","Rumours (Super Deluxe)","Fleetwood Mac",1977-02-04,270213,89,false,,2024-02-05T22:59:04Z,"yacht rock,classic rock,soft rock","Rhino/Warner Records",0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,4
spotify:track:3vkQ5DAB1qQMYO4Mr9zJN6,"Gimme! Gimme! Gimme! (A Man After Midnight)","Voulez-Vous","ABBA",1979,292613,84,false,,2024-02-05T22:59:04Z,"","Polar Music International AB",0.749,0.491,10,-9.655,1,0.0403,0.02,0.00899,0.159,0.536,119.528,4
spotify:track:3YRCqOhFifThpSRFJ1VWFM,"November Rain","Use Your Illusion I","Guns N' Roses",1991-09-17,536066,85,false,,2024-02-05T22:59:04Z,"rock,glam metal,hard rock,classic rock","Guns N Roses P&D",0.294,0.64,11,-9.316,1,0.0291,0.016,0.22,0.112,0.226,79.79,4
spotify:track:2kkvB3RNRzwjFdGhaUA0tz,"Layla","Layla And Other Assorted Love Songs (Remastered 2010)","Derek & The Dominos",1970-11-01,423840,77,false,,2024-02-05T22:59:04Z,"blues rock,classic rock","Universal Music Group International",0.404,0.902,1,-3.88,1,0.0665,0.577,0.297,0.287,0.497,115.669,4
spotify:track:6WK9dVrRABMkUXFLNlgWFh,"Enjoy the Silence","The Singles 86-98","Depeche Mode",1998-09-28,255133,78,false,,2024-02-05T22:59:04Z,"new wave,synthpop,darkwave","Venusnote Ltd.",0.663,0.838,0,-5.744,0,0.0286,0.2,0.000177,0.0782,0.752,112.788,4
