Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0uOpOhrVFlRDRU8KFEJGMD,"Stan","Old Songs But It's Lofi Fruits Remix","Lofi Fruits Music;Chill Fruits Music",2021-05-21,148000,54,false,a902190,2026-01-06T18:03:44Z,"lo-fi hip hop,lo-fi,lo-fi beats","Fruits Music",0.725,0.369,2,-16.427,0,0.0317,0.964,0.919,0.237,0.213,114.376,4
spotify:track:3ofyGMuH8gQ8rWb0PwS7S7,"Fantasy (Talking To The Moon)","Calm Sad Lofi","Lofi Fruits Music;Chill Fruits Music",2021-08-06,99544,46,false,a902190,2026-01-06T18:03:44Z,"lo-fi hip hop,lo-fi,lo-fi beats","Strange Fruits",0.569,0.0882,2,-21.444,0,0.0307,0.902,0.959,0.11,0.0742,120.873,4
spotify:track:0eq1QHOM455t2uipFsWWPd,"Warm Breeze","Summer's End 2021","Lofi Fruits Music;Chill Fruits Music",2021-09-24,122307,47,false,a902190,2026-01-06T18:03:44Z,"lo-fi hip hop,lo-fi,lo-fi beats","Fruits Music",0.633,0.216,11,-16.983,1,0.0283,0.975,0.932,0.0823,0.164,115.162,4
spotify:track:3EBT1y1tt5Zf2rVo4Zoywe,"Back to Friends","Back to Friends","Lofi Fruits Music;Chill Fruits Music",2025-11-28,158822,45,false,a902190,2026-01-06T18:03:44Z,"lo-fi hip hop,lo-fi,lo-fi beats","Fruits Music",0.874,0.426,1,-10.958,1,0.0627,0.322,0.878,0.11,0.166,92.999,4
spotify:track:4vXWlwLXI9PUZwWDgumV6S,"Saturn","Saturn","Lofi Fruits Music;Chill Fruits Music",2024-11-22,122142,44,false,a902190,2026-01-06T18:03:44Z,"lo-fi hip hop,lo-fi,lo-fi beats","Fruits Music",0.63,0.451,1,-12.437,1,0.0377,0.945,0.807,0.122,0.711,153.994,4
spotify:track:5Tyut66M9AJ5d6HAq4lK1s,"Cruising Waves","Cruising Waves","Sky.High",2025-11-07,144000,43,false,a902190,2026-01-06T18:03:44Z,"lo-fi,lo-fi hip hop","United Common Records",0.617,0.423,4,-8.952,0,0.0956,0.0927,0.867,0.111,0.167,80.027,5
spotify:track:3KGEruWN9f1KbjrfEWjbeD,"I Feel It Coming","I Feel It Coming","Lofi Fruits Music;Chill Fruits Music",2024-12-06,130832,44,false,a902190,2026-01-06T18:03:44Z,"lo-fi hip hop,lo-fi,lo-fi beats","Fruits Music",0.669,0.266,0,-16.081,0,0.0485,0.712,0.901,0.0792,0.198,143.996,4
spotify:track:7Ld0Fk5z6mNcWXnT4OtXpD,"Peaches","Lofi Fall Vibes","Lofi Fruits Music;Chill Fruits Music",2024-11-15,128800,45,false,a902190,2026-01-06T18:03:44Z,"lo-fi hip hop,lo-fi,lo-fi beats","Fruits Music",0.517,0.446,0,-9.622,1,0.0762,0.685,0.894,0.132,0.211,73.677,4
spotify:track:0PfvLwPeaNWicoJLbRQNb9,"Koi","Koi","Sky.High",2025-08-22,136258,44,false,a902190,2026-01-06T18:03:44Z,"lo-fi,lo-fi hip hop","United Common Records",0.778,0.838,3,-9.307,0,0.0473,0.121,0.702,0.0844,0.441,154.975,4
spotify:track:49b1RPMb9cN2ZyKznGTMsT,"Snooze","Lofi Fall Vibes","Lofi Fruits Music;Chill Fruits Music",2024-11-15,125076,44,false,a902190,2026-01-06T18:03:44Z,"lo-fi hip hop,lo-fi,lo-fi beats","Fruits Music",0.726,0.393,0,-10.311,1,0.0435,0.389,0.909,0.0943,0.101,129.959,4
