Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1qbbrCL6NsXQnCnnl7Rk5y,"Orange Leaves","Rainy Days","TABAL",2021-11-06,160000,0,false,chilledcow,2026-05-01T03:00:34Z,"lo-fi hip hop,lo-fi,lo-fi beats","Lofi Records",0.726,0.339,2,-12.135,1,0.0316,0.931,0.915,0.097,0.108,75.013,4
spotify:track:06pmcVP0R89VZCdw7ujGlW,"Fantasia","Best-of lofi hip-hop 2023","Lucid Keys;Lofi Girl",2023-12-31,148714,45,false,chilledcow,2026-05-01T03:00:34Z,"lo-fi,lo-fi beats","Lofi Records",0.537,0.349,4,-12.061,1,0.0287,0.576,0.901,0.107,0.121,136.116,4
spotify:track:2EHiZ5Qsb04RS1g4amJHO8,"Makeover","Lofi Girl x The Sims - cozy music to feel ooh be gah!","Nadav Cohen;The Sims;Lofi Girl",2026-03-23,152303,53,false,chilledcow,2026-05-01T03:00:34Z,"lo-fi,lo-fi hip hop","Lofi Girl",0.488,0.453,10,-10.048,0,0.0389,0.921,0.868,0.0867,0.128,130.191,4
spotify:track:1im0r4bbyiov7jT6AOmoHz,"pétrichor","les éclats","tulki;evndl",2026-04-27,152903,36,false,chilledcow,2026-05-01T03:00:34Z,"lo-fi beats,lo-fi","Lofi Girl",0.717,0.327,8,-14.953,0,0.0371,0.951,0.94,0.0859,0.194,124.018,4
spotify:track:78EwCrStfoXktZraPV9V7T,"Into Your Eyes","The Book of Night Vol. 1","brillion.;Lucid Green",2026-03-16,128000,53,false,chilledcow,2026-05-01T03:00:34Z,"lo-fi hip hop,lo-fi,lo-fi beats","Lofi Girl",0.627,0.259,8,-14.964,0,0.0444,0.876,0.921,0.114,0.314,119.973,4
spotify:track:7IHckA5OxvDkRTWbDAypZV,"Fig Trees","Before Sunrise","juniorodeo;Blue Wednesday",2021-03-09,163893,0,false,chilledcow,2026-05-01T03:00:34Z,"lo-fi hip hop,lo-fi,lo-fi beats","Lofi Records",0.7,0.178,1,-12.787,1,0.179,0.89,0.883,0.16,0.504,73.983,4
spotify:track:0LTENJsG6gDnnbqfmIuAbT,"everything grows again","Lofi Girl: Spring Collection 2026","fnonose",2026-03-30,143278,53,false,chilledcow,2026-05-01T03:00:34Z,"lo-fi,lo-fi beats","Lofi Girl",0.745,0.312,2,-14.675,1,0.0974,0.889,0.908,0.114,0.686,136.045,4
spotify:track:0CQgrW8jCGY3l5h37v1Rs9,"Afterglow","Best-of lofi hip-hop 2021","Casiio;Sleepermane;Lofi Girl",2021-12-31,144093,0,false,chilledcow,2026-05-01T03:00:34Z,"lo-fi hip hop,lo-fi,lo-fi beats","Lofi Records",0.456,0.184,8,-16.953,0,0.0987,0.76,0.777,0.0999,0.4,200.168,4
spotify:track:13k62lNUE78vv5ioORQPfE,"Consumerism Simplified","Lofi Girl x The Sims - cozy music to feel ooh be gah!","D0d.;The Sims;Lofi Girl",2026-03-23,166943,53,false,chilledcow,2026-05-01T03:00:34Z,"lo-fi,lo-fi beats","Lofi Girl",0.827,0.482,5,-7.92,1,0.0935,0.505,0.378,0.168,0.751,144.028,4
spotify:track:1kVJhzn2McUjOgYUsSDbuI,"les lueurs","les éclats","tulki;evndl",2026-04-27,152061,33,false,chilledcow,2026-05-01T03:00:34Z,"lo-fi beats,lo-fi","Lofi Girl",0.729,0.207,11,-16.369,1,0.0508,0.948,0.909,0.121,0.329,130.973,4
spotify:track:1f3TT9bezS8QeuH3zekf0K,"fresh start","Lofi Girl: Spring Collection 2026","WYS",2026-03-30,144192,53,false,chilledcow,2026-05-01T03:00:34Z,"lo-fi,lo-fi hip hop,lo-fi beats","Lofi Girl",0.721,0.31,1,-10.023,1,0.0431,0.797,0.872,0.372,0.339,77.505,4
spotify:track:4UzDTGoRX8RZdIav7kfPte,"from town to town","holding space","azayaka",2025-01-13,148356,60,false,chilledcow,2026-05-01T03:00:34Z,"lo-fi,lo-fi beats","Lofi Records",0.679,0.258,4,-20.796,1,0.0816,0.979,0.936,0.0978,0.555,72.986,4
spotify:track:59QF64ybCPIH1QnlMU7HpI,"footprints","Fragments","j'san",2026-03-02,172842,54,false,chilledcow,2026-05-01T03:00:34Z,"lo-fi,lo-fi beats,lo-fi hip hop","Lofi Girl",0.798,0.299,0,-9.715,1,0.0646,0.85,0.914,0.092,0.464,78.004,4
spotify:track:1hfttStmFXnNAZIcxzVjGs,"until i lose my hearing. - instrumental","the life a of a lofi boy (instrumentals)","Jhove;Lofi Girl;Powfu",2025-07-16,175609,58,false,chilledcow,2026-05-01T03:00:34Z,"lo-fi hip hop,lo-fi,lo-fi beats","Lofi Records",0.654,0.21,10,-19.029,0,0.0344,0.962,0.95,0.11,0.0706,81.998,4
spotify:track:6QsZc7VLKBwtYpggf5o6Iv,"Lights Out","Rüya","Kanisan;Mondo Loops",2020-12-26,140850,46,false,chilledcow,2026-05-01T03:00:34Z,"lo-fi hip hop,lo-fi,lo-fi beats","Lofi Records",0.442,0.165,0,-13.19,0,0.0462,0.873,0.477,0.123,0.0601,71.885,4
spotify:track:0X8pniNrudip3Z0Ze8FLUr,"Lavender","Lofi Girl: Spring Collection 2026","amies;Hoffy Beats",2026-03-30,133474,52,false,chilledcow,2026-05-01T03:00:34Z,"lo-fi hip hop,lo-fi,lo-fi beats,jazz beats","Lofi Girl",0.686,0.124,2,-18.366,1,0.0573,0.885,0.964,0.14,0.208,129.991,4
