Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1uvyZBs4IZYRebHIB1747m,"Purple Rain","Purple Rain","Prince",1984-06-25,521866,87,false,,2025-05-18T19:27:55Z,"funk rock,funk","Warner Records",0.373,0.452,10,-10.417,1,0.0321,0.0354,0.00227,0.689,0.179,113.212,4
spotify:track:1JSTJqkT5qHq8MDJnJbRE1,"Every Breath You Take","Synchronicity (Remastered 2003)","The Police",1983-06-17,253920,93,false,,2025-05-18T19:27:55Z,"","Polydor Records",0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,4
spotify:track:1hZJcuz9iMoz6tLkFlIaUy,"Take My Breath Away","Take My Breath Away","Berlin",2007-01-01,264213,67,false,,2025-05-18T19:27:55Z,"","Cleopatra",0.578,0.477,1,-8.119,1,0.0228,0.448,0.00031,0.124,0.511,95.892,4
spotify:track:7oHymG8r14Iv9zn5hFTNax,"Can't Take My Eyes Off You","A Man Without Love","Engelbert Humperdinck",1968-08-03,221373,66,false,,2025-05-18T19:27:55Z,"","Decca (UMO)",0.538,0.536,3,-10.36,1,0.036,0.473,0,0.18,0.54,119.31,4
spotify:track:6HMvJcdw6qLsyV1b5x29sa,"Hello","Can't Slow Down","Lionel Richie",1983-01-01,246933,70,false,,2025-05-18T19:27:55Z,"motown","Motown",0.424,0.222,9,-15.053,0,0.0391,0.646,0,0.148,0.0606,61.648,4
spotify:track:1pTGc8pwyo6xtgXBKCBcFn,"Woman in Love","Guilty","Barbra Streisand",1980-09-23,233400,70,false,,2025-05-18T19:27:55Z,"adult standards","Columbia",0.469,0.278,3,-16.311,0,0.028,0.248,0.000126,0.133,0.331,169.735,4
spotify:track:4JehYebiI9JE8sR8MisGVb,"Halo","I AM...SASHA FIERCE","Beyoncé",2008-11-17,261640,76,false,,2025-05-18T19:27:55Z,"","Music World Music/Columbia",0.508,0.72,11,-5.908,0,0.0628,0.272,0,0.0563,0.472,79.983,4
spotify:track:3bNv3VuUOKgrf5hu3YcuRo,"Someone Like You","21","Adele",2011-01-24,285240,83,false,,2025-05-18T19:27:55Z,"soft pop","XL Recordings",0.556,0.319,9,-8.251,1,0.0281,0.893,0,0.0996,0.294,135.187,4
spotify:track:5Ihd9HrPvOADyVoonH9ZjB,"Un-Break My Heart","Secrets","Toni Braxton",1996-06-18,270333,77,false,,2025-05-18T19:27:55Z,"r&b","Arista/LaFace Records",0.625,0.426,2,-8.4,0,0.0271,0.412,0,0.116,0.112,110.021,4
spotify:track:2RChe0r2cMoyOvuKobZy44,"Always","Cross Road","Bon Jovi",1994-10-18,353026,82,false,,2025-05-18T19:27:55Z,"glam metal","Bon Jovi Dist Deal (Catalog)",0.384,0.659,4,-5.558,1,0.0314,0.115,0,0.0778,0.326,140.795,4
