Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1VvliZHnsUj177MnuSY8G2,"Te Entiendo - Remix","Te Entiendo (Remix)","Maisak;Feid;Maluma",2026-04-29,335104,0,true,,2026-05-01T04:59:40Z,"reggaeton,urbano latino,latin","Royalty Records LLC",0.684,0.746,4,-3.866,0,0.166,0.0486,0,0.109,0.402,179.974,4
spotify:track:3r2ZoCWlf9RewWlxxozfQ8,"De Lejitos","De Lejitos","Jay Wheeler",2026-04-09,207600,86,true,,2026-05-01T04:59:40Z,"reggaeton","Linked Music / Dynamic Records / EMPIRE",0.712,0.565,5,-6.858,0,0.0378,0.38,0,0.1,0.479,99.903,4
spotify:track:1YAWMfsmduIrpqrjP45pFn,"FOREVER TU GANTEL","POR SI MAÑANA NO ESTOY","Omar Courtz;Ñengo Flow",2026-02-19,226533,86,true,,2026-05-01T04:59:40Z,"reggaeton,trap latino","Rimas Entertainment LLC.",0.808,0.714,5,-3.965,0,0.201,0.146,0,0.515,0.721,82.988,4
spotify:track:2pbSCYzxrG0wa6qcj8IyiE,"Cuando No Era Cantante - Remix","Cuando No Era Cantante (Remix)","El Bogueto;Anuel AA;Fuerza Regida;Yung Beef",2025-12-10,327488,89,true,,2026-05-01T04:59:40Z,"reggaeton mexa,reggaeton,trap latino,urbano latino,latin,corrido,corridos tumbados,corridos bélicos,música mexicana,banda,sierreño,sad sierreño,electro corridos,neoperreo","El Bogueto",0.695,0.851,11,-3.566,0,0.0448,0.247,0,0.103,0.795,166.128,4
spotify:track:5SE62j47eAyxSOplRGS6st,"Fronteo","Love And Sex","Plan B",2014-09-09,203973,72,false,,2026-05-01T04:59:40Z,"reggaeton","Pina Records",0.872,0.848,4,-4.901,0,0.0872,0.151,0.000344,0.132,0.406,88.006,4
spotify:track:2339A6X4fGkSpjeF63gsll,"Pa' la seca","Pa' la seca","Maluma;Ryan Castro",2026-04-16,184961,71,false,,2026-05-01T04:59:40Z,"reggaeton,latin,urbano latino","Royalty Records/Sony Music Latin",0.861,0.664,10,-2.684,0,0.0624,0.0883,0.00000419,0.101,0.906,112.016,3
spotify:track:29bjrg0oCg69lUOVN7NLLT,"Demasiado","Demasiado","Asmed;Millonario",2026-03-13,168666,73,false,,2026-05-01T04:59:40Z,"reggaeton mexa,mexican hip hop,latin hip hop","Pysca Talent",0.888,0.766,8,-4.749,1,0.1,0.0602,0.000217,0.185,0.713,100.025,4
spotify:track:4I7u8l7P2A409S1emPOUhX,"Callate y Besame","Eso Si Es De Gangster","El Bogueto",2026-03-26,206484,68,true,,2026-05-01T04:59:40Z,"reggaeton mexa,reggaeton","El Bogueto",0.724,0.689,7,-5.269,0,0.0446,0.171,0,0.122,0.428,99.024,4
spotify:track:3ExANo8u3uX8NsA9YkZ2Ke,"HOLA QUÉ TAL","HOLA QUÉ TAL","Blessd;Ovy On The Drums;Myke Towers",2026-04-08,198606,65,true,,2026-05-01T04:59:40Z,"reggaeton,urbano latino,trap latino","WEA Latina",0.817,0.719,5,-2.625,1,0.0741,0.151,0,0.0932,0.793,91.033,4
spotify:track:6XjDF6nds4DE2BBbagZol6,"Gata Only","Gata Only","FloyyMenor;Cris MJ",2024-02-02,222000,85,true,,2026-05-01T04:59:40Z,"reggaeton chileno,chilean trap,chilean mambo,reggaeton","FloyyMenor under exclusive license to UnitedMasters LLC",0.791,0.499,8,-8.472,0,0.0509,0.446,0.0000241,0.0899,0.669,99.986,4
