Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4fiOTntQKr24p07FvQDHZE,"Raining Blood","Reign In Blood (Expanded)","Slayer",1986-10-07,255186,71,false,,2025-11-24T12:47:59Z,"thrash metal,metal,speed metal,heavy metal,groove metal,death metal","American Recordings Catalog P&D",0.227,0.995,10,-4.361,0,0.173,0.000405,0.393,0.127,0.0363,87.499,4
spotify:track:2MuWTIM3b0YEAskbeeFE1i,"Master Of Puppets","Master Of Puppets (Remastered)","Metallica",1986-03-03,515386,81,false,,2025-11-24T12:47:59Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.543,0.836,4,-9.11,0,0.0353,0.000647,0.431,0.153,0.56,105.173,4
spotify:track:7fcfNW0XxTWlwVlftzfDOR,"Walk","Vulgar Display of Power","Pantera",1992,315120,78,true,,2025-11-24T12:47:59Z,"groove metal,metal,thrash metal,heavy metal","Atlantic Records",0.43,0.704,1,-8.008,0,0.0804,0.000155,0.00221,0.0933,0.703,118.242,4
spotify:track:51TG9W3y9qyO8BY5RXKgnZ,"Symphony Of Destruction","Countdown To Extinction (Expanded Edition - Remastered)","Megadeth",1992-07-14,246733,68,false,,2025-11-24T12:47:59Z,"thrash metal,metal,heavy metal,speed metal","Capitol Records",0.61,0.889,4,-5.452,0,0.0585,0.000794,0.0865,0.0657,0.506,139.903,4
spotify:track:4Yqy0GpeDEXLibWJCZyQew,"Kickstart My Heart","Dr. Feelgood","Mötley Crüe",1989-09-02,282653,83,false,,2025-11-24T12:47:59Z,"glam metal,glam rock,hard rock","BMG Rights Management (US) LLC",0.363,0.982,7,-3.621,0,0.3,0.00123,0.00218,0.284,0.275,179.23,4
spotify:track:2DlHlPMa4M17kufBvI2lEN,"Chop Suey!","Toxicity","System Of A Down",2001-09-04,210240,87,false,,2025-11-24T12:47:59Z,"nu metal,metal,alternative metal,rap metal,rock","American/Columbia",0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,4
spotify:track:4ImIJRZNJhNQLLdUFSYJoS,"Down with the Sickness","The Sickness (10th Anniversary Edition)","Disturbed",2010-03-22,278706,65,true,,2025-11-24T12:47:59Z,"metal,nu metal,alternative metal,rap metal,hard rock","Reprise",0.649,0.896,10,-2.704,0,0.056,0.000319,0.0000119,0.102,0.924,90.009,4
spotify:track:3Jnxngdff0lVu2rza1GVx6,"Paranoid - 2009 Remaster","Paranoid","Black Sabbath",1970-09-18,167720,81,false,,2025-11-24T12:47:59Z,"metal,heavy metal,rock,stoner rock,doom metal,hard rock","Sanctuary Records",0.423,0.685,4,-9.651,0,0.078,0.0000628,0.00642,0.133,0.328,162.78,4
spotify:track:4OROzZUy6gOWN4UGQVaZMF,"The Trooper - 2015 Remaster","Piece of Mind (2015 Remaster)","Iron Maiden",1983,252733,77,false,,2025-11-24T12:47:59Z,"heavy metal,metal,hard rock,rock","Parlophone UK",0.285,0.908,4,-4.601,0,0.0705,0.0318,0.00909,0.311,0.669,159.756,4
spotify:track:3CIOopLwvyMvXk97ZEksKO,"Ace of Spades","Ace of Spades (Expanded Edition)","Motörhead",1980-11-08,168320,75,false,,2025-11-24T12:47:59Z,"heavy metal,metal,speed metal,hard rock,rock","Sanctuary Records",0.322,0.991,6,-4.453,1,0.213,0.00313,0.0035,0.0708,0.198,140.221,4
spotify:track:1pr9TZGOXeJUggIal1Wq3R,"Blind","Korn","Korn",1994-10-11,258266,80,false,,2025-11-24T12:47:59Z,"nu metal,metal,rap metal,alternative metal","Immortal/Epic",0.283,0.891,2,-8.165,1,0.178,0.00678,0.0038,0.159,0.226,92.049,4
spotify:track:61mWefnWQOLf90gepjOCb3,"Duality","Vol. 3: The Subliminal Verses (Special Edition)","Slipknot",2004,252613,84,false,,2025-11-24T12:47:59Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.354,0.982,4,-3.026,0,0.168,0.000237,0.000294,0.204,0.194,143.772,4
spotify:track:02xhLoVqpGmOqvolgrwM8w,"One","…And Justice for All (Remastered)","Metallica",1988-08-25,446145,78,false,,2025-11-24T12:47:59Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.439,0.691,7,-9.158,1,0.0608,0.000666,0.0777,0.423,0.433,103.281,3
spotify:track:755bvJDSA3LNcNuFgBT9LK,"Iron Man - 2009 Remaster","Paranoid","Black Sabbath",1970-09-18,354213,75,false,,2025-11-24T12:47:59Z,"metal,heavy metal,rock,stoner rock,doom metal,hard rock","Sanctuary Records",0.334,0.828,9,-9.168,1,0.0985,0.00312,0.0043,0.0949,0.515,157.891,4
spotify:track:7txxAtOMwLLnQTpKeBL6bp,"Mother","Danzig","Danzig",1988-01-01,204866,75,true,,2025-11-24T12:47:59Z,"horror punk","American Recordings Catalog P&D",0.365,0.763,11,-9.45,0,0.0591,0.00726,0.000457,0.0865,0.342,148.366,4
