Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6sGIMrtIzQjdzNndVxe397,"So Easy (To Fall In Love)","The Art of Loving","Olivia Dean",2025-09-26,169000,97,false,,2026-05-01T04:39:10Z,"pop soul","PLG - Capitol",0.749,0.633,3,-5.917,1,0.0373,0.665,0,0.0817,0.572,139.898,4
spotify:track:6usohdchdzW9oML7VC4Uhk,"Lose Control","Lose Control","Teddy Swims",2023-06-23,210688,82,false,,2026-05-01T04:39:10Z,"","Warner Records",0.561,0.604,9,-4.409,1,0.0337,0.199,0.000019,0.104,0.242,159.92,3
spotify:track:7scFxt9VhL4FJwuPSfRlfN,"Choosin' Texas","Dandelion","Ella Langley",2026-04-10,231746,86,false,,2026-05-01T04:39:10Z,"country","SAWGOD/Columbia",0.683,0.781,1,-4.733,1,0.0309,0.0092,0,0.193,0.488,112.03,4
spotify:track:12bYYQaLqHliSXvRIYlq8G,"I Just Might","I Just Might","Bruno Mars",2026-01-09,212973,90,false,,2026-05-01T04:39:10Z,"","Atlantic Records",0.786,0.713,5,-6.193,1,0.0327,0.0541,0,0.133,0.876,102.997,4
spotify:track:1rIKgCH4H52lrvDcz50hS8,"Lush Life","So Good","Zara Larsson",2017-03-17,200646,94,false,,2026-05-01T04:39:10Z,"","Epic/Record Company TEN",0.694,0.712,7,-3.923,0,0.046,0.132,0,0.211,0.799,98.023,4
spotify:track:5yvVYFDUpbnjcnRBgjwTzM,"Dracula - JENNIE Remix","Dracula (Remix)","Tame Impala;JENNIE",2026-02-06,209720,96,true,,2026-05-01T04:39:10Z,"neo-psychedelic,indie,k-pop","Columbia",0.662,0.786,3,-3.254,0,0.0665,0.0247,0,0.875,0.761,114.972,4
spotify:track:55lijDD6OAjLFFUHU9tcDm,"WHERE IS MY HUSBAND!","WHERE IS MY HUSBAND!","RAYE",2025-09-19,197142,92,false,,2026-05-01T04:39:10Z,"","Human Re Sources",0.39,0.781,8,-7.04,1,0.0918,0.0599,0,0.14,0.628,115.939,4
spotify:track:221eHga9f9Ne4f8D7WVgPT,"Mystical Magical","Mystical Magical","Benson Boone",2025-04-24,165746,79,false,,2026-05-01T04:39:10Z,"","Night Street Records, Inc./Warner Records Inc.",0.671,0.697,11,-3.851,1,0.116,0.19,0,0.393,0.848,119.867,4
spotify:track:3qhlB30KknSejmIvZZLjOD,"End of Beginning","DECIDE","Djo",2022-09-16,159245,97,false,,2026-05-01T04:39:10Z,"","Djo",0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4
spotify:track:3yWuTOYDztXjZxdE2cIRUa,"Opalite","The Life of a Showgirl","Taylor Swift",2025-10-03,235355,92,false,,2026-05-01T04:39:10Z,"","Taylor Swift",0.806,0.819,4,-5.033,0,0.0384,0.0784,0,0.0371,0.802,124.994,4
spotify:track:04OCeDuqT4ympbgDZ8dcfT,"Heroine","Heroine","Maroon 5",2026-05-01,155192,0,true,,2026-05-01T04:39:10Z,"pop","222 Records/Interscope Records",0.88,0.51,7,-5.591,1,0.0533,0.0415,0.0000944,0.116,0.915,120.51,4
spotify:track:5BZsQlgw21vDOAjoqkNgKb,"DAISIES","SWAG","Justin Bieber",2025-07-11,176453,95,false,,2026-05-01T04:39:10Z,"","JRC Entertainment, LLC / ILH Production Co. LLC / Def Jam Recordings",0.802,0.384,8,-8.906,1,0.054,0.715,0.000686,0.108,0.482,110.153,4
spotify:track:1qbmS6ep2hbBRaEZFpn7BX,"Man I Need","Man I Need","Olivia Dean",2025-08-15,184000,97,false,,2026-05-01T04:39:10Z,"pop soul","PLG - Capitol",0.808,0.593,1,-7.27,1,0.0714,0.488,0.000451,0.0933,0.688,119.008,4
spotify:track:2BwO5K8Q7EPAJSGze3AAh9,"Manchild","Man’s Best Friend","Sabrina Carpenter",2025-08-29,213645,91,true,,2026-05-01T04:39:10Z,"pop","Island Records",0.73,0.686,7,-5.107,1,0.0615,0.0987,0,0.317,0.839,123.014,4
spotify:track:3sK8wGT43QFpWrvNQsrQya,"DtMF","DeBÍ TiRAR MáS FOToS","Bad Bunny",2025-01-05,237117,97,true,,2026-05-01T04:39:10Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC.",0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4
spotify:track:1UNEuG9DYOWiikf00ayr52,"Love Me Not","Love Me Not / Love Is Blind","Ravyn Lenae",2024-05-03,213466,88,false,,2026-05-01T04:39:10Z,"alternative r&b,indie soul","Atlantic Records",0.786,0.741,0,-6.147,1,0.0309,0.293,0,0.132,0.816,113.98,4
spotify:track:1EpOBcogQexzXarRTUDlDH,"Dinner Party","Dinner Party","Niall Horan",2026-03-20,154448,74,false,,2026-05-01T04:39:10Z,"","Capitol Records",0.633,0.837,4,-6.434,1,0.034,0.00248,0.0000164,0.138,0.764,114.013,4
spotify:track:05od2qm2MTSKCHxy1GBp5W,"12 to 12","I Barely Know Her","sombr",2025-08-22,242903,91,false,,2026-05-01T04:39:10Z,"","Warner Records",0.659,0.898,11,-2.578,0,0.0526,0.0134,0.00000502,0.0971,0.511,123.992,4
spotify:track:3KcmK26eTYJ3Rz1Vb8qs5Z,"Funeral","Funeral","Dermot Kennedy",2026-01-21,243667,70,false,,2026-05-01T04:39:10Z,"","Riggins Recording/Interscope Records/Island Records",0.61,0.712,7,-5.389,1,0.0286,0.0232,0.0000135,0.101,0.166,106.925,4
spotify:track:0QCIpQV3twfqo9kh0t8Zza,"Shake It To The Max (FLY) - Remix","Shake It To The Max (FLY) (Remix)","MOLIY;Silent Addy;Skillibeng;Shenseea",2025-02-21,178775,83,true,,2026-05-01T04:39:10Z,"alté,shatta,dancehall,soca,afrobeats","WONDERGIRL LLC",0.856,0.548,0,-6.609,0,0.123,0.561,0,0.155,0.562,97.997,4
spotify:track:1XhItJSBxL5yKh0V0ymg6D,"That's When You Know","That's When You Know","Kygo;Carter Faith",2026-04-10,193842,76,false,,2026-05-01T04:39:10Z,"tropical house","Kygo",0.63,0.849,8,-6.885,1,0.0547,0.385,0.000108,0.0642,0.344,123.966,4
spotify:track:53iuhJlwXhSER5J2IYYv1W,"The Fate of Ophelia","The Life of a Showgirl","Taylor Swift",2025-10-03,226073,96,false,,2026-05-01T04:39:10Z,"","Taylor Swift",0.726,0.598,5,-5.179,1,0.0291,0.265,0,0.102,0.519,123.921,4
spotify:track:4Rse4e9moG5PKR61F7ah28,"I’m Good - From The Movie “GOAT”","I’m Good (From The Movie “GOAT”)","Jelly Roll",2026-01-23,179666,67,false,,2026-05-01T04:39:10Z,"country hip-hop,country","GOAT Soundtrack",0.621,0.879,10,-4.22,1,0.0325,0.0693,0,0.164,0.679,87.003,4
spotify:track:4nwjvcUjV7cexhwA40Bh5i,"Lover Girl","A Matter of Time","Laufey",2025-08-22,164400,81,false,,2026-05-01T04:39:10Z,"","Vingolf Recordings",0.658,0.447,11,-7.225,1,0.155,0.836,0,0.0752,0.899,87.907,4
spotify:track:3Dy4xsff7c0fRaTJpA54yd,"Gone Gone Gone","Gone Gone Gone","David Guetta;Teddy Swims;Tones And I",2025-10-10,198004,84,false,,2026-05-01T04:39:10Z,"edm","Atlantic Records UK",0.616,0.77,11,-6.048,0,0.0329,0.0315,0,0.654,0.537,131.036,4
spotify:track:4wsT99Vv3afkArA5SSHDsu,"The Thing I Love","The Thing I Love","MAX;Andy Grammer",2025-11-14,172636,70,false,,2026-05-01T04:39:10Z,"","Hundred Days Records, LLC",0.521,0.553,10,-5.543,1,0.0425,0.17,0,0.0857,0.541,175.697,4
spotify:track:024GxR7aMUMCPtp8Y3c1zn,"Drive Safe","Drive Safe","Myles Smith;Niall Horan",2026-02-06,201000,79,false,,2026-05-01T04:39:10Z,"","RCA Records Label",0.596,0.869,1,-4.348,1,0.0635,0.0162,0,0.0629,0.34,118.039,4
spotify:track:726SEjbF3ToEbYbn43gnxl,"Nice To Meet You","A Minute...","Myles Smith",2024-11-08,176000,74,false,,2026-05-01T04:39:10Z,"","RCA Records Label",0.762,0.783,5,-5.206,0,0.0387,0.329,0,0.0536,0.84,115.091,4
spotify:track:2J051fjLklkoPbzOoTAACZ,"Sally, When The Wine Runs Out","Kansas Anymore (The Longest Goodbye)","ROLE MODEL",2025-02-14,218660,82,true,,2026-05-01T04:39:10Z,"bedroom pop","Interscope Records",0.678,0.814,1,-6.065,1,0.0294,0.015,0,0.104,0.857,119.974,4
spotify:track:1k2pQc5i348DCHwbn5KTdc,"Pink Pony Club","The Rise and Fall of a Midwest Princess","Chappell Roan",2023-09-22,258034,83,false,,2026-05-01T04:39:10Z,"","Chappell Roan PS/ Island",0.61,0.65,6,-6.199,1,0.0474,0.399,0,0.11,0.507,106.719,4
spotify:track:3cZajhyr8LmtPfHZ9296tj,"No Broke Boys","No Broke Boys","Disco Lines;Tinashe",2025-06-06,163994,92,true,,2026-05-01T04:39:10Z,"stutter house,alternative r&b","Nice Life/Atlantic",0.767,0.834,1,-7.415,0,0.0315,0.34,0.111,0.0901,0.962,130.999,4
spotify:track:7lgx7t5ZLkdOjiOAjSx9d6,"no more regrets","no more regrets","almost monday",2026-05-01,178477,0,false,,2026-05-01T04:39:10Z,"","Hollywood Records",0.646,0.891,10,-2.403,0,0.0479,0.011,0.0000164,0.162,0.958,109.135,4
spotify:track:6qqrTXSdwiJaq8SO0X2lSe,"Ordinary","Ordinary","Alex Warren",2025-02-07,186964,89,false,,2026-05-01T04:39:10Z,"","Atlantic Records",0.446,0.682,2,-6.229,1,0.0497,0.739,0.00000951,0.0562,0.382,112.252,4
spotify:track:5vNRhkKd0yEAg8suGBpjeY,"APT.","APT.","ROSÉ;Bruno Mars",2024-10-18,169917,87,false,,2026-05-01T04:39:10Z,"k-pop","Atlantic Records",0.777,0.783,0,-4.477,0,0.26,0.0283,0,0.355,0.939,149.027,4
spotify:track:4Q0qVhFQa7j6jRKzo3HDmP,"Sapphire","Sapphire","Ed Sheeran",2025-06-05,179082,77,false,,2026-05-01T04:39:10Z,"soft pop","Gingerbread Man Records / Atlantic Records UK",0.631,0.72,1,-6.152,1,0.0655,0.0163,0,0.347,0.394,95.011,4
spotify:track:4pRJMNLtar65GtT9vpzHu4,"Won't Let Go","Jamie MacDonald","Jamie MacDonald",2026-01-23,189593,62,false,,2026-05-01T04:39:10Z,"christian,worship,christian pop,ccm","Capitol CMG Label Group",0.684,0.87,5,-3.884,1,0.0449,0.0971,0,0.0811,0.562,119.995,4
spotify:track:6V7bxWg4mmuU4ILbYPQJvd,"Mr Electric Blue","American Heart","Benson Boone",2025-06-20,190320,77,false,,2026-05-01T04:39:10Z,"","Night Street Records, Inc./Warner Records Inc.",0.622,0.778,7,-4.265,1,0.054,0.182,0,0.102,0.171,129.998,4
spotify:track:0je57Uq5eTk1wrPzn9sWbl,"When Did You Get Hot?","Man’s Best Friend","Sabrina Carpenter",2025-08-29,145398,87,false,,2026-05-01T04:39:10Z,"pop","Island Records",0.696,0.665,5,-4.559,1,0.13,0.231,0,0.33,0.573,89.136,4
spotify:track:0FTmksd2dxiE5e3rWyJXs6,"back to friends","back to friends","sombr",2024-12-27,199032,91,false,,2026-05-01T04:39:10Z,"","Warner Records",0.436,0.723,1,-2.291,1,0.0301,0.0000937,0.0000882,0.0929,0.235,92.855,4
spotify:track:5SPgaiQqRj4PqW1fLL3M24,"Good Morning California","Good Morning California","Fitz and The Tantrums",2026-05-01,127594,0,false,,2026-05-01T04:39:10Z,"","Atlantic Records",0.667,0.777,6,-5.623,1,0.0528,0.198,0,0.0591,0.702,158.924,4
spotify:track:6dOtVTDdiauQNBQEDOtlAB,"BIRDS OF A FEATHER","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,210373,94,false,,2026-05-01T04:39:10Z,"","Darkroom/Interscope Records",0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
spotify:track:2yWlGEgEfPot0lv3OAjuG3,"Just Keep Watching (From F1® The Movie)","Just Keep Watching (From F1® The Movie)","Tate McRae;F1 The Album",2025-05-30,142550,88,false,,2026-05-01T04:39:10Z,"","Atlantic Records",0.656,0.796,9,-5.856,0,0.113,0.0767,0,0.509,0.425,129.956,4
spotify:track:0rtDE9zfXbamTlRUSwY7zy,"Belong Together","Rockwood","Mark Ambor",2024-08-16,148317,79,false,,2026-05-01T04:39:10Z,"","Hundred Days Records, LLC",0.646,0.668,2,-5.203,1,0.0282,0.491,0,0.212,0.64,90.97,4
spotify:track:3dj4wgM3cPeuLwMNHDuBon,"The Door","I've Tried Everything But Therapy (Part 1)","Teddy Swims",2023-09-15,212648,88,false,,2026-05-01T04:39:10Z,"","Warner Records",0.731,0.861,8,-5.483,0,0.0532,0.0193,0,0.123,0.759,127.922,4
spotify:track:36idurZmYRjJ56KQ8JD9bN,"Boston","Boston","STELLA LEFTY",2026-03-27,170859,84,false,,2026-05-01T04:39:10Z,"","Atlantic Outpost",0.802,0.584,0,-6.862,1,0.0348,0.645,0,0.101,0.608,125.985,4
spotify:track:3SKH53SPQbEnZR4cJPVaz2,"Messy","Messy","Lola Young",2024-05-30,284068,83,true,,2026-05-01T04:39:10Z,"","Universal-Island Records Ltd.",0.797,0.549,9,-5.81,1,0.0373,0.105,0.00343,0.123,0.647,110.981,4
