Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7rAr4Ai9dysthnfNRRC55Q,"Bring Your Love","Bring Your Love","Madonna;Sabrina Carpenter",2026-04-30,216400,0,false,,2026-05-01T04:01:23Z,"pop","Warner Records",0.678,0.823,10,-7.839,0,0.0704,0.0936,0.0145,0.1,0.758,121.016,4
spotify:track:44tr6kkaMRgd2UVG44wqv7,"Horses and Divorces (feat. Miranda Lambert)","Middle of Nowhere","Kacey Musgraves;Miranda Lambert",2026-05-01,163689,0,true,,2026-05-01T04:01:23Z,"country","Kacey Musgraves, under exclusive license to Lost Highway",0.513,0.637,7,-4.928,1,0.0274,0.145,0,0.125,0.623,76.045,3
spotify:track:20BMd1ZXqpdL6ssLndH5Su,"Glamorous Life","The Devil Wears Prada 2 (Music From The Motion Picture)","Lady Gaga",2026-05-01,251035,0,false,,2026-05-01T04:01:23Z,"art pop,pop","Interscope Records",0.444,0.587,4,-4.583,0,0.0324,0.0861,0,0.0937,0.103,145.995,4
spotify:track:6Or4gNQC2EkixDGiufQ3F4,"Promise?","Promise?","Bella Kay",2026-04-27,192100,69,true,,2026-05-01T04:01:23Z,"","2026 Bella Kay",0.656,0.454,1,-8.284,1,0.0318,0.487,0,0.261,0.574,120.006,4
spotify:track:2k4PvUBCu1mkNbXLXhvaBW,"FINE PLACE TO DIE","FINE PLACE TO DIE","Alex Warren",2026-04-30,187423,0,false,,2026-05-01T04:01:23Z,"","Atlantic Records",0.539,0.538,8,-6.566,0,0.0356,0.496,0,0.269,0.471,118.016,4
spotify:track:53fyIvbeN7rfLK1GIZNLDL,"Eurosummer - Girls Trip","Midnight Sun: Girls Trip","Zara Larsson;Shakira",2026-05-01,170346,0,true,,2026-05-01T04:01:23Z,"latin pop","Sommer House/Epic",0.698,0.764,0,-3.045,1,0.0606,0.0253,0.00000307,0.346,0.636,129.915,4
spotify:track:2NT5EOtSEOrjfisvwmSv5S,"Material Lover","The Devil Wears Prada 2 (Music From The Motion Picture)","SIENNA SPIRO",2026-05-01,178016,0,false,,2026-05-01T04:01:23Z,"","Interscope Records",0.665,0.73,4,-5.211,0,0.0369,0.259,0.0000017,0.147,0.719,102.908,4
spotify:track:35po0dhj4pRkbVDeooNVBW,"Staying Still","The Great Divide: The Last Of The Bugs","Noah Kahan",2026-04-25,268822,80,false,,2026-05-01T04:01:23Z,"","Mercury Records",0.462,0.679,11,-5.716,1,0.0309,0.0228,0,0.107,0.443,166.13,4
spotify:track:7B2ygRXyWZulEpO4G1CHZf,"BOY IN RED","IT'S BEEN AWFUL","Isaiah Rashad;SZA",2026-05-01,189964,0,true,,2026-05-01T04:01:23Z,"r&b","Top Dawg Entertainment/Warner Records",0.706,0.705,10,-7.432,1,0.106,0.212,0.000908,0.248,0.342,138.001,4
spotify:track:5XFwDMO60LntXrFSWHPopc,"Fallin' (feat. Leon Thomas)","Fallin' (feat. Leon Thomas)","Chris Brown;Leon Thomas",2026-05-01,266276,0,false,,2026-05-01T04:01:23Z,"r&b","Chris Brown Entertainment/RCA Records",0.486,0.635,6,-6.249,0,0.0459,0.177,0,0.104,0.504,156.278,3
spotify:track:1Ot6QuJzCY66UdLK1ci3sc,"I Know I Know","I Know I Know","STELLA LEFTY",2026-05-01,159210,0,false,,2026-05-01T04:01:23Z,"","Atlantic Outpost",0.651,0.58,8,-6.893,1,0.0375,0.469,0.000018,0.0914,0.66,165.837,4
spotify:track:04OCeDuqT4ympbgDZ8dcfT,"Heroine","Heroine","Maroon 5",2026-05-01,155192,0,true,,2026-05-01T04:01:23Z,"pop","222 Records/Interscope Records",0.88,0.51,7,-5.591,1,0.0533,0.0415,0.0000944,0.116,0.915,120.51,4
spotify:track:0uFffwji3muqn5MEe7hiYw,"Don't Worry Baby","Don't Worry Baby","Dom Dolla;Tiga",2026-05-01,207272,0,false,,2026-05-01T04:01:23Z,"house,tech house,electroclash","Three Six Zero Recordings/Columbia Records",0.595,0.931,8,-4.68,1,0.0685,0.0108,0.0356,0.246,0.684,132.029,4
spotify:track:7uADhlog5IlihImt0ypJq6,"IT'S OK","IT'S OK","Bryson Tiller",2026-04-28,139039,54,true,,2026-05-01T04:01:23Z,"trap soul,r&b","TrapSoul/RCA Records",0.603,0.478,10,-6.7,1,0.054,0.000669,0,0.103,0.0507,143.48,4
spotify:track:34n0ATfkVijT83HeisJi7j,"TAKE U HOME","BIDNESS IS BOOMIN","Shoreline Mafia;OHGEESY;Fenix Flexin",2026-05-01,160926,0,true,,2026-05-01T04:01:23Z,"","300 Entertainment",0.764,0.692,2,-6.196,1,0.279,0.0204,0,0.119,0.624,109.903,4
spotify:track:24IeBGZDIeRA4H6EpQz8D0,"Ricky Bobby","CORSA","Eladio Carrion",2026-04-30,175035,0,true,,2026-05-01T04:01:23Z,"trap latino,urbano latino","Rimas Entertainment LLC.",0.612,0.667,10,-5.9,1,0.0488,0.234,0,0.115,0.301,121.07,4
spotify:track:06v2x2dttlLFyF2JaBROpF,"i'm not joking","i'm not joking","Bleachers",2026-04-30,234605,22,false,,2026-05-01T04:01:23Z,"","Dirty Hit",0.581,0.498,7,-7.089,0,0.0396,0.572,0.000256,0.132,0.735,149.877,4
spotify:track:35mvYlF92JzRqB2PYA9DIU,"Crutch","Crutch","Love Spells",2026-04-30,211537,20,false,,2026-05-01T04:01:23Z,"","Love Spells LLC/RCA Records",0.617,0.427,7,-11.159,1,0.0239,0.579,0.696,0.123,0.602,87.95,4
