Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6holGuk1jKHTdWyWBOZi8l,"My Generation","Chocolate Starfish And The Hot Dog Flavored Water","Limp Bizkit",2000-10-17,221000,78,true,,2026-03-20T17:54:18Z,"nu metal,rap metal,alternative metal,rap rock","Interscope",0.458,0.978,11,-2.389,1,0.192,0.00231,0.00000211,0.111,0.341,104.013,4
spotify:track:6W21LNLz9Sw7sUSNWMSHRu,"Freak On a Leash","Follow The Leader","Korn",1998-08-18,255729,83,true,,2026-03-20T17:54:18Z,"nu metal,metal,rap metal,alternative metal","Immortal/Epic",0.353,0.898,2,-5.877,1,0.052,0.0000223,0.105,0.39,0.525,103.299,4
spotify:track:3K4HG9evC7dg3N0R9cYqk4,"One Step Closer","Hybrid Theory (Bonus Edition)","Linkin Park",2000-10-24,157333,85,false,,2026-03-20T17:54:18Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.492,0.969,9,-4.419,1,0.0491,0.0014,0.00000132,0.0787,0.538,95.136,4
spotify:track:1158ckiB5S4cpsdYHDB9IF,"My Own Summer (Shove It)","Around the Fur","Deftones",1997-10-27,214760,84,false,,2026-03-20T17:54:18Z,"nu metal,alternative metal,rap metal,rock,shoegaze","Maverick",0.443,0.781,1,-4.277,1,0.0377,0.0000133,0.205,0.166,0.372,71.841,4
spotify:track:1cqWEQ6TRfYr3SBNh7Ni2w,"Bodies","Sinner (Unlucky 13th Anniversary Deluxe Edition)","Drowning Pool",2014-01-01,202466,61,false,,2026-03-20T17:54:18Z,"nu metal,alternative metal,rap metal,metal","Concord Records, Inc.",0.615,0.919,4,-4.318,0,0.0798,0.00218,0.000607,0.113,0.542,130.919,4
spotify:track:0COqiPhxzoWICwFCS4eZcp,"Bring Me To Life","Fallen","Evanescence",2003-03-04,235893,90,false,,2026-03-20T17:54:18Z,"alternative metal","The Bicycle Music Company",0.331,0.943,4,-3.188,0,0.0698,0.00721,0.00000206,0.242,0.296,94.612,4
spotify:track:3UygY7qW2cvG9Llkay6i1i,"Going Under","Fallen","Evanescence",2003-03-04,214946,82,false,,2026-03-20T17:54:18Z,"alternative metal","The Bicycle Music Company",0.37,0.858,11,-4.885,0,0.0545,0.00815,0.0000212,0.229,0.464,175.077,4
spotify:track:1pr9TZGOXeJUggIal1Wq3R,"Blind","Korn","Korn",1994-10-11,258266,80,false,,2026-03-20T17:54:18Z,"nu metal,metal,rap metal,alternative metal","Immortal/Epic",0.283,0.891,2,-8.165,1,0.178,0.00678,0.0038,0.159,0.226,92.049,4
spotify:track:4Uiw0Sl9yskBaC6P4DcdVD,"Be Quiet and Drive (Far Away)","Around the Fur","Deftones",1997-10-27,299866,82,false,,2026-03-20T17:54:18Z,"nu metal,alternative metal,rap metal,rock,shoegaze","Maverick",0.206,0.965,1,-5.116,1,0.079,0.00000991,0.827,0.367,0.168,92.615,4
spotify:track:3RgDvs9Jpvn3kUuaTek1R5,"I-E-A-I-A-I-O","Steal This Album!","System Of A Down",2002-11-26,188600,77,true,,2026-03-20T17:54:18Z,"nu metal,metal,alternative metal,rap metal,rock","American/Columbia",0.626,0.792,0,-2.734,1,0.0721,0.000126,0.022,0.438,0.433,133.212,4
spotify:track:3fjmSxt0PskST13CSdBUFx,"Somewhere I Belong","Meteora (Bonus Edition)","Linkin Park",2003-03-25,213933,85,false,,2026-03-20T17:54:18Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.451,0.951,1,-3.754,1,0.0645,0.000386,0.00000256,0.261,0.441,162.041,4
spotify:track:61mWefnWQOLf90gepjOCb3,"Duality","Vol. 3: The Subliminal Verses (Special Edition)","Slipknot",2004,252613,84,false,,2026-03-20T17:54:18Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.354,0.982,4,-3.026,0,0.168,0.000237,0.000294,0.204,0.194,143.772,4
spotify:track:3IV4swNduIRunHREK80owz,"Rollin' (Air Raid Vehicle)","Chocolate Starfish And The Hot Dog Flavored Water","Limp Bizkit",2000-10-17,213760,85,true,,2026-03-20T17:54:18Z,"nu metal,rap metal,alternative metal,rap rock","Interscope",0.603,0.933,1,-3.358,1,0.171,0.00591,0,0.206,0.709,96.311,4
spotify:track:6DoXuH326aAYEN8CnlLmhP,"7 Words","Adrenaline","Deftones",1995,223893,72,true,,2026-03-20T17:54:18Z,"nu metal,alternative metal,rap metal,rock,shoegaze","Rhino",0.431,0.906,9,-6.13,1,0.0945,0.0001,0.0001,0.123,0.53,125.459,4
spotify:track:2DlHlPMa4M17kufBvI2lEN,"Chop Suey!","Toxicity","System Of A Down",2001-09-04,210240,87,false,,2026-03-20T17:54:18Z,"nu metal,metal,alternative metal,rap metal,rock","American/Columbia",0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,4
spotify:track:18lR4BzEs7e3qzc0KVkTpU,"What I've Done","Minutes to Midnight","Linkin Park",2007-05-14,205226,87,false,,2026-03-20T17:54:18Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.627,0.935,5,-4.882,1,0.0324,0.0092,0,0.147,0.287,120.092,4
spotify:track:5bU4KX47KqtDKKaLM4QCzh,"Die MF Die","Life","Dope",2001-12-16,186066,66,true,,2026-03-20T17:54:18Z,"industrial metal,nu metal,industrial rock,metal","Epic",0.657,0.96,5,-3.524,0,0.07,0.00169,0.000997,0.109,0.567,126.02,4
spotify:track:1AzMYJm6qTAullM3UKuPY9,"Y'all Want a Single","Take A Look In The Mirror","Korn",2003-11-21,197906,71,true,,2026-03-20T17:54:18Z,"nu metal,metal,rap metal,alternative metal","Epic/Immortal",0.758,0.8,11,-3.651,0,0.0718,0.00834,0,0.527,0.767,118.022,4
spotify:track:12nGRgtkjrqb3mvsEp4yKj,"Denial","Best Of (Chapter One 1997-2004)","Sevendust",2005-12-27,258426,55,true,,2026-03-20T17:54:18Z,"nu metal,alternative metal,rap metal,hard rock","The Orchard",0.602,0.907,1,-5.587,1,0.0522,0.0000262,0.00333,0.222,0.461,104.348,4
spotify:track:0snQkGI5qnAmohLE7jTsTn,"Toxicity","Toxicity","System Of A Down",2001-09-04,218933,86,false,,2026-03-20T17:54:18Z,"nu metal,metal,alternative metal,rap metal,rock","American/Columbia",0.413,0.873,8,-4.151,1,0.0536,0.000264,0.00249,0.204,0.48,116.68,3
spotify:track:60a0Rd6pjrkxjPbaKzXjfq,"In the End","Hybrid Theory (Bonus Edition)","Linkin Park",2000-10-24,216880,91,false,,2026-03-20T17:54:18Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.556,0.864,3,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,4
spotify:track:5oxpT46KeiEuckYnChgFFT,"Open Your Eyes","Proud Like a God","Guano Apes",1997,187560,67,false,,2026-03-20T17:54:18Z,"nu metal","Sony Music/Supersonic-GUN",0.645,0.948,0,-6.614,1,0.0664,0.00527,0,0.33,0.369,111.571,4
spotify:track:2YC6ET3q1F29B0V7UcPV70,"Break Stuff","Greatest Hitz","Limp Bizkit",2005-11-08,166653,60,true,,2026-03-20T17:54:18Z,"nu metal,rap metal,alternative metal,rap rock","Geffen",0.429,0.908,8,-5.399,1,0.158,0.00325,0.0000612,0.0475,0.615,108.806,4
spotify:track:2gscB6kDOmrv1P6qs2KXE3,"Wait and Bleed","Slipknot (10th Anniversary Edition)","Slipknot",2009-09-09,147840,69,false,,2026-03-20T17:54:18Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.382,0.996,7,-4.119,1,0.104,0.00208,0,0.417,0.327,93.345,4
spotify:track:1Ym3JWJG8HFJU2NbXavZ6a,"Sugar","System Of A Down","System Of A Down",1998-06-30,153800,64,true,,2026-03-20T17:54:18Z,"nu metal,metal,alternative metal,rap metal,rock","Epic",0.451,0.889,1,-2.693,1,0.261,0.00167,0.00215,0.258,0.586,131.073,4
spotify:track:1y1sChqjzdNWzwdHQADMrR,"Numb","Meteora (Bonus Edition)","Linkin Park",2003-03-25,187520,64,false,,2026-03-20T17:54:18Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.488,0.87,6,-4.185,0,0.0421,0.00353,0,0.484,0.211,110.072,4
