Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:12bYYQaLqHliSXvRIYlq8G,"I Just Might","I Just Might","Bruno Mars",2026-01-09,212973,90,false,,2026-05-01T06:01:14Z,"","Atlantic Records",0.786,0.713,5,-6.193,1,0.0327,0.0541,0,0.133,0.876,102.997,4
spotify:track:6gkbtMtioHgtyGjrMel6ei,"drop dead","drop dead","Olivia Rodrigo",2026-04-17,224998,94,false,,2026-05-01T06:01:14Z,"","Olivia Rodrigo PS",0.581,0.735,8,-5.613,1,0.0417,0.222,0.0000238,0.228,0.678,130.211,4
spotify:track:6sGIMrtIzQjdzNndVxe397,"So Easy (To Fall In Love)","The Art of Loving","Olivia Dean",2025-09-26,169000,97,false,,2026-05-01T06:01:14Z,"pop soul","PLG - Capitol",0.749,0.633,3,-5.917,1,0.0373,0.665,0,0.0817,0.572,139.898,4
spotify:track:55lijDD6OAjLFFUHU9tcDm,"WHERE IS MY HUSBAND!","WHERE IS MY HUSBAND!","RAYE",2025-09-19,197142,92,false,,2026-05-01T06:01:14Z,"","Human Re Sources",0.39,0.781,8,-7.04,1,0.0918,0.0599,0,0.14,0.628,115.939,4
spotify:track:67osB3wmJVTFzKhWqPb1Hm,"Opalite","The Life of a Showgirl (Track by Track Version)","Taylor Swift",2025-10-02,235356,65,false,,2026-05-01T06:01:14Z,"","Taylor Swift",0.807,0.816,7,-5.096,1,0.0374,0.0812,0,0.0411,0.807,125.009,4
spotify:track:7yNf9YjeO5JXUE3JEBgnYc,"Babydoll","Don't Forget About Me, Demos","Dominic Fike",2018-10-16,97960,100,false,,2026-05-01T06:01:14Z,"","Columbia",0.762,0.604,7,-5.296,0,0.11,0.114,0,0.0271,0.847,168.007,4
spotify:track:5yvVYFDUpbnjcnRBgjwTzM,"Dracula - JENNIE Remix","Dracula (Remix)","Tame Impala;JENNIE",2026-02-06,209720,96,true,,2026-05-01T06:01:14Z,"neo-psychedelic,indie,k-pop","Columbia",0.662,0.786,3,-3.254,0,0.0665,0.0247,0,0.875,0.761,114.972,4
spotify:track:7rAr4Ai9dysthnfNRRC55Q,"Bring Your Love","Bring Your Love","Madonna;Sabrina Carpenter",2026-04-30,216400,0,false,,2026-05-01T06:01:14Z,"pop","Warner Records",0.678,0.823,10,-7.839,0,0.0704,0.0936,0.0145,0.1,0.758,121.016,4
spotify:track:48vIfHaK7by6x0T6ucpODL,"make you mine","make you mine","Madison Beer",2024-02-09,221709,76,false,,2026-05-01T06:01:14Z,"","Epic/Sing It Loud",0.533,0.642,6,-6.315,0,0.0403,0.221,0.00697,0.238,0.488,123.128,4
spotify:track:221eHga9f9Ne4f8D7WVgPT,"Mystical Magical","Mystical Magical","Benson Boone",2025-04-24,165746,79,false,,2026-05-01T06:01:14Z,"","Night Street Records, Inc./Warner Records Inc.",0.671,0.697,11,-3.851,1,0.116,0.19,0,0.393,0.848,119.867,4
spotify:track:7BRD7x5pt8Lqa1eGYC4dzj,"CHIHIRO","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,303440,87,false,,2026-05-01T06:01:14Z,"","Darkroom/Interscope Records",0.7,0.425,7,-12.531,1,0.0529,0.144,0.879,0.083,0.521,110.015,4
spotify:track:4g5eopb54XIaV2ciooY3St,"SWIM","ARIRANG","BTS",2026-03-20,159007,89,false,,2026-05-01T06:01:14Z,"k-pop","BIGHIT MUSIC",0.531,0.706,6,-5.487,0,0.0638,0.153,0,0.117,0.157,93.811,4
spotify:track:7BjcYqD0CqXnG45ezWSTYR,"RUNWAY","RUNWAY","Lady Gaga;Doechii",2026-04-10,171010,83,true,,2026-05-01T06:01:14Z,"art pop,pop","Lil Monsters, LLC / Top Dawg Entertainment, LLC under exclusive license to Interscope Records and Capitol Records",0.781,0.849,9,-5.003,0,0.196,0.0187,0.0000966,0.335,0.864,120.048,4
spotify:track:1DwscornXpj8fmOmYVlqZt,"Stateside + Zara Larsson","Fancy Some More?","PinkPantheress;Zara Larsson",2025-10-10,184761,97,false,,2026-05-01T06:01:14Z,"bedroom pop","Warner Records",0.676,0.664,6,-5.919,1,0.0864,0.0725,0.0000565,0.26,0.847,123.455,4
spotify:track:7p3oJMceNz5skGLw52ZOjY,"Carry the Weight","The Great Impersonator (Deluxe)","Halsey",2026-05-01,189461,0,false,,2026-05-01T06:01:14Z,"","Columbia",0.576,0.82,2,-5.098,1,0.0433,0.00585,0.0000411,0.162,0.239,118.077,4
spotify:track:6Qb7YsAqH4wWFUMbGsCpap,"Training Season","Training Season","Dua Lipa",2024-02-15,209487,75,false,,2026-05-01T06:01:14Z,"pop","Warner Records",0.812,0.587,5,-4.483,0,0.0477,0.0349,0.00000264,0.123,0.664,123.041,4
