Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3l9CW99AHtExIRV4hW2N5m,"Misery Business","Riot!","Paramore",2007-06-12,211520,79,false,,2023-01-25T14:57:38Z,"pop punk,emo","Atlantic Records UK",0.517,0.906,1,-3.677,1,0.0735,0.00272,0.00000926,0.113,0.731,172.977,4
spotify:track:4LJhJ6DQS7NwE7UKtvcM52,"What's My Age Again?","Enema Of The State","blink-182",1999-06-01,148360,81,true,,2023-01-25T14:57:38Z,"pop punk,punk,rock,skate punk,emo","Geffen",0.391,0.951,6,-7.419,1,0.0688,0.012,0.000446,0.0878,0.468,157.663,4
spotify:track:0jqK7sGTLsHPkQrrcrGuKD,"Still Waiting","Does This Look Infected?","Sum 41",2002-01-01,158733,73,true,,2023-01-25T14:57:38Z,"pop punk,punk,skate punk","Island Records",0.431,0.95,7,-4.918,1,0.26,0.00105,0.0000363,0.272,0.562,191.941,4
spotify:track:3Zwu2K0Qa5sT6teCCHPShP,"Thnks fr th Mmrs","Infinity On High","Fall Out Boy",2007-01-01,203506,82,false,,2023-01-25T14:57:38Z,"emo,pop punk","Island Records",0.46,0.892,10,-5.046,0,0.0619,0.0051,0,0.106,0.59,154.844,4
spotify:track:6hwQ69v7VbPhTTR2fOtYX7,"Want You Bad","Conspiracy Of One","The Offspring",2000-11-14,202573,75,false,,2023-01-25T14:57:38Z,"punk,skate punk","Concord Records",0.491,0.966,4,-4.28,1,0.0538,0.0000559,0,0.307,0.614,105.544,4
spotify:track:7lRlq939cDG4SzWOF4VAnd,"I'm Not Okay (I Promise)","Three Cheers for Sweet Revenge","My Chemical Romance",2004-06-08,186480,79,true,,2023-01-25T14:57:38Z,"emo,pop punk","Reprise",0.21,0.94,9,-3.427,1,0.123,0.00602,0,0.269,0.255,179.722,4
spotify:track:1eylM8qwVdD1AXDy3vjSgT,"The River","Good Morning Revival","Good Charlotte",2008-05-20,195680,56,false,,2023-01-25T14:57:38Z,"pop punk,punk,emo","Epic/Daylight",0.439,0.945,1,-2.21,1,0.138,0.00677,0,0.166,0.455,161.954,4
spotify:track:6otiaV2fagE3s8IvP6WkwG,"I'm Just a Kid","No Pads, No Helmets...Just Balls (15th Anniversary Tour Edition)","Simple Plan",2002-03-19,198333,76,false,,2023-01-25T14:57:38Z,"pop punk,punk,emo","Rhino Atlantic",0.527,0.834,1,-5.531,1,0.0447,0.00107,0.000102,0.0993,0.422,110.065,4
spotify:track:5vfjUAhefN7IjHbTvVCT4Z,"Holiday","Holiday","Green Day",2005-03-30,233026,71,false,,2023-01-25T14:57:38Z,"punk,pop punk","Reprise",0.538,0.884,8,-3.251,1,0.031,0.000138,0,0.466,0.736,146.511,4
spotify:track:0JJP0IS4w0fJx01EcrfkDe,"Dear Maria, Count Me In","So Wrong, It's Right","All Time Low",2007-09-25,182826,81,false,,2023-01-25T14:57:38Z,"pop punk,emo,punk","Hopeless Records",0.459,0.895,2,-3.126,1,0.0805,0.00725,0,0.206,0.572,181.04,4
spotify:track:4XOZaPYeMn9hcbpyS90NnD,"Lights And Sounds","Lights And Sounds","Yellowcard",2006-01-01,208186,63,false,,2023-01-25T14:57:38Z,"pop punk,punk,emo","Capitol Records",0.344,0.972,11,-3.653,0,0.116,0.0000848,0,0.287,0.387,167.818,4
spotify:track:6yT4ww7r7wDBlwMDUazx0U,"When Your Heart Stops Beating","When Your Heart Stops Beating","+44",2006-01-01,192786,57,true,,2023-01-25T14:57:38Z,"pop punk,punk,skate punk","Interscope",0.416,0.967,9,-2.289,0,0.109,0.000367,0,0.0632,0.431,171.032,4
spotify:track:4wzjNqjKAKDU82e8uMhzmr,"Face Down","Don't You Fake It","The Red Jumpsuit Apparatus",2006-01-01,192000,78,false,,2023-01-25T14:57:38Z,"pop punk,emo","Virgin Records",0.545,0.932,7,-2.189,0,0.0399,0.000665,0,0.127,0.464,92.956,4
